P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,46781.42345209542,25339.81784604174,1.8461625784497504
256,400,87522.29470329563,48334.52807370665,1.8107613375231568
8192,800,86685.09055614487,40507.42758459579,2.139980140064722
128,1000,199596.84849387722,122342.327095179,1.631461925181432
2048,600,213062.50744718564,151129.24419825306,1.4098033016540983
256,900,120746.9970136928,54809.75617591053,2.203020145285054
256,100,46897.398951693525,26277.440229121807,1.7847019550907315
4096,300,23483.739622513363,14461.995710341227,1.6238242696836804
256,200,58352.53960817789,28639.31993050193,2.037497389944315
2048,400,75685.10979610139,48402.57713588221,1.5636586784135067
8192,1000,136119.15006965597,86941.7558164661,1.5656360835063334
1024,500,128875.09752519953,61945.54745447425,2.0804578023935285
256,600,157378.12278603163,87906.4422511642,1.7902911181000203
8192,900,83698.47816707855,51759.85633102995,1.6170539120469205
8192,700,104151.63849970115,61004.81435234271,1.7072691656458012
256,1000,98762.48141657641,60266.79191353534,1.6387545824285914
8192,900,297913.51636557456,198921.3860550627,1.497644482947199
2048,700,77416.8686504922,50318.98468300632,1.538522073491625
1024,600,134199.9614459201,69227.82344495451,1.9385263723136874
4096,1000,93561.42700561194,51562.0110470629,1.8145418517562153
2048,200,63444.91345510116,37687.22034705516,1.6834596149795027
512,800,95438.59861789849,59751.971053248635,1.5972460311451036
128,200,78032.87810611149,38616.9468705205,2.020689993120104
2048,800,141082.8174255421,74910.56325865745,1.8833501082938005
512,100,42694.9200056504,25554.08998787344,1.6707665984549263
1024,100,29349.237775960526,16270.879577503554,1.8037892565156326
512,900,98727.44867660773,54814.08894506958,1.8011327119847729
256,800,186856.55197639862,105351.1225342505,1.7736550639567228
1024,100,34608.18583028445,17524.646577519117,1.9748293169392845
1024,700,186005.7049100685,90035.56093891147,2.0659137675198376
256,300,108486.82645310882,59520.11230056764,1.8226918979128703
1024,600,107906.1319390707,93962.56722509673,1.148394888791946
8192,200,74066.05649395488,39439.94833382917,1.8779450689702237
1024,300,68280.92038817506,42559.26499070512,1.6043726413763844
4096,900,164380.32139972723,80527.65400433389,2.041290329790068
512,900,106488.90981873454,77438.96240069586,1.3751334795490189
4096,100,42573.63099953602,25509.78330366942,1.6689138630751157
8192,700,44996.9804618153,36383.636776576175,1.2367367434468344
1024,400,135082.68084599415,70446.65442750564,1.9175173319976941
256,700,93626.30641762464,45533.305579283064,2.0562158891495708
256,400,100253.77126764669,36205.24077560651,2.7690403135005046
512,500,135206.59338632962,49051.18395225835,2.756438937700802
256,900,95608.36834183821,57524.791285656356,1.662037639859771
8192,500,169284.2118719079,106590.45867809009,1.5881741571556316
8192,300,57658.77540148754,29931.832451898452,1.926336300797731
1024,800,104557.61007698413,75099.1938804778,1.3922600852865359
4096,800,141072.49411605246,74875.55183262887,1.8840928802954964
4096,800,103644.93986798373,65871.74785380425,1.5734353990122336
8192,500,136882.36472404937,91384.73058369043,1.4978691062473732
4096,700,185257.49478383418,89704.13083446011,2.0652058390232675
4096,800,67653.83292034692,47862.461864898854,1.4135050786002834
4096,100,46709.061245907615,25513.346625527105,1.8307696724965656
8192,600,84756.09580897726,40316.599781882396,2.1022629950818725
8192,800,154268.6662699017,83138.40291443179,1.8555644667444362
512,300,92255.74116629128,55298.68456635139,1.6683171017494298
256,100,73228.73888983439,42169.020106715,1.7365530122473356
128,600,123380.7735112786,72905.33051695603,1.6923422832927586
2048,900,217512.5167226744,138680.36028229067,1.568444993075566
8192,1000,67815.81568247432,44746.27273079294,1.5155634546473782
4096,300,59023.92768302339,35747.129315540355,1.651151541764891
256,500,142291.88396632226,91652.47215266107,1.5525155036659959
256,700,105880.74651819594,58575.713811607675,1.807587814614289
128,500,88172.59908651379,55089.93942571088,1.6005208937543864
2048,700,93558.13705101973,61770.21371425966,1.5146157253689705
128,800,158576.05293007084,91299.30067015364,1.7368813535930012
512,300,43423.99843652094,29315.379910080832,1.4812701922920843
4096,200,87272.4138982358,48449.352805894276,1.8013122744462826
4096,500,362853.1907936036,230387.8143086843,1.5749669394729187
8192,1000,190585.29321774308,100649.75660009484,1.8935494695231432
128,900,202041.30260562105,106125.13242222022,1.9038025959939169
4096,300,35246.32668697131,24857.044966350284,1.4179612554382592
4096,400,129721.26794587723,65844.558400574,1.970113720813509
128,900,152256.93350488335,106193.97181152053,1.4337624905405943
1024,400,81824.85098774967,48012.334238965144,1.7042464667619401
8192,600,54227.26046174154,30879.271782953714,1.7561055468826379
128,400,162563.40621832063,100412.82389322805,1.6189506470924386
4096,700,86427.85107190647,46902.72070590232,1.8427044267611161
8192,500,65410.985007037714,40213.293904934864,1.6266010230763677
256,900,124498.03031031492,68784.06403433165,1.8099836358633186
8192,1000,245050.93040796285,132362.96275782728,1.8513557365462627
8192,600,46771.5691814086,25325.579367516777,1.8468114195009884
4096,900,76610.83847010315,47239.60737156168,1.6217501104004306
8192,700,256001.6767143868,154802.27547094636,1.6537332925860884
