eval_id,P1,value,global_best_value,global_best_P1
1,0.34,3.3879276711226454,3.3879276711226454,0.34
2,0.26,3.3844607656797807,3.3844607656797807,0.26
3,0.74,3.382614713955551,3.382614713955551,0.74
4,0.3,3.3838348480493505,3.382614713955551,0.74
5,0.1,4.101108551973121,3.382614713955551,0.74
6,0.5,3.3839479584247667,3.382614713955551,0.74
7,0.68,3.382614713955551,3.382614713955551,0.74
8,0.88,3.471004920957097,3.382614713955551,0.74
9,0.82,3.382614713955551,3.382614713955551,0.74
10,0.14,3.6337345327667094,3.382614713955551,0.74
11,0.46,3.3843204289154705,3.382614713955551,0.74
12,0.42,3.3851185578382164,3.382614713955551,0.74
13,0.6,3.382712402467436,3.382614713955551,0.74
14,0.66,3.382614713955551,3.382614713955551,0.74
15,0.76,3.382614713955551,3.382614713955551,0.74
16,0.4,3.3853317710175808,3.382614713955551,0.74
17,0.12,3.785607816384145,3.382614713955551,0.74
18,0.36,3.3864650084481642,3.382614713955551,0.74
19,0.86,3.382614713955551,3.382614713955551,0.74
20,0.7,3.3842206058618727,3.382614713955551,0.74
21,0.22,3.385635882152428,3.382614713955551,0.74
22,0.56,3.383157918109929,3.382614713955551,0.74
23,0.8,3.382614713955551,3.382614713955551,0.74
24,0.62,3.382614713955551,3.382614713955551,0.74
25,0.84,3.382614713955551,3.382614713955551,0.74
26,0.54,3.3834136159502908,3.382614713955551,0.74
27,0.24,3.3856519953075206,3.382614713955551,0.74
28,0.64,3.382614713955551,3.382614713955551,0.74
29,0.58,3.38293173551344,3.382614713955551,0.74
30,0.72,3.3829165607180816,3.382614713955551,0.74
