P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,31587.094539603793,25339.81784604174,1.2465399211438264
256,400,67813.65637703826,48334.52807370665,1.4030064858319782
8192,800,60864.02730013009,40507.42758459579,1.5025399273508924
128,1000,216289.24382701813,122342.327095179,1.7679019924048933
2048,600,171371.10147809115,151129.24419825306,1.1339373950238552
256,900,122158.40748463495,54809.75617591053,2.2287712262862587
256,100,33161.62704566867,26277.440229121807,1.2619808762391362
4096,300,17387.255271792077,14461.995710341227,1.2022721911996632
256,200,40250.4558021868,28639.31993050193,1.405426382325461
2048,400,56907.709287041835,48402.57713588221,1.175716514583157
8192,1000,103969.99074088088,86941.7558164661,1.1958579599008945
1024,500,97460.43839526159,61945.54745447425,1.5733243534071333
256,600,128854.57009245208,87906.4422511642,1.4658148685427612
8192,900,60823.777324895884,51759.85633102995,1.1751148792975326
8192,700,79663.7023056759,61004.81435234271,1.305859269492501
256,1000,118341.59351024029,60266.79191353534,1.9636285548436818
8192,900,232011.62034621593,198921.3860550627,1.1663482994331924
2048,700,59173.396745785045,50318.98468300632,1.1759656344133078
1024,600,106323.30268430628,69227.82344495451,1.535846389405088
4096,1000,67139.10184304357,51562.0110470629,1.302104019600065
2048,200,44288.43090036354,37687.22034705516,1.1751577986521415
512,800,80078.71056789199,59751.971053248635,1.340185255086045
128,200,61944.675993631754,38616.9468705205,1.604080099893118
2048,800,112334.79596129885,74910.56325865745,1.499585520047685
512,100,30587.031802513266,25554.08998787344,1.1969524963333924
1024,100,19924.794008297482,16270.879577503554,1.2245677262491639
512,900,73578.01464949887,54814.08894506958,1.3423193938921987
256,800,149485.01576426934,105351.1225342505,1.4189219076965274
1024,100,32712.227375772884,17524.646577519117,1.8666412033516628
1024,700,149572.63495423776,90035.56093891147,1.6612617658451843
256,300,82070.94332996255,59520.11230056764,1.3788774946444422
1024,600,99242.12939315855,93962.56722509673,1.0561879301936707
8192,200,49190.38747545229,39439.94833382917,1.2472224116292716
1024,300,51993.28240104899,42559.26499070512,1.2216677711046995
4096,900,117950.54932439857,80527.65400433389,1.4647210425135524
512,900,94210.46885464944,77438.96240069586,1.2165771071049742
4096,100,30334.548013006453,25509.78330366942,1.1891338962743372
8192,700,37785.02912282032,36383.636776576175,1.0385171046767476
1024,400,101420.1686496933,70446.65442750564,1.4396733169786153
256,700,98339.93495271253,45533.305579283064,2.1597363446737248
256,400,77751.82164669667,36205.24077560651,2.1475294731110424
512,500,111831.03985154351,49051.18395225835,2.2798846193068236
256,900,89647.16927279317,57524.791285656356,1.5584092922236543
8192,500,135620.1122165294,106590.45867809009,1.2723475806226776
8192,300,45327.80902731944,29931.832451898452,1.5143679926767892
1024,800,83864.82816376432,75099.1938804778,1.1167207506546242
4096,800,112307.18822500519,74875.55183262887,1.4999180036235078
4096,800,87686.99017142325,65871.74785380425,1.3311775234207501
8192,500,105564.46578189578,91384.73058369043,1.1551652569049213
4096,700,148052.98036789644,89704.13083446011,1.6504588918108265
4096,800,57020.52521376707,47862.461864898854,1.1913412514115684
4096,100,30562.367269264985,25513.346625527105,1.1978972307257463
8192,600,55179.050732778225,40316.599781882396,1.3686434627747246
8192,800,107451.71466157504,83138.40291443179,1.2924438153108033
512,300,70015.63051529673,55298.68456635139,1.2661355521266853
256,100,52511.92661560737,42169.020106715,1.2452726310148565
128,600,132438.7458128704,72905.33051695603,1.8165852191297358
2048,900,162283.02902718438,138680.36028229067,1.1701947463710747
8192,1000,52686.69770776379,44746.27273079294,1.177454444635933
4096,300,42531.66480281115,35747.129315540355,1.189792456546192
256,500,115361.63681192602,91652.47215266107,1.258685489898993
256,700,86182.37636838715,58575.713811607675,1.4712987817027472
128,500,102541.03631836857,55089.93942571088,1.8613387015363447
2048,700,72795.03047020173,61770.21371425966,1.1784811172410916
128,800,158287.40517939598,91299.30067015364,1.7337197987009467
512,300,34959.69589544739,29315.379910080832,1.19253770555522
4096,200,66677.32463351912,48449.352805894276,1.3762273543808259
4096,500,267802.6237302375,230387.8143086843,1.1623992550726796
8192,1000,141450.28496376314,100649.75660009484,1.405371356492976
128,900,190410.82404768938,106125.13242222022,1.7942104730681272
4096,300,29195.74438451264,24857.044966350284,1.17454606627762
4096,400,92090.1678267151,65844.558400574,1.3985995208058426
128,900,187359.7684864175,106193.97181152053,1.764316422960005
1024,400,59457.09163183655,48012.334238965144,1.2383711930336276
8192,600,43284.78999106158,30879.271782953714,1.4017425765511766
128,400,138175.59440898514,100412.82389322805,1.3760751769705368
4096,700,60549.9054505173,46902.72070590232,1.2909678700770464
8192,500,48403.61940949319,40213.293904934864,1.2036720872435978
256,900,125441.84523766176,68784.06403433165,1.8237050543429794
8192,1000,192723.5523339674,132362.96275782728,1.4560232584592152
8192,600,31482.694441057472,25325.579367516777,1.2431184291656507
4096,900,56043.339986749255,47239.60737156168,1.1863633739785788
8192,700,184089.52991345478,154802.27547094636,1.1891913691411151
128,300,68733.44237825542,37575.37625782499,1.8292150132213736
4096,700,99123.94523098061,74294.70133872438,1.3341993903314147
256,100,21368.8928403621,14887.022202248138,1.4354041090323029
2048,500,48093.9450418973,42220.82558082555,1.1391047991193002
512,600,51494.58835079806,39911.47243417489,1.2902202101344908
512,500,54401.655408487175,40359.055700854355,1.3479417311375685
512,400,71641.85630906586,58094.73530829689,1.2331901665250244
8192,1000,202331.96865499465,170835.76031156772,1.1843654296148804
128,600,124795.91024197546,71185.27915940297,1.7531140105881144
2048,800,90313.2046664638,49405.80358577192,1.8279877688796982
8192,200,34950.2256072478,28474.386928972886,1.2274267991942507
