P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,20122.569335302454,18779.00655706,1.071545998674639
256,400,73589.93662853021,43244.960742362484,1.7016996978434527
8192,800,47465.5924468731,46379.37991347244,1.02342016075737
128,1000,196579.15918778215,119404.61005167404,1.6463280530183024
2048,600,121790.16422036795,111680.57587899217,1.0905223514636035
256,900,98647.58118346655,51518.201495127876,1.9148102674507328
256,100,16009.005354552162,12924.548421892341,1.2386510407926663
4096,300,20438.018207995483,17279.41691731119,1.182795594654579
256,200,30514.884882472423,22891.533499154106,1.3330205634148546
2048,400,33320.99057480885,21733.26502109654,1.5331792320419446
8192,1000,60341.249680543166,60202.342442558154,1.002307339421511
1024,500,81436.85365641827,53664.96732667876,1.5175049517999637
256,600,108283.39947294626,58028.72573355824,1.8660309718006705
8192,900,52575.017380802,52575.017380802,1.0
8192,700,54708.04094618545,35360.41439156067,1.5471549722347826
256,1000,109227.41880744,58863.710166351215,1.8555986107358662
8192,900,149649.57060028278,149649.57060028278,1.0
2048,700,41813.60882123944,41611.35817859911,1.004860467225613
1024,600,58878.002643135296,43965.34404781527,1.3391912179534295
4096,1000,34515.90646328111,33915.21825046568,1.0177114653480723
2048,200,13950.165591646542,12441.910416424595,1.121223761041624
512,800,66433.67265909213,54149.74440156318,1.2268510847702976
128,200,50658.41252294554,38939.521911435,1.30095106555659
2048,800,88756.06767900274,71810.48771496736,1.2359763943018511
512,100,60626.38903131084,60573.79424177784,1.000868276293261
1024,100,9986.032359345849,9640.921141579869,1.0357964983530012
512,900,63007.95361105578,46304.128599874144,1.3607415907882356
256,800,147954.2500995129,86969.02217444926,1.7012293159135985
1024,100,30381.99077148462,20829.72320776272,1.4585883100050991
1024,700,138473.69434075768,101971.47650017287,1.357964982889337
256,300,59484.77267390976,35896.699653227304,1.6571097969604502
1024,600,88971.61183455714,86765.25402755744,1.0254290479723478
8192,200,21053.7369850466,18018.92824454402,1.1684233767577987
1024,300,19561.29665454344,18573.116360380285,1.0532048728382015
4096,900,61673.34428244976,52757.84825268096,1.1689890002160153
512,900,61644.57855754175,53309.00486140186,1.1563633333207317
4096,100,60573.79424177784,60573.79424177784,1.0
8192,700,42206.940755016985,41694.171098573366,1.0122983535331913
1024,400,71178.34689723863,63377.543120814065,1.1230846667810113
256,700,71579.14095307353,38261.990551516115,1.870763646149017
256,400,56222.00416697038,22632.151942540644,2.484165196032128
512,500,110346.50171503403,62904.27191045394,1.754197264569177
256,900,86945.3780694169,47728.093563071816,1.8216813532373788
8192,500,84889.56492633495,84889.56492633495,1.0
8192,300,33351.02811527207,23136.448596413335,1.4414929748743817
1024,800,66327.77064270909,66116.18200423285,1.0032002549460992
4096,800,88746.2064745657,71810.48771496736,1.2358390716801726
4096,800,68856.1888208384,64362.85987349461,1.069812450164201
8192,500,66628.04074202283,66624.56129320196,1.000052224716431
4096,700,137018.5543906216,101971.47650017287,1.3436949144341293
4096,800,43948.578664085064,43948.578664085064,1.0
4096,100,8321.239576006265,8321.239576006265,1.0
8192,600,61012.87945017118,60947.46333963169,1.0010733196585222
8192,800,87137.91878214308,62102.16000225037,1.4031382930800715
512,300,52553.578963993255,51521.92639179481,1.020023563644599
256,100,21255.799395900027,17954.53769414384,1.1838678198232275
128,600,119386.00957018173,70900.57950763027,1.6838509698969877
2048,900,129752.604791726,129752.604791726,1.0
8192,1000,30428.49121595732,28498.849543516073,1.0677094585693643
4096,300,18516.507270201342,18481.458954016285,1.0018964041893155
256,500,77246.40889156995,66627.75825410518,1.1593727736864166
256,700,109163.81322011162,61827.216222082076,1.7656271766789156
128,500,97490.2588185423,53535.80791606614,1.8210290012133243
2048,700,88656.04345035662,69714.60276884174,1.2716997577153315
128,800,177697.79545530252,89245.39881899078,1.9911143633938213
512,300,25441.193578974977,25000.830378077444,1.0176139429866167
4096,200,53640.79281597229,53640.79281597229,1.0
4096,500,173165.7012270452,173165.7012270452,1.0
8192,1000,80580.04440710397,71753.33995595953,1.1230145447802438
128,900,179942.8506672117,103084.41806074536,1.7455872968228365
4096,300,19028.50780282153,19028.50780282153,1.0
4096,400,48786.97977664097,45126.38541333707,1.0811187142461007
128,900,174767.28895508416,103160.92321660006,1.6941229634804356
1024,400,30795.64272763896,26611.894241008282,1.1572134793841027
8192,600,26964.323674215862,18661.250273283804,1.4449366081767347
128,400,84477.81971742325,46532.57276323225,1.815455598108976
4096,700,41663.71125395748,36793.786558940206,1.1323572578542878
8192,500,29587.00133662399,27177.07231873392,1.0886750783758572
256,900,98790.21055876614,51088.94408718974,1.9336905924336223
8192,1000,132590.20560675484,94799.79607328854,1.3986338694679366
8192,600,19944.930361490133,18779.00655706,1.0620865539871596
4096,900,43635.849193247996,40761.55353335776,1.0705148702818212
8192,700,103650.17673083996,103650.17673083996,1.0
128,300,70479.96519903818,32755.432020731212,2.1517031176517767
4096,700,92394.61983859021,80356.03512507299,1.1498155638811614
256,100,14963.00310551317,14135.174116163842,1.05856517808314
2048,500,36309.027184932274,36276.16196639806,1.0009059728690333
512,600,43793.956615693955,30580.976963775065,1.4320653217707997
512,500,36274.27099609548,35496.811911768345,1.0219022228322816
512,400,43143.88491532996,34415.68964887445,1.2536109360441352
8192,1000,146820.54879419197,146820.54879419197,1.0
128,600,119352.16226203318,69365.62215019029,1.7206241155541306
2048,800,44818.09313716732,42695.059714644456,1.0497255054030212
8192,200,16319.454371522042,16319.454371522042,1.0
512,400,77664.721411761,68462.06472805722,1.1344197946740033
1024,300,25003.756994135874,16760.521743464207,1.4918245014589793
1024,800,77735.75512679142,75591.86163784155,1.0283614325999961
1024,100,17385.01910327923,17347.873752067557,1.002141204838273
2048,200,28030.36615406151,27814.232772578187,1.0077706037499048
256,100,23199.403941919238,18702.315368100946,1.240456247545083
1024,700,58407.57794269379,42452.09110493904,1.3758468999398341
4096,800,52911.96361402886,44366.085532812314,1.1926218637183164
4096,800,78733.61137126268,78733.61137126268,1.0
8192,1000,58676.89014369309,45809.33523320091,1.2808937271188832
8192,700,64966.29240789171,57793.63501321383,1.1241080854844645
8192,1000,34398.451344858455,33915.21825046568,1.0142482672770694
4096,900,33560.58617166823,32655.352187910106,1.0277208458371263
512,700,90437.2609181987,85438.48061711625,1.058507364187385
1024,200,39826.18888408697,39819.40708715139,1.0001703138602929
4096,700,144830.16725521738,132452.11299022113,1.0934530524696886
2048,700,99709.094848786,91119.24221630921,1.0942704572990765
8192,300,19683.540766530285,19674.24141386905,1.0004726663898045
8192,500,75288.1433121715,53378.57096652857,1.4104563301138482
8192,700,57435.059343206296,49777.7756414471,1.1538293666819337
256,1000,108460.56425272123,90498.72860811553,1.1984761103372557
2048,100,34303.99586482677,34300.968848800694,1.0000882487033944
4096,700,91526.83913463607,82072.46511123,1.1151954435704212
1024,800,103510.58963655368,101845.3758611526,1.0163504112122999
1024,400,193527.3444020392,193515.84305327947,1.0000594336286799
256,100,18771.452350677067,17587.547381984677,1.0673149554613335
128,900,173430.56888106244,96720.06020199122,1.7931189095505955
512,900,83868.81114999363,72227.30001714897,1.161178821997785
4096,1000,90532.60541793723,90498.72860811553,1.0003743346491463
8192,300,32671.02721643224,25922.78608210399,1.26032082789847
512,500,92208.65496117547,86843.01321389293,1.06178553171649
128,800,133148.93281420547,79920.49096406845,1.6660174531969287
128,100,31894.70746523029,22982.09428187623,1.3878068323121702
