P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,55332.602428515835,32086.250269673834,1.7244957563898695
256,400,91402.15844450507,69344.18366491112,1.3180940868261386
8192,800,93960.9413785944,68639.61815064191,1.3689024489090298
128,1000,283978.69074812275,125295.95783362567,2.266463305426054
2048,600,227628.0015701968,191374.78812730435,1.189435681667621
256,900,147578.3248610706,79309.82918527524,1.8607822810501042
256,100,35213.00714946891,27744.76099020595,1.2691768064572369
4096,300,28463.822006695398,24265.13520631133,1.1730337278026786
256,200,48833.01635066945,32996.77807816611,1.479932866020702
2048,400,63531.99967840824,49006.50439213838,1.2963993344646725
8192,1000,116395.99933380575,97895.23348711745,1.1889853590177393
1024,500,154657.76727401945,103433.70181766388,1.4952357360916555
256,600,173453.00135960567,107515.86756387605,1.613278163398122
8192,900,83248.3398838594,76055.59330000391,1.0945722237085636
8192,700,118912.22919671808,80626.46962808013,1.4748534785814806
256,1000,166081.5606989696,66688.81108753479,2.4903961847658866
8192,900,344911.70315699483,294265.0674249581,1.172112293773886
2048,700,64591.21017583201,53921.858220267735,1.1978669190512794
1024,600,130135.93731700657,87981.12037524463,1.4791348048532365
4096,1000,72996.3578852877,57823.110280004155,1.2624080152694694
2048,200,50509.75932915091,43211.18708703341,1.168904691912702
512,800,112052.12040410921,76745.1936743743,1.460053913988937
128,200,70631.5578172661,55080.46923257345,1.2823339888233207
2048,800,147781.63650593863,91530.45019922058,1.6145625437685989
512,100,87133.6789577486,81541.92332472774,1.0685752237012192
1024,100,30857.39771791281,26126.125239736124,1.1810935389294057
512,900,100560.84520230531,83768.9354752691,1.2004550927114699
256,800,200530.11465735873,140690.70674223357,1.4253259458335077
1024,100,39100.024041974,26128.92828146623,1.496426628018587
1024,700,312985.0351694979,209079.4040392636,1.4969673201800477
256,300,97390.98056451418,73378.01257741736,1.3272501822226646
1024,600,130187.71085818404,121589.27436436518,1.070717063974344
8192,200,81714.28978444537,66804.37457564907,1.2231877074444033
1024,300,72994.00528493637,60661.299768006524,1.2033043400668157
4096,900,140013.78004915267,83867.31024046338,1.6694678730927077
512,900,103875.69033266163,83934.36071927342,1.2375824327784413
4096,100,87087.91808758794,81541.92332472774,1.0680140293082634
8192,700,51280.31859865661,48366.36010081021,1.0602476285536646
1024,400,127784.74974897955,93715.09953214714,1.3635449397900439
256,700,114065.8892056013,54206.33391376397,2.104290789837715
256,400,115342.29895420914,62094.6152682652,1.8575249795155315
512,500,268672.286918579,150411.49619722992,1.7862483501013606
256,900,124230.2580791573,65851.69814960258,1.8865156339162232
8192,500,175202.56970444234,145171.26830844925,1.2068680789657689
8192,300,69830.16542146963,49207.11959862682,1.4191069501946283
1024,800,130975.32197513178,113583.42103934956,1.1531200660856746
4096,800,147781.63650593863,91530.45019922058,1.6145625437685989
4096,800,135084.11407126326,80495.74766274964,1.6781521756555475
8192,500,148053.14188238123,126547.99516819877,1.1699366843828645
4096,700,312978.00704571255,209079.4040392636,1.4969337055645018
4096,800,90593.5611922292,76289.52886222344,1.1874966662310684
4096,100,32241.509959059542,27021.11397775278,1.1931969194758165
8192,600,84760.39557540638,71516.09563181561,1.1851932746968745
8192,800,211548.25164145732,111382.24810651336,1.8992995314581596
512,300,73019.54025977082,64288.232254330745,1.1358150270938876
256,100,79792.81395375846,66621.99147149005,1.197694818052755
128,600,165027.56869014938,74899.47399565695,2.203320796347896
2048,900,289728.00428865105,246837.67939689083,1.1737592291280488
8192,1000,65624.46206996197,55350.7803146872,1.1856104231388527
4096,300,53075.13620424543,44478.45983108848,1.19327729435335
256,500,153501.1695347892,126547.99516819877,1.2129877627122116
256,700,124603.76891297859,88059.66488743904,1.4149925402538326
128,500,116539.48672057402,56182.17500713485,2.0743142590292045
2048,700,119064.1096555879,82723.15596316708,1.4393081147508664
128,800,200794.70099631985,133043.65281458962,1.509239236509452
512,300,47077.3002535223,36792.68253707005,1.279528890183261
4096,200,105738.01085096295,87248.16939999937,1.2119223999554047
4096,500,436728.91892491543,374127.1854931126,1.1673274112633423
8192,1000,202302.7201496926,150682.91879743664,1.3425723483737966
128,900,241150.76103025512,109443.21737422631,2.203432673270858
4096,300,42541.77140966624,36076.63280186646,1.1792057103362845
4096,400,133314.14444537743,80803.01007103526,1.6498660672192629
128,900,250956.84914416852,109318.34627419793,2.2956517153553126
1024,400,68876.83901782834,55614.3310578869,1.2384728487723244
8192,600,49688.21249827785,36813.11504024967,1.3497421352132568
128,400,141706.45663686306,101350.91774796846,1.398176353856485
4096,700,110521.95049691392,83298.65199605712,1.32681559483274
8192,500,83080.36380567116,62291.80850112228,1.3337285560456051
256,900,151048.85619027374,72343.07089417889,2.0879519534251334
8192,1000,305517.779765876,193587.99783544827,1.5781855444652575
8192,600,55263.255929607636,32086.250269673834,1.722334503568946
4096,900,86791.67736604254,74506.27131782444,1.1648908988588589
8192,700,303365.60100892786,257665.43434439163,1.1773624265156735
128,300,97183.49097122384,39128.1871492468,2.483720766324708
4096,700,174754.9893606742,120542.04638444567,1.4497430116901018
256,100,23672.57907097841,16062.953290333515,1.4737376522923884
2048,500,67974.27929112647,64798.784885890724,1.0490054622293878
512,600,70396.51997744676,54759.00301290296,1.285569789516787
512,500,59976.120029476486,40793.162330552455,1.4702493408939947
512,400,89143.68781065942,74066.52558882261,1.203562433933206
8192,1000,350142.24113393883,296829.78369162104,1.1796061593930365
128,600,148880.4251019022,72849.63176490327,2.0436675038023764
2048,800,113390.04817653913,80691.6874824957,1.4052258877488046
8192,200,46467.747410883836,41095.10804137316,1.1307367135791853
512,400,192120.27302245598,161388.29849094016,1.190422569782784
1024,300,73533.67605803152,42146.23556164081,1.7447270219539568
1024,800,210854.87968238554,164504.5334558055,1.2817572577051937
1024,100,22124.800123335062,18958.590370662885,1.1670066017973397
2048,200,67361.90004032402,57462.271367614376,1.1722804970478256
256,100,66073.59843596272,54998.76131684471,1.2013652099420296
1024,700,165779.81332921766,99618.79371512462,1.6641419469833247
4096,800,85282.99134119553,63505.82912459984,1.3429159577441059
4096,800,237891.87794594732,202353.75339573988,1.1756237477874014
8192,1000,143905.34547493985,97107.11998289233,1.481923730209403
8192,700,180604.96933148502,143967.24459588702,1.2544865315609763
8192,1000,72993.74951330938,57823.110280004155,1.2623629057628085
4096,900,96984.94956705735,71933.22533163877,1.3482636030835664
512,700,209286.12301624945,177200.19832819805,1.1810716070905523
1024,200,64433.43131781564,54881.936751014604,1.1740371264617306
4096,700,182622.08769977943,168001.64809777957,1.0870255724723041
2048,700,240427.97708460674,177106.47023915342,1.3575335602360994
8192,300,49977.09499866526,42831.51684479748,1.1668299112487706
8192,500,174987.2406561659,105591.85204537216,1.6572040102201728
8192,700,95724.79090715079,61680.706160931106,1.551940580209884
256,1000,191185.4163164758,147856.9083645297,1.2930435136999014
2048,100,92829.76955104509,80097.32978272869,1.1589621002704373
4096,700,166274.8122445884,124421.16221479316,1.3363869078601085
1024,800,135449.84573861933,124249.35109939276,1.0901452968576615
1024,400,522877.6346849571,447124.8921868822,1.1694218859691958
256,100,22849.08790942931,18030.171622542253,1.267269573899241
128,900,222632.85854255114,106569.95671190214,2.089077122780577
512,900,204482.4008912678,155561.6151421717,1.3144785151811786
4096,1000,170412.27945004785,147856.9083645297,1.152548645409991
8192,300,86614.09837708573,59646.42706960382,1.4521255108208282
512,500,249791.95185937642,191297.86620507852,1.305774898668185
128,800,191702.02110779384,84426.00544789649,2.270651324681028
128,100,45853.019215176886,33864.52550884084,1.3540133377391121
2048,200,51077.0540771089,38158.64128795635,1.338544884018967
4096,500,103374.53387587529,100808.81710997372,1.0254513130840788
128,400,127264.13396995954,56697.870143421365,2.2446016693049615
1024,700,283957.12248210196,203696.4792654518,1.3940207680863086
128,300,95464.382213722,56263.074324413734,1.6967501929111255
4096,500,203465.52668402702,144967.29718427974,1.4035270756644198
256,500,102577.08572055973,64740.90042417872,1.5844247616032594
512,500,252995.91105303657,225641.9561793339,1.121227254615549
128,800,235244.42773760096,103240.3095790912,2.2786102511382236
128,400,295048.9139215081,248839.23122737743,1.185700954251488
2048,600,142958.09974977022,92901.70772451619,1.5388102463486195
4096,100,62010.24834701329,53822.603263146375,1.1521227994832646
256,900,561263.5747496054,471069.48858223285,1.1914666272248444
2048,500,55334.20609085058,46117.50017027101,1.19985267819267
1024,500,117996.6733736508,94363.66759019131,1.2504460285084982
128,200,56247.14872626041,34021.21650844406,1.6532962221471383
8192,200,174597.09820165302,148803.6312079928,1.1733389621225505
2048,800,135468.43351624958,124249.35109939276,1.0902948974589184
512,800,104643.81029149651,82757.78660001053,1.2644587849753246
512,800,237371.27738618155,151102.0773920206,1.5709332491196883
1024,600,150896.92782056198,105019.85128070624,1.4368419492161675
128,200,88158.68334473479,70374.68498825342,1.252704482577077
2048,600,66881.338509758,54759.00301290296,1.2213761177134403
8192,500,55368.742672103086,44043.12302968092,1.2571484232575825
512,300,82730.78086429351,53292.82538852232,1.5523812119391076
512,600,194713.82122430592,123966.35877611427,1.570698882718359
4096,300,179390.13966429976,151327.6818856169,1.1854416682328766
2048,200,24622.796752485912,20700.962951012414,1.1894517569426255
512,800,127179.39419912109,108006.22245017193,1.1775191402309677
128,500,442071.8333606534,375731.15576153254,1.176564217744098
4096,600,141138.20362616278,110655.08892051583,1.2754786517549423
8192,400,133314.14444537743,80803.01007103526,1.6498660672192629
256,100,77661.193888803,64601.3564317874,1.2021604216748218
2048,1000,111386.14968976253,60509.32359768595,1.8408096978631945
2048,500,268607.8531274367,150399.0297809245,1.7859679914072488
2048,1000,347355.02685852797,254936.71337053613,1.362514728718837
1024,600,56665.5293744947,32086.250269673834,1.7660377544350159
1024,800,259821.61854552123,220831.60557494673,1.1765599306723415
128,200,109590.41922677144,63311.651754383245,1.7309676211248775
512,100,23260.112563273145,19361.98507836203,1.2013289169026096
4096,900,162674.08528185432,138660.26103350002,1.1731846173472342
8192,900,290228.17132076604,227394.75968666168,1.2763186439330685
8192,300,78458.629588007,49550.41489560321,1.5834101440585298
4096,1000,226471.52629096832,182480.7972512204,1.2410704561926376
128,200,78401.734264142,52625.615790818134,1.489801745518409
4096,200,60050.337238861204,55080.40807549345,1.090230434686612
8192,600,241754.41824702435,147890.2175992439,1.6346883666243275
4096,800,115957.03885961883,96700.03304942673,1.1991416673079023
2048,500,87898.1913298572,63587.77275587825,1.382312786253889
