P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,4506.5142039288,4118.24998149955,1.0942789350266382
256,400,30456.71549310587,23531.7252532983,1.2942831503115961
8192,800,15170.04289446483,14795.02099803586,1.0253478448241984
128,1000,152109.4781725718,119404.61005167401,1.2738995429635782
2048,600,92894.45327715005,91443.0979502153,1.0158716771354894
256,900,62487.81043014121,51518.201495127876,1.2129268611220976
256,100,5733.559041572379,4679.130547151785,1.2253470989524817
4096,300,1165.0486988683213,942.5154884959478,1.2361056270040598
256,200,14085.965978642078,11080.525409985707,1.2712362868594558
2048,400,16791.120647927062,16659.391108001237,1.0079072241639466
8192,1000,31808.8753826311,31785.267802615333,1.0007427208152648
1024,500,16635.479733096872,10972.920970408175,1.5160484412454545
256,600,46704.25828294486,34696.429261633115,1.3460825588352359
8192,900,42073.466672041846,42072.74163946224,1.0000172328341665
8192,700,30464.605359727622,28301.923922736623,1.07641464385584
256,1000,71855.07729980713,58863.7101663512,1.22070248539791
8192,900,26454.81071313114,26446.50237773516,1.0003141563023084
2048,700,31799.645851274334,31784.101151865783,1.0004890715434827
1024,600,21054.613739819084,16874.141147700775,1.2477443180975127
4096,1000,25619.368632538342,25339.795717781904,1.0110329585080378
2048,200,5665.194550328479,5118.145442873633,1.10688424421712
512,800,25870.955519881743,21229.958775728857,1.2186060177120412
128,200,37645.96311667408,28092.671302858154,1.3400634888304115
2048,800,30189.405542847508,26497.37844693629,1.139335561187869
512,100,53472.36852256872,52844.49103612885,1.0118816072239318
1024,100,6944.874956397056,6901.431727873591,1.0062948139221615
512,900,29636.984790075658,24134.145646769488,1.2280105218492687
256,800,75745.98629054635,46337.580997070676,1.6346556005013466
1024,100,18289.13931863952,16558.912626923186,1.1044891491789839
1024,700,31065.745607045817,15601.0663687365,1.9912578328170891
256,300,21144.607344722237,17275.812740351696,1.2239428420831437
1024,600,74520.01194857318,70364.7320429823,1.059053446022542
8192,200,2688.4361358938577,2650.3651611722858,1.0143644261852327
1024,300,5082.2151466345895,3799.3333703103463,1.337659702712387
4096,900,16072.758203318575,12984.521812166118,1.2378398246640758
512,900,44738.592312468856,39234.60108057627,1.1402841135198243
4096,100,52866.31208985447,52844.49103612885,1.0004129295844804
8192,700,31773.879978264293,31347.334171878083,1.0136070839085534
1024,400,18600.02126216734,16121.07512688779,1.1537705218645748
256,700,46456.55912719847,38261.990551516115,1.214169949277708
256,400,29187.675185895547,22632.15194254064,1.2896553213321613
512,500,22925.599793456167,16731.4559896685,1.3702094908902422
256,900,63391.76501819353,47728.093563071816,1.3281855671528646
8192,500,17617.146510930837,14826.065726985928,1.1882549851957471
8192,300,4632.381890380113,4160.156593477788,1.1135114234984977
1024,800,42122.58566691275,40846.09768688062,1.0312511611223545
4096,800,29658.462545722872,26497.37844693629,1.1192979941437216
4096,800,35084.322959143334,29394.111289795015,1.1935833886334857
8192,500,9198.341910975245,9178.81822404002,1.0021270371041984
4096,700,25398.880405680873,15601.0663687365,1.6280220726820662
4096,800,12915.926579530396,12582.997544262242,1.0264586426324123
4096,100,2685.686144954427,2685.399498342895,1.0001067426324124
8192,600,43265.222682908934,43098.54140707002,1.0038674458670096
8192,800,39024.93016916831,34870.55437275946,1.119137073417284
512,300,40934.67788119213,37353.09082643066,1.0958846236153281
256,100,6900.350932718702,4829.618848163767,1.4287568335423058
128,600,90837.33635283397,70900.57950763027,1.281193143746563
2048,900,36192.15502077257,35054.15888407378,1.0324639407398764
8192,1000,8631.218595173068,7701.877971338275,1.1206641584420367
4096,300,7705.028991329832,7534.510577709549,1.0226316509694409
256,500,34924.96997837819,27381.290499521965,1.2755048918891505
256,700,84898.37106007503,52807.571677195476,1.6076931463360151
128,500,67299.85098959593,53535.80791606614,1.2570997545252174
2048,700,73710.3977450059,69459.09380371566,1.061205865329945
128,800,118277.86009676648,89245.39881899078,1.325310454790615
512,300,10717.648399553435,8874.280036111113,1.207720328403128
4096,200,5915.303442514056,5846.530584549667,1.0117630203023535
4096,500,31303.466310916774,31281.94741052828,1.0006879015588797
8192,1000,18420.480156486163,11706.78763223605,1.5734871713024974
128,900,139225.43798581036,103084.41806074536,1.3505963423469869
4096,300,11284.687255214654,11243.031887069747,1.003704994218936
4096,400,16070.304184729293,16058.873985478984,1.0007117684129438
128,900,131813.1480930203,103160.92321660006,1.2777430056171668
1024,400,19518.106129237913,19518.106129237913,1.0
8192,600,6147.751394264601,6143.604662733954,1.0006749671826705
128,400,59605.730271321685,46532.572763232245,1.2809463722242156
4096,700,8912.252981389334,7645.6808588148915,1.1656585130824786
8192,500,12411.155402262848,12395.199388157413,1.0012872736940948
256,900,62668.5684748842,51088.94408718973,1.226656169834561
8192,1000,21190.926534383023,16650.77136654941,1.2726693597483758
8192,600,4239.28718184856,4118.24998149955,1.0293904451873361
4096,900,22890.78083109283,21576.530603346437,1.0609111006726244
8192,700,12303.529098815054,12303.529098815054,1.0
128,300,44993.187516888305,32755.432020731212,1.373609955393405
4096,700,37288.580864737014,37261.21500737222,1.0007344327703587
256,100,7786.232498148235,5731.651529726247,1.3584622962101325
2048,500,31002.0248720562,28634.316507153108,1.082687790515678
512,600,28414.15508936877,17725.14487690757,1.6030421915697237
512,500,25496.119220802626,24995.547779787677,1.0200264241226082
512,400,12682.766507852979,10699.281702643733,1.1853848566973555
8192,1000,37945.93275199021,37945.93275199021,1.0
128,600,89290.60233474603,69365.62215019029,1.2872457503720534
2048,800,13728.973487640178,9344.456009563955,1.4692105643804962
8192,200,2246.914344120791,2246.1903057130307,1.000322340634237
512,400,15646.28319906005,9893.49469570031,1.5814718337959879
1024,300,5316.155407104237,3874.652043565825,1.372034274905316
1024,800,56936.84242143379,54042.00044115176,1.0535665215323464
1024,100,8867.637133025923,8256.468069310878,1.0740230639281156
2048,200,7895.570778529301,7479.733511501313,1.0555951981963756
256,100,7020.429363215423,5741.098881538105,1.2228372142816273
1024,700,12763.478616965524,9298.972325300192,1.3725687280775394
4096,800,10859.169288551157,8113.94962465907,1.3383333383718703
4096,800,17541.9189445836,17329.60230789093,1.0122516739230645
8192,1000,25405.097236080936,24653.74296094643,1.0304762760090713
8192,700,17717.768090425776,16443.27112892882,1.077508723872753
8192,1000,25359.647579012322,25339.795717781904,1.0007834262537676
4096,900,15381.984333656841,15123.145179145105,1.017115431442705
512,700,31382.47893434633,23042.05276203695,1.36196541421217
1024,200,9686.324923787148,7925.6844354705545,1.2221436524064766
4096,700,121017.58639143275,119281.29786603454,1.014556251117826
2048,700,8866.676729230556,8384.147776288468,1.0575525343561747
8192,300,1152.7932031244393,1134.6245423979938,1.0160129276668444
8192,500,29540.462615440894,28805.068012604806,1.025530042231259
8192,700,40910.26327113974,38693.833645176644,1.0572812103935683
256,1000,86180.72647329805,55694.48421872097,1.547383509915503
2048,100,6556.462413957754,6527.528362389177,1.004432619815992
4096,700,53100.55533266096,51410.44753159222,1.0328747926193436
1024,800,89573.95524608249,83688.43623733887,1.0703265501586432
1024,400,41948.362080744395,40694.6858930326,1.0308068771192171
256,100,6472.246675524248,5063.0781886625155,1.278322481769531
128,900,138615.78254466818,96720.06020199122,1.4331647670109127
512,900,34579.88761172027,27287.43887670948,1.2672456278494892
4096,1000,55555.62241820773,55420.91730641427,1.0024305825009843
8192,300,3306.6504114343606,3203.678826598781,1.0321416691275824
512,500,19072.131565422376,13699.604154479855,1.3921666166672175
128,800,102419.2707589608,79920.49096406845,1.2815145343014422
128,100,13657.423115363865,9931.189861419074,1.3752051170042123
2048,200,3947.741556570207,3631.3880687245173,1.0871164088934195
4096,500,88498.98422070971,88189.90415189893,1.003504710338254
128,400,62023.1048857189,48772.789542903934,1.2716743386424323
1024,700,16815.29475797451,10218.636013742087,1.6455517874754706
128,300,47746.880913916015,36726.85726982461,1.3000535429190025
4096,500,27632.55932382414,25343.09726656832,1.0903386840674758
256,500,57655.350912294074,40962.13789004808,1.4075278753041276
512,500,88724.11686704362,81134.30977008452,1.093546208977026
128,800,133216.4508971746,97370.5352483193,1.3681392482586157
128,400,98924.62312676781,56129.50996388722,1.7624351823205697
2048,600,8657.953149932739,7161.983183316524,1.2088764980768176
4096,100,1616.31237027108,1609.8572306473563,1.0040097590648631
256,900,76722.38266731577,54102.139652541075,1.418102558605781
2048,500,28393.72718694304,26754.332671641892,1.0612758514825082
1024,500,31386.55548655645,29622.079368073526,1.0595662477491254
128,200,28930.919166167263,22418.17440326771,1.290511825171199
8192,200,13392.832125215462,13392.711084435161,1.0000090378101594
2048,800,84895.67682701394,83688.43623733887,1.0144254169865399
512,800,51428.41925671825,41317.49187667394,1.2447129997683255
512,800,46011.59296829587,29827.20615276463,1.542604853188073
1024,600,21088.084393866044,17584.595758729552,1.1992362339860585
128,200,32543.563686699476,24735.736732623263,1.3156496626105618
2048,600,16434.478899617567,14204.411019232688,1.1569982646492967
8192,500,13662.630242298881,13172.843391400284,1.0371815587831514
512,300,10873.236993358272,7439.888445540946,1.4614784983604268
512,600,24369.796715826593,15899.34500755958,1.532754758402916
4096,300,8982.198712036605,8964.445714442161,1.0019803787272472
2048,200,3846.4228486186475,3331.151264730722,1.1546827336673282
512,800,38187.28457017871,23329.424969424435,1.6368720883702448
128,500,95119.56948240238,58552.39607217396,1.6245205297005147
4096,600,20875.9736078922,19273.016075016418,1.0831710784983828
8192,400,16058.873985478984,16058.873985478984,1.0
256,100,9404.732975079618,6271.106141717587,1.4996928392769582
2048,1000,26232.35431194315,19519.021354171116,1.343937989305874
2048,500,11006.714647093595,8999.368116979864,1.2230541638058234
2048,1000,16683.479835488866,11945.840872571735,1.3965931752694776
1024,600,8655.00938423379,7574.492106364061,1.1426521095667763
1024,800,33270.15715006542,30245.172080792294,1.1000154689546036
128,200,28759.405473556584,20554.7935583826,1.3991580792027951
512,100,2199.4962618448485,1647.1095834763269,1.3353672906223248
4096,900,17873.92660890171,17795.006342265573,1.0044349670417758
8192,900,29291.61995123438,29139.288958476114,1.00522768393475
8192,300,5064.4622378839895,4437.796551663437,1.141210999405923
4096,1000,65823.94596874814,64026.0449036331,1.0280807766249047
128,200,27495.62364667664,22869.25446081218,1.202296458495926
4096,200,27366.644181931864,27366.490666336336,1.000005609619348
8192,600,11572.508574473477,6739.31208828464,1.717164663525626
4096,800,26248.088350580052,25954.7004250599,1.01130384557384
2048,500,35538.36362382897,29096.494408489692,1.2213967471442089
128,300,55026.34301257499,42868.394179046576,1.2836110161427747
128,100,19637.102206760323,14368.875755705378,1.3666415202291047
128,400,63658.154738997124,47063.4505065966,1.3526027958803093
4096,1000,13299.155051298025,11369.665935842593,1.169704996289536
2048,800,25337.229726075766,23176.40263872809,1.0932339293992461
2048,100,940.948291584546,779.9525417109743,1.2064173667802875
128,900,128830.5778952272,102028.33792508653,1.2626940761283398
8192,700,15128.0004476387,13342.922112172426,1.133784662794201
1024,700,27194.535893211367,23892.917564519732,1.1381839752209433
512,700,63169.51613667132,46034.918306536856,1.3722087159151402
8192,1000,104842.27980968643,104842.27980968643,1.0
8192,1000,17243.27232829528,17013.83585258804,1.0134852879559397
1024,100,28305.698808826422,27862.279139187787,1.0159146948253408
8192,1000,44212.026085775906,44093.542638006584,1.0026870929546767
4096,900,11539.269954997853,11517.73406831423,1.0018698023895924
8192,600,34044.58840001379,34044.58840001379,1.0
8192,1000,14357.594072046948,14355.924063056385,1.0001163289094612
2048,100,9010.98415386342,8264.118251157186,1.0903745420876152
512,800,39747.04506697965,21523.445853670353,1.8466859506235456
2048,200,37539.77415802363,37184.08459662799,1.0095656398497947
2048,600,9635.397648425696,8424.948334473913,1.1436743901441824
1024,100,29122.862497016296,28456.760375258575,1.023407517685564
256,700,54056.31622985807,41979.70873698172,1.287677257804258
128,1000,177618.10080111382,111804.66682439692,1.5886465730458734
1024,800,15421.71277361311,11723.473347553632,1.3154559503332857
1024,800,13135.86961178845,11709.843963234125,1.1217800726492748
1024,1000,27009.424965523005,18902.043005270345,1.4289156446206437
8192,600,6861.780335603129,5902.922290422559,1.1624378567097706
4096,200,6548.572457548141,6514.510751938798,1.0052285899749578
1024,700,123425.13254765219,119281.29786603454,1.0347400200681218
8192,800,29077.02614515899,28906.407718974442,1.0059024430791708
128,1000,154697.7198055969,109237.63657662571,1.4161576966843548
2048,1000,21088.298644881586,19174.55975050672,1.0998061451879901
1024,1000,31519.479781312326,21242.000587215385,1.4838282134443823
2048,900,52233.719497590006,50700.94643714276,1.0302316459190268
512,600,23275.2847761191,16673.63804033263,1.3959331922533909
1024,700,19317.04811460161,16689.36111657461,1.1574468297301914
1024,100,4516.607434419163,4381.662305208172,1.0307977018335235
4096,100,3011.031258518044,3011.031258518044,1.0
128,700,105588.72673335344,83214.36890509089,1.2688761342861514
128,300,45801.38573431224,34512.68583773152,1.3270884204624602
2048,1000,63192.521846348965,63187.478500993195,1.0000798155817483
256,500,43479.77745226697,29342.10076145894,1.4818222391689817
128,500,70470.42842875354,56026.38095969651,1.2578079687040218
2048,400,14727.32603742777,13737.181606839427,1.0720776982445492
128,900,130913.81208464263,103152.02937065497,1.269134624722036
128,300,38890.42216460021,30815.596408708312,1.2620369779249185
4096,200,12009.345807599457,11947.194373851893,1.005202178168591
128,500,67924.88672806775,51649.5387557624,1.3151111968156648
256,200,15080.396877220552,11434.62723040609,1.3188358984821045
1024,300,3966.2803650842743,3530.140474026971,1.1235474605801683
2048,200,4895.695022023473,4697.6054528301665,1.0421682006252704
4096,500,19870.643253420458,19728.656110545275,1.0071970002457131
8192,100,1349.367237235119,1186.6338026590806,1.1371387147503935
4096,700,8180.448920613118,7625.546039991353,1.0727689371635338
1024,500,24890.467984863135,23184.603529300133,1.073577469349742
2048,1000,83666.57046504413,83498.62870766157,1.0020113115626192
8192,1000,29314.382451789344,29314.382451789344,1.0
2048,1000,16792.03542592405,16073.252104701176,1.0447192215079262
8192,400,18307.25418438568,17342.848385000725,1.0556082702204235
128,700,98780.71959559665,75809.96321061932,1.3030044523456468
128,1000,170442.87837991386,118000.69589745268,1.4444226543209164
2048,900,22973.186700228558,20389.69610220296,1.1267056941445277
4096,200,3453.8348406944456,2985.4729818217315,1.1568802872189854
2048,300,6535.203954072655,6322.060306833952,1.0337142698572965
128,100,19075.058424980827,14446.766271911081,1.3203687293030106
128,1000,153384.037525731,110076.46947736123,1.3934316594090672
4096,300,3802.0307754798737,3786.839985685401,1.0040114686260564
256,200,14448.914401959559,11209.087201633854,1.2890357744610517
4096,400,20750.86994083143,20712.283029273585,1.0018629965370456
2048,200,5103.458880405511,4909.981711961932,1.0394048653933314
256,1000,81760.69015474166,58726.96709569049,1.392217139725941
4096,600,14175.547868151294,13993.535659909896,1.013006877794498
256,500,35945.79632807425,27143.751524606912,1.3242751760193474
256,400,36651.9833355597,25877.93205935572,1.4163412768644628
512,500,26936.382609336535,19824.47658957861,1.3587436968447646
2048,900,16698.548626659467,12984.521812166118,1.2860349320691513
8192,300,21585.589847035804,21585.589847035804,1.0
512,900,41320.290670090064,26610.781636185853,1.5527650121295926
2048,600,11241.821889275694,9821.146266439977,1.1446547667954334
256,700,54113.566587460344,42748.97540272856,1.2658447618374127
128,300,34312.04624085416,26988.128761182234,1.2713755201215031
128,300,45158.99420388661,33300.69501494735,1.3560976485210456
1024,700,11142.597141087217,9933.76849404138,1.1216888281391835
256,800,51749.7846005298,40732.385089797965,1.2704825530457657
1024,1000,16975.317108345003,14103.20000120165,1.2036500302696294
4096,900,18771.53261642254,17976.093377004225,1.0442498390910606
512,600,18801.54229715813,14713.168401077037,1.2778717530196837
2048,700,30845.430886458358,30411.41910911961,1.014271342477688
256,400,29200.982379792524,23558.171020774545,1.2395267168254243
2048,500,9921.014491031872,9178.81822404002,1.0808596759273414
128,800,116332.07735939317,92351.37447544445,1.2596680668821558
512,200,7558.887056276801,5266.246438150616,1.4353462461455386
128,900,120355.03110572818,94518.05570423095,1.2733549183697468
512,300,10760.634302421391,7641.144258583433,1.408249070855295
8192,400,22095.099589204536,20320.559616571347,1.08732731805211
8192,500,11252.974938095876,11124.079955775882,1.0115870240804112
128,400,70726.16821898194,48720.513203685616,1.4516712482747747
512,400,109657.85442715077,104413.74225631413,1.0502243484192284
8192,700,4305.08139560688,4280.411000743759,1.005763557485212
8192,400,10255.912420245033,10151.979392012567,1.0102377107181915
1024,600,17546.568556647133,12133.41732730136,1.4461357491731253
512,700,22303.230188459052,18464.180240983344,1.207918786394562
4096,400,25494.06925942293,22260.07004728407,1.145282526302447
8192,300,6377.7381355497455,4271.608920895634,1.4930529113635518
512,200,7061.34195336297,5669.957595651662,1.2453959018632472
2048,500,39617.326812390515,39239.447684927094,1.009630082729441
128,400,55658.13811371337,42797.12681057493,1.3005110917857354
2048,400,8272.409051858025,7285.308736360246,1.1354918990009661
4096,400,15666.0637373578,15665.754420776666,1.0000197447612689
8192,800,10056.51182145208,9310.762513902644,1.0800954064112256
1024,900,22531.586865881713,17795.006342265573,1.266174702751643
512,700,45993.66275772552,37288.50469268564,1.2334542008799685
256,1000,76510.15837574695,60619.60441274142,1.262135560219287
256,700,55616.06655544818,38598.26405198254,1.4408955408084354
256,500,44062.05990294417,33462.911979337,1.3167431432791037
8192,700,61593.65118723116,60842.37006297865,1.0123479924183567
128,500,70878.16014635086,55659.95529531376,1.2734138892188147
2048,900,20145.172597043722,16854.48258083057,1.1952412362961422
128,200,25274.609677381075,20296.955769157692,1.245241402939213
4096,400,21974.002923528165,20318.28143673186,1.0814892485839405
2048,400,8238.801086358619,3854.8376035280567,2.137262819792521
2048,100,979.3414574240752,833.252174483342,1.1753242144628255
256,300,19993.055863812973,15498.608174263303,1.2899904068168564
1024,800,23245.24019811276,20928.70695834475,1.1106868782853474
128,900,141296.50932388255,110304.68081578685,1.2809656696242409
1024,900,29050.60678308453,25912.067192668957,1.1211227019086896
2048,400,4934.5803632436955,4622.8071793391655,1.0674423941578066
8192,900,8018.722560898652,8018.615255762397,1.000013382003355
256,500,42020.952178929256,31929.322741510005,1.3160614936658064
512,100,2396.6144865562997,1880.7124121824588,1.27431204847272
2048,400,7850.201673316173,6270.369001678258,1.2519521054048133
128,700,125327.82385650325,87986.34911151881,1.4244007749162972
2048,400,52467.96162758035,35997.117371588596,1.4575600897696235
4096,1000,41413.60413351074,41409.604432376575,1.0000965887307784
4096,800,29077.228628688816,28906.407718974442,1.0059094478765773
128,1000,149524.41826383045,110945.0778071714,1.3477336824596404
128,1000,150555.40738159328,115948.15552755487,1.29847177556709
128,600,82693.19924213184,64016.28039679616,1.2917526405715758
1024,400,5375.030515338052,4582.440601708277,1.172962397665189
512,600,29445.40836162655,17345.047578477173,1.6976262664257125
128,700,108979.54355405564,78380.15232667144,1.3903971900928769
256,1000,147212.91496654745,108923.44647423936,1.3515264135657297
4096,700,12515.065249776582,9768.22412478058,1.2812016892638307
8192,700,7647.764401997983,7484.086791654446,1.0218700844739075
512,400,14030.732187193642,11152.828387449783,1.258042507224656
256,400,35983.37295543619,27652.24575428372,1.301282119187801
8192,600,52870.9532638953,49839.7359731086,1.0608192886981227
8192,900,27118.45129601455,27118.45129601455,1.0
4096,800,27721.823067338162,25342.891830072942,1.0938697625044622
512,500,17135.614491529956,13426.13210540065,1.2762882382661176
8192,800,20700.19327233675,20700.19327233675,1.0
2048,200,5496.49692715046,5109.555861150387,1.075728904138638
1024,200,8437.404104891852,7513.109726671892,1.123024208596165
8192,500,4973.900071915745,4177.777927367603,1.190561144797319
256,500,44013.900118037054,38661.03354732119,1.1384563753104
1024,100,1728.4115201733255,1605.9517178483497,1.0762537260391907
1024,300,5982.445588364269,4541.790968760858,1.3171996750868669
512,900,57215.36770168638,36599.28152353617,1.563292100826965
256,100,8822.102170970888,6870.079496840111,1.284133928148664
128,700,118468.43303731497,92417.89181801837,1.2818776830637206
128,1000,178447.44020051725,122239.77769759363,1.4598148291955713
2048,700,6333.472890265895,4738.122700663707,1.3367051236091279
2048,800,55837.00737034926,32885.676260377506,1.697912699992878
8192,1000,29105.038324566023,25799.344373669304,1.128130928562297
2048,700,18869.58989498327,18294.09667899773,1.0314578645824162
256,1000,76539.75477701728,58569.06192039527,1.3068291051177678
4096,700,22192.388381918878,19438.269366218312,1.1416854023273768
128,200,32484.029290293292,17653.47852746701,1.8400922650882352
8192,800,9489.128812469382,7004.310606132063,1.3547555706855625
2048,1000,32905.03198432432,31785.267802615333,1.0352290309039602
1024,700,58303.16334951571,57560.291887936895,1.012905971064655
512,900,29812.227569456125,24328.171597373002,1.2254199807056319
128,300,43891.20863380534,34119.012930735975,1.286414959392513
4096,900,36097.71092721004,35716.06923739481,1.0106854336987243
4096,200,3721.6674838547183,2658.4430022282727,1.3999425531167171
256,900,139665.57003352352,100564.3077226307,1.3888184903409182
1024,500,9106.256011136717,6456.1923444703,1.4104685122859117
256,900,71759.20949322401,55083.88253782221,1.3027260640887475
1024,700,58262.45766011373,54656.13334591356,1.0659820608123902
128,700,99916.00254907602,78479.10754470208,1.2731541638921335
1024,900,42595.49919000995,42072.74163946224,1.0124250887909187
256,300,22402.586392673693,17059.506465367984,1.3132024914174711
1024,700,25757.08703525022,13605.432722820518,1.893147212587191
1024,800,57480.524797398415,45529.77511399946,1.2624820714241647
256,300,18017.775033386817,14027.682915642352,1.2844441339128851
1024,800,42781.36582979251,40477.23944572463,1.056924000144759
2048,700,5064.202876682193,4808.2961358245575,1.0532219176250364
1024,200,4492.295940087995,3631.3880687245173,1.2370740485650882
8192,900,14696.611108058005,14696.611108058005,1.0
256,300,26093.503912431148,17617.037379123205,1.4811516460396938
512,100,4792.992397514168,4060.884206636101,1.180282951599972
2048,700,20554.291078674207,17584.11362731247,1.16891254881044
1024,800,42990.80926797506,34870.55437275946,1.2328685345352313
128,700,97016.12051972518,74769.90115136474,1.2975290728728532
128,100,14405.0141830008,10273.213847784484,1.4021916020084968
1024,900,33268.38474430154,27913.73453249737,1.1918285138654683
2048,300,19846.913836726544,18791.97786543751,1.0561375699164315
2048,900,30315.127853734397,29139.288958476114,1.0403523537219412
512,800,47581.08843344232,38986.0263058235,1.2204652010490984
512,400,13307.312094613912,11033.377357211606,1.2060959816547943
1024,500,8397.191362806972,7026.026575761607,1.1951550812198193
2048,400,48458.23886343531,47152.81646231672,1.0276849295346302
512,800,46750.2663415644,29394.111289795015,1.5904636775936498
2048,300,3853.0182121099674,3799.3333703103463,1.0141300687692052
512,400,16184.05065798585,11667.36027558231,1.3871218746759848
1024,1000,57283.7604015305,51991.79943739785,1.1017845318184183
1024,700,57400.19472562332,51410.44753159222,1.116508365159637
2048,200,2267.9950469730925,2246.1903057130307,1.0097074327160094
128,600,98343.37886983447,74196.18209269043,1.3254506646578914
256,200,18303.335989573785,11900.677414826952,1.5380079092615193
256,300,20301.252936190805,15917.311244113895,1.2754197379722696
8192,400,6140.80692977811,5711.051445976499,1.0752498008233455
2048,900,39867.10172426213,39227.924506818104,1.0162939341165738
2048,800,6296.719807973214,5460.144379696449,1.1532148914207418
8192,1000,11963.845112779003,11957.495991849499,1.000530974121491
4096,100,2352.4292992364803,2351.4041153169433,1.00043598797538
128,800,106609.45201034776,81912.56983109874,1.3015029589496856
256,400,25728.816196808493,20568.113824394855,1.2509079061149873
256,500,37986.69169795508,29868.426736977697,1.2718008896975752
8192,300,58716.90916828906,57233.354029263035,1.0259211637023316
8192,300,11836.223291033348,11836.223291033348,1.0
4096,800,53512.47352165789,53108.82355579023,1.007600431318981
256,400,20908.167409671965,16466.243807333845,1.2697593728303564
8192,900,10666.028160621645,10666.028160621645,1.0
128,300,42703.3279829005,32718.346740617177,1.305179883367633
1024,500,10093.427475696555,6637.9827855458525,1.5205564403804877
256,200,14838.80284128418,11748.513724012508,1.2630366010430327
1024,200,6737.735636533471,5255.6638206636735,1.2819951706276838
128,200,35775.81354983665,24576.487202341345,1.4556927218804634
8192,400,42764.78930220769,24326.618544215242,1.7579421991790536
512,600,22922.85325081933,14939.789872673413,1.5343491070612616
2048,900,53130.16560227741,48637.05132204572,1.0923804827410475
2048,900,21544.246345156957,19627.72115553896,1.0976437954478049
1024,500,33693.29152037581,28634.316507153108,1.1766752495020765
256,1000,89580.06727695462,63696.91555857982,1.4063485883326794
256,600,41341.12008894399,32880.49269557685,1.2573144956098934
8192,600,12771.361559271521,12543.841759879386,1.0181379679166427
8192,700,66474.55643771132,66474.55643771132,1.0
512,200,10055.317953944223,9142.462658922332,1.0998478559965477
128,300,38306.5474363675,29869.664466990638,1.2824565698988877
256,800,55230.82023301624,44884.13580506606,1.230519853894176
2048,700,4849.193596388391,4681.348305309201,1.0358540489048493
1024,700,34288.36928593134,18550.004744949085,1.848429138287288
8192,300,13190.66231084239,13190.66231084239,1.0
2048,1000,20751.573177871833,17013.83585258804,1.2196881031219795
512,700,21665.9762013687,17935.52369196822,1.2079923939478292
8192,800,13559.1050935171,9244.08803613593,1.4667866684645796
512,800,39626.61773701667,30598.22389242475,1.2950626767204974
1024,600,14392.06283306215,9376.76089917932,1.5348650763102833
256,200,12336.477606161476,12328.036350826598,1.0006847201853288
8192,700,61891.10580464408,52576.29360100818,1.1771675324686122
256,800,61277.95904398289,44087.610501133284,1.3899133644906367
1024,100,2911.7238590022894,1717.5198742100276,1.695307229176335
1024,300,21903.529144630218,18791.97786543751,1.1655787007346108
8192,800,10867.91353642039,8113.94962465907,1.3394110191899344
4096,200,11996.542010841446,11996.542010841446,1.0
2048,700,11286.325159668404,7795.32841675567,1.4478319008868197
1024,200,25468.038451661934,24506.956736725533,1.0392166895817034
128,600,89526.4294506609,68959.49422032456,1.2982466078510566
512,600,24551.69108727551,17467.679290810833,1.4055496828471852
2048,900,39530.49418410071,31616.641352351948,1.2503065630391526
512,900,57212.35582206154,41618.69992411709,1.3746790727816145
8192,1000,94250.63781182312,91140.77891282953,1.0341214869577533
256,300,34714.27741588999,18853.08941332566,1.8413044490922212
512,400,25476.92366954154,20320.559616571347,1.2537510851209626
8192,800,38419.62677757731,37915.50133333131,1.0132960247528844
128,800,127152.48107873835,92675.16199414135,1.372023294513114
128,100,71357.73252918346,70095.30403620996,1.0180101721553465
4096,1000,112877.4442762527,102069.46879971544,1.1058884268100295
512,300,14121.064875542788,9332.201122771377,1.5131547948625077
4096,500,17684.28186494916,14826.065726985928,1.192783182713186
512,1000,69715.10067975524,54077.92724216729,1.2891599999305237
4096,400,13812.46750244882,13797.745697877883,1.0010669717280847
512,200,8543.65094021313,5357.192653768529,1.594800017916675
4096,600,70495.73830407028,70364.7320429823,1.0018618170962117
2048,900,18593.284451068936,18346.03289126893,1.0134771130775457
4096,700,19798.99000999734,19541.810029763525,1.013160499454355
256,400,30688.36917827769,19931.52351524403,1.539690087152977
2048,400,7862.290746612774,7166.656446433914,1.0970653896106604
2048,100,8380.260211496525,8256.468069310878,1.0149933532288193
128,1000,164925.54873478625,115440.97043804494,1.4286569846820438
256,600,41759.4584183176,32190.559785344678,1.2972579134001059
2048,500,6122.135836991448,6105.911710920453,1.0026571176982428
512,400,45951.68425539553,41893.50328008184,1.0968689810489816
