eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.3,4.6,7.081194393581539,7.081194393581539,0.3,4.6
2,0.12,4.6,7.081194393581539,7.081194393581539,0.3,4.6
3,0.76,4.4,7.074903312961698,7.074903312961698,0.76,4.4
4,0.56,2.6,4.836800208529909,4.836800208529909,0.56,2.6
5,0.18,1.6,3.0952920810243154,3.0952920810243154,0.18,1.6
6,0.58,1.4,2.766398057842489,2.766398057842489,0.58,1.4
7,0.66,1.2,2.628809474716326,2.628809474716326,0.66,1.2
8,0.64,1.8,3.4443649287523312,2.628809474716326,0.66,1.2
9,0.14,2.4,4.2403506188612425,2.628809474716326,0.66,1.2
10,0.34,2.2,4.216044428947125,2.628809474716326,0.66,1.2
11,0.2,3.0,5.304623421233332,2.628809474716326,0.66,1.2
12,0.48,3.6,5.887574918577347,2.628809474716326,0.66,1.2
13,0.58,2.4,4.236086214565901,2.628809474716326,0.66,1.2
14,0.62,4.2,7.037000322879531,2.628809474716326,0.66,1.2
15,0.64,3.6,5.887574918577347,2.628809474716326,0.66,1.2
16,0.86,3.2,5.545262898972277,2.628809474716326,0.66,1.2
17,0.12,1.0,3.030650151588251,2.628809474716326,0.66,1.2
18,0.7,2.0,3.7507711603907343,2.628809474716326,0.66,1.2
19,0.38,3.6,5.887574918577347,2.628809474716326,0.66,1.2
20,0.84,3.2,5.545262898972277,2.628809474716326,0.66,1.2
21,0.1,1.2,3.420981804968173,2.628809474716326,0.66,1.2
22,0.9,1.0,8.520620254677862,2.628809474716326,0.66,1.2
23,0.34,1.0,4.822372820112243,2.628809474716326,0.66,1.2
24,0.6,1.0,8.109560559584686,2.628809474716326,0.66,1.2
25,0.46,1.2,2.528332864088323,2.528332864088323,0.46,1.2
26,0.28,1.4,2.735264378906068,2.528332864088323,0.46,1.2
27,0.56,1.6,3.084517820047635,2.528332864088323,0.46,1.2
28,0.54,1.2,2.560035204928401,2.528332864088323,0.46,1.2
29,0.9,1.4,2.7762407096199597,2.528332864088323,0.46,1.2
30,0.4,1.2,2.51060320333639,2.51060320333639,0.4,1.2
31,0.12,1.8,3.712966181108481,2.51060320333639,0.4,1.2
32,0.38,1.2,2.5045353729816187,2.5045353729816187,0.38,1.2
33,0.36,1.2,2.487604880363685,2.487604880363685,0.36,1.2
34,0.32,1.2,2.45421649674258,2.45421649674258,0.32,1.2
35,0.9,1.6,3.084517820047635,2.45421649674258,0.32,1.2
36,0.3,1.2,2.4592943590624783,2.45421649674258,0.32,1.2
37,0.34,1.2,2.5877712674170312,2.45421649674258,0.32,1.2
38,0.42,1.2,2.4713523233513435,2.45421649674258,0.32,1.2
39,0.44,1.2,2.4959963509787304,2.45421649674258,0.32,1.2
40,0.48,1.2,2.518336632455915,2.45421649674258,0.32,1.2
41,0.28,1.2,2.4554763016266667,2.45421649674258,0.32,1.2
42,0.26,1.2,2.5646836033692972,2.45421649674258,0.32,1.2
43,0.5,1.2,2.716381582830932,2.45421649674258,0.32,1.2
44,0.9,1.2,3.2048698150867456,2.45421649674258,0.32,1.2
