P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,33139.46987701061,25339.81784604174,1.3078022138263805
256,400,77435.52799945413,48334.52807370665,1.6020747710905663
8192,800,61578.744792459795,40507.42758459579,1.5201840369610888
128,1000,260598.9025240558,122342.327095179,2.1300796601761296
2048,600,175074.3051111406,151129.24419825306,1.1584409492677417
256,900,149074.02518722203,54809.75617591053,2.7198447062740563
256,100,35341.99448000683,26277.440229121807,1.3449557556538285
4096,300,15984.830187444086,14461.995710341227,1.1052990546812247
256,200,41514.42361466031,28639.31993050193,1.4495603846530558
2048,400,55685.22213212495,48402.57713588221,1.1504598603458227
8192,1000,99477.36573922356,86941.7558164661,1.1441839977239487
1024,500,94484.400355613,61945.54745447425,1.5252815454581719
256,600,139488.3665448103,87906.4422511642,1.5867820716286918
8192,900,60649.56707143151,51759.85633102995,1.1717491386287369
8192,700,81034.70585700059,61004.81435234271,1.3283329638374466
256,1000,130839.98547360465,60266.79191353534,2.17101294625605
8192,900,220490.63421607902,198921.3860550627,1.1084310168392142
2048,700,55629.15162855939,50318.98468300632,1.1055300892695956
1024,600,103215.44047915582,69227.82344495451,1.4909531362231265
4096,1000,67812.34367995325,51562.0110470629,1.315160954797864
2048,200,43971.31992820213,37687.22034705516,1.1667435147319907
512,800,82218.83597726452,59751.971053248635,1.3760020720319717
128,200,93407.17368817935,38616.9468705205,2.41881301495341
2048,800,107951.83644953975,74910.56325865745,1.4410762882237935
512,100,30083.041699803696,25554.08998787344,1.1772300134373577
1024,100,21244.943408179497,16270.879577503554,1.3057034382795865
512,900,74502.67469005343,54814.08894506958,1.3591884153126073
256,800,181509.44593162264,105351.1225342505,1.7228999707393953
1024,100,30376.462869356557,17524.646577519117,1.7333566605744817
1024,700,141588.24506647117,90035.56093891147,1.5725813621857463
256,300,82500.68635481397,59520.11230056764,1.3860976259284907
1024,600,102350.34728668099,93962.56722509673,1.0892672508775807
8192,200,53307.40506242018,39439.94833382917,1.3516094040289692
1024,300,49147.982864224854,42559.26499070512,1.1548127740213252
4096,900,120599.51889487726,80527.65400433389,1.4976161963986527
512,900,92873.50429180326,77438.96240069586,1.1993123540478727
4096,100,30007.96990606651,25509.78330366942,1.1763318233185482
8192,700,38261.6336155,36383.636776576175,1.0516165233963881
1024,400,95157.23283440401,70446.65442750564,1.350770077127328
256,700,103253.11494556331,45533.305579283064,2.2676393385447917
256,400,74499.6517831072,36205.24077560651,2.057703530956816
512,500,111140.60166369565,49051.18395225835,2.265808747284655
256,900,102546.12212662278,57524.791285656356,1.7826422284159138
8192,500,127431.09825319298,106590.45867809009,1.1955206857495841
8192,300,43282.80034811863,29931.832451898452,1.4460457914721951
1024,800,84854.49566080289,75099.1938804778,1.1298988880739638
4096,800,107938.79900134316,74875.55183262887,1.4415760065798426
4096,800,82844.39535243051,65871.74785380425,1.257662018264573
8192,500,102729.63599448527,91384.73058369043,1.1241444313325972
4096,700,138505.6905907608,89704.13083446011,1.544028009661662
4096,800,51599.22423695174,47862.461864898854,1.0780729245102483
4096,100,32163.755132166712,25513.346625527105,1.2606639028682192
8192,600,59803.09505118862,40316.599781882396,1.4833367738036065
8192,800,107815.91595928004,83138.40291443179,1.2968244779761646
512,300,74778.93159732429,55298.68456635139,1.3522732445398242
256,100,55021.007445334464,42169.020106715,1.3047732033159793
128,600,153045.93711567073,72905.33051695603,2.0992420722936838
2048,900,160239.66055136494,138680.36028229067,1.1554603710661644
8192,1000,49160.42941130649,44746.27273079294,1.098648589281848
4096,300,42615.21556700884,35747.129315540355,1.1921297285397046
256,500,111277.54566628304,91652.47215266107,1.2141248681315813
256,700,102091.82433950956,58575.713811607675,1.7429036318338216
128,500,120657.31146620588,55089.93942571088,2.1901877679301682
2048,700,68826.97679008447,61770.21371425966,1.11424216708183
128,800,205572.9019566674,91299.30067015364,2.2516372025604197
512,300,35127.96172408677,29315.379910080832,1.1982775536880261
4096,200,63848.143340797455,48449.352805894276,1.3178327396156628
4096,500,263800.0759321768,230387.8143086843,1.145026166960051
8192,1000,138068.0075033476,100649.75660009484,1.371766928875191
128,900,229127.49209704375,106125.13242222022,2.1590313893362887
4096,300,26001.030908347057,24857.044966350284,1.0460226041971368
4096,400,93041.59460539474,65844.558400574,1.4130491093791535
128,900,223903.7256737694,106193.97181152053,2.108441014629034
1024,400,61701.644751049724,48012.334238965144,1.2851207034415504
8192,600,40403.373604035995,30879.271782953714,1.3084302598852047
128,400,143390.84468951056,100412.82389322805,1.428013266930749
4096,700,62954.31519936253,46902.72070590232,1.3422316286108376
8192,500,46837.220757786825,40213.293904934864,1.1647198279382702
256,900,140495.16363874925,68784.06403433165,2.0425539783259246
8192,1000,184242.09847433443,132362.96275782728,1.3919460144710254
8192,600,33097.406434162855,25325.579367516777,1.3068765754126999
4096,900,56754.531319360205,47239.60737156168,1.2014183537335352
8192,700,183472.47756950458,154802.27547094636,1.1852053014811084
128,300,87794.66525215308,37575.37625782499,2.336494640792054
4096,700,97052.98301641678,74294.70133872438,1.3063244251286892
256,100,22952.064820957694,14887.022202248138,1.5417498885365823
2048,500,47807.003302870595,42220.82558082555,1.1323085857558879
512,600,51020.97656831544,39911.47243417489,1.278353652636174
512,500,47228.99005900349,40359.055700854355,1.1702203938830933
512,400,71266.70140346674,58094.73530829689,1.2267325261965463
8192,1000,194585.52165087502,170835.76031156772,1.1390210181755438
128,600,145528.99036013853,71185.27915940297,2.044369174057181
2048,800,87506.6234043147,49405.80358577192,1.771181056743609
8192,200,34054.1999223297,28474.386928972886,1.1959590212521598
512,400,93873.3114779396,72462.01273500008,1.2954830805106463
1024,300,38234.1733201683,24245.008504041936,1.57699154091013
1024,800,133208.64321573693,113988.88034982161,1.1686108575409424
1024,100,14556.76445835816,14288.78959877594,1.0187542029175918
