P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,62907.79372969712,25339.817846041748,2.4825669273516007
256,400,113226.6723791485,48679.56019676214,2.325959230557708
8192,800,146226.1316035494,62137.90128877687,2.3532518570909677
128,1000,231244.38339323993,125295.95783362567,1.8455853436253542
2048,600,216014.5371959445,95460.11175339336,2.2628774807427954
256,900,175827.47481068067,77030.62312975689,2.2825659155645415
256,100,50843.55534568909,26193.65899088914,1.9410634979776538
4096,300,40147.29712705985,20887.76340872541,1.9220486340001912
256,200,62065.28603137095,25775.82693292296,2.4078872888495453
2048,400,70479.98510582204,34397.99854935305,2.0489559880845922
8192,1000,139033.89149291354,71441.52524391812,1.9461215451128628
1024,500,161308.64099485436,69330.81468246617,2.3266514569840973
256,600,178899.39819827984,65997.13135384436,2.710714761814551
8192,900,103592.15860824593,50985.945546331204,2.0317787087837993
8192,700,145907.44619349597,54661.38833726035,2.6692963832760364
256,1000,147859.563633014,62174.13220982782,2.3781524305640724
8192,900,401761.49248139857,200725.03795784948,2.0015514584969964
2048,700,89408.58051549108,45736.33575987692,1.954869777607468
1024,600,157227.9199526746,69645.19944005155,2.2575557427760913
4096,1000,109149.08937285976,51207.743830232605,2.131495770145981
2048,200,68904.15136128516,33208.183834406,2.0749147771789804
512,800,123596.57124139898,58281.74602729851,2.1206737901007244
128,200,81972.46299635587,36920.89002320384,2.220219039812915
2048,800,170439.53997683953,69914.3129245496,2.437834727214943
512,100,68373.42242614337,34744.80913128068,1.9678744576722087
1024,100,35127.35052368967,17424.209760559108,2.0160082440698592
512,900,142561.580218805,65527.226447374065,2.1756083379066626
256,800,198535.48844578423,88988.07431158595,2.2310347760827494
1024,100,39975.010515248156,17010.884101954263,2.3499666610893963
1024,700,295360.0449089412,122698.14519501191,2.4072087189216007
256,300,119443.44303505305,58817.967607809784,2.030730538523291
1024,600,112052.9019756802,56839.82740281852,1.9713800533131778
8192,200,101813.51630609954,48832.439654252754,2.0849565785974966
1024,300,106927.96275133503,51334.02512144949,2.0829841902784296
4096,900,178550.3749080794,68798.33552250691,2.5952717249920654
512,900,142509.76886173655,70503.79592528375,2.0213063281409838
4096,100,68272.05518073366,34460.69141352587,1.981157439979187
8192,700,50457.3817820438,24919.342184621364,2.0248279993997147
1024,400,161625.91656438372,71121.47502380062,2.2725332469594592
256,700,112220.06611165762,46686.09352875527,2.4037150600861077
256,400,159677.54008258728,59315.77823058138,2.6919909819249828
512,500,278491.77848499565,104189.08387589059,2.6729458415886773
256,900,132020.47125279097,57244.69321120439,2.3062482100428285
8192,500,199689.1265553526,87191.89492611904,2.290225791337104
8192,300,87602.72591131157,37997.38137569971,2.305493766666135
1024,800,148680.94179954348,76586.05734526525,1.9413578261283264
4096,800,170413.7363148392,69744.6297416748,2.4433958133555214
4096,800,155429.62335841038,49156.66889863417,3.1619234346192453
8192,500,187358.08391111865,93303.02350633578,2.0080601557182765
4096,700,294567.1091540094,121247.84298185878,2.4294626766934138
4096,800,90565.40909500893,43369.83132383738,2.088212158787701
4096,100,47776.41181403898,25235.008428580157,1.893259197802737
8192,600,93355.26495388332,37566.49697046091,2.4850670805768753
8192,800,250728.3029625758,84971.24391877686,2.9507429972691046
512,300,93363.65871516438,47234.241688785194,1.976609666570167
256,100,111363.80222351452,56270.53628076332,1.979078387806043
128,600,137378.27381308092,74899.47399565695,1.8341687395701443
2048,900,318155.7249870658,156586.64072292217,2.0318190844264796
8192,1000,91466.63893181384,45312.78094590863,2.018561585107756
4096,300,83928.34771979085,41796.45799396132,2.008025362625624
256,500,192069.59243844854,95166.34282014595,2.018251271895981
256,700,121645.36810030547,47967.297444383694,2.5360062913977752
128,500,103105.4926032245,56182.17500713485,1.8351993775629125
2048,700,97964.77552881232,48971.50074361899,2.000444626798111
128,800,210340.5267344431,93497.3020055607,2.2496962182067373
512,300,62822.954162219285,28600.5958497807,2.1965610259375414
4096,200,117085.27237313478,50831.013653404065,2.303421945733592
4096,500,477733.003339455,237564.50729901434,2.010961185957584
8192,1000,245769.89647351793,112393.23827909636,2.1866964617855293
128,900,206764.4226134077,109443.21737422631,1.88923925643016
4096,300,54876.74079688613,27866.80417099782,1.9692513163744376
4096,400,153092.2066062303,56915.493482307924,2.6898160279295253
128,900,209732.9405341088,109318.34627419793,1.9185520791546353
1024,400,89391.4238649816,44207.66491546582,2.0220797464855123
8192,600,63709.50750534995,32734.27780938007,1.9462628097783747
128,400,170668.9555876071,81480.70461614145,2.094593516239639
4096,700,139122.5322730215,53915.74341202593,2.5803693590913217
8192,500,120523.18421671404,54509.002824173345,2.2110693274921753
256,900,137034.6162829253,64837.41435415292,2.1135114292870942
