P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,21190.658757818474,18779.00655706,1.1284227785655576
256,400,55793.12481456611,43244.960742362484,1.2901647696470568
8192,800,50033.54893567181,46379.37991347244,1.0787886562739035
128,1000,152427.60970247112,119404.61005167404,1.2765638582673309
2048,600,123951.05933891737,111680.57587899217,1.109871240932895
256,900,82657.56694288811,51518.201495127876,1.6044342493342885
256,100,15346.49317039246,12924.548421892341,1.1873910537870467
4096,300,21674.893888820996,17279.41691731119,1.254376463774437
256,200,28554.222237799753,22891.533499154106,1.247370441078353
2048,400,34241.03974646011,21733.26502109654,1.575512915948075
8192,1000,62566.45886366339,60202.342442558154,1.0392695088793422
1024,500,85176.8075679521,53664.96732667876,1.5871957407417947
256,600,88108.46005156805,58028.72573355824,1.5183593804234543
8192,900,53655.45874258315,52575.017380802,1.020550470843509
8192,700,56310.914038558854,35360.41439156067,1.5924845623980683
256,1000,83019.41081997618,58863.710166351215,1.4103666008370859
8192,900,157170.36107932596,149649.57060028278,1.0502560110856005
2048,700,42631.81778938777,41611.35817859911,1.024523583354544
1024,600,61832.97554407084,43965.34404781527,1.4064026310546625
4096,1000,35132.76160900834,33915.21825046568,1.0358996173797566
2048,200,14765.453603685812,12441.910416424595,1.1867513194914106
512,800,62063.65707697892,54149.74440156318,1.1461486616950178
128,200,43136.89117495781,38939.521911435,1.107792008157404
2048,800,92960.04564801267,71810.48771496736,1.294519068259122
512,100,61185.95649875607,60573.79424177784,1.0101060576548138
1024,100,10479.588024590843,9640.921141579869,1.0869903270335786
512,900,52405.64133532304,46304.128599874144,1.1317703824679142
256,800,114941.86773538691,86969.02217444926,1.3216414863769255
1024,100,30828.958102670433,20829.72320776272,1.480046460299638
1024,700,143526.91615090298,101971.47650017287,1.4075202309212387
256,300,42752.028410278836,35896.699653227304,1.1909737893253705
1024,600,88172.6792479672,86765.25402755744,1.016221069553519
8192,200,22282.148176052528,18018.92824454402,1.2365967539051261
1024,300,19933.130950202365,18573.116360380285,1.0732249000885619
4096,900,65011.79063231452,52757.84825268096,1.2322676679485476
512,900,59674.05811189252,53309.00486140186,1.1193992134544468
4096,100,61064.16550493053,60573.79424177784,1.0080954358116547
8192,700,42582.96315155565,41694.171098573366,1.0213169378252178
1024,400,75125.04446347414,63377.543120814065,1.1853574746541735
256,700,52666.216942788065,38261.990551516115,1.376463069057477
256,400,33856.47664326801,22632.151942540644,1.4959459767336356
512,500,112857.79804224653,62904.27191045394,1.7941197730243645
256,900,70165.61808922287,47728.093563071816,1.4701114763048366
8192,500,88786.28750381354,84889.56492633495,1.045903434431076
