P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,72469.62047361603,32086.250269673834,2.2585880202433732
256,400,116421.23570829097,69344.18366491112,1.6788896999763994
8192,800,139747.6486570139,68639.61815064191,2.0359619185280535
128,1000,226776.28201738023,125295.95783362567,1.8099249643672088
2048,600,286703.9113899971,191374.78812730435,1.4981279101366212
256,900,165440.43632708493,79309.82918527524,2.0860016725114923
256,100,51640.438044232724,27744.76099020595,1.8612680809347062
4096,300,39985.55163873881,24265.13520631133,1.647860244699507
256,200,62555.130706268515,32996.77807816611,1.8957951154528354
2048,400,76500.25670849317,49006.50439213838,1.5610225144065843
8192,1000,151531.5319070891,97895.23348711745,1.5478948924211917
1024,500,186567.99532282978,103433.70181766388,1.8037447373943707
256,600,212757.30296839285,107515.86756387605,1.9788456140391744
8192,900,103699.19198968427,76055.59330000391,1.363465689901849
8192,700,163022.80129419515,80626.46962808013,2.021951377087438
256,1000,138579.98679143307,66688.81108753479,2.0780095570984902
8192,900,443294.29641705693,294265.0674249581,1.506445533260938
2048,700,89574.71305931904,53921.858220267735,1.6611948478001521
1024,600,159340.17678392996,87981.12037524463,1.8110723767137173
4096,1000,108774.87144404731,57823.110280004155,1.8811660410052833
2048,200,70495.68150903242,43211.18708703341,1.6314220057654099
512,800,131485.5395721371,76745.1936743743,1.7132739299613096
128,200,80251.18381247154,55080.46923257345,1.4569807579818628
2048,800,184494.97438651993,91530.45019922058,2.015667725712672
512,100,99888.22642370696,81541.92332472774,1.224992278216421
1024,100,39085.73705559598,26126.125239736124,1.4960403311605173
512,900,140295.97503430955,83768.9354752691,1.6747971576614913
256,800,237304.81305914972,140690.70674223357,1.6867127797852892
1024,100,51084.13436387992,26128.92828146623,1.955079588936486
1024,700,387939.07478174614,209079.4040392636,1.855462887721327
256,300,130668.25739744602,73378.01257741736,1.780754926546759
1024,600,146349.96124513808,121589.27436436518,1.2036420318339334
8192,200,109122.88239954632,66804.37457564907,1.6334691117566844
1024,300,103312.39301691904,60661.299768006524,1.7031021987993604
4096,900,186519.60398110814,83867.31024046338,2.223984570940946
512,900,144360.43331017374,83934.36071927342,1.7199205673705094
4096,100,99864.96553105707,81541.92332472774,1.2247070152289727
8192,700,53652.67777282918,48366.36010081021,1.1092974054901108
1024,400,164875.40024195737,93715.09953214714,1.7593258830760785
256,700,107381.39584995118,54206.33391376397,1.980975065031747
