P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,4506.5142039288,4118.24998149955,1.0942789350266382
256,400,32133.08310617334,23531.7252532983,1.365521769453323
8192,800,15170.04289446483,14795.02099803586,1.0253478448241984
128,1000,164886.46867514602,119404.61005167401,1.3809053821606143
2048,600,92894.45327715005,91443.0979502153,1.0158716771354894
256,900,67649.83819426932,51518.201495127876,1.313124997204474
256,100,6079.679285341732,4679.130547151785,1.2993181583793316
4096,300,1165.0486988683213,942.5154884959478,1.2361056270040598
256,200,17436.884051737157,11080.525409985707,1.5736513754143044
2048,400,16791.120647927062,16659.391108001237,1.0079072241639466
8192,1000,31808.8753826311,31785.267802615333,1.0007427208152648
1024,500,16775.109793452906,10972.920970408175,1.5287734085292422
256,600,51489.51197293703,34696.429261633115,1.4840003155562032
8192,900,42073.466672041846,42072.74163946224,1.0000172328341665
8192,700,30464.605359727622,28301.923922736623,1.07641464385584
256,1000,77750.09615044751,58863.7101663512,1.3208493982238398
8192,900,26454.81071313114,26446.50237773516,1.0003141563023084
2048,700,31799.645851274334,31784.101151865783,1.0004890715434827
1024,600,22008.38197243019,16874.141147700775,1.3042667937756935
4096,1000,25619.368632538342,25339.795717781904,1.0110329585080378
2048,200,5665.194550328479,5118.145442873633,1.10688424421712
512,800,27707.594807886566,21229.958775728857,1.3051176924358074
128,200,38827.740645868755,28092.671302858154,1.3821306000870914
2048,800,30189.405542847508,26497.37844693629,1.139335561187869
512,100,53531.99547737977,52844.49103612885,1.0130099548272853
1024,100,6958.1903779832965,6901.431727873591,1.008224184828268
512,900,31259.46250971989,24134.145646769488,1.2952379987772293
256,800,77638.48618223995,46337.580997070676,1.6754971777043783
1024,100,18419.976005497003,16558.912626923186,1.112390434112679
1024,700,30689.783899968214,15601.0663687365,1.9671593706868975
256,300,21970.725132023814,17275.812740351696,1.2717621719009522
1024,600,75008.62538299983,70364.7320429823,1.0659974564698236
8192,200,2688.4361358938577,2650.3651611722858,1.0143644261852327
1024,300,5022.2621259228845,3799.3333703103463,1.3218798237525138
4096,900,16072.758203318575,12984.521812166118,1.2378398246640758
512,900,46637.96489446365,39234.60108057627,1.1886947645697494
4096,100,52866.31208985447,52844.49103612885,1.0004129295844804
8192,700,31773.879978264293,31347.334171878083,1.0136070839085534
1024,400,18519.17203462495,16121.07512688779,1.14875539558385
256,700,50747.152280005736,38261.990551516115,1.3263071666822859
256,400,31838.687527952112,22632.15194254064,1.4067901103167464
512,500,23805.941612003397,16731.4559896685,1.422825462811086
256,900,65834.31431368964,47728.093563071816,1.3793619103325545
8192,500,17617.146510930837,14826.065726985928,1.1882549851957471
8192,300,4632.381890380113,4160.156593477788,1.1135114234984977
1024,800,41815.20855904964,40846.09768688062,1.0237259108470549
4096,800,29658.462545722872,26497.37844693629,1.1192979941437216
4096,800,35084.322959143334,29394.111289795015,1.1935833886334857
8192,500,9198.341910975245,9178.81822404002,1.0021270371041984
4096,700,25398.880405680873,15601.0663687365,1.6280220726820662
4096,800,12915.926579530396,12582.997544262242,1.0264586426324123
4096,100,2685.686144954427,2685.399498342895,1.0001067426324124
8192,600,43265.222682908934,43098.54140707002,1.0038674458670096
8192,800,39024.93016916831,34870.55437275946,1.119137073417284
512,300,41281.026957097034,37353.09082643066,1.105156923932169
256,100,7488.134175360999,4829.618848163767,1.5504606907454002
128,600,100524.82761940113,70900.57950763027,1.4178280109626284
2048,900,36192.15502077257,35054.15888407378,1.0324639407398764
8192,1000,8631.218595173068,7701.877971338275,1.1206641584420367
4096,300,7705.028991329832,7534.510577709549,1.0226316509694409
256,500,38058.81146417471,27381.290499521965,1.3899568197795191
256,700,87392.58016290053,52807.571677195476,1.654925181887133
128,500,73985.2760251563,53535.80791606614,1.3819773886881657
2048,700,73710.3977450059,69459.09380371566,1.061205865329945
128,800,125997.93323464613,89245.39881899078,1.4118143333103093
512,300,11535.202857363409,8874.280036111113,1.2998466140830018
4096,200,5915.303442514056,5846.530584549667,1.0117630203023535
4096,500,31303.466310916774,31281.94741052828,1.0006879015588797
8192,1000,18420.480156486163,11706.78763223605,1.5734871713024974
128,900,144202.08663125246,103084.41806074536,1.398873751669019
4096,300,11284.687255214654,11243.031887069747,1.003704994218936
4096,400,16070.304184729293,16058.873985478984,1.0007117684129438
128,900,142992.05518751376,103160.92321660006,1.3861067808329222
1024,400,19597.86157696451,19518.106129237913,1.004086228817412
8192,600,6147.751394264601,6143.604662733954,1.0006749671826705
128,400,65958.70987754564,46532.572763232245,1.4174739534209244
4096,700,8912.252981389334,7645.6808588148915,1.1656585130824786
8192,500,12411.155402262848,12395.199388157413,1.0012872736940948
256,900,68214.286597344,51088.94408718973,1.3352064290255778
8192,1000,21190.926534383023,16650.77136654941,1.2726693597483758
8192,600,4239.28718184856,4118.24998149955,1.0293904451873361
4096,900,22890.78083109283,21576.530603346437,1.0609111006726244
8192,700,12303.529098815054,12303.529098815054,1.0
128,300,50936.722285949014,32755.432020731212,1.555061836879779
4096,700,37288.580864737014,37261.21500737222,1.0007344327703587
256,100,7856.0428152899385,5731.651529726247,1.3706420871097786
2048,500,31002.0248720562,28634.316507153108,1.082687790515678
512,600,30028.25306130977,17725.14487690757,1.6941048025187522
512,500,25193.31080415773,24995.547779787677,1.0079119300009889
512,400,13028.823504659982,10699.281702643733,1.2177288033682327
8192,1000,37945.93275199021,37945.93275199021,1.0
128,600,94677.35497345107,69365.62215019029,1.3649031326851777
2048,800,13728.973487640178,9344.456009563955,1.4692105643804962
8192,200,2246.914344120791,2246.1903057130307,1.000322340634237
512,400,15886.195253267653,9893.49469570031,1.6057213089902151
1024,300,5453.039824989981,3874.652043565825,1.4073624582742075
1024,800,57170.503018845906,54042.00044115176,1.057890206730983
1024,100,8799.298107708977,8256.468069310878,1.0657460349681223
2048,200,7895.570778529301,7479.733511501313,1.0555951981963756
256,100,7585.31430784607,5741.098881538105,1.3212303888787713
1024,700,12057.825775765694,9298.972325300192,1.29668369298824
4096,800,10859.169288551157,8113.94962465907,1.3383333383718703
4096,800,17541.9189445836,17329.60230789093,1.0122516739230645
8192,1000,25405.097236080936,24653.74296094643,1.0304762760090713
8192,700,17717.768090425776,16443.27112892882,1.077508723872753
8192,1000,25359.647579012322,25339.795717781904,1.0007834262537676
4096,900,15381.984333656841,15123.145179145105,1.017115431442705
512,700,31482.215269189786,23042.05276203695,1.3662938625441596
1024,200,9386.025660721782,7925.6844354705545,1.1842542731976087
4096,700,121017.58639143275,119281.29786603454,1.014556251117826
2048,700,8866.676729230556,8384.147776288468,1.0575525343561747
8192,300,1152.7932031244393,1134.6245423979938,1.0160129276668444
8192,500,29540.462615440894,28805.068012604806,1.025530042231259
8192,700,40910.26327113974,38693.833645176644,1.0572812103935683
256,1000,89900.10701644175,55694.48421872097,1.614165357262129
2048,100,6556.462413957754,6527.528362389177,1.004432619815992
4096,700,53100.55533266096,51410.44753159222,1.0328747926193436
1024,800,89975.59341424315,83688.43623733887,1.0751257576264661
1024,400,42141.47755916643,40694.6858930326,1.035552348774402
256,100,7062.159973575541,5063.0781886625155,1.3948352583986288
128,900,151481.1048854422,96720.06020199122,1.5661808374507566
512,900,36385.08933548453,27287.43887670948,1.3334006720044411
4096,1000,55555.62241820773,55420.91730641427,1.0024305825009843
8192,300,3306.6504114343606,3203.678826598781,1.0321416691275824
512,500,18505.256805161338,13699.604154479855,1.350787701344641
128,800,112272.36766023556,79920.49096406845,1.4048007751943394
128,100,15041.06712185042,9931.189861419074,1.5145282017296156
2048,200,3947.741556570207,3631.3880687245173,1.0871164088934195
4096,500,88498.98422070971,88189.90415189893,1.003504710338254
128,400,68571.01708457843,48772.789542903934,1.4059277258328355
1024,700,16804.29016944577,10218.636013742087,1.644474873833186
128,300,51285.93888630582,36726.85726982461,1.3964151223046026
4096,500,27632.55932382414,25343.09726656832,1.0903386840674758
256,500,59427.435404232034,40962.13789004808,1.450789398828477
512,500,89173.63144801417,81134.30977008452,1.0990865849566132
128,800,135671.31987169813,97370.5352483193,1.393350868676055
128,400,105172.67961292717,56129.50996388722,1.8737501838265378
2048,600,8657.953149932739,7161.983183316524,1.2088764980768176
4096,100,1616.31237027108,1609.8572306473563,1.0040097590648631
256,900,80099.78996988824,54102.139652541075,1.4805290601131724
