eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.44,0.85,4.661642797959597,4.661642797959597,0.44,0.85
2,0.24,0.6,3.3149749071001895,3.3149749071001895,0.24,0.6
3,0.1,0.75,4.0513432533955775,3.3149749071001895,0.24,0.6
4,0.84,0.55,3.164692870312215,3.164692870312215,0.84,0.55
5,0.1,0.9,5.915781876238473,3.164692870312215,0.84,0.55
6,0.38,0.75,4.0513432533955775,3.164692870312215,0.84,0.55
7,0.1,0.65,3.481282164078362,3.164692870312215,0.84,0.55
8,0.16,0.55,3.164692870312215,3.164692870312215,0.84,0.55
9,0.64,0.25,2.659603433367997,2.659603433367997,0.64,0.25
10,0.82,0.45,2.8707478100446164,2.659603433367997,0.64,0.25
11,0.48,0.65,3.481282164078362,2.659603433367997,0.64,0.25
12,0.84,0.85,4.661642797959597,2.659603433367997,0.64,0.25
13,0.7,0.0,7.871512535074534,2.659603433367997,0.64,0.25
14,0.16,0.8,4.350155337105952,2.659603433367997,0.64,0.25
15,0.86,0.05,3.779221984029494,2.659603433367997,0.64,0.25
16,0.68,0.55,3.164692870312215,2.659603433367997,0.64,0.25
17,0.86,0.8,4.350155337105952,2.659603433367997,0.64,0.25
18,0.34,0.45,2.8707478100446164,2.659603433367997,0.64,0.25
19,0.76,0.65,3.481282164078362,2.659603433367997,0.64,0.25
20,0.66,0.45,2.8707478100446164,2.659603433367997,0.64,0.25
21,0.64,0.2,2.6410063943246462,2.6410063943246462,0.64,0.2
22,0.64,0.15,2.829474505750475,2.6410063943246462,0.64,0.2
23,0.64,0.1,2.8457483507920713,2.6410063943246462,0.64,0.2
24,0.64,0.3,2.53643039173608,2.53643039173608,0.64,0.3
25,0.64,0.35,2.632835870482175,2.53643039173608,0.64,0.3
26,0.64,0.4,2.7950573536704932,2.53643039173608,0.64,0.3
27,0.1,0.3,2.5709106562131834,2.53643039173608,0.64,0.3
28,0.64,0.5,2.9987629698970677,2.53643039173608,0.64,0.3
29,0.9,0.3,3.1262458142270972,2.53643039173608,0.64,0.3
30,0.1,0.35,2.632835870482175,2.53643039173608,0.64,0.3
31,0.1,0.25,2.461063310324238,2.461063310324238,0.1,0.25
32,0.12,0.25,2.562964892775061,2.461063310324238,0.1,0.25
33,0.1,0.2,2.474067072938159,2.461063310324238,0.1,0.25
34,0.12,0.2,2.444083485960712,2.444083485960712,0.12,0.2
35,0.14,0.2,2.4084520556330924,2.4084520556330924,0.14,0.2
36,0.16,0.2,2.4353210704507924,2.4084520556330924,0.14,0.2
37,0.18,0.2,2.4781709437269233,2.4084520556330924,0.14,0.2
38,0.2,0.2,2.595516183670943,2.4084520556330924,0.14,0.2
39,0.22,0.2,2.5271741614179315,2.4084520556330924,0.14,0.2
40,0.14,0.25,2.461063310324238,2.4084520556330924,0.14,0.2
41,0.16,0.25,2.461063310324238,2.4084520556330924,0.14,0.2
42,0.18,0.25,2.461063310324238,2.4084520556330924,0.14,0.2
43,0.2,0.25,2.461063310324238,2.4084520556330924,0.14,0.2
44,0.22,0.25,2.461063310324238,2.4084520556330924,0.14,0.2
45,0.24,0.25,2.461063310324238,2.4084520556330924,0.14,0.2
