P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,36725.27546678631,25339.81784604174,1.449310949665057
256,400,74028.46224549573,48334.52807370665,1.5315854978993007
8192,800,65802.80657398126,40507.42758459579,1.6244627343110978
128,1000,234423.56257902872,122342.327095179,1.9161280330776573
2048,600,183697.43221519425,151129.24419825306,1.2154989141229202
256,900,134766.06932502604,54809.75617591053,2.4587970961318955
256,100,37991.92582609209,26277.440229121807,1.4458001043795652
4096,300,17465.359105000323,14461.995710341227,1.2076728174183806
256,200,47694.09453141192,28639.31993050193,1.6653361409121994
2048,400,57382.619312589886,48402.57713588221,1.1855281827555937
8192,1000,103674.42167067442,86941.7558164661,1.192458338310201
1024,500,100159.85376080681,61945.54745447425,1.616901583352984
256,600,130508.98821023086,87906.4422511642,1.48463508325526
8192,900,63893.20475795251,51759.85633102995,1.2344161921417205
8192,700,85446.08940535125,61004.81435234271,1.4006450197822777
256,1000,124396.74852535641,60266.79191353534,2.064101050937442
8192,900,227980.82760896266,198921.3860550627,1.1460850546549888
2048,700,59002.28251325053,50318.98468300632,1.1725650444846263
1024,600,108210.6503549106,69227.82344495451,1.5631092380212228
4096,1000,73512.76539198255,51562.0110470629,1.4257156363603476
2048,200,45652.02746636523,37687.22034705516,1.211339733892909
512,800,74983.48808072771,59751.971053248635,1.254912377934869
128,200,73547.70434293195,38616.9468705205,1.9045447738147567
2048,800,111429.21449393466,74910.56325865745,1.487496684668924
512,100,32738.071998121075,25554.08998787344,1.2811284617709633
1024,100,23579.44013176383,16270.879577503554,1.449180421958579
512,900,81554.57605416125,54814.08894506958,1.4878396708533987
256,800,154682.35002823686,105351.1225342505,1.4682553570129107
1024,100,30267.62021875554,17524.646577519117,1.7271458277271794
1024,700,144633.30510492314,90035.56093891147,1.606401999350633
256,300,85037.48974884328,59520.11230056764,1.4287185702778367
1024,600,101321.51443146273,93962.56722509673,1.0783178602255183
8192,200,58230.79282630927,39439.94833382917,1.4764419145134242
1024,300,51294.83717828422,42559.26499070512,1.2052566506843323
4096,900,129253.71315983341,80527.65400433389,1.6050847967441986
512,900,99543.45068722349,77438.96240069586,1.2854440142437782
4096,100,32345.687067148807,25509.78330366942,1.2679718475890027
8192,700,39672.65056583262,36383.636776576175,1.0903981591904501
1024,400,98101.24260301724,70446.65442750564,1.3925607028502687
256,700,91127.9943330012,45533.305579283064,2.001348093964498
256,400,80558.72135174708,36205.24077560651,2.225056915131027
512,500,112075.80519971094,49051.18395225835,2.28487461808862
256,900,99305.75127289453,57524.791285656356,1.7263122395309958
8192,500,130626.07792221234,106590.45867809009,1.2254950353174794
8192,300,45451.578939479805,29931.832451898452,1.518503052311353
1024,800,87417.05417547483,75099.1938804778,1.1640212052688768
4096,800,111424.61271957011,74875.55183262887,1.4881307715586556
4096,800,84232.11898407957,65871.74785380425,1.2787290716958708
8192,500,107256.9268738445,91384.73058369043,1.1736854306925846
4096,700,142622.47199260545,89704.13083446011,1.5899208951235566
4096,800,52793.487524852106,47862.461864898854,1.1030249065305506
4096,100,34547.10651890375,25513.346625527105,1.354079769540622
8192,600,66484.6219277984,40316.599781882396,1.649063221786761
8192,800,117716.2089314963,83138.40291443179,1.415906546252192
512,300,74492.51615926059,55298.68456635139,1.3470938186581825
256,100,57080.22758368113,42169.020106715,1.3536057380330655
128,600,139111.19541589837,72905.33051695603,1.908107328085488
2048,900,170371.59997821093,138680.36028229067,1.2285200271430734
8192,1000,50492.746593946045,44746.27273079294,1.1284235202723056
4096,300,46002.4680068889,35747.129315540355,1.2868856573299787
256,500,112057.46301702425,91652.47215266107,1.2226343751031132
256,700,90036.31305355048,58575.713811607675,1.5370928870474712
128,500,109870.49921651033,55089.93942571088,1.994384099199662
2048,700,72686.97011035038,61770.21371425966,1.1767317245588642
128,800,181582.29999534675,91299.30067015364,1.9888684651744244
512,300,35278.48121969533,29315.379910080832,1.203412042685619
4096,200,67198.97023436012,48449.352805894276,1.386994177271751
4096,500,277672.03107522853,230387.8143086843,1.205237490135614
8192,1000,147116.77542396198,100649.75660009484,1.461670453993163
128,900,223376.54009524026,106125.13242222022,2.1048410965136304
4096,300,28059.91424799332,24857.044966350284,1.1288515704895274
4096,400,100066.00023849207,65844.558400574,1.5197307517764407
128,900,205817.44584556107,106193.97181152053,1.9381273939998995
1024,400,64079.54431721239,48012.334238965144,1.334647551153796
8192,600,43353.02793108255,30879.271782953714,1.4039524065141564
128,400,126027.02912951628,100412.82389322805,1.255088984087576
4096,700,67704.87809321687,46902.72070590232,1.4435170726609208
8192,500,49277.65280552341,40213.293904934864,1.2254070239064945
256,900,112005.42125886712,68784.06403433165,1.6283629476002281
8192,1000,192820.0804430088,132362.96275782728,1.4567525267305668
8192,600,36450.24624761523,25325.579367516777,1.4392660368657637
4096,900,59903.32722499207,47239.60737156168,1.2680741978616437
8192,700,195414.97092360514,154802.27547094636,1.2623520573525489
128,300,74753.43889977898,37575.37625782499,1.9894262238880907
4096,700,101851.57261276887,74294.70133872438,1.3709130096426017
256,100,22778.292878281474,14887.022202248138,1.5300771751950266
2048,500,50831.34979046564,42220.82558082555,1.203940214128606
512,600,53494.74977763635,39911.47243417489,1.3403351596677888
512,500,49465.63823668532,40359.055700854355,1.225639137925573
512,400,73667.76447733658,58094.73530829689,1.2680626581117342
8192,1000,203637.65770603405,170835.76031156772,1.1920083788935216
128,600,133564.17175063313,71185.27915940297,1.876289217768565
2048,800,92360.05082623946,49405.80358577192,1.8694170344966854
8192,200,35088.38214303338,28474.386928972886,1.2322787574165717
512,400,90636.64109839626,72462.01273500008,1.2508159472448326
1024,300,39386.809534406144,24245.008504041936,1.6245327168204493
1024,800,134607.80886411548,113988.88034982161,1.180885437693714
1024,100,15140.754255833019,14288.78959877594,1.0596246904727369
2048,200,63651.57733181308,54506.84394617546,1.1677722048018022
256,100,18994.41438678574,13225.770345359979,1.4361669597150977
1024,700,129232.30461137855,48889.00339843507,2.643381857432489
4096,800,64767.98434005321,45625.20765580448,1.4195657985528833
4096,800,157483.44451595237,125129.19990328405,1.2585667025576432
8192,1000,90334.9081065235,75235.44555575492,1.2006961271941796
8192,700,134907.5412742976,105666.13632389191,1.276733927895062
8192,1000,73382.08619480816,51551.25276057881,1.423478233121104
4096,900,80450.26920421,55775.094322595265,1.4424048974063048
512,700,129250.76824542954,104086.64753350454,1.2417612759006855
1024,200,32260.23594276302,31346.100459060614,1.0291626540563255
4096,700,154350.62683376053,143908.0617433905,1.0725641424383205
2048,700,137016.06952765898,97418.28555385975,1.4064717804123823
8192,300,25654.87516305099,23095.471423504423,1.1108184237773058
8192,500,140075.10973356452,82818.48977503512,1.6913506888867331
8192,700,87110.03186026684,53786.429754195684,1.6195540819191796
256,1000,157128.77482329393,110364.33073667888,1.4237278817754222
2048,100,74128.47439329387,66048.07099842197,1.1223412474084968
4096,700,107337.54156554444,72916.51693433772,1.4720607357343096
1024,800,130148.79048362302,121702.61525635065,1.0694001128035056
1024,400,321443.3522928819,262665.24196528335,1.2237757454614695
256,100,16713.90106811748,11573.58773801483,1.4441417343058347
128,900,192909.20165087676,99628.06363260541,1.9362937973206087
512,900,141240.3915167269,90295.3145125921,1.56420510055403
4096,1000,134452.01757098516,110350.43973567909,1.2184094408054582
8192,300,50641.71495532278,24730.1845315877,2.04776939252671
512,500,172628.93781498115,136998.6611845978,1.2600775534760418
128,800,161736.10400220708,82488.191480104,1.9607182688835836
128,100,33379.372302068216,19727.62006951477,1.6920121223162439
2048,200,40858.235932660056,31247.49127757285,1.3075685202922223
4096,500,43773.36746543174,36770.09553853634,1.190461075075416
128,400,104910.62506528058,50049.2365588324,2.0961483586659533
1024,700,181771.97212314163,100915.9176950425,1.801222010113784
128,300,94666.70024022879,46677.0896737702,2.0281191672801735
4096,500,152874.65305521034,86313.15153707848,1.771162914721499
256,500,81411.6398567179,49468.92113219278,1.6457128636213136
512,500,171556.461220876,146854.52670932093,1.168206830698854
128,800,201222.7519112899,100181.89320467891,2.008574059387929
128,400,214922.27857091808,157171.77083510478,1.367435624278877
2048,600,87506.38732732473,67932.24119574515,1.288142210341289
4096,100,55753.69422738845,51590.80212796017,1.080690586843428
256,900,310162.19511719927,237993.0451390816,1.3032405839252255
2048,500,47211.81638720495,35686.69921286148,1.322952736693278
1024,500,82730.98167529951,63325.5846578035,1.3064384975260503
128,200,54371.41303458532,27723.977542298067,1.9611692785290873
8192,200,123768.22127964358,97068.3194000417,1.2750629870242753
2048,800,128970.7303550624,121673.3793836365,1.0599749181652738
512,800,72794.72099441083,56638.50285778082,1.285251504214337
512,800,189230.1039512649,103707.48366040051,1.824652351713748
1024,600,89028.6908177226,67554.55869941709,1.317878356867881
128,200,82857.84654359172,60071.03351509997,1.3793311300822528
2048,600,47562.353335403015,39911.47243417489,1.1916962826627495
8192,500,34120.68758788794,25591.326174013364,1.3332911063646122
512,300,30704.482962145055,26628.624654509877,1.1530630425159747
512,600,110014.24006103307,71476.40813762604,1.5391685582353745
4096,300,133178.78595890815,100662.483794627,1.3230230463081099
2048,200,21585.172681660963,20061.201460168668,1.0759660992646989
512,800,110611.22313608986,90029.82672040864,1.2286064203988485
128,500,300265.88862333866,236553.09805824698,1.2693382208395492
4096,600,125260.35975807105,87790.95808550628,1.4268025146287897
8192,400,100066.00023849207,65829.71148275904,1.5200735045709504
256,100,57034.80019608428,43475.943543660454,1.3118703252249702
2048,1000,64438.63571809935,41399.41646168998,1.5565107246796415
2048,500,105703.41213207514,48801.92720673471,2.165967989015974
2048,1000,210246.85368785664,124611.80764058269,1.6872145398473855
1024,600,37019.49127305565,25425.248717191513,1.4560129454318607
1024,800,181103.42768426638,144056.46626132375,1.2571697222930491
128,200,77023.25854102965,46135.392560100576,1.6695047829210827
512,100,9091.282664781684,8382.266597696977,1.0845852441963024
4096,900,120724.85016456331,101428.46986882546,1.1902461934079585
8192,900,249892.11964888163,191440.08812478546,1.305328064234883
8192,300,45570.344550936075,35226.05846566625,1.2936543722412794
4096,1000,177277.15012607753,119286.6452331947,1.4861441511706244
128,200,55979.27077483916,24034.525413510786,2.329119040701795
4096,200,51513.60685948985,37201.94416591107,1.3847020099205694
8192,600,154689.08831723395,86528.59241676705,1.787722231423461
4096,800,89795.41447820804,68054.43993565843,1.31946445467929
2048,500,75670.62987818092,62059.89207555667,1.219316169387685
128,300,88840.43853153949,43888.240059234464,2.0242424488116764
128,100,29668.707541261505,14523.933011723955,2.0427461017144903
128,400,101008.50692339147,49684.70035825663,2.032990159849194
4096,1000,71740.28927853022,66096.51746973181,1.0853868255824963
2048,800,103727.77032973435,89894.46283706855,1.1538838662147448
2048,100,31518.895798601512,22287.203544082055,1.4142149209639518
128,900,222586.02307737555,104781.21783099383,2.124293147999045
8192,700,60439.69965061783,50094.686497619805,1.206509190420616
1024,700,124619.31152311144,95960.87017356644,1.2986471600112617
512,700,79197.07475018679,70416.90588315741,1.1246883650582191
8192,1000,708768.7205340216,607904.1810288752,1.1659217729584186
8192,1000,108549.91490083559,78215.59188691816,1.387829616603476
1024,100,41678.20822866688,39754.699483118246,1.0483844368227573
8192,1000,236152.69328874187,174195.61077190377,1.3556753367222685
4096,900,78915.8894475442,57821.68428611699,1.364814782237188
8192,600,199011.5800904744,179300.1727215071,1.1099352391566488
8192,1000,61664.52405044832,54785.91134305086,1.1255544087662597
2048,100,19976.98993142588,14850.759400093964,1.3451830571909664
512,800,65456.56046122298,39670.38232183824,1.650010829998723
2048,200,27789.809284772185,21719.122239982673,1.2795088575731666
2048,600,90509.23619365612,46239.717968129386,1.957391614197115
1024,100,11568.512344663737,7574.474505432674,1.5273023014819578
256,700,119246.45137804322,63595.14530849998,1.8750873325248147
128,1000,230540.85111751678,115241.4415821776,2.000503013085967
1024,800,96816.6700410382,73809.48264243598,1.3117104547400593
1024,800,77747.68483250267,64050.183209330666,1.2138557758438477
1024,1000,99235.67921359283,66618.31687920158,1.4896155271160036
8192,600,110070.60889955929,72057.00403987369,1.5275490615547973
4096,200,39478.40579523838,28226.96173217051,1.3986062747321653
1024,700,154638.99584806018,143996.98147366662,1.0739044267836941
8192,800,171098.01354195818,121156.10790503111,1.4122112083368865
128,1000,227576.86314280532,112156.4431438755,2.0291020004162155
2048,1000,88792.74248150866,66639.00922749183,1.3324439170214635
1024,1000,135098.7161564829,70666.56720492533,1.9117769760162733
2048,900,136040.9938240093,93515.5700519536,1.4547416408671863
512,600,70045.10212552235,52850.65998181106,1.325340159415774
1024,700,51268.11342904037,40384.69376674293,1.2694936781038566
1024,100,42458.61645348818,33357.177220007376,1.272848004297613
4096,100,54994.249000381686,41510.57294657572,1.3248251010931484
128,700,159231.18550270272,84966.35551851557,1.8740498463300996
128,300,72241.24973390618,35422.15679393922,2.0394367896385903
2048,1000,94123.64164097463,83203.13759546028,1.1312511085652879
256,500,85057.86377762207,62092.40025489339,1.3698594905085637
128,500,117733.61124655459,58120.56724051832,2.0256789779656086
2048,400,49834.81466306346,35792.538937203135,1.3923241028108413
128,900,215816.46220283047,106230.35181436798,2.031589451760063
128,300,75143.25158599217,49018.24004301967,1.53296510686725
4096,200,46402.889332263636,41314.61184437475,1.123159271278055
128,500,187786.73226514354,107899.46980002425,1.7403860520647465
256,200,42916.399995468135,24028.023327904328,1.7860978162788894
1024,300,38784.68200257176,27201.299204297007,1.4258393215440577
2048,200,55037.30239300018,49074.047810033735,1.1215154414416817
4096,500,144455.06184518937,116848.61008388725,1.2362582810482987
8192,100,32479.003348637056,28338.780874483527,1.146097409500118
4096,700,129112.0515382308,48842.85851775354,2.643417184342329
1024,500,35885.22559316514,33062.26204021412,1.0853832550694023
2048,1000,101074.19231217628,99844.90421604176,1.0123119763175357
8192,1000,170408.95414328325,153858.34745614193,1.1075704176002485
2048,1000,79031.24341144125,69330.7825011364,1.1399156415138665
8192,400,105224.1743998911,79841.38239289293,1.3179152370144533
128,700,160228.53585696252,78223.91975265807,2.048331716993994
128,1000,487295.5655832245,336231.71358758636,1.4492849600169764
2048,900,64959.447247714794,43085.8374830352,1.5076751675835989
4096,200,43786.915695789714,33406.48415369743,1.3107310393495384
2048,300,110569.82069925773,83200.47249108386,1.3289566439794787
128,100,50884.98433977009,33607.10000037135,1.5141141109827336
128,1000,288985.57337297796,130680.0475400216,2.2113978286124687
4096,300,36359.337809755314,31675.82682654689,1.1478575763421988
256,200,34130.46245786175,27723.977542298067,1.2310810166322421
4096,400,85714.89432117729,80128.73845486698,1.0697147611959066
2048,200,35149.20817903729,28151.634779116986,1.2485672130526195
256,1000,292849.5746939748,212297.34605947777,1.3794311616685464
4096,600,67268.63688491435,61654.823254855204,1.0910523027023205
256,500,159410.8403417647,75433.91473577404,2.1132515911462453
256,400,107403.33409965213,66492.92943135499,1.6152594722199993
512,500,148265.5326404809,117234.930187025,1.2646873453496559
2048,900,129228.25106807204,80572.39811895405,1.6038774330296628
8192,300,148771.59842330174,121166.91213134864,1.227823634409605
512,900,231433.386200461,199266.99669259545,1.1614235675839883
2048,600,51960.087763759504,43043.733107041255,1.2071464069936741
256,700,125775.77604623545,65538.9661892865,1.9190991765566745
128,300,90356.03008993449,52306.20787465864,1.7274437157909561
128,300,69446.0982336339,33909.56330753294,2.0479797278370313
1024,700,86868.79980190478,71395.32402810991,1.2167295405466978
256,800,106651.69731451992,53738.859665875236,1.98462896268424
1024,1000,55031.50769521558,42383.73236753952,1.2984110794679005
4096,900,65274.733083454674,44447.9782420795,1.4685647281400576
512,600,66979.22819382005,41879.47984107661,1.5993328581919224
2048,700,195971.69797241854,159902.38059576607,1.2255708591846164
256,400,112421.6429782991,83895.26610670472,1.3400236770846194
2048,500,107275.19826105512,91410.64105810694,1.1735526304083523
128,800,194353.32310662762,95097.34659082131,2.043730241421756
512,200,25864.037261468533,18259.867983892524,1.4164416349715032
128,900,196387.8937556434,98898.65061975615,1.9857489715477739
512,300,39214.74097885307,30487.493859649527,1.2862566257292185
8192,400,75000.32652000264,50022.88148910995,1.4993203967334492
8192,500,46687.62885768547,28049.650585512056,1.6644638304977721
128,400,118721.30247225953,57918.461135074045,2.049800705087531
512,400,256051.03263919576,219909.18201198158,1.1643489839603196
8192,700,60670.575514674325,44292.95785100308,1.3697566940271602
8192,400,49973.81514879002,39591.51669430679,1.2622354312578328
1024,600,49078.15562954263,31037.755362345764,1.5812404942492404
512,700,54926.905287075264,40444.21614195245,1.35809048923809
4096,400,52804.795138015084,36861.50348825166,1.4325187564540007
