P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,38687.04965895962,25339.817846041748,1.5267295879556926
256,400,81349.14581000785,48679.56019676214,1.6711150528311198
8192,800,86969.21112211437,62137.90128877687,1.399616165308474
128,1000,300365.1498248064,125295.95783362567,2.3972453303214016
2048,600,128900.46524046022,95460.11175339336,1.3503070850519736
256,900,182371.57950787363,77030.62312975689,2.367520501563015
256,100,33849.475333400085,26193.65899088914,1.2922774685725977
4096,300,25788.493441103114,20887.76340872541,1.2346220577321616
256,200,48067.08816925262,25775.82693292296,1.8648126515722945
2048,400,41564.50182200041,34397.99854935305,1.2083407051246053
8192,1000,86945.84050727331,71441.52524391812,1.2170210561773398
1024,500,97398.20238629136,69330.81468246617,1.4048327981197581
256,600,141659.5108286853,65997.13135384436,2.1464495186794745
8192,900,62474.192940810324,50985.945546331204,1.225321846469233
8192,700,88406.55402614833,54661.38833726035,1.6173492242948635
256,1000,199165.32581724896,62174.13220982782,3.2033470953015897
8192,900,241789.07568230559,200725.03795784948,1.2045785525425043
2048,700,60430.64811899956,45736.33575987692,1.321283113633548
1024,600,95580.19595593106,69645.19944005155,1.3723874254707757
4096,1000,63969.18289662101,51207.743830232605,1.249209164705557
2048,200,39907.52942334686,33208.183834406,1.2017377891650873
512,800,99796.18402420008,58281.74602729851,1.7123060104866568
128,200,73573.09893560708,36920.89002320384,1.992722788897241
2048,800,102167.40880626068,69914.3129245496,1.4613232188453043
512,100,42124.99166323936,34744.80913128068,1.2124110828778252
1024,100,21367.732885230427,17424.209760559108,1.2263243601209253
512,900,106411.54249185466,65527.226447374065,1.6239286821839687
256,800,160763.72646703105,88988.07431158595,1.8065760801175148
1024,100,24560.0444572868,17010.884101954263,1.4437841272732712
1024,700,178634.30045708138,122698.14519501191,1.4558842774123977
256,300,87016.92864235774,58817.967607809784,1.4794276677931955
1024,600,73076.91805331361,56839.82740281852,1.2856639682493114
8192,200,60713.61798126341,48832.439654252754,1.2433050327022916
1024,300,64020.277284526914,51334.02512144949,1.2471314519573213
4096,900,105735.54015644589,68798.33552250691,1.5368909633265069
512,900,105997.10228758464,70503.79592528375,1.5034240482585484
4096,100,41262.75738072307,34460.69141352587,1.1973862301708602
8192,700,32166.417724720108,24919.342184621364,1.2908213020394728
1024,400,97680.06881486851,71121.47502380062,1.3734258011687768
256,700,140171.84662659265,46686.09352875527,3.0024325453629332
256,400,98156.02069463106,59315.77823058138,1.6548045667219258
512,500,169673.22431449886,104189.08387589059,1.6285124890493574
256,900,151204.0189188153,57244.69321120439,2.641363075542179
8192,500,117162.26901045344,87191.89492611904,1.3437288994548109
8192,300,53726.38128813889,37997.38137569971,1.4139495760752152
1024,800,94841.39257878756,76586.05734526525,1.2383636900281159
4096,800,101477.69319345093,69744.6297416748,1.4549893456931573
4096,800,95516.97119139505,49156.66889863417,1.9431131793808145
8192,500,111944.23111979042,93303.02350633578,1.1997921065461379
4096,700,175444.09677706283,121247.84298185878,1.4469873645778009
4096,800,51994.12331716469,43369.83132383738,1.1988546353554097
4096,100,30309.2608523549,25235.008428580157,1.2010798783022338
8192,600,57790.26803515773,37566.49697046091,1.5383459384195195
8192,800,151460.39361749924,84971.24391877686,1.7824900122949674
512,300,62441.441879300306,47234.241688785194,1.3219528809356487
256,100,68646.78464797656,56270.53628076332,1.219941894732647
