P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,20122.569335302454,18779.00655706,1.071545998674639
256,400,64517.30498441154,43244.960742362484,1.4919034235868966
8192,800,47465.5924468731,46379.37991347244,1.02342016075737
128,1000,195985.91558271178,119404.61005167404,1.6413597054409883
2048,600,121790.16422036795,111680.57587899217,1.0905223514636035
256,900,97167.52861198128,51518.201495127876,1.8860815360794476
256,100,15967.664708424389,12924.548421892341,1.235452426436613
4096,300,20438.018207995483,17279.41691731119,1.182795594654579
256,200,28439.700758638784,22891.533499154106,1.2423676535121466
2048,400,33320.99057480885,21733.26502109654,1.5331792320419446
8192,1000,60341.249680543166,60202.342442558154,1.002307339421511
1024,500,80802.05958720321,53664.96732667876,1.5056761163261465
256,600,94309.69708050441,58028.72573355824,1.6252243330920628
8192,900,52575.017380802,52575.017380802,1.0
8192,700,54708.04094618545,35360.41439156067,1.5471549722347826
256,1000,105516.06332145684,58863.710166351215,1.7925486351992457
8192,900,149649.57060028278,149649.57060028278,1.0
2048,700,41813.60882123944,41611.35817859911,1.004860467225613
1024,600,59673.10630758477,43965.34404781527,1.3572759999941375
4096,1000,34515.90646328111,33915.21825046568,1.0177114653480723
2048,200,13950.165591646542,12441.910416424595,1.121223761041624
512,800,64508.05357956079,54149.74440156318,1.1912900844218683
128,200,51596.0803903703,38939.521911435,1.3250311728973379
2048,800,88756.06767900274,71810.48771496736,1.2359763943018511
512,100,60633.839785460135,60573.79424177784,1.0009912792228703
1024,100,9986.032359345849,9640.921141579869,1.0357964983530012
512,900,57967.822585860085,46304.128599874144,1.251893175374812
256,800,127735.89293789264,86969.02217444926,1.4687516283863697
1024,100,30393.10487881212,20829.72320776272,1.4591218796169776
1024,700,138422.45572483365,101971.47650017287,1.3574625030029746
256,300,46396.24482494307,35896.699653227304,1.292493328722263
1024,600,88500.15372001062,86765.25402755744,1.0199953277599136
8192,200,21053.7369850466,18018.92824454402,1.1684233767577987
1024,300,19564.74584323215,18573.116360380285,1.0533905815055995
4096,900,61673.34428244976,52757.84825268096,1.1689890002160153
512,900,63893.03596861178,53309.00486140186,1.198541149562393
4096,100,60573.79424177784,60573.79424177784,1.0
8192,700,42206.940755016985,41694.171098573366,1.0122983535331913
1024,400,71178.36893917134,63377.543120814065,1.1230850145687548
256,700,70880.64528656541,38261.990551516115,1.8525080442725894
256,400,47054.63362837003,22632.151942540644,2.0791055904818108
512,500,109476.12840420178,62904.27191045394,1.7403607907590795
256,900,86716.3913787976,47728.093563071816,1.8168836193761533
8192,500,84889.56492633495,84889.56492633495,1.0
8192,300,33351.02811527207,23136.448596413335,1.4414929748743817
1024,800,66663.29647689837,66116.18200423285,1.0082750463816936
4096,800,88746.2064745657,71810.48771496736,1.2358390716801726
4096,800,68856.1888208384,64362.85987349461,1.069812450164201
8192,500,66628.04074202283,66624.56129320196,1.000052224716431
4096,700,137018.5543906216,101971.47650017287,1.3436949144341293
4096,800,43948.578664085064,43948.578664085064,1.0
4096,100,8321.239576006265,8321.239576006265,1.0
8192,600,61012.87945017118,60947.46333963169,1.0010733196585222
8192,800,87137.91878214308,62102.16000225037,1.4031382930800715
512,300,52146.13005876044,51521.92639179481,1.0121153014003963
256,100,19684.51745298094,17954.53769414384,1.0963533446701532
128,600,118176.08611594487,70900.57950763027,1.6667858984597839
2048,900,129752.604791726,129752.604791726,1.0
8192,1000,30428.49121595732,28498.849543516073,1.0677094585693643
4096,300,18516.507270201342,18481.458954016285,1.0018964041893155
256,500,74674.30970703006,66627.75825410518,1.1207687556023858
256,700,99706.12198024853,61827.216222082076,1.6126574682273613
128,500,95415.47791594687,53535.80791606614,1.7822739887579546
2048,700,88656.04345035662,69714.60276884174,1.2716997577153315
128,800,163510.57405197664,89245.39881899078,1.8321457040447755
512,300,25981.575378938003,25000.830378077444,1.0392284970550638
4096,200,53640.79281597229,53640.79281597229,1.0
4096,500,173165.7012270452,173165.7012270452,1.0
8192,1000,80580.04440710397,71753.33995595953,1.1230145447802438
128,900,180805.92673725495,103084.41806074536,1.7539598140885855
4096,300,19028.50780282153,19028.50780282153,1.0
4096,400,48786.97977664097,45126.38541333707,1.0811187142461007
128,900,172878.44350858973,103160.92321660006,1.6758132645401833
1024,400,26756.1206238077,26611.894241008282,1.0054196210721884
8192,600,26964.323674215862,18661.250273283804,1.4449366081767347
128,400,83582.03872573671,46532.57276323225,1.7962049756204137
4096,700,41663.71125395748,36793.786558940206,1.1323572578542878
8192,500,29587.00133662399,27177.07231873392,1.0886750783758572
