P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,56419.25511830702,32086.250269673834,1.7583623715492678
256,400,92859.0024311028,69344.18366491112,1.3391029719207788
8192,800,114817.61293903625,68639.61815064191,1.672760076943442
128,1000,216326.6521391543,125295.95783362567,1.7265253874063822
2048,600,245281.45699394157,191374.78812730435,1.2816811419839587
256,900,144375.47421753744,79309.82918527524,1.820398249506536
256,100,41198.76180747684,27744.76099020595,1.4849204079292746
4096,300,32502.959911364374,24265.13520631133,1.339492223513776
256,200,52508.73137961851,32996.77807816611,1.591329045982323
2048,400,62003.2096769245,49006.50439213838,1.2652036795113886
8192,1000,122692.5760986646,97895.23348711745,1.2533049028869252
1024,500,149349.03219703882,103433.70181766388,1.4439107328897103
256,600,176662.6162489267,107515.86756387605,1.6431306397073904
8192,900,85136.2151198074,76055.59330000391,1.119394530050994
8192,700,130804.97535180814,80626.46962808013,1.6223577189376543
256,1000,148279.7048213764,66688.81108753479,2.2234570148018764
8192,900,354481.1280254908,294265.0674249581,1.2046320384796902
2048,700,73770.60940446715,53921.858220267735,1.3681021359300785
1024,600,126472.27268460835,87981.12037524463,1.4374933183982734
4096,1000,84303.86007550251,57823.110280004155,1.4579613526022255
2048,200,53474.93788195918,43211.18708703341,1.2375253143185614
512,800,104669.75951925977,76745.1936743743,1.363860777566969
128,200,72181.17095334994,55080.46923257345,1.3104676114607878
2048,800,150087.96476294863,91530.45019922058,1.6397599316541622
512,100,89640.13593523743,81541.92332472774,1.09931348538665
1024,100,30135.229866536974,26126.125239736124,1.1534519409216972
512,900,117962.77309362312,83768.9354752691,1.4081923379395096
256,800,202611.21952227727,140690.70674223357,1.4401180022038793
1024,100,41018.82440866715,26128.92828146623,1.5698624898351694
1024,700,313722.77396629856,209079.4040392636,1.5004958303180531
256,300,109027.54631589234,73378.01257741736,1.4858340051233057
1024,600,134203.34422137478,121589.27436436518,1.1037432777105747
8192,200,85454.10174251518,66804.37457564907,1.2791692502973322
1024,300,82245.97640635057,60661.299768006524,1.3558228511570414
4096,900,153395.29327315147,83867.31024046338,1.8290236426247397
512,900,119019.16557651365,83934.36071927342,1.4180028841178018
4096,100,89617.43318504865,81541.92332472774,1.0990350672519886
8192,700,48943.317619974594,48366.36010081021,1.0119289009543375
1024,400,129688.6453813198,93715.09953214714,1.3838607228585682
256,700,106034.09853405743,54206.33391376397,1.956120085574233
