eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.12,3.2,6.938941704471338,6.938941704471338,0.12,3.2
2,0.82,1.6,2.366398429993518,2.366398429993518,0.82,1.6
3,0.78,1.8,2.3977618772307814,2.366398429993518,0.82,1.6
4,0.72,2.6,2.396632080063323,2.366398429993518,0.82,1.6
5,0.16,4.4,5.300702790805479,2.366398429993518,0.82,1.6
6,0.76,3.2,2.403342798062599,2.366398429993518,0.82,1.6
7,0.7,3.6,2.426735960593248,2.366398429993518,0.82,1.6
8,0.7,4.6,2.426735960593248,2.366398429993518,0.82,1.6
9,0.54,1.4,2.6549568486736477,2.366398429993518,0.82,1.6
10,0.74,4.8,2.3811190494616716,2.366398429993518,0.82,1.6
11,0.72,1.8,2.396632080063323,2.366398429993518,0.82,1.6
12,0.82,3.8,2.366398429993518,2.366398429993518,0.82,1.6
13,0.3,4.8,2.8974049980327696,2.366398429993518,0.82,1.6
14,0.84,4.2,2.3723253957092543,2.366398429993518,0.82,1.6
15,0.8,3.0,2.3777746998427185,2.366398429993518,0.82,1.6
16,0.42,5.0,2.216595333157456,2.216595333157456,0.42,5.0
17,0.84,4.0,2.3723253957092543,2.216595333157456,0.42,5.0
18,0.52,2.4,2.610571395889766,2.216595333157456,0.42,5.0
19,0.24,2.8,3.616303556034258,2.216595333157456,0.42,5.0
20,0.54,3.0,2.6549568486736477,2.216595333157456,0.42,5.0
21,0.4,5.0,2.2308944793318206,2.216595333157456,0.42,5.0
22,0.42,1.0,2.301769732935316,2.216595333157456,0.42,5.0
23,0.42,4.8,2.216595333157456,2.216595333157456,0.42,5.0
24,0.42,4.6,2.216595333157456,2.216595333157456,0.42,5.0
25,0.42,4.4,2.216595333157456,2.216595333157456,0.42,5.0
26,0.42,4.2,2.216595333157456,2.216595333157456,0.42,5.0
27,0.44,5.0,2.1885654741882727,2.1885654741882727,0.44,5.0
28,0.44,4.8,2.1885654741882727,2.1885654741882727,0.44,5.0
29,0.44,4.6,2.1885654741882727,2.1885654741882727,0.44,5.0
30,0.9,1.0,2.3679457516692506,2.1885654741882727,0.44,5.0
31,0.44,4.4,2.1885654741882727,2.1885654741882727,0.44,5.0
32,0.44,4.2,2.1885654741882727,2.1885654741882727,0.44,5.0
33,0.44,4.0,2.1885654741882727,2.1885654741882727,0.44,5.0
34,0.44,3.8,2.1885654741882727,2.1885654741882727,0.44,5.0
35,0.44,3.6,2.1885654741882727,2.1885654741882727,0.44,5.0
36,0.44,3.4,2.1885654741882727,2.1885654741882727,0.44,5.0
37,0.44,3.2,2.1885654741882727,2.1885654741882727,0.44,5.0
