P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,46781.096051876186,25339.81784604174,1.8461496580640862
256,400,97493.82813690849,48334.52807370665,2.017063826261787
8192,800,86629.1191862215,40507.42758459579,2.138598384340874
128,1000,243073.99265527652,122342.327095179,1.9868347972993154
2048,600,213060.3196535963,151129.24419825306,1.4097888253454198
256,900,150347.3365380594,54809.75617591053,2.7430761789109845
256,100,46190.493660220425,26277.440229121807,1.7578003510794824
4096,300,23353.869082274312,14461.995710341227,1.6148441439223247
256,200,56641.777659355685,28639.31993050193,1.9777626632478136
2048,400,75680.85737947564,48402.57713588221,1.563570823243857
8192,1000,135909.8115826502,86941.7558164661,1.5632282820415495
1024,500,129041.44910258334,61945.54745447425,2.0831432508917613
256,600,160547.43383615505,87906.4422511642,1.8263443466116251
8192,900,83682.38957780163,51759.85633102995,1.616743080633981
8192,700,104147.81415270855,61004.81435234271,1.7072064763804835
256,1000,124314.26334675765,60266.79191353534,2.062732383782948
8192,900,297913.51636557456,198921.3860550627,1.497644482947199
2048,700,76473.72427728407,50318.98468300632,1.5197787626090695
1024,600,134262.848714138,69227.82344495451,1.9394347826187996
4096,1000,93469.70524865894,51562.0110470629,1.8127629886922962
2048,200,63424.85091184161,37687.22034705516,1.682927271573043
512,800,94578.23436454649,59751.971053248635,1.5828471044120376
128,200,87064.38509990726,38616.9468705205,2.254564178567174
2048,800,141082.2440283103,74910.56325865745,1.883342453869553
512,100,42852.7192022235,25554.08998787344,1.6769417037569734
1024,100,29577.041126166576,16270.879577503554,1.8177899347900275
512,900,98396.60016437103,54814.08894506958,1.7950968821715974
256,800,191645.83899106632,105351.1225342505,1.8191153011090195
1024,100,34604.74095614781,17524.646577519117,1.9746327438374307
1024,700,185988.37851630233,90035.56093891147,2.0657213280705187
256,300,108459.92487770932,59520.11230056764,1.8222399233725057
1024,600,108457.28882625225,93962.56722509673,1.154260595779934
8192,200,74066.05649395488,39439.94833382917,1.8779450689702237
1024,300,68260.5936928083,42559.26499070512,1.6038950322031242
4096,900,164318.86611106468,80527.65400433389,2.0405271722211262
512,900,105978.95344874416,77438.96240069586,1.3685482109170388
4096,100,42572.74494192157,25509.78330366942,1.6688791290437088
8192,700,44760.10104548993,36383.636776576175,1.230226140403494
1024,400,134940.20372283092,70446.65442750564,1.9154948495346007
256,700,103042.25502075483,45533.305579283064,2.2630084442548672
256,400,99007.62046766203,36205.24077560651,2.734621241198014
512,500,135993.87124356764,49051.18395225835,2.772489067255356
256,900,93747.97328865646,57524.791285656356,1.6296968870886153
8192,500,169284.2118719079,106590.45867809009,1.5881741571556316
8192,300,57658.77540148754,29931.832451898452,1.926336300797731
1024,800,104316.04825043207,75099.1938804778,1.389043515120197
4096,800,141072.49411605246,74875.55183262887,1.8840928802954964
4096,800,103496.02853469407,65871.74785380425,1.5711747738103616
8192,500,136880.76140984215,91384.73058369043,1.4978515615854042
4096,700,185257.49478383418,89704.13083446011,2.0652058390232675
4096,800,67653.83292034692,47862.461864898854,1.4135050786002834
4096,100,46678.71397803237,25513.346625527105,1.8295802061235074
8192,600,84677.03964675851,40316.599781882396,2.1003021114099742
8192,800,154268.6662699017,83138.40291443179,1.8555644667444362
512,300,91889.83471435634,55298.68456635139,1.6617001911519294
256,100,74269.97702874971,42169.020106715,1.7612450287153567
128,600,151161.5735266297,72905.33051695603,2.073395353327054
2048,900,217512.5167226744,138680.36028229067,1.568444993075566
8192,1000,67668.23919186465,44746.27273079294,1.5122653812749314
4096,300,58989.69325089491,35747.129315540355,1.6501938583708962
256,500,150197.54088150137,91652.47215266107,1.6387723904634524
256,700,117819.77067921858,58575.713811607675,2.011409900324096
128,500,128633.02401497372,55089.93942571088,2.334963976288922
2048,700,93558.13705101973,61770.21371425966,1.5146157253689705
128,800,204149.11962168614,91299.30067015364,2.236042533986505
512,300,43221.39701257626,29315.379910080832,1.4743590956402202
4096,200,87272.4138982358,48449.352805894276,1.8013122744462826
4096,500,362853.1907936036,230387.8143086843,1.5749669394729187
8192,1000,190585.29321774308,100649.75660009484,1.8935494695231432
128,900,234809.66049321016,106125.13242222022,2.2125735453409554
4096,300,35246.32668697131,24857.044966350284,1.4179612554382592
4096,400,129721.26794587723,65844.558400574,1.970113720813509
128,900,220939.59511504747,106193.97181152053,2.080528596361236
1024,400,80877.36766292324,48012.334238965144,1.6845123017844437
8192,600,54159.7804064146,30879.271782953714,1.7539202603965687
128,400,164185.16579994015,100412.82389322805,1.635101568047953
4096,700,86427.85107190647,46902.72070590232,1.8427044267611161
8192,500,65410.19372056612,40213.293904934864,1.6265813458404401
256,900,137882.40390806287,68784.06403433165,2.0045690210924834
8192,1000,245050.93040796285,132362.96275782728,1.8513557365462627
8192,600,46762.398605574024,25325.579367516777,1.846449312253549
4096,900,76369.99876974724,47239.60737156168,1.6166518525241194
8192,700,256001.6767143868,154802.27547094636,1.6537332925860884
128,300,105057.52431697998,37575.37625782499,2.79591410066325
4096,700,133663.6526675038,74294.70133872438,1.799100746877015
256,100,26076.086589165363,14887.022202248138,1.7515985557694358
2048,500,67633.64974252028,42220.82558082555,1.6019025874575954
512,600,62654.86548546063,39911.47243417489,1.569846003271263
512,500,58920.23028584087,40359.055700854355,1.4599011117248117
512,400,89229.71471203757,58094.73530829689,1.5359346116048849
8192,1000,264949.5425635594,170835.76031156772,1.5509021183875573
