eval_id,P1,value,global_best_value,global_best_P1
1,0.44,3.384792450179527,3.384792450179527,0.44
2,0.24,3.3852263609805378,3.384792450179527,0.44
3,0.62,3.382614713955551,3.382614713955551,0.62
4,0.5,3.3839367862663177,3.382614713955551,0.62
5,0.28,3.3865534981490457,3.382614713955551,0.62
6,0.66,3.382614713955551,3.382614713955551,0.62
7,0.58,3.3827006293456567,3.382614713955551,0.62
8,0.16,3.460209394584211,3.382614713955551,0.62
9,0.36,3.386459449241379,3.382614713955551,0.62
10,0.38,3.3857015814597466,3.382614713955551,0.62
11,0.54,3.383300918712946,3.382614713955551,0.62
12,0.32,3.3858654805468875,3.382614713955551,0.62
13,0.8,3.413282565270713,3.382614713955551,0.62
14,0.42,3.3851204368942307,3.382614713955551,0.62
15,0.68,3.382614713955551,3.382614713955551,0.62
16,0.34,3.387968105524639,3.382614713955551,0.62
17,0.76,3.382614713955551,3.382614713955551,0.62
18,0.1,4.101108551973121,3.382614713955551,0.62
19,0.6,3.382614713955551,3.382614713955551,0.62
20,0.74,3.382614713955551,3.382614713955551,0.62
21,0.2,3.3866402522308654,3.382614713955551,0.62
22,0.7,3.382614713955551,3.382614713955551,0.62
23,0.48,3.3839332421833728,3.382614713955551,0.62
24,0.64,3.382614713955551,3.382614713955551,0.62
25,0.56,3.383057996883057,3.382614713955551,0.62
26,0.72,3.382614713955551,3.382614713955551,0.62
27,0.52,3.383566701621654,3.382614713955551,0.62
28,0.46,3.384288674887165,3.382614713955551,0.62
29,0.22,3.385842096464825,3.382614713955551,0.62
30,0.3,3.3859988607013345,3.382614713955551,0.62
