P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,55599.51874184371,25339.81784604174,2.1941562121579636
256,400,110062.49993720591,48334.52807370665,2.277098884039347
8192,800,102584.99235940502,40507.42758459579,2.5324983213304852
128,1000,200347.75361635577,122342.327095179,1.6375996629563099
2048,600,232960.2736859293,151129.24419825306,1.5414638968241605
256,900,133806.17736019279,54809.75617591053,2.4412839373111828
256,100,56053.40900466798,26277.440229121807,2.133138103099827
4096,300,28304.848692990894,14461.995710341227,1.9571882926746524
256,200,65928.68008457652,28639.31993050193,2.302033716043657
2048,400,95067.40216738061,48402.57713588221,1.9640979425639806
8192,1000,176737.5320458641,86941.7558164661,2.0328268090071324
1024,500,165697.41431478236,61945.54745447425,2.6748882062356243
256,600,221145.97217749435,87906.4422511642,2.5156969900526893
8192,900,96663.47085424389,51759.85633102995,1.8675374644789016
8192,700,131522.55421342942,61004.81435234271,2.1559372913390185
256,1000,101942.58999358818,60266.79191353534,1.6915217611026157
8192,900,404116.44644078607,198921.3860550627,2.031538460771252
2048,700,98144.61950292258,50318.98468300632,1.9504491221594122
1024,600,168623.57951760935,69227.82344495451,2.435777569284522
4096,1000,117571.45847056777,51562.0110470629,2.2801953624976954
2048,200,79687.92811903289,37687.22034705516,2.114454910317089
512,800,125864.13634123355,59751.971053248635,2.10644325404878
128,200,82311.68885026794,38616.9468705205,2.1314913663747777
2048,800,193468.89981762142,74910.56325865745,2.5826651329478842
512,100,53082.90307879663,25554.08998787344,2.0772762052566476
1024,100,31983.705943637196,16270.879577503554,1.9657023328879228
512,900,116013.62922071751,54814.08894506958,2.1164928844658415
256,800,242809.63003566055,105351.1225342505,2.3047654756286167
1024,100,54203.52700896552,17524.646577519117,3.092988310446079
1024,700,257196.5465477889,90035.56093891147,2.856610697658618
256,300,136610.54879493074,59520.11230056764,2.295199782303299
1024,600,116179.15785072115,93962.56722509673,1.2364408645030138
8192,200,87577.03122729197,39439.94833382917,2.220515871015322
1024,300,89328.74335872414,42559.26499070512,2.0989258949428145
4096,900,203375.55746064542,80527.65400433389,2.525536847872161
512,900,155593.37522246563,77438.96240069586,2.0092388947229423
4096,100,53082.90307879663,25509.78330366942,2.080884123824015
8192,700,53594.81089262612,36383.636776576175,1.473047106910723
1024,400,167047.33788265666,70446.65442750564,2.3712600582694763
256,700,105719.98767661997,45533.305579283064,2.3218166643434053
256,400,113124.06087724763,36205.24077560651,3.1245217116044044
512,500,190086.15999455107,49051.18395225835,3.875261404078696
256,900,118204.46934126785,57524.791285656356,2.054843949876995
8192,500,229084.86190159642,106590.45867809009,2.149206080381427
8192,300,78655.52924412148,29931.832451898452,2.6278220476652674
1024,800,125841.62022689867,75099.1938804778,1.6756720508502219
4096,800,193356.66105620432,74875.55183262887,2.5823737698577385
4096,800,158660.1361214409,65871.74785380425,2.4086219250409324
8192,500,176210.63690176376,91384.73058369043,1.928228444470704
4096,700,255819.63602826142,89704.13083446011,2.8518155590889194
4096,800,97782.52808170232,47862.461864898854,2.0429899397509597
4096,100,54439.15022948973,25513.346625527105,2.1337518369707413
8192,600,95366.79601514107,40316.599781882396,2.3654473971288943
8192,800,185175.31645838867,83138.40291443179,2.2273138521674025
512,300,119965.7404322098,55298.68456635139,2.1694139991389156
256,100,90204.62710364675,42169.020106715,2.139120778129785
128,600,125698.06829048994,72905.33051695603,1.7241272675014563
2048,900,285924.1792418258,138680.36028229067,2.061749613714683
8192,1000,85658.40831828032,44746.27273079294,1.9143138208097714
4096,300,67969.00731128876,35747.129315540355,1.9013836526934929
256,500,177057.68038696737,91652.47215266107,1.93183747506615
256,700,141250.5064483988,58575.713811607675,2.4114175868635828
128,500,102611.24510261988,55089.93942571088,1.8626131408438336
2048,700,128303.27058609275,61770.21371425966,2.0771058228745276
128,800,182204.72779588457,91299.30067015364,1.995685908418448
512,300,56852.67168131191,29315.379910080832,1.9393462358562745
4096,200,117995.3384216866,48449.352805894276,2.4354368343044506
4096,500,459039.0653751735,230387.8143086843,1.9924624344937432
8192,1000,243368.88591977805,100649.75660009484,2.4179778882798484
128,900,196197.96806196726,106125.13242222022,1.8487417973849123
4096,300,52817.99684584354,24857.044966350284,2.1248703101010125
4096,400,162887.43531371845,65844.558400574,2.4738177196477102
128,900,164067.49219052948,106193.97181152053,1.5449793372615006
1024,400,93067.81070770259,48012.334238965144,1.938414621636371
8192,600,73161.97947390379,30879.271782953714,2.3692909595844616
128,400,210154.86721989143,100412.82389322805,2.0929086452478955
4096,700,108246.78323367666,46902.72070590232,2.307899874560042
8192,500,82348.97576755288,40213.293904934864,2.047804787198674
256,900,141306.33254371517,68784.06403433165,2.0543469556144
8192,1000,334481.6762825385,132362.96275782728,2.5270035462602167
8192,600,55599.51874184371,25325.579367516777,2.195389804710926
4096,900,95009.9707738132,47239.60737156168,2.0112354030912067
8192,700,318746.4398596498,154802.27547094636,2.0590552618812947
128,300,85686.9642774307,37575.37625782499,2.280402029496287
4096,700,178791.64365315175,74294.70133872438,2.4065194479752323
256,100,33267.992371061184,14887.022202248138,2.2346975720931805
2048,500,82841.77736073367,42220.82558082555,1.962106998645616
512,600,77025.34265955887,39911.47243417489,1.9299048108684806
512,500,74060.86206332034,40359.055700854355,1.8350494276245555
