P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,50836.607018116876,25339.817846041748,2.0061946509239768
256,400,92969.87643942461,48679.56019676214,1.9098339439313254
8192,800,112557.31023565576,62137.90128877687,1.8114115202018495
128,1000,249354.09833603006,125295.95783362567,1.9901208518405284
2048,600,167263.84304242776,95460.11175339336,1.75218570322365
256,900,134992.92976512035,77030.62312975689,1.7524579742491095
256,100,40867.271408757515,26193.65899088914,1.5601971233943395
4096,300,32642.106726288843,20887.76340872541,1.56273824475881
256,200,50029.2949746923,25775.82693292296,1.9409385043158736
2048,400,53306.96891442644,34397.99854935305,1.5497113542214807
8192,1000,110799.44156714455,71441.52524391812,1.5509109189487384
1024,500,126539.85438033636,69330.81468246617,1.825160355606472
256,600,146580.33987368795,65997.13135384436,2.221010775268334
8192,900,80485.6560924777,50985.945546331204,1.578585142043506
8192,700,115491.83399434807,54661.38833726035,2.1128595066368296
256,1000,151588.59943705468,62174.13220982782,2.4381297180870534
8192,900,313684.75647152215,200725.03795784948,1.5627584862501969
2048,700,70801.79790044471,45736.33575987692,1.548042638836777
1024,600,123462.92857446578,69645.19944005155,1.7727414030989872
4096,1000,82610.42196218278,51207.743830232605,1.6132408066260149
2048,200,51123.78527297583,33208.183834406,1.5394935636319869
512,800,98942.42145669463,58281.74602729851,1.6976571259610362
128,200,64736.98417322519,36920.89002320384,1.753397172509645
2048,800,133985.96857018897,69914.3129245496,1.9164311707501793
512,100,53708.279990071234,34744.80913128068,1.545792920811235
1024,100,27174.358182930722,17424.209760559108,1.5595747845300705
512,900,116161.69600936069,65527.226447374065,1.7727241378459984
256,800,157703.26469140538,88988.07431158595,1.7721842607720408
1024,100,31736.344538387842,17010.884101954263,1.8656493306389568
1024,700,231570.76233296128,122698.14519501191,1.887320806397776
256,300,102857.06421142284,58817.967607809784,1.7487354356964486
1024,600,90184.74602038032,56839.82740281852,1.5866470772553458
8192,200,79277.90506253127,48832.439654252754,1.6234680393574614
1024,300,81832.45283099795,51334.02512144949,1.5941172085647526
4096,900,137200.39471619242,68798.33552250691,1.9942400302883525
512,900,111364.04964551788,70503.79592528375,1.5795468624630609
4096,100,53667.020423958515,34460.69141352587,1.5573402106173102
8192,700,39270.26643293995,24919.342184621364,1.5758949871949295
1024,400,127264.60056784429,71121.47502380062,1.7893976541579812
256,700,109354.1792111833,46686.09352875527,2.3423287524330774
256,400,122727.5453960472,59315.77823058138,2.069053952541293
512,500,216252.83806736697,104189.08387589059,2.0755805696973595
256,900,129555.25839859084,57244.69321120439,2.2631837316447223
8192,500,151965.60911008026,87191.89492611904,1.7428868731301965
8192,300,69102.29739188464,37997.38137569971,1.8186068326297167
1024,800,119691.16430901652,76586.05734526525,1.5628323020915522
4096,800,132633.71028457605,69744.6297416748,1.901704988266973
4096,800,124842.19343690392,49156.66889863417,2.539679686073535
8192,500,145662.22972309953,93303.02350633578,1.561173735309963
4096,700,228183.36549755317,121247.84298185878,1.8819581436322474
4096,800,67873.9827337433,43369.83132383738,1.5650045356860238
4096,100,40142.52098467761,25235.008428580157,1.5907472786580807
8192,600,75507.66737304965,37566.49697046091,2.0099736058015325
8192,800,197622.9718073799,84971.24391877686,2.3257629604232424
512,300,74943.04615606176,47234.241688785194,1.5866253691515375
256,100,88317.52134272653,56270.53628076332,1.5695162545113117
128,600,152542.22381089104,74899.47399565695,2.036626102604355
2048,900,247180.93029299195,156586.64072292217,1.5785569519329243
8192,1000,72067.63885729232,45312.78094590863,1.5904483757755201
4096,300,65828.54692518717,41796.45799396132,1.574979079200873
256,500,152183.05399443748,95166.34282014595,1.59912684973139
256,700,104128.63445945206,47967.297444383694,2.1708255417179876
128,500,115686.67971903208,56182.17500713485,2.059134942788179
2048,700,77090.84480213589,48971.50074361899,1.5741981281262014
128,800,197512.69815763357,93497.3020055607,2.1124962316654505
512,300,48165.37672218177,28600.5958497807,1.6840689954559491
4096,200,90323.33562311545,50831.013653404065,1.7769335909567612
4096,500,372741.10953280714,237564.50729901434,1.5690100923352603
8192,1000,188129.1806689273,112393.23827909636,1.673847853745102
128,900,236067.221455779,109443.21737422631,2.1569835675479
4096,300,43288.035498321,27866.80417099782,1.553390738051431
4096,400,119595.6921932356,56915.493482307924,2.101285342108326
128,900,229688.77592953926,109318.34627419793,2.101099986944753
1024,400,68525.78965638815,44207.66491546582,1.550088424426479
8192,600,51344.80199783494,32734.27780938007,1.5685332145351925
128,400,132137.98000907555,81480.70461614145,1.621708852808556
4096,700,105954.70397036658,53915.74341202593,1.9651904483752949
8192,500,90679.0890861845,54509.002824173345,1.6635616941789044
256,900,140800.51774452784,64837.41435415292,2.1715936569501615
8192,1000,235909.13143801212,124535.58998606945,1.8943109472914603
8192,600,50823.773977588666,25325.579367516788,2.0068158457522394
4096,900,70909.10291531857,44998.63267930536,1.5758057232687717
8192,700,290520.81434738415,185768.68163866145,1.563884782863863
128,300,85852.30795376032,38152.527144095155,2.250239089785895
4096,700,164083.2772629434,86344.15596057125,1.9003402770868643
256,100,23554.883821051182,14891.07425106187,1.5818122604130795
2048,500,60908.67468299593,38078.8838745444,1.5995393899586738
512,600,78928.31317215979,50523.437090590436,1.562211870713355
512,500,52599.13615722577,33156.78306802833,1.5863763396258086
512,400,88809.49987498614,57470.31142497088,1.5453109209427107
8192,1000,236937.47684688235,150569.03775101455,1.5736135422389377
128,600,133935.0900249525,72849.63176490327,1.838514303780988
2048,800,133253.12820847606,41519.7534269463,3.2093911261523735
8192,200,43399.269975761265,26972.824218293383,1.6089998446038594
512,400,172004.96330443368,109009.50865491609,1.577889538507489
1024,300,70108.71609584332,35788.66352580134,1.9589643532036176
1024,800,185693.67222687398,105506.57662913551,1.7600198789465311
1024,100,16459.79960791747,10211.848879179503,1.6118334498150129
2048,200,62021.79519264408,40359.96560634527,1.5367157593140566
256,100,70471.63803607452,37681.884279448226,1.8701728797174269
1024,700,156024.39016774553,66874.51640802078,2.3330918644075953
4096,800,86249.58807264736,46857.31231092819,1.8406857717388112
4096,800,198227.94275063183,127268.05412448723,1.5575624544140134
8192,1000,138461.46185972894,61631.005637657836,2.246620194286203
8192,700,187850.7331014973,116555.24523591898,1.6116883690757067
8192,1000,82603.79507955968,51177.51428416821,1.6140642279125543
4096,900,98217.75489356522,60367.665223331875,1.6269927705536709
512,700,193757.8124946647,123260.96281991307,1.5719316810606863
1024,200,49133.682466069164,30960.64519433914,1.586972175730136
4096,700,116679.96496570496,65060.34510421777,1.7934114056542372
2048,700,185070.64430344413,89844.51474818445,2.0598992027744685
8192,300,43059.64007903861,27325.43722463806,1.5758079083987635
8192,500,142716.7012180699,68815.17228508745,2.0739133025319365
8192,700,99096.98192282161,46993.19158217273,2.1087518975922226
256,1000,174368.17903679225,111749.61276708746,1.5603470537317803
2048,100,74816.95247863009,47958.62701914873,1.5600311587059712
4096,700,154331.58654175984,86817.79328982205,1.7776492662806793
1024,800,110253.87329395655,53472.408401124616,2.061883438405922
1024,400,405377.3568878426,257567.86842644215,1.5738661789003887
256,100,20047.09010211768,13011.59979464646,1.5407090917725528
128,900,203711.16628352826,102373.53702350879,1.9898810982446427
512,900,201425.19598091394,114159.9168451615,1.7644126024908808
4096,1000,171605.98129412788,109849.57632880178,1.5621906522468219
8192,300,75782.31702654611,34770.69707161906,2.179488000210442
512,500,229656.58625730974,134723.51647863665,1.7046510680540825
128,800,168002.15320737174,84426.00544789649,1.9899336977521016
128,100,43234.355889211765,26068.19735827815,1.6585096121148697
2048,200,53296.9833528147,20752.375075557742,2.5682353542071517
4096,500,55924.56613845319,35418.499695506645,1.5789648522449424
128,400,134423.45658781455,51327.80354104017,2.618920883305158
1024,700,281442.912918578,145939.20363147225,1.9284942353754488
128,300,99052.41820757567,46426.00783958498,2.1335545056949514
4096,500,208498.6586917201,110169.6014202929,1.8925243987795286
256,500,95846.4426632192,40888.66155932382,2.3440836409907724
512,500,179702.5957268651,114576.28797187006,1.568409999204935
128,800,248952.78778199796,103240.3095790912,2.4113913334527357
128,400,236304.85444175653,142772.5734921948,1.6551137845440256
2048,600,117927.87974751396,51881.5556249558,2.2730212756147368
4096,100,48191.04832187831,31218.56877485844,1.5436661645004204
256,900,488310.50794293283,303266.1858379448,1.6101712975144202
2048,500,50497.74866203689,24114.557614326197,2.0940773399067756
1024,500,115639.7355476483,69563.61906013438,1.6623593928844236
128,200,59278.09813692319,25374.187301930957,2.3361575065071016
8192,200,156111.18871548047,99756.89480744647,1.5649162798903336
2048,800,110165.49719922293,53333.70966416959,2.0655884972733074
512,800,68157.59651159139,36819.879889469856,1.851108605356527
512,800,240459.60846212666,117323.0806231038,2.0495507549328216
1024,600,150932.41237334546,74481.33456651334,2.0264461324677225
128,200,96973.29357853053,60040.30731987671,1.6151365292300384
2048,600,76873.2791387957,50265.19690701414,1.5293539838509733
8192,500,65268.77046242262,34006.78819154014,1.9192865287601466
512,300,57823.910081370566,24111.71881778852,2.398166241002725
512,600,191971.0504661807,94447.6501421378,2.0325656612660694
4096,300,175867.0831590419,112569.83265804852,1.562293191758314
2048,200,20099.535047381778,12653.47289062971,1.5884599604481793
512,800,112513.58400269975,66646.61187663602,1.6882116109812793
128,500,398883.5892916557,253115.47456998134,1.575895705188789
4096,600,127174.34009494436,71456.619906994,1.779741894599423
8192,400,119544.7133740234,56844.504840111076,2.103012660771201
256,100,76366.51911778963,47410.329663996534,1.6107569734066303
2048,1000,95541.30171281546,41036.23401408571,2.328218073813032
2048,500,212364.45563372463,102237.81420332319,2.0771615403610793
2048,1000,317039.35192311875,186143.3911687721,1.7031996136551857
1024,600,50993.17886993868,25425.24871719152,2.0056118009755854
1024,800,255518.1359269306,163828.9339260643,1.5596642778756376
128,200,108601.90385140663,50493.626094343745,2.150804215337827
512,100,24958.557680347087,16101.63022849706,1.5500640199881637
