P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,4845.514768099302,4118.24998149955,1.1765955903276515
256,400,35420.07912930942,23531.7252532983,1.5052053662892737
8192,800,15314.05652863922,14795.02099803586,1.0350817704599584
128,1000,178240.90921536158,119404.61005167401,1.4927472996078237
2048,600,93200.23220681319,91443.0979502153,1.0192156028829484
256,900,74231.80778174983,51518.201495127876,1.4408850780392635
256,100,6363.239779906313,4679.130547151785,1.3599192661507713
4096,300,1245.6299728446274,942.5154884959478,1.3216015949322861
256,200,17482.866461476653,11080.525409985707,1.577801215610335
2048,400,16862.027105164412,16659.391108001237,1.012163469591986
8192,1000,31786.444591159674,31785.267802615333,1.000037023080996
1024,500,16927.979873051005,10972.920970408175,1.5427049842701375
256,600,55865.51617830972,34696.429261633115,1.6101229252453688
8192,900,42072.74163946224,42072.74163946224,1.0
8192,700,30445.3577634223,28301.923922736623,1.0757345630119417
256,1000,83542.92263531128,58863.7101663512,1.4192602267036114
8192,900,26446.50237773516,26446.50237773516,1.0
2048,700,31784.101151865783,31784.101151865783,1.0
1024,600,22992.995647785065,16874.141147700775,1.3626172405768946
4096,1000,26553.166399143785,25339.795717781904,1.04788399618038
2048,200,6277.348043397688,5118.145442873633,1.2264887962764124
512,800,29966.313589012898,21229.958775728857,1.4115106819365035
128,200,40042.969215582765,28092.671302858154,1.4253884503859475
2048,800,30196.565065968083,26497.37844693629,1.1396057586013573
512,100,54326.388437899164,52844.49103612885,1.028042609034822
1024,100,7058.452392173321,6901.431727873591,1.022751897068771
512,900,37347.49374590879,24134.145646769488,1.5474959956126721
256,800,75332.72023969916,46337.580997070676,1.6257370069547108
1024,100,18498.36272949163,16558.912626923186,1.1171242427727461
1024,700,32254.185276563414,15601.0663687365,2.0674346556975527
256,300,24321.64737384499,17275.812740351696,1.4078438878326172
1024,600,74408.68935830472,70364.7320429823,1.0574713666620967
8192,200,2688.4361358938577,2650.3651611722858,1.0143644261852327
1024,300,5627.935947515445,3799.3333703103463,1.4812956376754405
4096,900,16029.37499108379,12984.521812166118,1.2344986764213939
512,900,52350.99729837033,39234.60108057627,1.334306858144342
4096,100,52844.49103612885,52844.49103612885,1.0
8192,700,31666.028577195917,31347.334171878083,1.0101665552665635
1024,400,19779.699819673217,16121.07512688779,1.2269466933184456
256,700,56290.5123149991,38261.990551516115,1.4711861955851278
256,400,34047.959054986044,22632.15194254064,1.5044066132742606
512,500,28594.883448005847,16731.4559896685,1.709049317983019
256,900,69126.11928795227,47728.093563071816,1.4483318759967512
8192,500,17616.634811177104,14826.065726985928,1.1882204716732014
8192,300,4631.559922907227,4160.156593477788,1.1133138426011404
1024,800,44422.88825613809,40846.09768688062,1.087567497798114
4096,800,29728.71743232389,26497.37844693629,1.1219493842328094
4096,800,35257.361306005056,29394.111289795015,1.199470225801507
8192,500,9178.81822404002,9178.81822404002,1.0
4096,700,25394.58127043795,15601.0663687365,1.6277465059264797
4096,800,13010.33542965949,12582.997544262242,1.0339615329252059
4096,100,2685.399498342895,2685.399498342895,1.0
8192,600,43098.54140707002,43098.54140707002,1.0
8192,800,39024.93016916831,34870.55437275946,1.119137073417284
512,300,41611.61421383009,37353.09082643066,1.1140072559774932
256,100,7526.594224979934,4829.618848163767,1.5584240623546437
128,600,107981.77978850961,70900.57950763027,1.5230027813367686
2048,900,36924.18610590262,35054.15888407378,1.0533468005326594
8192,1000,8698.577738159313,7701.877971338275,1.1294099660537535
4096,300,7791.32631773949,7534.510577709549,1.0340852584094469
256,500,41906.62551167307,27381.290499521965,1.5304839453204258
256,700,90803.24785589895,52807.571677195476,1.7195118989936742
128,500,77458.57685616562,53535.80791606614,1.446855476200262
2048,700,72628.78588905932,69459.09380371566,1.04563393951411
128,800,132608.74966158107,89245.39881899078,1.4858889244311704
512,300,13197.437794946336,8874.280036111113,1.4871558865895016
4096,200,5917.549620729871,5846.530584549667,1.01214721023916
4096,500,31281.94741052828,31281.94741052828,1.0
8192,1000,18419.55274783386,11706.78763223605,1.5734079515642192
128,900,154759.53435199452,103084.41806074536,1.5012893050509162
4096,300,11511.247397071613,11243.031887069747,1.0238561548785015
4096,400,16081.464921686897,16058.873985478984,1.0014067571753997
128,900,147807.26748841643,103160.92321660006,1.432783488938689
1024,400,19728.15199103042,19518.106129237913,1.0107615903101306
8192,600,6183.7050416895545,6143.604662733954,1.0065271743800253
128,400,68394.44035981191,46532.572763232245,1.4698185872467777
4096,700,8917.639806989604,7645.6808588148915,1.166363071080614
8192,500,12395.199388157413,12395.199388157413,1.0
256,900,72420.44222641819,51088.94408718973,1.4175364850528829
8192,1000,21190.926534383023,16650.77136654941,1.2726693597483758
8192,600,4299.288278497037,4118.24998149955,1.0439600067530546
4096,900,22743.47719400858,21576.530603346437,1.0540840699607728
8192,700,12303.529098815054,12303.529098815054,1.0
128,300,66478.47178636144,32755.432020731212,2.0295403749914396
4096,700,37377.960594010874,37261.21500737222,1.003133166393408
256,100,7902.506805535553,5731.651529726247,1.3787486494164083
2048,500,32015.567802623307,28634.316507153108,1.1180838835327371
512,600,35562.38160269724,17725.14487690757,2.0063238890096824
512,500,24995.547779787677,24995.547779787677,1.0
512,400,16728.205085224912,10699.281702643733,1.5634886107439778
8192,1000,37945.93275199021,37945.93275199021,1.0
128,600,98969.65288825666,69365.62215019029,1.426782458232232
2048,800,14247.94179033954,9344.456009563955,1.5247481261356377
8192,200,2246.1903057130307,2246.1903057130307,1.0
512,400,16151.082104511084,9893.49469570031,1.6324951497199778
1024,300,7154.729266914143,3874.652043565825,1.8465475574239378
1024,800,57442.411136618306,54042.00044115176,1.0629216288758476
1024,100,10044.559752001076,8256.468069310878,1.2165685941833284
2048,200,8076.591837722183,7479.733511501313,1.0797967367825476
256,100,8079.818240532554,5741.098881538105,1.40736441006358
1024,700,14151.119004128093,9298.972325300192,1.5217938616320448
4096,800,10859.059463003972,8113.94962465907,1.3383198029726795
4096,800,17609.134791124845,17329.60230789093,1.0161303461134032
8192,1000,25405.097236080936,24653.74296094643,1.0304762760090713
8192,700,17717.59980583012,16443.27112892882,1.0774984896198274
8192,1000,25374.659047595855,25339.795717781904,1.001375833104664
4096,900,15599.894399356024,15123.145179145105,1.0315244755349144
512,700,35020.4709399102,23042.05276203695,1.519850305941854
1024,200,10163.23718276756,7925.6844354705545,1.2823166586450347
4096,700,121017.09722353477,119281.29786603454,1.014552150157267
2048,700,8963.422867613153,8384.147776288468,1.0690917081594096
8192,300,1212.2571135448982,1134.6245423979938,1.0684213748654074
8192,500,29540.462615440894,28805.068012604806,1.025530042231259
8192,700,40693.286771595005,38693.833645176644,1.0516736890108485
256,1000,87448.50811907013,55694.48421872097,1.5701466553787649
2048,100,6586.811658244565,6527.528362389177,1.0090820433959307
4096,700,53115.53677715648,51410.44753159222,1.033166201179565
1024,800,87805.63783255276,83688.43623733887,1.0491967801087545
1024,400,42350.17702760338,40694.6858930326,1.0406807694479396
256,100,7334.452759819266,5063.0781886625155,1.4486153455506416
128,900,153794.01340944937,96720.06020199122,1.5900942688441704
512,900,39311.94297763676,27287.43887670948,1.44066078004816
4096,1000,55420.91730641427,55420.91730641427,1.0
8192,300,3306.6504114343606,3203.678826598781,1.0321416691275824
512,500,20438.182858807853,13699.604154479855,1.491881271045663
128,800,118992.99080758751,79920.49096406845,1.4888921398278911
128,100,15548.184670334336,9931.189861419074,1.5655913226204947
2048,200,3967.741569509552,3631.3880687245173,1.0926239483138398
4096,500,88429.00534546211,88189.90415189893,1.0027112082257323
128,400,71014.65303340829,48772.789542903934,1.4560301696694808
1024,700,18351.050488716985,10218.636013742087,1.7958414864800327
128,300,56704.19505106542,36726.85726982461,1.5439435679037672
4096,500,27627.052090761845,25343.09726656832,1.0901213770428304
256,500,58287.66083553567,40962.13789004808,1.422964323590564
512,500,91664.75285908586,81134.30977008452,1.1297902591251732
128,800,145407.12673431126,97370.5352483193,1.4933380653961343
128,400,104850.41524362922,56129.50996388722,1.8680087410541837
2048,600,8638.415984363219,7161.983183316524,1.2061485992435683
4096,100,1609.8572306473563,1609.8572306473563,1.0
256,900,88534.61573822761,54102.139652541075,1.6364346457796575
2048,500,28558.722708117162,26754.332671641892,1.0674429094764089
1024,500,31759.750233483664,29622.079368073526,1.072164780832844
128,200,33502.18058080485,22418.17440326771,1.4944205526352548
8192,200,13392.711084435161,13392.711084435161,1.0
2048,800,84974.97123785355,83688.43623733887,1.0153729124160724
512,800,53444.871694935384,41317.49187667394,1.293516844015114
512,800,45986.46951173254,29827.20615276463,1.5417625531605526
1024,600,23108.698378603058,17584.595758729552,1.3141444191079095
128,200,35466.55644840101,24735.736732623263,1.4338184801920686
2048,600,18061.50387961382,14204.411019232688,1.271541907310247
8192,500,13638.724541750804,13172.843391400284,1.0353667872992907
512,300,12090.95170517798,7439.888445540946,1.6251522846991908
512,600,27078.567436525675,15899.34500755958,1.703124715115671
4096,300,8964.445714442161,8964.445714442161,1.0
2048,200,4048.6209029163915,3331.151264730722,1.2153818848702649
512,800,37145.02352921381,23329.424969424435,1.5921962747858598
128,500,103056.85206466471,58552.39607217396,1.7600791594870486
4096,600,20811.50295637882,19273.016075016418,1.079825953310792
8192,400,16058.873985478984,16058.873985478984,1.0
256,100,10173.477265582565,6271.106141717587,1.6222779579355298
2048,1000,25602.665711924037,19519.021354171116,1.3116777346243784
2048,500,11564.033407490228,8999.368116979864,1.2849828184793768
2048,1000,16918.01951585371,11945.840872571735,1.416226760118524
1024,600,10881.095758827742,7574.492106364061,1.4365446033913591
1024,800,34352.921508140134,30245.172080792294,1.1358150456666285
128,200,30964.69351474585,20554.7935583826,1.5064463394777279
512,100,2507.117137454575,1647.1095834763269,1.5221313521612503
4096,900,17896.501400267087,17795.006342265573,1.0057035696447294
8192,900,29297.335487802033,29139.288958476114,1.0054238293031494
8192,300,5064.4622378839895,4437.796551663437,1.141210999405923
4096,1000,65829.32422600314,64026.0449036331,1.0281647777101364
128,200,31991.48185001103,22869.25446081218,1.3988860854572382
4096,200,27366.490666336336,27366.490666336336,1.0
8192,600,11572.508574473477,6739.31208828464,1.717164663525626
4096,800,26387.347024532868,25954.7004250599,1.0166692965970525
2048,500,36124.9913760725,29096.494408489692,1.2415582052225527
128,300,64333.92937942074,42868.394179046576,1.5007310306684218
