P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,93200.45216009195,25339.817846041748,3.678023761905238
256,400,158124.89366275762,48679.56019676214,3.248281065474275
8192,800,205172.0832741531,62137.90128877687,3.3018830539616335
128,1000,209659.17387071246,125295.95783362567,1.6733115536664682
2048,600,293881.3763128302,95460.11175339336,3.0785777526850997
256,900,232233.09424750207,77030.62312975689,3.0148152100017294
256,100,74571.49581152535,26193.65899088914,2.8469293212324147
4096,300,56324.76792392811,20887.76340872541,2.6965437525206584
256,200,85098.84870328753,25775.82693292296,3.3014982962425323
2048,400,94686.04671751693,34397.99854935305,2.75266151260704
8192,1000,196194.57057091326,71441.52524391812,2.7462259505386957
1024,500,233504.20509658812,69330.81468246617,3.3679714592426615
256,600,233053.07836373907,65997.13135384436,3.5312607318373033
8192,900,147680.40966770845,50985.945546331204,2.8964925154425245
8192,700,205731.72949393687,54661.38833726035,3.763748703647512
256,1000,171591.08640130516,62174.13220982782,2.7598469058194897
8192,900,563927.349815192,200725.03795784948,2.8094519525442156
2048,700,124778.21224649169,45736.33575987692,2.7282074563558667
1024,600,208871.2722188803,69645.19944005155,2.999076374225481
4096,1000,143004.80210620956,51207.743830232605,2.792640163571916
2048,200,87606.16752230021,33208.183834406,2.638089693768019
512,800,165827.69197143646,58281.74602729851,2.845276665077341
128,200,110699.96359667977,36920.89002320384,2.9983015990976285
2048,800,236966.85337252863,69914.3129245496,3.389389718071884
512,100,96566.78924051454,34744.80913128068,2.779315577059126
1024,100,48210.58141988587,17424.209760559108,2.766873337866594
512,900,195563.71978385956,65527.226447374065,2.9844650901090684
256,800,261722.58120366943,88988.07431158595,2.9410972563274584
1024,100,55813.60345133158,17010.884101954263,3.2810524789196314
1024,700,408306.509105529,122698.14519501191,3.3277317147425634
256,300,162683.1800943305,58817.967607809784,2.765875576984908
1024,600,156412.11000296826,56839.82740281852,2.7518048021942487
8192,200,147286.45939250325,48832.439654252754,3.0161601680221657
1024,300,153221.76743078034,51334.02512144949,2.9847994009485515
4096,900,248152.97603595036,68798.33552250691,3.606961914867385
512,900,197237.62634119982,70503.79592528375,2.7975461995014
4096,100,96546.21724396534,34460.69141352587,2.8016332024629897
