P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,20568.431184176403,18779.00655706,1.0952885671390142
256,400,53698.48952071534,43244.960742362484,1.241728252238015
8192,800,49275.235707620544,46379.37991347244,1.0624384327593588
128,1000,176644.47432744072,119404.61005167404,1.4793773393757186
2048,600,123271.38913361254,111680.57587899217,1.1037854001324208
256,900,88232.98067870819,51518.201495127876,1.7126564615624726
256,100,14965.522786184461,12924.548421892341,1.1579145589980537
4096,300,21064.591513573716,17279.41691731119,1.2190568474836896
256,200,27927.51201370896,22891.533499154106,1.2199930605234877
2048,400,33892.494582133804,21733.26502109654,1.5594755113524943
8192,1000,62032.53268992327,60202.342442558154,1.030400648431768
1024,500,83853.15369165002,53664.96732667876,1.562530601783552
256,600,86466.69412587881,58028.72573355824,1.490067083721516
8192,900,53439.43114923141,52575.017380802,1.0164415308162134
8192,700,56097.55175189935,35360.41439156067,1.5864506317914626
256,1000,96091.23137462068,58863.710166351215,1.632435860788642
8192,900,155355.00490904675,149649.57060028278,1.0381252968911172
2048,700,41985.165802251584,41611.35817859911,1.00898330744332
1024,600,61443.72204261899,43965.34404781527,1.3975489871248319
4096,1000,34733.7054259545,33915.21825046568,1.0241333306318197
2048,200,14288.774545977485,12441.910416424595,1.1484389509118182
512,800,59255.18590418364,54149.74440156318,1.0942837599520245
128,200,46795.211909629696,38939.521911435,1.2017407921972405
2048,800,92166.09909153012,71810.48771496736,1.2834629317288437
512,100,61033.210156988105,60573.79424177784,1.0075844004979533
1024,100,9992.637569013146,9640.921141579869,1.03648162061158
512,900,60943.955168787004,46304.128599874144,1.3161667655042029
256,800,114933.98943256661,86969.02217444926,1.321550898916893
1024,100,30745.763838779218,20829.72320776272,1.4760524435255595
1024,700,141162.18362503086,101971.47650017287,1.3843300937668737
256,300,43536.42272762417,35896.699653227304,1.2128252220454483
1024,600,87899.67342390552,86765.25402755744,1.0130745816290445
8192,200,21770.353911324895,18018.92824454402,1.2081936070707633
1024,300,19756.855983681424,18573.116360380285,1.0637340336609458
4096,900,64008.36383860292,52757.84825268096,1.2132481888199496
512,900,60263.50897821448,53309.00486140186,1.1304564610593208
4096,100,60978.76334769347,60573.79424177784,1.0066855496008589
8192,700,41993.252240074944,41694.171098573366,1.0071732123129271
1024,400,73429.70124054214,63377.543120814065,1.1586075702014205
256,700,65070.72853087353,38261.990551516115,1.7006623960993876
256,400,41809.708613561896,22632.151942540644,1.847358957279447
512,500,111068.27009980807,62904.27191045394,1.7656713403807769
256,900,82360.89871550232,47728.093563071816,1.7256272473289527
8192,500,88076.10569120766,84889.56492633495,1.037537484938672
8192,300,34552.88077145807,23136.448596413335,1.4934392643482257
1024,800,68388.41934216283,66116.18200423285,1.034367340476262
4096,800,92166.09909153012,71810.48771496736,1.2834629317288437
4096,800,70664.8502497869,64362.85987349461,1.097913461096646
8192,500,68814.03432933813,66624.56129320196,1.032862851081311
4096,700,141133.38908373428,101971.47650017287,1.384047715377496
4096,800,45356.3239437646,43948.578664085064,1.0320316452197338
4096,100,8622.340778051404,8321.239576006265,1.0361846572610822
8192,600,61866.373488414254,60947.46333963169,1.0150770860414962
8192,800,88992.33984096773,62102.16000225037,1.432999107241084
512,300,52314.474653261874,51521.92639179481,1.0153827373503115
256,100,19420.877311689543,17954.53769414384,1.0816695836186287
128,600,105968.26274468875,70900.57950763027,1.4946036193298606
2048,900,133200.96871768986,129752.604791726,1.0265764524072487
8192,1000,31262.586680269673,28498.849543516073,1.0969771475347991
4096,300,19272.520835111594,18481.458954016285,1.0428029996475685
256,500,74952.16163516633,66627.75825410518,1.1249389683698123
256,700,93615.06234892314,61827.216222082076,1.5141400190598875
