P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,63034.15495369684,32086.250269673834,1.964522324170527
256,400,100356.07582632743,69344.18366491112,1.4472169188878727
8192,800,123348.31864503339,68639.61815064191,1.7970426113723923
128,1000,243230.14280428283,125295.95783362567,1.9412449292838014
2048,600,257835.96868062989,191374.78812730435,1.3472828432819213
256,900,147691.00955806382,79309.82918527524,1.8622030973366956
256,100,43428.7676933274,27744.76099020595,1.5652961547824467
4096,300,35092.1566494519,24265.13520631133,1.4461966253674314
256,200,55485.44457295821,32996.77807816611,1.6815412838647052
2048,400,68278.8493832752,49006.50439213838,1.3932609605640123
8192,1000,136591.04381173055,97895.23348711745,1.3952777775406733
1024,500,165793.6187285803,103433.70181766388,1.6028974677987105
256,600,190678.86766064627,107515.86756387605,1.773495131287132
8192,900,91796.02126879772,76055.59330000391,1.206959505354263
8192,700,142527.6296558578,80626.46962808013,1.7677523313785166
256,1000,149250.1678783612,66688.81108753479,2.2380091269352143
8192,900,393905.9918356702,294265.0674249581,1.3386094220515046
2048,700,78440.51331219233,53921.858220267735,1.4547071614588518
1024,600,140449.86719508294,87981.12037524463,1.5963637038952907
4096,1000,91085.02497707424,57823.110280004155,1.5752356546716653
2048,200,61737.98720764029,43211.18708703341,1.4287500846318177
512,800,111838.18294834589,76745.1936743743,1.4572662807115875
128,200,73674.10693932566,55080.46923257345,1.3375722459487749
2048,800,162542.76704645916,91530.45019922058,1.7758327058664822
512,100,95248.78781825343,81541.92332472774,1.1680959184509332
1024,100,34194.159491128594,26126.125239736124,1.3088109766511231
512,900,123771.79394226955,83768.9354752691,1.4775381021621123
256,800,213551.0247994333,140690.70674223357,1.5178758408733475
1024,100,44600.97279375697,26128.92828146623,1.7069576032092113
1024,700,346696.29208780895,209079.4040392636,1.658203942568642
256,300,115777.83700742232,73378.01257741736,1.5778273755407464
1024,600,140159.41698120785,121589.27436436518,1.1527284599231487
8192,200,96529.23209925079,66804.37457564907,1.4449537580797405
1024,300,92479.19156353468,60661.299768006524,1.5245171454817603
4096,900,166642.12817840336,83867.31024046338,1.9869735621734974
512,900,120593.79004614863,83934.36071927342,1.4367630731052592
4096,100,95248.78781825343,81541.92332472774,1.1680959184509332
8192,700,51279.17114335454,48366.36010081021,1.0602239043102095
1024,400,145007.44014457043,93715.09953214714,1.5473220523532438
256,700,97843.22517471731,54206.33391376397,1.805014619331656
256,400,134740.5720358668,62094.6152682652,2.169923615014793
512,500,304605.71585041087,150411.49619722992,2.025149164469389
256,900,115800.33884322556,65851.69814960258,1.7585019384033063
8192,500,201412.5630170691,145171.26830844925,1.387413400488604
8192,300,80809.31540028809,49207.11959862682,1.6422281177893445
1024,800,144079.6659098653,113583.42103934956,1.2684920439220675
4096,800,162542.76704645916,91530.45019922058,1.7758327058664822
4096,800,153962.3574738886,80495.74766274964,1.91267690461041
8192,500,172060.45141086722,126547.99516819877,1.3596458101305868
4096,700,346684.10192480875,209079.4040392636,1.6581456385809479
4096,800,100184.1479318085,76289.52886222344,1.313209681930767
4096,100,43892.9476725254,27021.11397775278,1.6243944534878785
8192,600,99222.95772783621,71516.09563181561,1.387421346918365
8192,800,247803.6191974065,111382.24810651336,2.2248035338668615
512,300,86437.02805712537,64288.232254330745,1.3445233291712197
256,100,99677.26411084388,66621.99147149005,1.4961615813225784
128,600,159866.14933303802,74899.47399565695,2.134409506564864
2048,900,337763.42422813055,246837.67939689083,1.3683625006255224
8192,1000,79976.27568281502,55350.7803146872,1.4448987932622424
4096,300,69909.18759037594,44478.45983108848,1.5717537849975753
256,500,172160.0455478181,126547.99516819877,1.3604328169639903
256,700,134777.1031085307,88059.66488743904,1.5305202816841006
128,500,126435.69063733255,56182.17500713485,2.2504591646954903
2048,700,126391.30776122566,82723.15596316708,1.5278830490643036
128,800,195435.03075770772,133043.65281458962,1.4689541862629634
512,300,53497.29222098364,36792.68253707005,1.4540198901529684
4096,200,118255.96553331093,87248.16939999937,1.355397670192399
4096,500,492613.24643211026,374127.1854931126,1.3166999499991665
8192,1000,238788.57519842303,150682.91879743664,1.5847089842971984
128,900,234851.46697165276,109443.21737422631,2.145875026394828
4096,300,47819.939803530535,36076.63280186646,1.325510062598096
4096,400,153879.31045788352,80803.01007103526,1.904375967214658
128,900,220595.53338695536,109318.34627419793,2.0179186834170197
1024,400,77045.26028466974,55614.3310578869,1.3853490425781834
8192,600,54176.848419695205,36813.11504024967,1.4716724830392884
128,400,150530.3347465991,101350.91774796846,1.485238990345664
4096,700,130922.52043983706,83298.65199605712,1.5717243593093702
8192,500,98969.3884055998,62291.80850112228,1.5888026176638734
256,900,136338.2980703281,72343.07089417889,1.8846075565379214
8192,1000,338248.7430232439,193587.99783544827,1.7472609190925086
8192,600,63034.15495369684,32086.250269673834,1.964522324170527
4096,900,95381.21131976298,74506.27131782444,1.2801769519896045
8192,700,359824.1636857191,257665.43434439163,1.3964782067150834
128,300,78308.11314327182,39128.1871492468,2.0013222908738624
4096,700,199739.81619226802,120542.04638444567,1.6570136494550316
256,100,25517.27364380007,16062.953290333515,1.5885792097245308
2048,500,72940.99994974563,64798.784885890724,1.1256538232652538
512,600,84696.54040598919,54759.00301290296,1.546714434994954
512,500,59154.84639376888,40793.162330552455,1.4501167110906783
512,400,103402.04331599131,74066.52558882261,1.3960698506370295
8192,1000,381461.4769943283,296829.78369162104,1.2851186031609008
128,600,142345.99405283848,72849.63176490327,1.9539699872774983
2048,800,146320.84076069295,80691.6874824957,1.8133322691068279
8192,200,51393.95276082344,41095.10804137316,1.2506099925344338
512,400,227921.94707272112,161388.29849094016,1.412258194701247
1024,300,86521.51977371887,42146.23556164081,2.0528884399931084
1024,800,239411.21175740234,164504.5334558055,1.455347197600002
1024,100,21730.298185069812,18958.590370662885,1.1461979904738042
2048,200,76436.37814925244,57462.271367614376,1.330201127279696
256,100,77067.63725123837,54998.76131684471,1.401261326727999
1024,700,193913.28580874394,99618.79371512462,1.9465532413820332
4096,800,99202.52186931015,63505.82912459984,1.5621010423259352
4096,800,274223.87606938893,202353.75339573988,1.355170692253451
8192,1000,165679.0975138552,97107.11998289233,1.7061477834276562
8192,700,221666.27357516918,143967.24459588702,1.5396993545120743
8192,1000,91085.02497707424,57823.110280004155,1.5752356546716653
4096,900,113616.60830918407,71933.22533163877,1.5794732932573161
512,700,244664.09436435363,177200.19832819805,1.380721334810267
1024,200,69932.04674568777,54881.936751014604,1.2742270205031518
4096,700,189829.2019094954,168001.64809777957,1.1299246409714496
2048,700,271282.8038687211,177106.47023915342,1.5317498197688537
8192,300,55773.35728063382,42831.51684479748,1.3021569486490956
8192,500,198321.24636809176,105591.85204537216,1.8781870241548029
8192,700,116465.7956148358,61680.706160931106,1.8882046407018258
256,1000,197318.7491133613,147856.9083645297,1.334525057340488
2048,100,104590.09807768966,80097.32978272869,1.305787575708202
4096,700,193252.54709115392,124421.16221479316,1.553212842985138
1024,800,140554.32389679505,124249.35109939276,1.1312278305933299
1024,400,592938.226297926,447124.8921868822,1.3261132105570608
256,100,21970.739141791426,18030.171622542253,1.2185540771182939
128,900,196548.34322845016,106569.95671190214,1.8443128747794537
512,900,242598.9188902206,155561.6151421717,1.5595037289147666
4096,1000,194809.23421688643,147856.9083645297,1.3175524659057487
8192,300,103790.62859594217,59646.42706960382,1.740098002430635
512,500,286013.02532058966,191297.86620507852,1.4951187433213338
128,800,160368.6728437193,84426.00544789649,1.899517476788486
128,100,47618.555151875844,33864.52550884084,1.4061486005302013
2048,200,60514.073337576265,38158.64128795635,1.5858550329640733
4096,500,103557.13171346688,100808.81710997372,1.0272626411288506
128,400,127128.91353516128,56697.870143421365,2.242216739598498
1024,700,344203.8053322567,203696.4792654518,1.6897877006685988
128,300,103086.63070100578,56263.074324413734,1.8322253438659735
4096,500,246389.5234773829,144967.29718427974,1.6996214198860113
256,500,98366.14351164925,64740.90042417872,1.5193817643430945
512,500,268851.0071852265,225641.9561793339,1.1914938681507938
128,800,203579.1847524989,103240.3095790912,1.9718963027376362
128,400,327426.69514346326,248839.23122737743,1.315816214061023
2048,600,158721.31093018965,92901.70772451619,1.7084864726152291
4096,100,68404.8747021518,53822.603263146375,1.2709321094654347
256,900,643440.5876138071,471069.48858223285,1.36591437825947
2048,500,59225.32080626876,46117.50017027101,1.284226607851731
1024,500,141586.38507946802,94363.66759019131,1.500433256731379
128,200,67146.1922345142,34021.21650844406,1.9736564157795042
8192,200,211534.3570726572,148803.6312079928,1.4215671711463915
2048,800,140554.32389679505,124249.35109939276,1.1312278305933299
512,800,106111.75348471485,82757.78660001053,1.2821966106655316
512,800,284664.6348172811,151102.0773920206,1.8839227079502325
1024,600,178611.10673754837,105019.85128070624,1.7007366184526485
128,200,104005.3688646522,70374.68498825342,1.4778804179658105
2048,600,84696.54040598919,54759.00301290296,1.546714434994954
8192,500,73321.93928673188,44043.12302968092,1.6647761158381025
512,300,85411.63436672221,53292.82538852232,1.6026854223630134
512,600,228215.71688859575,123966.35877611427,1.840948779505236
4096,300,218204.13089951462,151327.6818856169,1.4419313649729149
2048,200,27095.690531729037,20700.962951012414,1.3089096674318659
512,800,140129.13126761327,108006.22245017193,1.2974172051268718
128,500,497524.8085914917,375731.15576153254,1.3241510611040694
4096,600,158983.79996501977,110655.08892051583,1.4367509123707698
8192,400,153879.31045788352,80803.01007103526,1.904375967214658
256,100,92375.14267792288,64601.3564317874,1.4299257442908624
2048,1000,128004.98072276209,60509.32359768595,2.1154587939842275
2048,500,304479.37710068043,150399.0297809245,2.02447700323728
2048,1000,418493.7973090189,254936.71337053613,1.6415595532557203
1024,600,63034.15495369684,32086.250269673834,1.964522324170527
1024,800,304356.154713749,220831.60557494673,1.3782273326381054
128,200,129476.44685418301,63311.651754383245,2.0450650593746196
512,100,28318.82222166866,19361.98507836203,1.4625991140400336
4096,900,192970.44218551292,138660.26103350002,1.3916780535909397
8192,900,350177.8826517316,227394.75968666168,1.5399558157552038
8192,300,84244.11142542787,49550.41489560321,1.700169647477627
4096,1000,254845.72418418655,182480.7972512204,1.3965618740329246
128,200,79971.16168721704,52625.615790818134,1.5196242454453146
4096,200,68593.20998524492,55080.40807549345,1.2453286455545276
8192,600,268716.458384991,147890.2175992439,1.8169995470096925
4096,800,138675.540870087,96700.03304942673,1.434079560233502
2048,500,89654.20234690719,63587.77275587825,1.4099283315221836
128,300,101599.71824060108,45007.6355113429,2.2573884872267005
128,100,48152.99119878581,29276.558469929165,1.6447626946399863
128,400,108973.50016370002,70067.20077666298,1.5552712104348174
4096,1000,96973.33492284051,75618.70934949408,1.2823987047259662
2048,800,140070.61222772996,108005.60745631279,1.2968827779093521
2048,100,41566.08168463234,30198.110141443554,1.376446456084267
128,900,231377.77253315985,107296.26736457921,2.1564382267555247
8192,700,102601.73234931046,68714.9288586522,1.4931505286189557
1024,700,169102.3925710152,114978.99996643869,1.4707241550228705
512,700,80807.22446549402,72744.33423628379,1.1108387383548088
8192,1000,1497372.2232991287,1137530.3818757026,1.3163360268497388
8192,1000,164836.4421944396,114821.68959577374,1.4355862796893275
1024,100,49681.93450189589,43929.616859217924,1.1309439520292774
8192,1000,393540.7238555879,270407.67287867976,1.4553607879024668
4096,900,137605.09023739706,89987.30710479997,1.5291611079898304
8192,600,289421.48265924904,212721.5108913956,1.3605651889479689
8192,1000,112387.83680276402,88788.38772271542,1.2657943193399264
2048,100,75063.60121704181,49628.83987756196,1.51249961518805
512,800,77058.06770677914,49694.143521465914,1.5506468619082465
2048,200,44093.11976612898,38263.86021787016,1.1523437393683664
2048,600,152495.51598816813,64352.41237737711,2.369693852250634
1024,100,54844.988502881955,38902.58936820653,1.4098030335148972
256,700,153900.12135117772,99443.58346047232,1.5476123847885193
128,1000,238431.2206760513,118514.74706755942,2.011827444057518
