P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,4845.514768099302,4118.24998149955,1.1765955903276515
256,400,36559.536743774945,23531.7252532983,1.553627553876468
8192,800,15314.05652863922,14795.02099803586,1.0350817704599584
128,1000,186173.76184145128,119404.61005167401,1.559184036201634
2048,600,93200.23220681319,91443.0979502153,1.0192156028829484
256,900,78060.7938521473,51518.201495127876,1.5152080543714161
256,100,6694.996274809281,4679.130547151785,1.43082057817014
4096,300,1245.6299728446274,942.5154884959478,1.3216015949322861
256,200,18181.886973457076,11080.525409985707,1.6408867179774402
2048,400,16862.027105164412,16659.391108001237,1.012163469591986
8192,1000,31786.444591159674,31785.267802615333,1.000037023080996
1024,500,16785.304646117736,10972.920970408175,1.5297025004904734
256,600,57720.116489002794,34696.429261633115,1.6635751204758407
8192,900,42072.74163946224,42072.74163946224,1.0
8192,700,30445.3577634223,28301.923922736623,1.0757345630119417
256,1000,87970.95946701226,58863.7101663512,1.494485468523863
8192,900,26446.50237773516,26446.50237773516,1.0
2048,700,31784.101151865783,31784.101151865783,1.0
1024,600,23347.936128092733,16874.141147700775,1.383651821074998
4096,1000,26553.166399143785,25339.795717781904,1.04788399618038
2048,200,6277.348043397688,5118.145442873633,1.2264887962764124
512,800,30720.31126309032,21229.958775728857,1.447026420899663
128,200,40874.533214120136,28092.671302858154,1.4549891953479537
2048,800,30196.565065968083,26497.37844693629,1.1396057586013573
512,100,54439.64321986299,52844.49103612885,1.0301857800587684
1024,100,7066.808977890968,6901.431727873591,1.0239627452010356
512,900,36704.39053157134,24134.145646769488,1.5208489692894707
256,800,77577.60566105416,46337.580997070676,1.6741833300697846
1024,100,18358.704783778885,16558.912626923186,1.1086902381457955
1024,700,32112.983349094415,15601.0663687365,2.0583838687749383
256,300,25293.240013448754,17275.812740351696,1.464083941727991
1024,600,74582.61226220193,70364.7320429823,1.059943100709076
8192,200,2688.4361358938577,2650.3651611722858,1.0143644261852327
1024,300,5606.351856406147,3799.3333703103463,1.4756146170843112
4096,900,16029.37499108379,12984.521812166118,1.2344986764213939
512,900,52763.31300737129,39234.60108057627,1.3448158399523686
4096,100,52844.49103612885,52844.49103612885,1.0
8192,700,31666.028577195917,31347.334171878083,1.0101665552665635
1024,400,19739.54973658634,16121.07512688779,1.2244561594817842
256,700,58399.8094383994,38261.990551516115,1.5263139370590153
256,400,35364.051384241,22632.15194254064,1.5625580578472866
512,500,30023.52791305212,16731.4559896685,1.794436056945154
256,900,72316.92864710595,47728.093563071816,1.5151857794516856
8192,500,17616.634811177104,14826.065726985928,1.1882204716732014
8192,300,4631.559922907227,4160.156593477788,1.1133138426011404
1024,800,44453.783395196595,40846.09768688062,1.0883238770070987
4096,800,29728.71743232389,26497.37844693629,1.1219493842328094
4096,800,35257.361306005056,29394.111289795015,1.199470225801507
8192,500,9178.81822404002,9178.81822404002,1.0
4096,700,25394.58127043795,15601.0663687365,1.6277465059264797
4096,800,13010.33542965949,12582.997544262242,1.0339615329252059
4096,100,2685.399498342895,2685.399498342895,1.0
8192,600,43098.54140707002,43098.54140707002,1.0
8192,800,39024.93016916831,34870.55437275946,1.119137073417284
512,300,41483.45734389288,37353.09082643066,1.1105762984020484
256,100,7673.259771683012,4829.618848163767,1.5887919964119743
128,600,113489.89560724345,70900.57950763027,1.6006906628320259
2048,900,36924.18610590262,35054.15888407378,1.0533468005326594
8192,1000,8698.577738159313,7701.877971338275,1.1294099660537535
4096,300,7791.32631773949,7534.510577709549,1.0340852584094469
256,500,44062.96977376881,27381.290499521965,1.6092364154471859
256,700,91187.32742492754,52807.571677195476,1.7267850902582982
128,500,81372.17646861773,53535.80791606614,1.519957942844417
2048,700,72628.78588905932,69459.09380371566,1.04563393951411
128,800,138970.39487631537,89245.39881899078,1.557171537304436
512,300,13260.025651905038,8874.280036111113,1.4942086116222952
4096,200,5917.549620729871,5846.530584549667,1.01214721023916
4096,500,31281.94741052828,31281.94741052828,1.0
8192,1000,18419.55274783386,11706.78763223605,1.5734079515642192
128,900,162706.23128763,103084.41806074536,1.578378520716398
4096,300,11511.247397071613,11243.031887069747,1.0238561548785015
4096,400,16081.464921686897,16058.873985478984,1.0014067571753997
128,900,156526.8745810966,103160.92321660006,1.5173078109474423
1024,400,19728.15199103042,19518.106129237913,1.0107615903101306
8192,600,6183.7050416895545,6143.604662733954,1.0065271743800253
128,400,72068.44648085975,46532.572763232245,1.5487741640153778
4096,700,8917.639806989604,7645.6808588148915,1.166363071080614
8192,500,12395.199388157413,12395.199388157413,1.0
