eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.82,0.5,3.6381872252364604,3.6381872252364604,0.82,0.5
2,0.3,0.15,2.7617360037242356,2.7617360037242356,0.3,0.15
3,0.78,0.1,4.385079797272313,2.7617360037242356,0.3,0.15
4,0.58,0.75,4.63047661934959,2.7617360037242356,0.3,0.15
5,0.66,0.75,4.63047661934959,2.7617360037242356,0.3,0.15
6,0.3,0.05,3.087096994550533,2.7617360037242356,0.3,0.15
7,0.54,1.0,33.7025044513747,2.7617360037242356,0.3,0.15
8,0.16,0.4,3.3587046274104315,2.7617360037242356,0.3,0.15
9,0.42,0.7,4.317823212690219,2.7617360037242356,0.3,0.15
10,0.52,0.2,2.859626256523356,2.7617360037242356,0.3,0.15
11,0.26,0.75,4.631511391783912,2.7617360037242356,0.3,0.15
12,0.14,0.7,4.323711327422097,2.7617360037242356,0.3,0.15
13,0.36,0.25,2.7967009373625378,2.7617360037242356,0.3,0.15
14,0.26,0.55,3.668519926913404,2.7617360037242356,0.3,0.15
15,0.42,0.3,2.916879012704282,2.7617360037242356,0.3,0.15
16,0.84,0.25,4.631008267932379,2.7617360037242356,0.3,0.15
17,0.64,0.05,3.932940683406692,2.7617360037242356,0.3,0.15
18,0.54,0.3,2.916199687359301,2.7617360037242356,0.3,0.15
19,0.4,0.35,3.0709555751998776,2.7617360037242356,0.3,0.15
20,0.72,0.1,4.009928406655799,2.7617360037242356,0.3,0.15
21,0.1,0.2,3.604199976141923,2.7617360037242356,0.3,0.15
22,0.44,0.45,3.3294859722865846,2.7617360037242356,0.3,0.15
23,0.1,0.0,3.414387184434288,2.7617360037242356,0.3,0.15
24,0.38,0.2,2.911839688815152,2.7617360037242356,0.3,0.15
25,0.4,0.15,3.000039913110103,2.7617360037242356,0.3,0.15
26,0.42,0.25,2.800469300050921,2.7617360037242356,0.3,0.15
27,0.4,0.25,2.799044633031669,2.7617360037242356,0.3,0.15
28,0.1,0.1,3.4269004180734273,2.7617360037242356,0.3,0.15
29,0.9,0.65,4.79664578976698,2.7617360037242356,0.3,0.15
30,0.24,0.15,2.5868658857587734,2.5868658857587734,0.24,0.15
31,0.36,0.15,2.879808875418055,2.5868658857587734,0.24,0.15
32,0.34,0.15,2.8705602956590144,2.5868658857587734,0.24,0.15
33,0.9,0.4,5.187800612029737,2.5868658857587734,0.24,0.15
34,0.1,0.5,4.234761377579376,2.5868658857587734,0.24,0.15
35,0.12,0.15,3.2080952524895476,2.5868658857587734,0.24,0.15
36,0.68,0.6,3.897220818069423,2.5868658857587734,0.24,0.15
37,0.38,0.25,2.796055178273787,2.5868658857587734,0.24,0.15
38,0.22,0.15,2.6020921970135444,2.5868658857587734,0.24,0.15
39,0.26,0.15,2.5888464725045286,2.5868658857587734,0.24,0.15
40,0.2,0.15,2.6897329543328414,2.5868658857587734,0.24,0.15
