P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,48355.12213170647,25339.81784604174,1.908266366613203
256,400,96997.3279187465,48334.52807370665,2.0067916618702184
8192,800,87830.037215286,40507.42758459579,2.1682452442051914
128,1000,177921.40759167276,122342.327095179,1.4542915098652223
2048,600,219285.88408663505,151129.24419825306,1.4509824703349494
256,900,120483.191490644,54809.75617591053,2.198207032776359
256,100,50127.090209791655,26277.440229121807,1.907609332290998
4096,300,23353.869082274312,14461.995710341227,1.6148441439223247
256,200,58141.58116488108,28639.31993050193,2.030131347600826
2048,400,70672.78385820996,48402.57713588221,1.4601037391006648
8192,1000,130986.50966967916,86941.7558164661,1.5066006942186843
1024,500,126289.09449085264,61945.54745447425,2.038711411561364
256,600,153714.75034880143,87906.4422511642,1.74861758037723
8192,900,85674.54660903887,51759.85633102995,1.6552315381462355
8192,700,107832.65254329424,61004.81435234271,1.7676088959223797
256,1000,93225.12374055026,60266.79191353534,1.5468738384863787
8192,900,285190.2733031619,198921.3860550627,1.4336833206270714
2048,700,78697.32225657685,50318.98468300632,1.563968803272663
1024,600,127632.72159085519,69227.82344495451,1.8436622045807993
4096,1000,97900.69340943656,51562.0110470629,1.8986981194367751
2048,200,57607.27321314257,37687.22034705516,1.5285625387769928
512,800,83183.99689548134,59751.971053248635,1.3921548599853049
128,200,79757.40960570681,38616.9468705205,2.065347368685747
2048,800,132196.88723419874,74910.56325865745,1.7647295853021194
512,100,41991.32929716086,25554.08998787344,1.6432332091296393
1024,100,32163.359771808326,16270.879577503554,1.9767437659779643
512,900,104662.84103816468,54814.08894506958,1.9094149524778135
256,800,176698.86590894396,105351.1225342505,1.6772376189109681
1024,100,36306.54332099496,17524.646577519117,2.0717418271686885
1024,700,174204.3939114066,90035.56093891147,1.9348398798737216
256,300,108711.25858937555,59520.11230056764,1.8264625920125956
1024,600,109513.78714738751,93962.56722509673,1.1655044171476954
8192,200,77343.78417833718,39439.94833382917,1.9610518635491323
1024,300,65958.37786787203,42559.26499070512,1.5498006810568095
4096,900,161775.44974981534,80527.65400433389,2.008942788040352
512,900,111752.55367136243,77438.96240069586,1.4431049978835748
4096,100,41045.485350092975,25509.78330366942,1.6090095655257426
8192,700,46358.10952548892,36383.636776576175,1.2741472165128451
1024,400,121289.13864162113,70446.65442750564,1.721716093223928
256,700,91338.80479483759,45533.305579283064,2.005977901951298
256,400,100765.86438706807,36205.24077560651,2.783184484577704
512,500,140694.3559488761,49051.18395225835,2.8683172272827155
256,900,91473.77499540804,57524.791285656356,1.5901626577168784
8192,500,161509.7431835349,106590.45867809009,1.5152364028313692
8192,300,57038.35611476138,29931.832451898452,1.905608559262922
1024,800,105286.67257511853,75099.1938804778,1.4019680789474895
4096,800,132096.95312706436,74875.55183262887,1.7642200944621265
4096,800,94475.13561288087,65871.74785380425,1.4342284619888783
8192,500,133510.9213664451,91384.73058369043,1.4609762540600302
4096,700,169488.5097013372,89704.13083446011,1.8894169992473488
