P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,44376.178946277956,25339.817846041748,1.7512430127120988
256,400,128686.43864007782,48679.56019676214,2.6435415217378493
8192,800,100830.77466335618,62137.90128877687,1.6226935987869915
128,1000,440590.09737708064,125295.95783362567,3.516395141510619
2048,600,149488.03507269372,95460.11175339336,1.5659738117515853
256,900,258867.58108563075,77030.62312975689,3.360580124732632
256,100,35935.61988713237,26193.65899088914,1.3719205819863407
4096,300,29267.329946828453,20887.76340872541,1.4011710767751546
256,200,59549.8094999604,25775.82693292296,2.3102967619595005
2048,400,47534.03168686907,34397.99854935305,1.3818836470578049
8192,1000,98798.5714152644,71441.52524391812,1.382929200880621
1024,500,113652.30664021744,69330.81468246617,1.6392755106188046
256,600,207322.73438104521,65997.13135384436,3.1413900896613525
8192,900,71891.11341642863,50985.945546331204,1.41001824416693
8192,700,102891.31611992445,54661.38833726035,1.882339970677031
256,1000,285383.229903573,62174.13220982782,4.590063741307236
8192,900,280466.61127584707,200725.03795784948,1.3972676957955918
2048,700,62933.379452776855,45736.33575987692,1.3760039672436193
1024,600,114373.76441780511,69645.19944005155,1.642234717358438
4096,1000,73553.08123955842,51207.743830232605,1.4363663723089735
2048,200,45630.9000899757,33208.183834406,1.3740859878852782
512,800,129811.08064797655,58281.74602729851,2.227302534607911
128,200,106526.56227917376,36920.89002320384,2.8852652851061964
2048,800,119180.01271231538,69914.3129245496,1.7046582842190345
512,100,47806.2403573868,34744.80913128068,1.375924679187457
1024,100,24413.54179135213,17424.209760559108,1.4011276337256828
512,900,157349.41371163836,65527.226447374065,2.4012829817848025
256,800,252284.60292012163,88988.07431158595,2.835038344989504
1024,100,29601.343721965754,17010.884101954263,1.7401414026778925
1024,700,210474.23688379553,122698.14519501191,1.715382384544408
256,300,118836.82078561313,58817.967607809784,2.0204169851294576
1024,600,94816.56857068917,56839.82740281852,1.6681361098923304
8192,200,70604.2732696018,48832.439654252754,1.445847755498183
1024,300,72059.61138456596,51334.02512144949,1.4037397459887955
4096,900,121904.9363547923,68798.33552250691,1.7719169428875488
512,900,121234.42480030796,70503.79592528375,1.7195446459192905
4096,100,47798.311693281175,34460.69141352587,1.3870386731277327
8192,700,34626.6218796499,24919.342184621364,1.3895479914
1024,400,113947.14675794107,71121.47502380062,1.6021482501566362
256,700,165677.00800295002,46686.09352875527,3.548744293649348
256,400,123124.55328502216,59315.77823058138,2.0757470770491038
512,500,214564.78183353634,104189.08387589059,2.0593787165757655
256,900,200333.25536166807,57244.69321120439,3.4995952309943945
8192,500,135713.95220390463,87191.89492611904,1.5564973363510466
8192,300,62220.245061096255,37997.38137569971,1.6374877112160071
1024,800,109462.52909775572,76586.05734526525,1.4292748953543433
4096,800,117586.56254281582,69744.6297416748,1.6859586605928145
4096,800,109017.32439224751,49156.66889863417,2.2177524806868387
8192,500,130163.16931765151,93303.02350633578,1.395058428184942
4096,700,204556.2087984407,121247.84298185878,1.6870915289523674
4096,800,60498.84820389151,43369.83132383738,1.394952351835399
4096,100,34260.10518539319,25235.008428580157,1.3576419156885073
8192,600,65970.11045100045,37566.49697046091,1.7560889561481796
8192,800,176273.07601722778,84971.24391877686,2.07450271277334
512,300,81350.96099674395,47234.241688785194,1.7222878591498394
256,100,76819.99508985173,56270.53628076332,1.3651903850099516
128,600,253085.70221007176,74899.47399565695,3.379005067842625
2048,900,220581.2234539443,156586.64072292217,1.4086848177825055
8192,1000,63517.700226629364,45312.78094590863,1.4017612448561159
4096,300,57105.963151268115,41796.45799396132,1.3662871423104486
256,500,164853.70843215915,95166.34282014595,1.7322690306983295
256,700,192960.18769651256,47967.297444383694,4.022744619294901
128,500,231773.4255264504,56182.17500713485,4.125390757780672
2048,700,69261.76631205276,48971.50074361899,1.4143280328421954
128,800,366886.84439766104,93497.3020055607,3.9240366997524765
512,300,51194.614589155535,28600.5958497807,1.7899841967644907
4096,200,81457.91935867816,50831.013653404065,1.6025240006840404
4096,500,333308.96103100065,237564.50729901434,1.4030250765173269
8192,1000,167834.7129243341,112393.23827909636,1.4932812284273254
