P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,19860.463881479434,18779.00655706,1.0575886334100488
256,400,71605.77216155981,43244.960742362484,1.6558177168470698
8192,800,47464.83444430773,46379.37991347244,1.0234038172321485
128,1000,247633.37859836427,119404.61005167404,2.073901321659167
2048,600,121752.6593684584,111680.57587899217,1.0901865289482344
256,900,126774.67615418197,51518.201495127876,2.4607744928007858
256,100,15422.53255148925,12924.548421892341,1.1932743836036608
4096,300,20427.414199512354,17279.41691731119,1.182181916048763
256,200,39834.00488467185,22891.533499154106,1.74011954621318
2048,400,33308.596290948444,21733.26502109654,1.5326089411147243
8192,1000,60202.342442558154,60202.342442558154,1.0
1024,500,81651.63115200333,53664.96732667876,1.521507143663375
256,600,110119.95234066327,58028.72573355824,1.8976800015613726
8192,900,52694.86333747482,52575.017380802,1.0022795229111343
8192,700,54692.88188405695,35360.41439156067,1.54672627075067
256,1000,138058.70832065467,58863.710166351215,2.3453959651964715
8192,900,149649.57060028278,149649.57060028278,1.0
2048,700,41611.35817859911,41611.35817859911,1.0
1024,600,59207.27365923117,43965.34404781527,1.3466805489987586
4096,1000,34364.25990318272,33915.21825046568,1.0132401227496413
2048,200,13856.523859667745,12441.910416424595,1.1136974464448575
512,800,70023.55839257964,54149.74440156318,1.2931466097660513
128,200,59209.34513100099,38939.521911435,1.5205462785513437
2048,800,88746.2064745657,71810.48771496736,1.2358390716801726
512,100,60757.83532367117,60573.79424177784,1.003038295424565
1024,100,9640.921141579869,9640.921141579869,1.0
512,900,70619.58545004344,46304.128599874144,1.5251250284890445
256,800,140157.05661795067,86969.02217444926,1.6115744792072366
1024,100,30378.940090381664,20829.72320776272,1.4584418519330198
1024,700,138378.19070563346,101971.47650017287,1.3570284108360329
256,300,61563.163027462186,35896.699653227304,1.7150090014452717
1024,600,92047.36179021506,86765.25402755744,1.0608781455417622
8192,200,21053.7369850466,18018.92824454402,1.1684233767577987
1024,300,19779.945045765286,18573.116360380285,1.064977177871958
4096,900,61672.66649060858,52757.84825268096,1.1689761529930214
512,900,73031.8683922926,53309.00486140186,1.3699724574144319
4096,100,60573.79424177784,60573.79424177784,1.0
8192,700,41694.171098573366,41694.171098573366,1.0
1024,400,71235.22363429141,63377.543120814065,1.1239820940754766
256,700,88885.06323435734,38261.990551516115,2.323064272222902
256,400,60427.4221404126,22632.151942540644,2.669981285643009
512,500,112198.36819856866,62904.27191045394,1.7836367036929748
256,900,114007.84759269029,47728.093563071816,2.3886947724411196
8192,500,84889.56492633495,84889.56492633495,1.0
8192,300,33351.02811527207,23136.448596413335,1.4414929748743817
1024,800,68516.30687526912,66116.18200423285,1.036301625385486
4096,800,88746.2064745657,71810.48771496736,1.2358390716801726
4096,800,68753.9375513519,64362.85987349461,1.0682237813311586
8192,500,66624.56129320196,66624.56129320196,1.0
4096,700,137018.5543906216,101971.47650017287,1.3436949144341293
4096,800,43948.578664085064,43948.578664085064,1.0
4096,100,8321.239576006265,8321.239576006265,1.0
8192,600,60947.46333963169,60947.46333963169,1.0
8192,800,87137.91878214308,62102.16000225037,1.4031382930800715
512,300,52455.94508200874,51521.92639179481,1.0181285669155933
256,100,20860.85490129232,17954.53769414384,1.1618709017551827
128,600,151672.23258178984,70900.57950763027,2.139224159168783
2048,900,129752.604791726,129752.604791726,1.0
8192,1000,30095.189684788515,28498.849543516073,1.0560141959006073
4096,300,18481.458954016285,18481.458954016285,1.0
256,500,84389.91187422798,66627.75825410518,1.266587891977116
256,700,120697.02425747353,61827.216222082076,1.952166564057038
128,500,120529.426182119,53535.80791606614,2.2513796069181584
2048,700,88656.04345035662,69714.60276884174,1.2716997577153315
128,800,206490.3586643958,89245.39881899078,2.3137367460613123
512,300,25000.830378077444,25000.830378077444,1.0
4096,200,53640.79281597229,53640.79281597229,1.0
4096,500,173165.7012270452,173165.7012270452,1.0
8192,1000,80580.04440710397,71753.33995595953,1.1230145447802438
128,900,220290.68396160167,103084.41806074536,2.13699304032341
4096,300,19028.50780282153,19028.50780282153,1.0
4096,400,48786.97977664097,45126.38541333707,1.0811187142461007
128,900,223709.15777648718,103160.92321660006,2.168545518992498
1024,400,26611.894241008282,26611.894241008282,1.0
8192,600,26765.49781642046,18661.250273283804,1.4342821313928265
128,400,104295.49971016985,46532.57276323225,2.2413439342984067
4096,700,41663.71125395748,36793.786558940206,1.1323572578542878
8192,500,29587.00133662399,27177.07231873392,1.0886750783758572
256,900,115832.41138696056,51088.94408718974,2.2672696305736504
8192,1000,132590.20560675484,94799.79607328854,1.3986338694679366
8192,600,19860.463881479434,18779.00655706,1.0575886334100488
4096,900,43598.44323267971,40761.55353335776,1.0695971927811914
8192,700,103650.17673083996,103650.17673083996,1.0
128,300,85201.03292974051,32755.432020731212,2.6011268261037133
4096,700,92388.85545586015,80356.03512507299,1.1497438283516384
256,100,15241.859264789022,14135.174116163842,1.0782929972797197
2048,500,36276.16196639806,36276.16196639806,1.0
512,600,45065.31722720825,30580.976963775065,1.4736388991297016
512,500,36118.244001481755,35496.811911768345,1.0175067014823205
512,400,40804.36003854998,34415.68964887445,1.1856324965402651
8192,1000,146820.54879419197,146820.54879419197,1.0
128,600,146908.0034963413,69365.62215019029,2.1178791300719024
2048,800,44815.360516514986,42695.059714644456,1.0496615021981868
8192,200,16319.454371522042,16319.454371522042,1.0
512,400,75062.33946018397,68462.06472805722,1.0964077662329372
1024,300,24867.70112029543,16760.521743464207,1.4837068619294402
1024,800,77751.41775382838,75591.86163784155,1.0285686325114363
1024,100,17347.873752067557,17347.873752067557,1.0
2048,200,27814.232772578187,27814.232772578187,1.0
256,100,23275.703854622963,18702.315368100946,1.2445359516459915
1024,700,59303.04728434119,42452.09110493904,1.3969405449957126
4096,800,52807.69621151402,44366.085532812314,1.1902717036520711
4096,800,78733.61137126268,78733.61137126268,1.0
8192,1000,58676.89014369309,45809.33523320091,1.2808937271188832
8192,700,64966.29240789171,57793.63501321383,1.1241080854844645
8192,1000,34363.77027208787,33915.21825046568,1.013225685835474
4096,900,33219.39122054105,32655.352187910106,1.0172724835238423
512,700,89876.03760954674,85438.48061711625,1.0519386225080118
1024,200,39819.40986171923,39819.40708715139,1.0000000696787834
4096,700,144776.89101997757,132452.11299022113,1.0930508223048612
2048,700,99709.094848786,91119.24221630921,1.0942704572990765
8192,300,19674.24141386905,19674.24141386905,1.0
8192,500,75288.1433121715,53378.57096652857,1.4104563301138482
8192,700,57385.630059631025,49777.7756414471,1.1528363676389208
256,1000,125331.225662277,90498.72860811553,1.3848948774186185
2048,100,34300.968848800694,34300.968848800694,1.0
4096,700,91526.83913463607,82072.46511123,1.1151954435704212
1024,800,102420.71160294683,101845.3758611526,1.0056491101037184
1024,400,193526.382941014,193515.84305327947,1.0000544652446446
256,100,17682.01920222386,17587.547381984677,1.005371517596362
128,900,190018.18716453016,96720.06020199122,1.9646202325318463
512,900,93216.36071211055,72227.30001714897,1.2905973321718813
