P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,4911.158016519553,4118.24998149955,1.1925351881459334
256,400,30672.91152745966,23531.7252532983,1.3034705784337008
8192,800,15314.05652863922,14795.02099803586,1.0350817704599584
128,1000,141205.25504887945,119404.61005167401,1.1825779171153519
2048,600,93205.72661030851,91443.0979502153,1.0192756883745653
256,900,64905.64730648931,51518.201495127876,1.2598585630483916
256,100,5075.679014786791,4679.130547151785,1.0847483231422956
4096,300,1207.3235702326385,942.5154884959478,1.280958864834431
256,200,15734.372480478653,11080.525409985707,1.4200023824049828
2048,400,17042.096643411653,16659.391108001237,1.0229723603299408
8192,1000,31785.267802615333,31785.267802615333,1.0
1024,500,17020.251553326667,10972.920970408175,1.5511140196149193
256,600,46427.59716976147,34696.429261633115,1.3381087955670568
8192,900,42072.74163946224,42072.74163946224,1.0
8192,700,30445.3577634223,28301.923922736623,1.0757345630119417
256,1000,79222.71867790297,58863.7101663512,1.3458668924200734
8192,900,26450.778381756234,26446.50237773516,1.0001616850485557
2048,700,31784.101151865783,31784.101151865783,1.0
1024,600,23729.502573770784,16874.141147700775,1.4062643168659343
4096,1000,26553.397487471055,25339.795717781904,1.047893115761684
2048,200,6232.973344064197,5118.145442873633,1.2178187223543675
512,800,29380.59358927329,21229.958775728857,1.3839213678955722
128,200,36524.327308258886,28092.671302858154,1.3001372106803846
2048,800,30196.60430816887,26497.37844693629,1.1396072395856314
512,100,54271.799219889544,52844.49103612885,1.0270095927839455
1024,100,7065.158109877682,6901.431727873591,1.0237235386018282
512,900,34283.03834104581,24134.145646769488,1.4205200732114922
256,800,72932.95933844466,46337.580997070676,1.5739483539948982
1024,100,18059.68560298688,16558.912626923186,1.0906323386007595
1024,700,31016.709739954957,15601.0663687365,1.9881147228570466
256,300,21983.16682896805,17275.812740351696,1.27248235202395
1024,600,73847.53524989363,70364.7320429823,1.0494964324568714
8192,200,2689.4372680956835,2650.3651611722858,1.0147421598713273
1024,300,5444.9595852658995,3799.3333703103463,1.433135514723503
4096,900,16029.37499108379,12984.521812166118,1.2344986764213939
512,900,53371.8002891625,39234.60108057627,1.360324785246385
4096,100,52845.76790741077,52844.49103612885,1.0000241628078328
8192,700,31689.4239878689,31347.334171878083,1.010912883823394
1024,400,19027.895756567137,16121.07512688779,1.180311834465132
256,700,50332.56369045539,38261.990551516115,1.3154716460108735
256,400,25551.648438336273,22632.15194254064,1.1289977419384494
512,500,26633.066155747092,16731.4559896685,1.5917960858990834
256,900,60360.20023827247,47728.093563071816,1.2646681594040112
8192,500,17616.634811177104,14826.065726985928,1.1882204716732014
8192,300,4631.559922907227,4160.156593477788,1.1133138426011404
1024,800,44461.698175996695,40846.09768688062,1.0885176478015763
4096,800,29728.756674524673,26497.37844693629,1.1219508652170835
4096,800,35298.846181358764,29394.111289795015,1.2008815586683086
8192,500,9178.81822404002,9178.81822404002,1.0
4096,700,25394.65213087495,15601.0663687365,1.6277510479517059
4096,800,13010.33542965949,12582.997544262242,1.0339615329252059
4096,100,2685.399498342895,2685.399498342895,1.0
8192,600,43098.54140707002,43098.54140707002,1.0
8192,800,39028.7422348742,34870.55437275946,1.1192463938962516
512,300,42717.44252521715,37353.09082643066,1.1436119898006065
256,100,5826.133100943359,4829.618848163767,1.2063339331960883
128,600,78258.09628447639,70900.57950763027,1.1037723080395174
2048,900,36978.62847475791,35054.15888407378,1.0548998935347007
8192,1000,8698.577738159313,7701.877971338275,1.1294099660537535
4096,300,7804.75890217315,7534.510577709549,1.0358680662368591
256,500,33558.291406678865,27381.290499521965,1.2255920299762622
256,700,92120.8211093153,52807.571677195476,1.744462359913757
128,500,69974.59924714058,53535.80791606614,1.3070616092475396
2048,700,72628.78588905932,69459.09380371566,1.04563393951411
128,800,99318.68326506882,89245.39881899078,1.1128717511421384
512,300,12247.800844720385,8874.280036111113,1.380145859143703
4096,200,6390.349985032625,5846.530584549667,1.0930157454268832
4096,500,31287.499663475384,31281.94741052828,1.0001774906425818
8192,1000,18419.61272884568,11706.78763223605,1.5734130751740176
128,900,121300.40463755856,103084.41806074536,1.1767094088466301
4096,300,11511.247397071613,11243.031887069747,1.0238561548785015
4096,400,18690.884345398772,16058.873985478984,1.1638975660622126
128,900,139207.96310221584,103160.92321660006,1.3494253323996552
1024,400,19518.106129237913,19518.106129237913,1.0
8192,600,6584.018446523258,6143.604662733954,1.0716865436444467
128,400,51581.035418474145,46532.572763232245,1.1084930910854547
4096,700,8918.000634301514,7645.6808588148915,1.1664102646947045
8192,500,12395.199388157413,12395.199388157413,1.0
256,900,60547.84756280021,51088.94408718973,1.185145801006724
8192,1000,21191.016325819735,16650.77136654941,1.272674752377626
8192,600,4525.549886410045,4118.24998149955,1.0989012096740634
4096,900,22603.1310409463,21576.530603346437,1.047579495354116
8192,700,12378.625714957921,12303.529098815054,1.006103664691629
128,300,50721.86490877562,32755.432020731212,1.5485023942493963
4096,700,37405.47425371748,37261.21500737222,1.0038715658176127
256,100,6215.3627096914015,5731.651529726247,1.0843929847194074
2048,500,32015.938500646113,28634.316507153108,1.118096829468524
512,600,31521.09314590985,17725.14487690757,1.7783264038070419
512,500,27432.726989433566,24995.547779787677,1.0975045328519137
512,400,14937.657463299722,10699.281702643733,1.3961364770504836
8192,1000,37946.05174834697,37945.93275199021,1.000003135944965
128,600,77930.13027156299,69365.62215019029,1.1234690593970142
2048,800,14247.988703582325,9344.456009563955,1.5247531465715771
8192,200,2246.1903057130307,2246.1903057130307,1.0
512,400,16859.938232894783,9893.49469570031,1.704143859320213
1024,300,5859.279219679178,3874.652043565825,1.5122078457106847
1024,800,56863.16915935444,54042.00044115176,1.0522032621881707
1024,100,9685.59503680306,8256.468069310878,1.1730918057812416
2048,200,8076.805734112202,7479.733511501313,1.0798253335754266
256,100,6798.03113670937,5741.098881538105,1.1840992947482731
1024,700,13749.017848591782,9298.972325300192,1.4785523999446823
4096,800,10859.059463003972,8113.94962465907,1.3383198029726795
4096,800,17609.533485910917,17329.60230789093,1.0161533526878757
8192,1000,25405.294756309915,24653.74296094643,1.0304842877835632
8192,700,17755.16506963425,16443.27112892882,1.0797830267724164
8192,1000,25374.663455558744,25339.795717781904,1.0013760070588245
4096,900,15873.48384633102,15123.145179145105,1.0496152525349447
512,700,33206.88896931956,23042.05276203695,1.4411428231789198
1024,200,9977.802550220082,7925.6844354705545,1.2589199874733206
4096,700,121019.17138782075,119281.29786603454,1.0145695390046647
2048,700,8963.425866226826,8384.147776288468,1.0690920658121792
8192,300,1175.2724067932297,1134.6245423979938,1.0358249472634604
8192,500,29540.59515664878,28805.068012604806,1.0255346435468269
8192,700,40693.286771595005,38693.833645176644,1.0516736890108485
256,1000,95996.62446968743,55694.48421872097,1.7236289341094109
