=== START Bayesian search: 2D search ===
Grid size: 861
Initial random evals: 20, Max evals: 100, kappa=1.0

Completed computation for 1 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:600 
Completed computation for 2 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:400 
Completed computation for 3 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:800 
Completed computation for 4 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:1000 
Completed computation for 5 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:600 
Completed computation for 6 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:900 
Completed computation for 7 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:100 
Completed computation for 8 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:300 
Completed computation for 9 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:200 
Completed computation for 10 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:400 
Completed computation for 11 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:1000 
Completed computation for 12 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:500 
Completed computation for 13 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:600 
Completed computation for 14 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:900 
Completed computation for 15 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:700 
Completed computation for 16 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:1000 
Completed computation for 17 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:900 
Completed computation for 18 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:700 
Completed computation for 19 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:600 
Completed computation for 20 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:1000 
Completed computation for 21 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:200 
Completed computation for 22 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:800 
Completed computation for 23 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:200 
Completed computation for 24 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:800 
Completed computation for 25 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:100 
Completed computation for 26 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:100 
Completed computation for 27 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:900 
Completed computation for 28 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:800 
Completed computation for 29 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:100 
Completed computation for 30 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:700 
Completed computation for 31 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:300 
Completed computation for 32 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:600 
Completed computation for 33 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:200 
Completed computation for 34 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:300 
Completed computation for 35 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:900 
Completed computation for 36 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:900 
Completed computation for 37 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:100 
Completed computation for 38 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:700 
Completed computation for 39 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:400 
Completed computation for 40 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:700 
Completed computation for 41 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:400 
Completed computation for 42 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:500 
Completed computation for 43 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:900 
Completed computation for 44 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:500 
Completed computation for 45 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:300 
Completed computation for 46 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:800 
Completed computation for 47 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:800 
Completed computation for 48 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:800 
Completed computation for 49 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:500 
Completed computation for 50 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:700 
Completed computation for 51 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:800 
Completed computation for 52 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:100 
Completed computation for 53 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:600 
Completed computation for 54 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:800 
Completed computation for 55 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:300 
Completed computation for 56 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:100 
Completed computation for 57 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:600 
Completed computation for 58 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:900 
Completed computation for 59 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:1000 
Completed computation for 60 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:300 
Completed computation for 61 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:500 
Completed computation for 62 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:700 
Completed computation for 63 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:500 
Completed computation for 64 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:700 
Completed computation for 65 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:800 
Completed computation for 66 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:300 
Completed computation for 67 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:200 
Completed computation for 68 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:500 
Completed computation for 69 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:1000 
Completed computation for 70 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:900 
Completed computation for 71 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:300 
Completed computation for 72 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:400 
Completed computation for 73 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:900 
Completed computation for 74 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:400 
Completed computation for 75 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:600 
Completed computation for 76 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:400 
Completed computation for 77 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:700 
Completed computation for 78 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:500 
Completed computation for 79 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:900 
Completed computation for 80 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:1000 
Completed computation for 81 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:600 
Completed computation for 82 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:900 
Completed computation for 83 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:700 
Completed computation for 84 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:300 
Completed computation for 85 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:700 
Completed computation for 86 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:100 
Completed computation for 87 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:500 
Completed computation for 88 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:600 
Completed computation for 89 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:500 
Completed computation for 90 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:400 
Completed computation for 91 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:1000 
Completed computation for 92 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:600 
Completed computation for 93 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:800 
Completed computation for 94 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:200 
Completed computation for 95 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:400 
Completed computation for 96 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:300 
Completed computation for 97 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:800 
Completed computation for 98 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:100 
Completed computation for 99 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:200 
Completed computation for 100 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:100 
Completed computation for 101 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:700 
Completed computation for 102 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:800 
Completed computation for 103 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:800 
Completed computation for 104 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:1000 
Completed computation for 105 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:700 
Completed computation for 106 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:1000 
Completed computation for 107 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:900 
Completed computation for 108 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:700 
Completed computation for 109 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:200 
Completed computation for 110 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:700 
Completed computation for 111 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:700 
Completed computation for 112 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:300 
Completed computation for 113 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:500 
Completed computation for 114 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:700 
Completed computation for 115 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:1000 
Completed computation for 116 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:100 
Completed computation for 117 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:700 
Completed computation for 118 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:800 
Completed computation for 119 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:400 
Completed computation for 120 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:100 
Completed computation for 121 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:900 
Completed computation for 122 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:900 
Completed computation for 123 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:1000 
Completed computation for 124 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:300 
Completed computation for 125 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:500 
Completed computation for 126 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:800 
Completed computation for 127 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:100 
Completed computation for 128 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:200 
Completed computation for 129 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:500 
Completed computation for 130 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:400 
