P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,31442.200505191446,25339.81784604174,1.240821883417877
256,400,70492.95332879359,48334.52807370665,1.4584388456487452
8192,800,60781.483138441785,40507.42758459579,1.5005021736200261
128,1000,187155.26428487216,122342.327095179,1.5297670783985533
2048,600,172063.1757423295,151129.24419825306,1.1385167487280958
256,900,108874.77450895683,54809.75617591053,1.986412312427116
256,100,31832.477974845588,26277.440229121807,1.2113995007613962
4096,300,17285.2771174035,14461.995710341227,1.19522073326598
256,200,41337.69498108877,28639.31993050193,1.4433895456107741
2048,400,56840.44817003912,48402.57713588221,1.1743268960755744
8192,1000,103548.75301274926,86941.7558164661,1.1910129032974732
1024,500,97403.71775622903,61945.54745447425,1.5724087002026113
256,600,133694.27433449175,87906.4422511642,1.5208700399056492
8192,900,60678.42597412596,51759.85633102995,1.1723066923922147
8192,700,79639.22384148074,61004.81435234271,1.3054580148627635
256,1000,98518.51919965881,60266.79191353534,1.6347065452065734
8192,900,232009.55715416174,198921.3860550627,1.1663379275365597
2048,700,58603.26132247038,50318.98468300632,1.1646352105801099
1024,600,105890.27457161184,69227.82344495451,1.5295912727316776
4096,1000,66783.15158029529,51562.0110470629,1.2952006763145718
2048,200,44117.66668983649,37687.22034705516,1.1706267080343005
512,800,78909.07356337577,59751.971053248635,1.3206103861085197
128,200,64857.74677016515,38616.9468705205,1.6795151358709928
2048,800,112464.87304796862,74910.56325865745,1.5013219518806782
512,100,31281.5729528056,25554.08998787344,1.2241317522028805
1024,100,19500.186357973555,16270.879577503554,1.1984715555841803
512,900,71862.27050762736,54814.08894506958,1.3110182416721754
256,800,155650.30265123653,105351.1225342505,1.4774432289568946
1024,100,33193.22442449189,17524.646577519117,1.8940880934553432
1024,700,154231.86470149516,90035.56093891147,1.7130105382043486
256,300,85693.22134977125,59520.11230056764,1.439735545474668
1024,600,100375.64159525395,93962.56722509673,1.0682513745584883
8192,200,49224.5726049228,39439.94833382917,1.248089175682337
1024,300,51577.96330825143,42559.26499070512,1.211909165243243
4096,900,117998.12874663802,80527.65400433389,1.4653118882649618
512,900,88386.99190122886,77438.96240069586,1.1413762421542288
4096,100,30335.729005737707,25509.78330366942,1.1891801919530263
8192,700,37693.7485493124,36383.636776576175,1.0360082687935053
1024,400,101625.64326846809,70446.65442750564,1.4425900576023485
256,700,76028.73234163896,45533.305579283064,1.6697389169177919
256,400,72011.3973076055,36205.24077560651,1.9889771691871636
512,500,120401.59035017961,49051.18395225835,2.4546112988295414
256,900,81771.36924557734,57524.791285656356,1.421497886702751
8192,500,135654.06401089724,106590.45867809009,1.2726661062654874
8192,300,45327.80902731944,29931.832451898452,1.5143679926767892
1024,800,83336.97205532486,75099.1938804778,1.1096919653752566
4096,800,112336.67695080432,74875.55183262887,1.5003118401305837
4096,800,87521.84419076041,65871.74785380425,1.3286704397916749
8192,500,105518.23545395542,91384.73058369043,1.1546593701156835
4096,700,148481.3514176739,89704.13083446011,1.6552342688842412
4096,800,57421.20408934545,47862.461864898854,1.199712715393287
4096,100,30463.309999346602,25513.346625527105,1.1940146640294873
8192,600,54894.00945555292,40316.599781882396,1.3615733904281622
8192,800,107451.71466157504,83138.40291443179,1.2924438153108033
512,300,68372.81553341332,55298.68456635139,1.23642752209367
256,100,62229.36958069256,42169.020106715,1.475712962340881
128,600,115506.27494981911,72905.33051695603,1.5843323681655228
2048,900,163105.48373824518,138680.36028229067,1.1761253244961
8192,1000,52382.941226890325,44746.27273079294,1.1706660249009317
4096,300,42475.91124478335,35747.129315540355,1.1882327912221413
256,500,110216.98087651037,91652.47215266107,1.2025532785730788
256,700,85928.82826618572,58575.713811607675,1.4669702283535402
128,500,82698.98570246628,55089.93942571088,1.5011631264177803
2048,700,72803.50396874324,61770.21371425966,1.1786182949847321
128,800,139431.4375851548,91299.30067015364,1.5271906417869847
512,300,34465.61659980741,29315.379910080832,1.175683777782308
4096,200,66690.45545607488,48449.352805894276,1.376498376010534
4096,500,268032.9039865678,230387.8143086843,1.1633987882164847
8192,1000,141450.92525551678,100649.75660009484,1.4053777180757085
128,900,179243.68072209225,106125.13242222022,1.688984283279562
4096,300,29248.204094728826,24857.044966350284,1.1766565227010284
4096,400,92109.45901245184,65844.558400574,1.398892501519896
128,900,160114.7869944637,106193.97181152053,1.507757778178267
