P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,44306.36080719904,25339.817846041748,1.748487738798801
256,400,79752.58523452061,48679.56019676214,1.6383177027927474
8192,800,100257.58589483942,62137.90128877687,1.6134691358323618
128,1000,294671.14759953454,125295.95783362567,2.351800909577736
2048,600,147599.94416218088,95460.11175339336,1.5461949651125784
256,900,167784.41158756937,77030.62312975689,2.1781520747266856
256,100,36626.518912367224,26193.65899088914,1.398297157533696
4096,300,28952.66289427961,20887.76340872541,1.3861064168404582
256,200,44173.89829054742,25775.82693292296,1.7137723032321017
2048,400,47930.43489784283,34397.99854935305,1.3934076667011284
8192,1000,98401.64522139242,71441.52524391812,1.377373241758573
1024,500,112164.94246873487,69330.81468246617,1.6178223634389441
256,600,143185.7594539004,65997.13135384436,2.169575503004946
8192,900,70910.10264979262,50985.945546331204,1.3907774366046861
8192,700,101980.36945940506,54661.38833726035,1.8656747031412184
256,1000,195192.60273776314,62174.13220982782,3.1394503759058368
8192,900,277107.5827436018,200725.03795784948,1.3805332187895365
2048,700,63190.634775522536,45736.33575987692,1.3816287143614538
1024,600,111634.67805911877,69645.19944005155,1.6029055693237044
4096,1000,72845.76177436011,51207.743830232605,1.4225536281360753
2048,200,46418.68013920812,33208.183834406,1.3978084550084644
512,800,95466.11493058724,58281.74602729851,1.638010551123022
128,200,72619.57212983441,36920.89002320384,1.9668965749253298
2048,800,117858.35104437161,69914.3129245496,1.6857542628154332
512,100,47852.860867859,34744.80913128068,1.37726647704555
1024,100,24141.393634310713,17424.209760559108,1.3855086667377254
512,900,110085.17844293854,65527.226447374065,1.6799914235855788
256,800,165331.89288095868,88988.07431158595,1.8579106712890519
1024,100,28139.44341184092,17010.884101954263,1.6542022885576049
1024,700,205120.4286565515,122698.14519501191,1.6717484060622159
256,300,92571.95664098025,58817.967607809784,1.573872073551359
1024,600,81326.01488021151,56839.82740281852,1.4307927837968557
8192,200,70430.80882813154,48832.439654252754,1.4422955176272423
1024,300,72400.78219028757,51334.02512144949,1.4103858409504597
4096,900,121776.1925590019,68798.33552250691,1.7700456215130909
512,900,98864.65057436028,70503.79592528375,1.402259967380081
4096,100,47777.61513410731,34460.69141352587,1.3864380885681977
8192,700,34450.2973027229,24919.342184621364,1.3824721795418595
1024,400,111953.92071235704,71121.47502380062,1.5741225934205096
256,700,110964.94212972283,46686.09352875527,2.3768307378593674
256,400,110633.23046105198,59315.77823058138,1.8651568564266583
512,500,193299.79987961065,104189.08387589059,1.8552788131803541
256,900,148214.0992776631,57244.69321120439,2.589132563447007
8192,500,135412.5189986174,87191.89492611904,1.5530402122050162
8192,300,61571.093590267104,37997.38137569971,1.6204036004871478
1024,800,105711.51205650136,76586.05734526525,1.3802970895855462
4096,800,117193.53654585697,69744.6297416748,1.6803234454025617
4096,800,109166.05090339924,49156.66889863417,2.2207780419074012
8192,500,128726.30778559452,93303.02350633578,1.3796584820946698
4096,700,202123.22100995673,121247.84298185878,1.6670252933093301
4096,800,59801.575577463904,43369.83132383738,1.3788749864146954
4096,100,35167.18729659977,25235.008428580157,1.3935873013924112
8192,600,66445.57527783538,37566.49697046091,1.7687455748158396
8192,800,174566.33287741477,84971.24391877686,2.0544165864428314
512,300,66497.54945963081,47234.241688785194,1.407825066776065
256,100,78605.79813746116,56270.53628076332,1.3969264082584083
128,600,186294.75789460185,74899.47399565695,2.487263901284596
2048,900,217832.51289456102,156586.64072292217,1.3911308901505368
8192,1000,63302.46982803006,45312.78094590863,1.3970113620613205
4096,300,57081.855644902906,41796.45799396132,1.3657103588335164
256,500,138844.18623172113,95166.34282014595,1.4589631388286253
256,700,115802.9558318475,47967.297444383694,2.4142063864681296
128,500,139560.10225611576,56182.17500713485,2.48406371306188
2048,700,68189.12758347814,48971.50074361899,1.3924247071877456
128,800,217438.90337613094,93497.3020055607,2.3256168756955025
512,300,44195.827300950696,28600.5958497807,1.545276452738294
4096,200,80454.78310041032,50831.013653404065,1.5827892720967291
4096,500,329480.0704391615,237564.50729901434,1.3869078095258405
8192,1000,167797.84969089436,112393.23827909636,1.4929532439862312
128,900,260033.6740107562,109443.21737422631,2.37596883799209
4096,300,38636.665377348734,27866.80417099782,1.3864763659393555
4096,400,105492.55528425278,56915.493482307924,1.8534945202055562
128,900,269771.0064324458,109318.34627419793,2.4677560137599612
1024,400,60774.915787164486,44207.66491546582,1.3747596916367029
8192,600,45421.37115618377,32734.27780938007,1.3875782267347958
128,400,128081.30073618122,81480.70461614145,1.571921859777439
4096,700,94474.99842277884,53915.74341202593,1.7522710889989537
8192,500,79783.06343938374,54509.002824173345,1.4636676384768132
256,900,157202.7028084812,64837.41435415292,2.4245677341451874
8192,1000,207722.4859002965,124535.58998606945,1.6679768885627984
8192,600,44302.97679595315,25325.579367516788,1.7493371485422853
4096,900,63640.9236458118,44998.63267930536,1.4142857206210164
8192,700,257483.06172417165,185768.68163866145,1.386041282378274
128,300,100498.46577201423,38152.527144095155,2.634123432831849
4096,700,143788.5745354969,86344.15596057125,1.6652959651508719
256,100,20816.39638705165,14891.07425106187,1.397910992591233
2048,500,53251.37537267726,38078.8838745444,1.3984489552824215
512,600,79220.86200363685,50523.437090590436,1.5680022295710176
512,500,55034.3436047408,33156.78306802833,1.6598215662787887
512,400,79746.10574097409,57470.31142497088,1.3876052480607293
8192,1000,208579.57569965997,150569.03775101455,1.3852753448858017
128,600,164320.71582059795,72849.63176490327,2.2556149130703314
2048,800,118017.96443504511,41519.7534269463,2.842453403358882
8192,200,37961.305652721756,26972.824218293383,1.407390836995698
512,400,153350.73379873767,109009.50865491609,1.4067647464056512
1024,300,60871.43327971364,35788.66352580134,1.7008579612320316
1024,800,163998.92342701738,105506.57662913551,1.5543952677328106
1024,100,14249.939136541609,10211.848879179503,1.3954318463912243
2048,200,56421.317631964564,40359.96560634527,1.39795256968936
256,100,61817.33124251074,37681.884279448226,1.6405053097683344
1024,700,138418.22627179127,66874.51640802078,2.06982022011586
4096,800,77419.52237318046,46857.31231092819,1.652239929158815
4096,800,176071.51035326233,127268.05412448723,1.3834698076002483
8192,1000,121704.15493815346,61631.005637657836,1.9747228473550928
8192,700,165933.43676697492,116555.24523591898,1.4236462411546538
8192,1000,72834.6744665935,51177.51428416821,1.4231772583203586
4096,900,86671.0253907512,60367.665223331875,1.4357193552228549
512,700,179258.1700832583,123260.96281991307,1.4542979868261972
1024,200,42975.35847325949,30960.64519433914,1.3880640472284838
4096,700,104058.67760707292,65060.34510421777,1.5994178549219984
2048,700,164201.82116328742,89844.51474818445,1.8276221049611219
8192,300,38089.49403653381,27325.43722463806,1.3939207531578053
8192,500,127000.15457295561,68815.17228508745,1.8455254903209346
8192,700,87121.0878169229,46993.19158217273,1.8539087234494842
256,1000,175395.70734374993,111749.61276708746,1.5695419697723334
2048,100,66348.56617686425,47958.62701914873,1.3834542458935044
4096,700,136626.74435894573,86817.79328982205,1.5737182342661888
1024,800,97397.28919184108,53472.408401124616,1.821449455973871
1024,400,357661.4758331671,257567.86842644215,1.3886106136538934
256,100,18125.28027421644,13011.59979464646,1.3930093578250056
128,900,235979.66855600334,102373.53702350879,2.3050846480161526
512,900,181296.2707870188,114159.9168451615,1.5880904243554796
4096,1000,152084.431750442,109849.57632880178,1.3844790014958532
8192,300,67337.04719599149,34770.69707161906,1.93660331448903
512,500,204450.70487565274,134723.51647863665,1.5175576634245058
128,800,200483.88288868387,84426.00544789649,2.3746697694043157
128,100,38155.96847944202,26068.19735827815,1.46369800546739
2048,200,47773.268640161914,20752.375075557742,2.3020627020388393
4096,500,49313.56674327041,35418.499695506645,1.392311000387364
128,400,138866.5137698995,51327.80354104017,2.705483270073421
1024,700,248456.37761786804,145939.20363147225,1.7024649404369343
128,300,98466.4295570432,46426.00783958498,2.120932514750625
4096,500,184049.65431947366,110169.6014202929,1.6706028881536128
256,500,104459.04985923039,40888.66155932382,2.5547192271792682
512,500,159927.24407554875,114576.28797187006,1.395814499722778
128,800,261248.4566665396,103240.3095790912,2.5304888926781084
128,400,210165.75679266913,142772.5734921948,1.4720317190623355
2048,600,104073.6437328879,51881.5556249558,2.005985411949115
4096,100,43375.87240595974,31218.56877485844,1.3894253999527377
256,900,436193.381772418,303266.1858379448,1.4383185536072425
2048,500,44530.191890288894,24114.557614326197,1.846610358874425
1024,500,103328.5892950338,69563.61906013438,1.48538259928241
128,200,70992.01176492967,25374.187301930957,2.7978043560641344
8192,200,138133.50696157757,99756.89480744647,1.3847013505002006
2048,800,95933.09543633668,53333.70966416959,1.7987328472068767
512,800,67464.24003945048,36819.879889469856,1.8322775696708513
512,800,215579.27945886963,117323.0806231038,1.8374839657629716
1024,600,133281.79098163714,74481.33456651334,1.789465666228279
128,200,87188.78628509457,60040.30731987671,1.4521708861445182
2048,600,69177.5720002785,50265.19690701414,1.3762518851413326
8192,500,57816.22263087342,34006.78819154014,1.7001376991331498
512,300,49477.22724292698,24111.71881778852,2.051999180018015
512,600,168515.35924405116,94447.6501421378,1.7842197131474005
4096,300,156023.02437132734,112569.83265804852,1.3860109825807048
2048,200,17718.366492482728,12653.47289062971,1.4002769552384096
512,800,102604.32125063492,66646.61187663602,1.5395279424039923
128,500,362074.4755606752,253115.47456998134,1.4304715117706834
4096,600,111824.32167580067,71456.619906994,1.5649259903609796
8192,400,105448.18707511463,56844.504840111076,1.855028685212637
256,100,67913.92795300743,47410.329663996534,1.4324711183052867
2048,1000,83657.50215682527,41036.23401408571,2.0386252336924917
2048,500,187348.34524157635,102237.81420332319,1.8324760432474767
2048,1000,280595.7721806115,186143.3911687721,1.507417321768902
1024,600,47516.33824898148,25425.24871719152,1.8688642450468091
1024,800,226654.3740491095,163828.9339260643,1.3834819565596284
128,200,99983.77772101422,50493.626094343745,1.9801267101356843
512,100,22188.685354862042,16101.63022849706,1.3780396792116094
4096,900,135310.96531374592,97276.29608484646,1.3909962730871746
8192,900,259573.3988152067,174543.99859779057,1.4871516689230497
8192,300,47868.3961888263,29182.503094384378,1.6403115261911057
4096,1000,180220.44394544317,111109.49416957432,1.6220075997321375
128,200,65814.97234735695,31673.672766490905,2.0779078205602275
4096,200,47777.03198551736,34702.92658399461,1.3767435973988627
8192,600,178184.85565361683,88619.85145344147,2.0106652486009913
4096,800,106612.89875367697,73651.67654654282,1.447528471212803
2048,500,62810.2441834387,34737.72064133729,1.8081279664819339
128,300,120939.8832555869,45007.6355113429,2.6870970199069317
128,100,43442.24807533584,21221.25277948328,2.0471104381422682
128,400,119840.81969977195,50394.41325747465,2.37805764475285
4096,1000,69172.05446267365,48747.66573635519,1.418981881856269
2048,800,90854.72443378734,65485.35111688879,1.3874053186584463
2048,100,30375.79536025569,22142.388512887606,1.37183914655711
128,900,266019.93479706475,107296.26736457921,2.4793027877956137
8192,700,75562.9714314768,55097.75917161366,1.3714345658980414
1024,700,123655.55919539955,77611.39331459909,1.5932655492236771
512,700,61585.91424043524,30043.338927871162,2.0499024555257432
8192,1000,823981.1822051887,594123.6410518169,1.3868850274101863
8192,1000,127900.67361827605,92756.94828493604,1.3788797064062903
1024,100,29122.33477390725,20880.261588422458,1.3947303605647736
8192,1000,300745.7630003102,217060.7610016852,1.385537218299789
4096,900,109757.41470253652,79036.30171917535,1.3886962359716255
8192,600,205503.49930271096,147931.95047990262,1.3891758922669635
8192,1000,56671.06063017616,40918.42390527257,1.3849766247441846
2048,100,54719.555166852435,36009.56108391144,1.5195840637807818
512,800,99243.97584392817,41133.52440023117,2.412727265436327
2048,200,33389.97841042592,22527.539467295755,1.4821848812605416
2048,600,104468.84177456403,52514.09455749124,1.9893486244953518
1024,100,34448.39455194606,21207.98779051644,1.6243122587683838
256,700,122284.44232521714,61572.56259002922,1.9860216496011054
128,1000,289723.44808687794,118514.74706755942,2.4446193849759545
1024,800,99351.214047902,58330.64729665371,1.7032420974625726
1024,800,95526.11031162541,69119.67131146269,1.3820394179997137
1024,1000,113264.13567159719,80146.5687229894,1.413212536435241
8192,600,137385.38509468944,84911.06049106766,1.617991629125182
4096,200,46010.527479947435,33587.36450215761,1.3698760876874332
1024,700,104617.21467179098,65373.77817459692,1.600293230603633
8192,800,162955.9044341435,113903.40354683883,1.4306500013156633
128,1000,283699.2530865117,114759.30901984677,2.472124096158927
2048,1000,127180.14098761466,70808.53547371653,1.7961131399875194
1024,1000,151416.35867583455,85399.97673139501,1.7730257603240116
2048,900,97420.80967690788,62122.524010291076,1.5682043063924669
512,600,88426.09199317428,41819.19699061202,2.11448565148262
1024,700,51529.024535974415,36022.205004696705,1.430479464798334
1024,100,45786.73207902992,33212.05639475801,1.3786177987538473
4096,100,75293.41047267921,54461.868961599546,1.3824977348053875
128,700,213478.3126408618,87030.90404794872,2.452902391123598
128,300,88640.39184367383,36061.13127075538,2.458059099093179
2048,1000,60348.43151492812,43331.913764574194,1.3927017357877625
256,500,86054.14457304312,35358.4879143905,2.433762008754341
128,500,140809.66275248295,59540.26409032341,2.3649485756205704
2048,400,66827.76345924428,42668.98421079895,1.5661906346092733
128,900,260241.78525613464,109433.5624577617,2.3780801740469766
128,300,84651.23736978714,39356.74427840015,2.1508699187865905
4096,200,41666.142886988826,29955.14266930692,1.390951241560315
128,500,189240.51124813137,103230.19362385968,1.8331895408204684
256,200,52018.93861602843,30740.577879803866,1.6921913055578617
1024,300,69169.40442504555,50052.420972495536,1.3819392365267416
2048,200,57819.768588419145,41622.292262618,1.3891538751302386
4096,500,191810.91460032985,139026.15742020504,1.3796750061974559
8192,100,25831.69436846968,18587.00120410456,1.3897720285704442
4096,700,137505.45712479317,66401.40119224958,2.0708216190600943
1024,500,71544.04179909808,51556.79794042655,1.387674267160009
2048,1000,67006.28129246178,48061.693636227064,1.3941722861375614
8192,1000,211560.85100503598,152180.5493602882,1.390196394311632
2048,1000,87502.95857457074,63377.48507506607,1.3806631561812492
8192,400,93269.90077190522,66043.58447489416,1.412247707532605
128,700,185772.71568633997,80058.73659126465,2.320455250684158
128,1000,655042.2612355901,433656.1726002424,1.5105106363594372
2048,900,96960.54348518366,61913.30626049231,1.566069546944151
4096,200,41748.13410929944,27777.016549631757,1.502974015755227
2048,300,136826.30828721134,88389.16350127902,1.5479986784265858
128,100,81901.98828431765,54856.11162168177,1.493033061642416
128,1000,301472.20203499036,133265.43601557915,2.262193491789929
4096,300,56343.35676393893,40904.58886479182,1.3774336407628793
256,200,45830.737168709486,24965.579774245634,1.8357569735267372
4096,400,87584.7105864511,63220.3046379777,1.3853889361652523
2048,200,46854.22217256448,33705.039523403946,1.3901251217946227
256,1000,393020.48076740984,275889.8750121948,1.4245556519609053
4096,600,57717.15137458196,41495.82519943877,1.390914654599099
256,500,151666.5056009037,68455.21386786921,2.2155581296356353
256,400,114344.1244586834,59074.844564556515,1.9355806232165207
512,500,196024.96107024734,140795.03198073205,1.3922718601113253
2048,900,121892.67974496912,68899.88456665813,1.769127488552501
8192,300,186000.14479206226,134426.74428370426,1.3836543150930862
512,900,287012.30671956774,203255.11762460766,1.412079115516547
2048,600,64203.45798606922,44565.37639963274,1.4406578194321795
256,700,160861.79095199372,91529.91776736967,1.75747771740423
128,300,94956.3349866371,48504.48423274269,1.9576815729242893
128,300,86561.95424440039,35017.52520551622,2.4719609320296714
1024,700,105041.44585892657,74644.65643978806,1.4072198985021522
256,800,141657.7668565612,54094.28604752221,2.6187195951179367
1024,1000,65094.07473276405,38617.14510172746,1.685626282349189
4096,900,89134.06229663198,62100.064781262285,1.435329618585628
512,600,77784.47128598532,43441.5061252218,1.7905565028470378
2048,700,223702.09305828513,161072.35282367095,1.3888298589837833
256,400,107959.61782340182,57659.06193290379,1.8723790190869105
2048,500,128752.70537698557,93483.34473025288,1.3772796186155167
128,800,218583.98439152836,97648.19890207484,2.2384845480942492
512,200,37780.76178307453,21008.09746191717,1.7983904469008833
128,900,254859.85715112096,120641.51190463375,2.1125386537975905
512,300,61309.85960735164,43175.05575649103,1.4200296567801
8192,400,60435.46661378226,41606.18644279763,1.4525596258833313
8192,500,67703.06662176191,42838.649147952376,1.580420203912943
128,400,128029.89269415397,52214.952048342944,2.4519775978271157
512,400,199633.495524825,143530.23617059793,1.390881119205737
8192,700,68140.33031580716,49093.90452489389,1.3879590750671595
8192,400,102005.18946101613,67983.31925252365,1.5004443822773412
1024,600,80947.6176824782,52102.623525388204,1.5536188430710136
512,700,76770.37949038789,36260.498303880806,2.117190416055906
4096,400,81011.23082551552,53677.90002828974,1.5092101364401431
8192,300,65933.22789462381,46505.060024839695,1.4177646015166299
512,200,39575.004352620985,28346.010005815035,1.396140209662749
2048,500,290484.1917461108,209404.91397304146,1.387188993012396
128,400,133846.7389814897,59222.677498968354,2.260058893551736
2048,400,44036.96655312565,32065.95222422041,1.3733247728056912
4096,400,62608.95354217051,45558.52739847821,1.3742532324313412
8192,800,97667.32602549114,58003.614134907264,1.683814491254499
1024,900,138372.9909657842,97683.68369178884,1.4165414912318224
512,700,147458.49374205427,87044.25929154124,1.6940633988068636
256,1000,233109.98740325414,117962.59942855392,1.9761347116162968
256,700,145332.22628231393,78794.09054059889,1.8444559139550074
256,500,206788.16061606928,106790.77677264703,1.9363859582772056
8192,700,112061.24581736581,62218.1646853655,1.8011017583699964
128,500,136697.5725347354,58507.64553511288,2.336405290017994
2048,900,134939.8663192191,89687.53677484854,1.5045553838541905
128,200,68549.42833962094,45955.61932718424,1.4916440980063503
4096,400,89313.30603778767,64357.49024554013,1.3877686295260236
2048,400,43488.705928960335,25170.327772017878,1.7277767029044093
2048,100,39340.25985240117,28552.74869818188,1.377809900834738
256,300,74629.82524230497,36433.16718973165,2.0484034466083614
1024,800,77036.87117306705,55808.93110346344,1.3803681534457166
128,900,314208.18178281834,149366.22570343033,2.1036093019226785
1024,900,134051.9664749926,95026.63949624964,1.410677755055025
2048,400,108568.67070797038,58389.33677677682,1.8593920859733308
8192,900,91820.12769511167,63752.69376969122,1.4402548702775606
256,500,148708.32016249615,89207.63682998554,1.6669909152050368
512,100,6472.874573093825,4328.569975217943,1.4953840668286569
2048,400,35122.4155708609,24300.177747967304,1.445356323527258
128,700,508979.35992976895,353412.1924421842,1.440186192820822
2048,400,134077.78735651955,88732.91687839403,1.51102648344435
4096,1000,536635.5313771581,386071.47327980405,1.3899901145719546
4096,800,163687.259369488,114000.34180152354,1.4358488473172317
128,1000,381665.7643333741,249927.3451774492,1.52710686404639
128,1000,368752.10696304677,147764.26282835662,2.4955432382956513
128,600,172265.77894742187,67837.41368004146,2.5393919019366216
1024,400,77711.2515593236,55996.63409946781,1.3877843339884275
512,600,239423.135561225,122850.25813623035,1.9489021772809414
128,700,382061.51004390133,188608.66401977988,2.0256837724264543
256,1000,541711.3996217782,371124.7677284433,1.459647662260459
4096,700,247625.98079236067,145036.31470502613,1.7073377884427132
8192,700,79015.52035828051,56419.31919593585,1.40050467613534
512,400,126302.55291983741,77408.52936214146,1.6316361253803742
256,400,168952.40371183012,115642.38356796416,1.4609903263757542
8192,600,237107.19774734616,160143.11588582143,1.4805956312002724
8192,900,399296.9727235646,287479.8079991563,1.3889565862126096
4096,800,119205.96702385938,69412.80529335505,1.7173483555385287
512,500,144867.9217916022,86030.55730520321,1.6839123949606267
8192,800,206368.01836540073,148603.37174093782,1.3887169311687273
2048,200,30700.36182308827,22033.946928467336,1.3933210387932873
1024,200,38937.1130962523,26475.276122665215,1.4706971483828506
8192,500,67539.7478871147,40311.48463667873,1.6754467987433397
256,500,116293.50584407289,39414.57005197484,2.9505207259833113
1024,100,55505.0426646939,40032.659209295554,1.3864940216563397
1024,300,46164.25072270811,30793.876435997583,1.4991373631915592
512,900,574581.8649919482,337507.04085377266,1.7024292694411964
256,100,55220.98803049719,38444.170849535076,1.436394304005779
128,700,245250.62649165283,97654.43951026569,2.5114129754016092
128,1000,425288.197736253,252421.36691300521,1.6848343820387628
2048,700,55247.4143670416,40157.168139067406,1.3757796410273626
2048,800,218196.054048385,129250.2100774949,1.6881678870584473
8192,1000,309926.729064429,129989.63690302538,2.3842418245666765
2048,700,71730.887511007,46085.28628063976,1.5564813262566375
256,1000,178985.7666864043,94456.4510313677,1.8949025157314618
4096,700,83152.45279388534,46743.51996066081,1.7789086672091912
128,200,46885.80456629878,18473.245593016192,2.5380382851632715
8192,800,134304.98330302324,89339.93559589019,1.5033028892087261
2048,1000,98531.12818818964,71564.52841553609,1.376815167649443
1024,700,60958.52194506026,28750.615749685116,2.120251005258136
512,900,167387.64578193196,91945.85782138453,1.8205023015512218
128,300,92519.43435725733,38162.0954646318,2.4243803499470644
4096,900,82334.44199553307,59871.38519149271,1.3751885267426918
4096,200,70936.41390979147,49379.87132482686,1.4365451348214948
256,900,388246.9830982492,272591.03824391356,1.4242837387443643
1024,500,162854.8787870274,98724.72664549941,1.649585512369221
256,900,299580.16205997457,198702.34125964408,1.5076831010688172
1024,700,202738.2109672854,141625.82650183098,1.4315059334510882
128,700,221617.17437258613,83003.72790694215,2.669966517902033
1024,900,71887.52544495623,51222.124598523835,1.4034467724329411
256,300,61764.03035227618,37117.846473465084,1.6639982170417735
1024,700,261517.3172272617,123706.87813287329,2.1140078965242863
