P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,26315.413678036617,18779.00655706,1.4013208631711824
256,400,67553.45070892082,43244.960742362484,1.5621115050000705
8192,800,63688.88342576532,46379.37991347244,1.3732155010391753
128,1000,150472.9595341006,119404.61005167404,1.2601938858891737
2048,600,135835.11043713512,111680.57587899217,1.216282324549569
256,900,79381.78238669214,51518.201495127876,1.5408492548832347
256,100,16910.135025068186,12924.548421892341,1.3083733739141579
4096,300,27323.45617929732,17279.41691731119,1.5812718860856712
256,200,33431.89720908581,22891.533499154106,1.4604481263922835
2048,400,44346.732391734964,21733.26502109654,2.040500235408139
8192,1000,74968.78649503348,60202.342442558154,1.2452802242132799
1024,500,106025.8401573739,53664.96732667876,1.9756993330854913
256,600,109949.27233395589,58028.72573355824,1.8947386995674074
8192,900,58633.5599332251,52575.017380802,1.1152361493015008
8192,700,66254.04998543378,35360.41439156067,1.873678550589791
256,1000,80444.8646413302,58863.710166351215,1.3666291916358955
8192,900,197907.04034927528,149649.57060028278,1.3224698176908856
2048,700,46654.91638661552,41611.35817859911,1.1212062866674304
1024,600,78824.57909125021,43965.34404781527,1.792879842030195
4096,1000,39814.24783088457,33915.21825046568,1.1739345899782876
2048,200,18642.45461061001,12441.910416424595,1.4983594951784946
512,800,75275.54337883365,54149.74440156318,1.39013663334412
128,200,43966.80977448908,38939.521911435,1.129105022770651
2048,800,116291.53577161103,71810.48771496736,1.619422726011824
512,100,64316.93535500334,60573.79424177784,1.061794727572866
1024,100,12504.265281730371,9640.921141579869,1.2969990209546807
512,900,62472.94052372266,46304.128599874144,1.34918726283713
256,800,137314.45308644697,86969.02217444926,1.5788892372621013
1024,100,35386.51077771498,20829.72320776272,1.698846903761415
1024,700,179982.60960744164,101971.47650017287,1.7650289648119053
256,300,53537.44417802767,35896.699653227304,1.4914308194127917
1024,600,94566.08664428002,86765.25402755744,1.0899073333461913
8192,200,28171.90420878504,18018.92824454402,1.5634617012982033
1024,300,25909.996847506045,18573.116360380285,1.395026895043667
4096,900,83322.49196925854,52757.84825268096,1.5793383302933397
512,900,62042.41776562886,53309.00486140186,1.1638262227354086
4096,100,64316.93535500334,60573.79424177784,1.061794727572866
8192,700,44606.98214111769,41694.171098573366,1.0698613490998024
1024,400,95774.77287689029,63377.543120814065,1.5111783789775297
256,700,52562.65084890759,38261.990551516115,1.3737563072714944
256,400,40369.81280537001,22632.151942540644,1.7837372649256866
512,500,143499.88085837156,62904.27191045394,2.281242219330474
256,900,72515.9331799138,47728.093563071816,1.5193553265245197
8192,500,111081.4665724097,84889.56492633495,1.308540886842846
8192,300,44933.09739227682,23136.448596413335,1.942091380404962
1024,800,82373.88501913518,66116.18200423285,1.2458959746626248
4096,800,116291.53577161103,71810.48771496736,1.619422726011824
4096,800,86473.49011265783,64362.85987349461,1.343530885399153
8192,500,87236.05098029424,66624.56129320196,1.3093677359672968
4096,700,179981.19651843447,101971.47650017287,1.7650151071229154
4096,800,59909.93839829212,43948.578664085064,1.3631826152150568
4096,100,10872.921501722207,8321.239576006265,1.306646852600368
8192,600,68290.09244366261,60947.46333963169,1.1204747285890124
8192,800,107699.72354132429,62102.16000225037,1.7342347438063606
512,300,57543.06822106546,51521.92639179481,1.1168656191828563
256,100,24853.090546753258,17954.53769414384,1.3842233629251
128,600,88080.60745796797,70900.57950763027,1.2423115307328172
2048,900,170032.26092062626,129752.604791726,1.310434277551157
8192,1000,39285.749752798714,28498.849543516073,1.3785030056322687
4096,300,25310.23120452996,18481.458954016285,1.369493137284472
256,500,89047.41752349184,66627.75825410518,1.3364912741605754
256,700,96325.53034120204,61827.216222082076,1.5579794179185222
128,500,68910.022405442,53535.80791606614,1.2871762860752878
2048,700,95498.42194761097,69714.60276884174,1.3698481832316065
128,800,137422.49176734418,89245.39881899078,1.539827190935267
512,300,33559.66669113272,25000.830378077444,1.3423420815878295
4096,200,71116.63435319507,53640.79281597229,1.3257938710409796
4096,500,231225.9186313989,173165.7012270452,1.3352870516097664
8192,1000,106809.46137644161,71753.33995595953,1.488564315500835
128,900,143088.4895975314,103084.41806074536,1.388070983853375
4096,300,25342.623281104592,19028.50780282153,1.3318239950137767
4096,400,65675.12420335886,45126.38541333707,1.455359732489202
128,900,135647.46472390005,103160.92321660006,1.3149113103523722
1024,400,35530.88881220344,26611.894241008282,1.335150684518023
8192,600,35917.73035396271,18661.250273283804,1.9247226111845237
128,400,66502.10479143399,46532.57276323225,1.4291516854185349
4096,700,55521.08187106739,36793.786558940206,1.508979832291189
8192,500,40392.32999132913,27177.07231873392,1.4862649485421413
256,900,66431.069854721,51088.94408718974,1.300302267773395
8192,1000,175542.2957271158,94799.79607328854,1.85171596351754
8192,600,26312.366517632297,18779.00655706,1.4011585989749875
4096,900,57081.31249196883,40761.55353335776,1.400371368212342
8192,700,138837.8520914533,103650.17673083996,1.3394849528524118
128,300,45189.39825057268,32755.432020731212,1.3796001292845688
4096,700,119996.71481474923,80356.03512507299,1.493313036512766
256,100,19135.694778308687,14135.174116163842,1.3537643485004303
2048,500,39405.275035590814,36276.16196639806,1.086258107241091
512,600,41331.43290038926,30580.976963775065,1.3515406309402325
512,500,38622.757461382105,35496.811911768345,1.0880627127130087
512,400,48172.28268449624,34415.68964887445,1.3997186508820023
8192,1000,197975.8232248997,146820.54879419197,1.3484204006239988
128,600,90363.89634764665,69365.62215019029,1.3027187466435597
2048,800,60207.01864096192,42695.059714644456,1.410163589027862
8192,200,21702.256789148072,16319.454371522042,1.3298396070777456
512,400,92102.56488672215,68462.06472805722,1.345308022078635
1024,300,33975.255797647704,16760.521743464207,2.0271001295587
1024,800,103779.1054042029,75591.86163784155,1.3728872811917985
1024,100,20077.938597554315,17347.873752067557,1.1573717266164323
2048,200,36929.581125134304,27814.232772578187,1.3277224443718203
256,100,28031.4869350068,18702.315368100946,1.498824417366947
1024,700,76397.91305736915,42452.09110493904,1.7996266160015078
4096,800,68999.97419666316,44366.085532812314,1.5552414275005642
4096,800,102176.1900259029,78733.61137126268,1.2977455021604234
8192,1000,78052.86003302802,45809.33523320091,1.7038636259549602
8192,700,86672.09503161738,57793.63501321383,1.499682361419226
8192,1000,39814.24783088457,33915.21825046568,1.1739345899782876
4096,900,44629.38420218848,32655.352187910106,1.3666790039616072
512,700,111645.27700379332,85438.48061711625,1.306732940443079
1024,200,51594.473904421706,39819.40708715139,1.2957117566190433
