P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,4984.848409909206,4118.24998149955,1.2104288064839879
256,400,38154.46256264447,23531.7252532983,1.6214052370553063
8192,800,15199.613783990375,14795.02099803586,1.0273465503028505
128,1000,207213.70780358987,119404.61005167401,1.7353911855992432
2048,600,93497.70929482393,91443.0979502153,1.0224687416619156
256,900,81505.12184257567,51518.201495127876,1.5820645806178557
256,100,7361.057972186024,4679.130547151785,1.573167899037727
4096,300,1144.1316286426093,942.5154884959478,1.2139128137495092
256,200,17416.471340165615,11080.525409985707,1.5718091602831388
2048,400,16671.931416815223,16659.391108001237,1.0007527471281927
8192,1000,31832.709870390954,31785.267802615333,1.0014925804014059
1024,500,17666.00208893703,10972.920970408175,1.6099634852541806
256,600,58182.41092225076,34696.429261633115,1.6768990977001819
8192,900,42074.57997370163,42072.74163946224,1.0000436941869664
8192,700,30445.3577634223,28301.923922736623,1.0757345630119417
256,1000,93762.88314866231,58863.7101663512,1.592880959825411
8192,900,26446.83657081726,26446.50237773516,1.0000126365701343
2048,700,31785.697827427663,31784.101151865783,1.0000502350390295
1024,600,23403.53093968683,16874.141147700775,1.386946496111047
4096,1000,26036.414141389032,25339.795717781904,1.027491082855032
2048,200,5884.592721665435,5118.145442873633,1.1497509766665546
512,800,33344.24858883434,21229.958775728857,1.5706223898538674
128,200,41486.72759085855,28092.671302858154,1.476781155611844
2048,800,30108.85630632232,26497.37844693629,1.1362956666305077
512,100,54640.771778672875,52844.49103612885,1.033991825965661
1024,100,6985.6332731700795,6901.431727873591,1.012200590923245
512,900,36767.75959077936,24134.145646769488,1.5234746706561357
256,800,87650.22626375138,46337.580997070676,1.8915580912454701
1024,100,18556.825639921077,16558.912626923186,1.1206548435885506
1024,700,30641.666489908293,15601.0663687365,1.9640751321532839
256,300,26599.9894704893,17275.812740351696,1.5397243458398233
1024,600,78816.36751482199,70364.7320429823,1.1201118120747906
8192,200,2688.4361358938577,2650.3651611722858,1.0143644261852327
1024,300,5504.0813221995595,3799.3333703103463,1.4486965964110599
4096,900,16012.100940466942,12984.521812166118,1.2331683193341838
512,900,55352.08305509159,39234.60108057627,1.4107976513235034
4096,100,52844.49103612885,52844.49103612885,1.0
8192,700,31675.281845826536,31347.334171878083,1.010461740451367
1024,400,19324.237553815343,16121.07512688779,1.198694094637963
256,700,61306.09335000725,38261.990551516115,1.6022714047630233
256,400,36854.931224694075,22632.15194254064,1.6284324759864977
512,500,31338.70079014656,16731.4559896685,1.8730408644351024
256,900,77608.49605889297,47728.093563071816,1.6260548089215996
8192,500,17616.634811177104,14826.065726985928,1.1882204716732014
8192,300,4631.559922907227,4160.156593477788,1.1133138426011404
1024,800,43685.570795065985,40846.09768688062,1.0695163863621024
4096,800,29723.829993327912,26497.37844693629,1.1217649343255944
4096,800,35364.66146984436,29394.111289795015,1.203120622399024
8192,500,9178.81822404002,9178.81822404002,1.0
4096,700,25393.612397188514,15601.0663687365,1.6276844029120743
4096,800,12901.323824073417,12582.997544262242,1.0252981277864375
4096,100,2685.399498342895,2685.399498342895,1.0
8192,600,43101.470024528164,43098.54140707002,1.0000679516606021
8192,800,39024.93016916831,34870.55437275946,1.119137073417284
512,300,41773.39061391566,37353.09082643066,1.1183382603604315
256,100,8170.84627909144,4829.618848163767,1.6918201075428583
128,600,128536.11452304496,70900.57950763027,1.8129064023970634
2048,900,36663.031447137975,35054.15888407378,1.0458967670108654
8192,1000,8610.896999922636,7701.877971338275,1.1180256337437673
4096,300,7838.296601544893,7534.510577709549,1.0403192776361718
256,500,45302.82282526407,27381.290499521965,1.6545174459930947
256,700,96229.70222076647,52807.571677195476,1.822270919954505
128,500,90416.78092433004,53535.80791606614,1.6889028940421744
2048,700,74464.2612774145,69459.09380371566,1.072059210675033
128,800,148474.49177924992,89245.39881899078,1.6636655081836622
512,300,12965.52414226968,8874.280036111113,1.4610226507965183
4096,200,5915.545211667824,5846.530584549667,1.011804372887493
4096,500,31286.205252244697,31281.94741052828,1.0001361117855145
8192,1000,18419.55274783386,11706.78763223605,1.5734079515642192
128,900,182504.28577359513,103084.41806074536,1.7704352336358866
4096,300,11366.483336271272,11243.031887069747,1.010980263192485
4096,400,16061.630031537821,16058.873985478984,1.0001716213765255
128,900,173454.31624861184,103160.92321660006,1.681395540484079
1024,400,19526.34052509457,19518.106129237913,1.0004218849821869
8192,600,6296.5991709320315,6143.604662733954,1.0249030522953595
128,400,78248.56436481934,46532.572763232245,1.6815868910357674
4096,700,8901.015754229884,7645.6808588148915,1.1641887646889795
8192,500,12395.353427556438,12395.199388157413,1.0000124273433773
256,900,81807.73592636369,51088.94408718973,1.601280617323945
8192,1000,21190.926534383023,16650.77136654941,1.2726693597483758
8192,600,4260.027608438253,4118.24998149955,1.0344266685061887
4096,900,22842.307833959607,21576.530603346437,1.0586645394425391
8192,700,12303.529098815054,12303.529098815054,1.0
128,300,59261.54651495217,32755.432020731212,1.8092127888114862
4096,700,37418.79124781155,37261.21500737222,1.0042289614122393
256,100,9129.67801746005,5731.651529726247,1.5928529447595532
2048,500,31420.48540779987,28634.316507153108,1.0973017428214413
512,600,34174.774552533,17725.14487690757,1.9280392228024108
512,500,25089.400477990544,24995.547779787677,1.0037547766118076
512,400,15961.026774657723,10699.281702643733,1.4917848897009451
8192,1000,37945.93275199021,37945.93275199021,1.0
128,600,114887.20907297859,69365.62215019029,1.6562557288713573
2048,800,13252.681327756214,9344.456009563955,1.4182400039330518
8192,200,2246.1903057130307,2246.1903057130307,1.0
512,400,15967.466865250204,9893.49469570031,1.6139359605852548
1024,300,5942.310238029414,3874.652043565825,1.5336371295319546
1024,800,57716.75937288042,54042.00044115176,1.0679982032813577
1024,100,9515.921246959424,8256.468069310878,1.1525413974929435
2048,200,7850.022600646812,7479.733511501313,1.0495056526514106
256,100,9107.498684038665,5741.098881538105,1.5863685458068026
1024,700,16366.089391876698,9298.972325300192,1.759989041729766
4096,800,10888.266804943758,8113.94962465907,1.3419194484339998
4096,800,17534.542773593075,17329.60230789093,1.011826033977065
8192,1000,25379.371821816756,24653.74296094643,1.0294328071003167
8192,700,17717.59980583012,16443.27112892882,1.0774984896198274
8192,1000,25341.819718827534,25339.795717781904,1.0000798744026262
4096,900,15862.227241981742,15123.145179145105,1.0488709229516513
512,700,35296.275132376315,23042.05276203695,1.5318199075791055
1024,200,9589.800903155103,7925.6844354705545,1.2099650170573248
4096,700,120914.40956191102,119281.29786603454,1.013691263635567
2048,700,8988.14415153258,8384.147776288468,1.0720402826095572
8192,300,1142.910834864803,1134.6245423979938,1.007303114076218
8192,500,29540.462615440894,28805.068012604806,1.025530042231259
8192,700,40693.286771595005,38693.833645176644,1.0516736890108485
256,1000,97125.38031955458,55694.48421872097,1.7438958575884818
2048,100,6540.823975893567,6527.528362389177,1.0020368526594228
4096,700,53061.85851226666,51410.44753159222,1.0321220891854643
1024,800,87351.966620149,83688.43623733887,1.0437758255205107
1024,400,42647.62250187491,40694.6858930326,1.0479899664043526
256,100,8421.483998053849,5063.0781886625155,1.6633130448018036
128,900,172830.02065326358,96720.06020199122,1.7869097712751987
512,900,45245.69402764969,27287.43887670948,1.6581143518847434
4096,1000,55422.40943937916,55420.91730641427,1.0000269236425057
8192,300,3306.6504114343606,3203.678826598781,1.0321416691275824
512,500,21835.943991642278,13699.604154479855,1.5939105791244186
128,800,135035.92970633646,79920.49096406845,1.6896283803742826
128,100,17829.805788025566,9931.189861419074,1.7953342989938421
2048,200,3940.8948869217434,3631.3880687245173,1.085230994963845
4096,500,88275.40690989388,88189.90415189893,1.0009695300025236
128,400,82867.4524850712,48772.789542903934,1.6990509105938103
1024,700,18483.038272298603,10218.636013742087,1.8087578662594983
128,300,60844.95225672994,36726.85726982461,1.6566882325300714
4096,500,27627.834136340945,25343.09726656832,1.0901522353696904
256,500,64279.372327512996,40962.13789004808,1.5692387077074397
512,500,91958.97009987343,81134.30977008452,1.1334165578096793
128,800,163472.34668333494,97370.5352483193,1.6788687282702044
128,400,116736.25458503861,56129.50996388722,2.079766145475789
2048,600,8439.884718197309,7161.983183316524,1.1784284467265422
4096,100,1610.1768086557563,1609.8572306473563,1.0001985132608755
256,900,92666.23800681568,54102.139652541075,1.7128017228513313
2048,500,28870.062167056276,26754.332671641892,1.079079882925166
1024,500,31056.9569138998,29622.079368073526,1.048439460579286
128,200,39162.6004240278,22418.17440326771,1.7469130054728896
8192,200,13392.711084435161,13392.711084435161,1.0
2048,800,84893.98923982182,83688.43623733887,1.014405251868538
512,800,52033.6647205241,41317.49187667394,1.2593616494398114
512,800,46908.85827172776,29827.20615276463,1.5726869634211404
1024,600,21334.851273479017,17584.595758729552,1.2132693617871606
128,200,41333.24015428972,24735.736732623263,1.6709928877831433
2048,600,17085.629631367738,14204.411019232688,1.2028397100192254
8192,500,13686.500814085914,13172.843391400284,1.0389936635108685
512,300,13281.482976953774,7439.888445540946,1.78517232807623
512,600,28961.274946371905,15899.34500755958,1.8215388704755975
4096,300,8964.445714442161,8964.445714442161,1.0
2048,200,4152.387388938606,3331.151264730722,1.2465322223289281
512,800,38495.20996651024,23329.424969424435,1.6500711019222334
128,500,112860.82635003969,58552.39607217396,1.9275184949036595
4096,600,20854.806041234904,19273.016075016418,1.0820727778185666
8192,400,16058.873985478984,16058.873985478984,1.0
256,100,11297.312187865311,6271.106141717587,1.801486361825651
2048,1000,24984.4433110691,19519.021354171116,1.2800049171384327
2048,500,11498.405147969097,8999.368116979864,1.277690277640059
2048,1000,16787.807159753385,11945.840872571735,1.4053265348862176
1024,600,12269.40314389329,7574.492106364061,1.6198317948717091
1024,800,32914.941927030304,30245.172080792294,1.0882709425195665
128,200,33121.120386367445,20554.7935583826,1.6113574817617218
512,100,2868.7091275186476,1647.1095834763269,1.7416625804969572
4096,900,17814.696202044644,17795.006342265573,1.0011064823130917
8192,900,29282.14762749517,29139.288958476114,1.0049026134173222
8192,300,5064.4622378839895,4437.796551663437,1.141210999405923
4096,1000,65860.10366497864,64026.0449036331,1.0286455108090156
128,200,37007.947827599986,22869.25446081218,1.6182402400137397
4096,200,27366.490666336336,27366.490666336336,1.0
8192,600,11572.508574473477,6739.31208828464,1.717164663525626
4096,800,26381.60882967083,25954.7004250599,1.0164482116001903
2048,500,35469.77770536558,29096.494408489692,1.2190395587661003
128,300,73321.77968558612,42868.394179046576,1.710392495210952
128,100,22961.590632502408,14368.875755705378,1.5980088507192474
128,400,79597.38591116904,47063.4505065966,1.6912781586214627
4096,1000,13201.582795015069,11369.665935842593,1.1611231912625861
2048,800,24332.233689990324,23176.40263872809,1.0498710291359379
2048,100,1103.4801367061605,779.9525417109743,1.4148042062732007
128,900,170703.97682999086,102028.33792508653,1.6731035739828366
8192,700,15163.914035042288,13342.922112172426,1.1364762461746378
1024,700,28607.082886729935,23892.917564519732,1.197303879255441
