eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.76,4.8,7.586401396440739,7.586401396440739,0.76,4.8
2,0.54,4.0,6.351835405428835,6.351835405428835,0.54,4.0
3,0.52,3.8,5.801842947226616,5.801842947226616,0.52,3.8
4,0.58,1.8,3.2900058010551483,3.2900058010551483,0.58,1.8
5,0.34,2.2,3.9202821326120088,3.2900058010551483,0.58,1.8
6,0.6,3.4,5.4318612241987605,3.2900058010551483,0.58,1.8
7,0.26,3.6,5.605645838639343,3.2900058010551483,0.58,1.8
8,0.58,1.0,7.993653600376623,3.2900058010551483,0.58,1.8
9,0.26,4.0,6.351835405428835,3.2900058010551483,0.58,1.8
10,0.64,4.8,7.586401396440739,3.2900058010551483,0.58,1.8
11,0.46,1.2,2.955411716844994,2.955411716844994,0.46,1.2
12,0.5,1.0,6.788972008379494,2.955411716844994,0.46,1.2
13,0.68,4.2,6.871829697185197,2.955411716844994,0.46,1.2
14,0.1,3.8,5.801842947226616,2.955411716844994,0.46,1.2
15,0.24,4.0,6.351835405428835,2.955411716844994,0.46,1.2
16,0.7,3.6,5.605645838639343,2.955411716844994,0.46,1.2
17,0.72,4.4,6.935910645706493,2.955411716844994,0.46,1.2
18,0.82,1.2,3.6560676946261794,2.955411716844994,0.46,1.2
19,0.7,2.2,3.9202821326120088,2.955411716844994,0.46,1.2
20,0.78,2.4,4.029483574612439,2.955411716844994,0.46,1.2
21,0.1,1.4,2.5874464912921824,2.5874464912921824,0.1,1.4
22,0.9,1.4,2.728609734962164,2.5874464912921824,0.1,1.4
23,0.12,1.4,2.5874464912921824,2.5874464912921824,0.1,1.4
24,0.14,1.4,2.5874464912921824,2.5874464912921824,0.1,1.4
25,0.16,1.4,2.5874464912921824,2.5874464912921824,0.1,1.4
26,0.1,1.2,2.3452711007336493,2.3452711007336493,0.1,1.2
27,0.6,1.4,2.6597430618305884,2.3452711007336493,0.1,1.2
28,0.22,1.2,2.660786285748818,2.3452711007336493,0.1,1.2
29,0.1,1.0,2.8092168934070836,2.3452711007336493,0.1,1.2
30,0.12,1.6,2.9081509186245467,2.3452711007336493,0.1,1.2
31,0.1,1.8,3.2900058010551483,2.3452711007336493,0.1,1.2
32,0.48,1.6,2.9081509186245467,2.3452711007336493,0.1,1.2
33,0.12,1.2,2.379434145667639,2.3452711007336493,0.1,1.2
34,0.9,1.6,2.9081509186245467,2.3452711007336493,0.1,1.2
35,0.4,1.4,2.7648256506044047,2.3452711007336493,0.1,1.2
36,0.14,1.2,2.4180315814253124,2.3452711007336493,0.1,1.2
