eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.86,1.4,3.241961566986849,3.241961566986849,0.86,1.4
2,0.9,2.0,4.469733297240701,3.241961566986849,0.86,1.4
3,0.54,2.4,5.273580135755076,3.241961566986849,0.86,1.4
4,0.48,5.0,9.591898752720953,3.241961566986849,0.86,1.4
5,0.8,1.6,3.6862933394187145,3.241961566986849,0.86,1.4
6,0.32,4.0,7.948608418849337,3.241961566986849,0.86,1.4
7,0.42,1.0,2.4637977798705224,2.4637977798705224,0.42,1.0
8,0.2,1.4,3.241961566986849,2.4637977798705224,0.42,1.0
9,0.12,2.8,6.250133817336068,2.4637977798705224,0.42,1.0
10,0.34,3.0,6.615760594459379,2.4637977798705224,0.42,1.0
11,0.52,2.0,4.469733297240701,2.4637977798705224,0.42,1.0
12,0.4,2.6,5.350889725233483,2.4637977798705224,0.42,1.0
13,0.26,3.4,7.209290064759328,2.4637977798705224,0.42,1.0
14,0.34,2.8,6.250133817336068,2.4637977798705224,0.42,1.0
15,0.14,3.6,7.2324560484675695,2.4637977798705224,0.42,1.0
16,0.82,4.8,9.566669316885699,2.4637977798705224,0.42,1.0
17,0.58,4.6,9.3706143040298,2.4637977798705224,0.42,1.0
18,0.48,4.6,9.3706143040298,2.4637977798705224,0.42,1.0
19,0.26,1.4,3.241961566986849,2.4637977798705224,0.42,1.0
20,0.76,4.8,9.566669316885699,2.4637977798705224,0.42,1.0
21,0.9,1.0,3.406456432230354,2.4637977798705224,0.42,1.0
22,0.1,1.0,2.9770773017895653,2.4637977798705224,0.42,1.0
23,0.12,1.0,2.5682396906772156,2.4637977798705224,0.42,1.0
24,0.14,1.0,2.4637977798705224,2.4637977798705224,0.42,1.0
25,0.16,1.0,2.4637977798705224,2.4637977798705224,0.42,1.0
26,0.18,1.0,2.4637977798705224,2.4637977798705224,0.42,1.0
27,0.2,1.0,2.4637977798705224,2.4637977798705224,0.42,1.0
28,0.36,1.0,2.4637977798705224,2.4637977798705224,0.42,1.0
29,0.22,1.0,2.4637977798705224,2.4637977798705224,0.42,1.0
30,0.38,1.0,2.4637977798705224,2.4637977798705224,0.42,1.0
