P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,34978.66856821914,25339.81784604174,1.3803835836840104
256,400,100237.3078998799,48334.52807370665,2.0738240734868723
8192,800,64942.00475796276,40507.42758459579,1.60321226575886
128,1000,255045.65429870304,122342.327095179,2.0846885975961897
2048,600,180748.0087125213,151129.24419825306,1.195983012231663
256,900,184267.12057608415,54809.75617591053,3.3619401623441543
256,100,35462.74970430685,26277.440229121807,1.3495511509148248
4096,300,16746.61930772521,14461.995710341227,1.1579742964347814
256,200,41708.224204030186,28639.31993050193,1.4563273256921647
2048,400,57764.87909245472,48402.57713588221,1.1934256915760788
8192,1000,103805.76256143986,86941.7558164661,1.1939690150791715
1024,500,97954.96117328611,61945.54745447425,1.581307538613269
256,600,173482.7070048942,87906.4422511642,1.9734925286729672
8192,900,63260.78613664888,51759.85633102995,1.222197869562558
8192,700,83963.67813224749,61004.81435234271,1.3763451134741975
256,1000,143782.78455407917,60266.79191353534,2.385771334242647
8192,900,228683.26679230173,198921.3860550627,1.1496162947959792
2048,700,58226.9208390933,50318.98468300632,1.1571561152496315
1024,600,109413.44496179748,69227.82344495451,1.5804836771850261
4096,1000,71546.62068599928,51562.0110470629,1.3875839835008676
2048,200,46251.20078758974,37687.22034705516,1.227238314783376
512,800,91522.4480138047,59751.971053248635,1.531705923679797
128,200,93625.86236735532,38616.9468705205,2.4244760384935473
2048,800,111606.1454990031,74910.56325865745,1.4898585812743135
512,100,33192.65991333913,25554.08998787344,1.2989177047232177
1024,100,22260.934581400692,16270.879577503554,1.3681457400851955
512,900,86739.13005342927,54814.08894506958,1.582424003076152
256,800,210463.48319550717,105351.1225342505,1.9977336561087309
1024,100,30558.874388428572,17524.646577519117,1.7437655163688128
1024,700,146821.76175862012,90035.56093891147,1.6307085803379147
256,300,115727.48469351212,59520.11230056764,1.9443425124789024
1024,600,104074.48331617059,93962.56722509673,1.1076164305605842
8192,200,56314.512236294846,39439.94833382917,1.4278546148092115
1024,300,51167.58181588231,42559.26499070512,1.2022665764330571
4096,900,125927.15284373573,80527.65400433389,1.5637752570931533
512,900,96256.34419703163,77438.96240069586,1.2429963059030693
4096,100,31589.141571690103,25509.78330366942,1.2383147749885512
8192,700,38679.71789488669,36383.636776576175,1.0631075209004048
1024,400,98352.09599812052,70446.65442750564,1.3961216014783424
256,700,101443.63812004344,45533.305579283064,2.2278997061482553
256,400,98093.8458006678,36205.24077560651,2.7093825009654156
512,500,123888.45878727405,49051.18395225835,2.5256976245029077
256,900,110267.58562268512,57524.791285656356,1.9168706771158686
8192,500,131958.78693191116,106590.45867809009,1.2379981151074229
8192,300,44734.846505485686,29931.832451898452,1.494557560997183
1024,800,89065.563291052,75099.1938804778,1.185972294626784
4096,800,111604.38462355007,74875.55183262887,1.4905317141838506
4096,800,84437.33737265083,65871.74785380425,1.2818444951552075
8192,500,107398.73709635138,91384.73058369043,1.1752372241005327
4096,700,143339.1789272667,89704.13083446011,1.5979105710503416
4096,800,52822.38633799302,47862.461864898854,1.1036286952203695
4096,100,34563.49979825299,25513.346625527105,1.3547223069383947
8192,600,63802.044355843434,40316.599781882396,1.5825254287568915
8192,800,113879.66330252636,83138.40291443179,1.3697600544448065
512,300,73956.28816772463,55298.68456635139,1.3373968792871826
256,100,57952.75546003041,42169.020106715,1.3742969439027113
128,600,167755.48235486497,72905.33051695603,2.301004345846139
2048,900,167257.85502663627,138680.36028229067,1.2060673529126598
8192,1000,51461.08449248275,44746.27273079294,1.1500641584627203
4096,300,45534.08767868054,35747.129315540355,1.2737830575638838
256,500,122092.27214408969,91652.47215266107,1.3321219741975592
256,700,126068.54389569172,58575.713811607675,2.152232310837146
128,500,134019.5190549525,55089.93942571088,2.4327403597108446
2048,700,71783.06795489635,61770.21371425966,1.1620984231486513
128,800,234242.54833951854,91299.30067015364,2.565655449933737
512,300,38320.63515217075,29315.379910080832,1.3071853501374284
4096,200,66648.7862914905,48449.352805894276,1.375638319845257
4096,500,275281.5492610024,230387.8143086843,1.194861586265007
8192,1000,144585.69135218463,100649.75660009484,1.436523010449569
128,900,224868.85270045817,106125.13242222022,2.1189029174146468
4096,300,27461.038341450036,24857.044966350284,1.1047587667248804
4096,400,97978.17861561553,65844.558400574,1.488022412111149
128,900,245046.90985005966,106193.97181152053,2.3075406792862374
1024,400,62408.22832750391,48012.334238965144,1.2998374129632622
8192,600,41736.52352803968,30879.271782953714,1.3516032314945814
128,400,167351.67426274254,100412.82389322805,1.6666364690698527
4096,700,66380.01125760561,46902.72070590232,1.4152699514775107
8192,500,48892.569423416746,40213.293904934864,1.2158310020313154
256,900,135169.03602594094,68784.06403433165,1.9651213972828805
8192,1000,191376.54726329923,132362.96275782728,1.4458466573723032
8192,600,34910.0799204263,25325.579367516777,1.3784513836316354
4096,900,59192.48572931251,47239.60737156168,1.2530266236917642
8192,700,192023.67019652738,154802.27547094636,1.2404447519414326
128,300,100129.52740834052,37575.37625782499,2.6647644649330364
4096,700,101446.22113060385,74294.70133872438,1.3654570151388088
256,100,24806.229934685125,14887.022202248138,1.666298981601509
2048,500,50799.98836173249,42220.82558082555,1.2031974188776435
512,600,56472.0305467169,39911.47243417489,1.4149322764239023
512,500,46929.94592437035,40359.055700854355,1.162810801923121
512,400,74182.85079054811,58094.73530829689,1.2769289746631063
8192,1000,201907.70394832443,170835.76031156772,1.1818819641747615
128,600,153646.2116132932,71185.27915940297,2.1583986665169643
2048,800,90943.09842942997,49405.80358577192,1.8407371569525512
8192,200,36035.88497817952,28474.386928972886,1.2655543758700827
512,400,110616.17061505812,72462.01273500008,1.526540133788322
1024,300,39836.98765124652,24245.008504041936,1.6431005847906885
1024,800,137874.78302734403,113988.88034982161,1.209545901356507
1024,100,14518.510741616044,14288.78959877594,1.016077019068136
2048,200,63667.19111266378,54506.84394617546,1.1680586602213476
256,100,22370.342159318137,13225.770345359979,1.6914207320382184
1024,700,128158.50261463788,48889.00339843507,2.6214177771261387
4096,800,62858.26630950798,45625.20765580448,1.3777091555113414
4096,800,154457.1289903439,125129.19990328405,1.234381176493802
8192,1000,91253.45452566475,75235.44555575492,1.212905085516365
8192,700,132429.76901766413,105666.13632389191,1.2532848614028558
8192,1000,71500.08272193754,51551.25276057881,1.3869708085273453
4096,900,77286.7882253213,55775.094322595265,1.3856863742498657
512,700,136185.3811565181,104086.64753350454,1.3083847389040104
1024,200,33728.12345693704,31346.100459060614,1.0759910471475538
4096,700,153353.1889888049,143908.0617433905,1.0656330655210717
2048,700,136562.30098335017,97418.28555385975,1.401813840255368
8192,300,25828.701645669244,23095.471423504423,1.1183448552335327
8192,500,139266.4671615896,82818.48977503512,1.6815866546212992
8192,700,85701.0813056138,53786.429754195684,1.5933588025319447
256,1000,160917.59359407154,110364.33073667888,1.4580579841326542
2048,100,76175.68762301661,66048.07099842197,1.1533370539290482
4096,700,107292.83663347756,72916.51693433772,1.4714476382641284
1024,800,135290.82168554846,121702.61525635065,1.111650899206858
1024,400,315979.7852103937,262665.24196528335,1.2029752503460545
256,100,12841.937865663604,11573.58773801483,1.1095900559411431
128,900,215526.82918747503,99628.06363260541,2.163314445036943
512,900,148532.58174355235,90295.3145125921,1.6449644430092638
4096,1000,125697.21975394059,110350.43973567909,1.139073120642033
8192,300,48952.40795320347,24730.1845315877,1.979459873850795
512,500,191563.6978787496,136998.6611845978,1.3982888316012707
128,800,188060.42284720764,82488.191480104,2.2798465995289456
128,100,42625.22387665348,19727.62006951477,2.1606875906193337
2048,200,39871.84961199906,31247.49127757285,1.276001623868478
4096,500,42537.303489395155,36770.09553853634,1.1568450629891505
128,400,135790.806779683,50049.2365588324,2.713144417698803
1024,700,180638.41105480347,100915.9176950425,1.789989281975061
128,300,132292.44767460902,46677.0896737702,2.8342051443055083
4096,500,149449.11179709202,86313.15153707848,1.7314755530956547
256,500,94840.16836667279,49468.92113219278,1.9171667017608327
512,500,172795.70528981488,146854.52670932093,1.1766454134018018
128,800,242612.2947044463,100181.89320467891,2.421718006554056
