P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,48373.75895595312,25339.817846041748,1.9090018424702067
256,400,94182.59874352555,48679.56019676214,1.9347462952179668
8192,800,110066.58373047938,62137.90128877687,1.7713276671344422
128,1000,324456.45965371537,125295.95783362567,2.5895205660548535
2048,600,164694.38296534063,95460.11175339336,1.7252691196381946
256,900,188752.29272388032,77030.62312975689,2.450353963850585
256,100,39222.23661744259,26193.65899088914,1.4973943362050006
4096,300,31846.283646827735,20887.76340872541,1.5246382785781958
256,200,54817.00325097955,25775.82693292296,2.1266826237478678
2048,400,52747.43123133748,34397.99854935305,1.5334447774819604
8192,1000,108916.9278898217,71441.52524391812,1.5245605062035528
1024,500,122822.18615228496,69330.81468246617,1.7715381928628458
256,600,157511.41258229577,65997.13135384436,2.3866402880118613
8192,900,77408.74929952434,50985.945546331204,1.5182370057093986
8192,700,111263.88291496881,54661.38833726035,2.0355114697868903
256,1000,196225.38667387757,62174.13220982782,3.156061527511925
8192,900,306657.0867695405,200725.03795784948,1.5277470608023291
2048,700,69863.40057604686,45736.33575987692,1.5275250938956038
1024,600,121030.86671230313,69645.19944005155,1.737820663669472
4096,1000,79332.53761175803,51207.743830232605,1.5492293094334844
2048,200,51125.522739714135,33208.183834406,1.5395458840704357
512,800,103721.81411302257,58281.74602729851,1.779662092903676
128,200,84905.2766021254,36920.89002320384,2.2996541131257833
2048,800,128895.5603648852,69914.3129245496,1.8436219276586072
512,100,52574.42398201513,34744.80913128068,1.51315909617942
1024,100,26262.131857764565,17424.209760559108,1.507220827725037
512,900,127521.88623920207,65527.226447374065,1.9460900934303527
256,800,182133.33013550856,88988.07431158595,2.046716164435479
1024,100,30961.44121440839,17010.884101954263,1.8200959473265381
1024,700,223255.47692367976,122698.14519501191,1.8195505447033917
256,300,103689.35609961204,58817.967607809784,1.7628857357159733
1024,600,88326.39646807121,56839.82740281852,1.553952580505045
8192,200,77340.22799576215,48832.439654252754,1.5837879193288817
1024,300,80174.91915562896,51334.02512144949,1.5618280266537785
4096,900,134063.6103809975,68798.33552250691,1.9486461316660706
512,900,106971.2861804837,70503.79592528375,1.5172415155326715
4096,100,52567.38030928361,34460.69141352587,1.5254302265290836
8192,700,37953.5441830417,24919.342184621364,1.5230556208848969
1024,400,121925.50450857019,71121.47502380062,1.7143275567297798
256,700,133769.19963322877,46686.09352875527,2.8652900579663316
256,400,129089.780264222,59315.77823058138,2.176314365503297
512,500,214084.54491858443,104189.08387589059,2.0547694341338163
256,900,151735.65860943752,57244.69321120439,2.6506502192195978
8192,500,149335.27190113786,87191.89492611904,1.7127196516106828
8192,300,68288.39476784227,37997.38137569971,1.7971868664484976
1024,800,116364.07073236484,76586.05734526525,1.5193897527296953
4096,800,127986.41305874717,69744.6297416748,1.8350719407758347
4096,800,119561.16599576807,49156.66889863417,2.4322471126413148
8192,500,141244.6740556576,93303.02350633578,1.5138274060975776
4096,700,221528.87783665996,121247.84298185878,1.8270747948052597
4096,800,65079.77141301574,43369.83132383738,1.5005770007974626
4096,100,38099.68240196743,25235.008428580157,1.5097947167244559
8192,600,72799.53580777711,37566.49697046091,1.9378845960809297
8192,800,191523.3237351941,84971.24391877686,2.25397810956221
512,300,73951.05406786801,47234.241688785194,1.5656238233930657
256,100,83658.00587311578,56270.53628076332,1.4867106553899176
128,600,198799.2764683299,74899.47399565695,2.6542145874062784
2048,900,239674.4532609702,156586.64072292217,1.5306187817456964
8192,1000,69277.37026393284,45312.78094590863,1.5288704161996047
4096,300,62822.577635134854,41796.45799396132,1.5030598440712692
256,500,154704.92384911116,95166.34282014595,1.6256264480131033
256,700,127145.12283614464,47967.297444383694,2.6506626307968406
128,500,147363.10179398587,56182.17500713485,2.6229511722405108
2048,700,75321.18464256875,48971.50074361899,1.5380615970275964
128,800,242628.02494671944,93497.3020055607,2.5950270194137715
512,300,46921.93452601647,28600.5958497807,1.640592901366992
4096,200,87872.50573730894,50831.013653404065,1.7287183438141858
4096,500,361267.15857715224,237564.50729901434,1.5207118381637608
8192,1000,184864.76547714454,112393.23827909636,1.644803266706187
128,900,291303.46037811413,109443.21737422631,2.66168582546364
4096,300,41436.379312498735,27866.80417099782,1.4869440736093935
4096,400,117128.7518400486,56915.493482307924,2.057941426379055
128,900,296206.26519193186,109318.34627419793,2.7095750648200623
1024,400,67503.99189964376,44207.66491546582,1.526974836348523
8192,600,49186.62632301781,32734.27780938007,1.5026030697681465
128,400,149739.43540068483,81480.70461614145,1.837728774022178
4096,700,105275.68535998026,53915.74341202593,1.9525963790475802
8192,500,88376.47556377505,54509.002824173345,1.6213188828430072
256,900,173893.2093005897,64837.41435415292,2.6819886485718816
8192,1000,229323.37827068949,124535.58998606945,1.8414284486574608
8192,600,48370.89304903102,25325.579367516788,1.9099619537657142
4096,900,70730.02768468269,44998.63267930536,1.5718261527802169
8192,700,283685.36551804456,185768.68163866145,1.5270892973759742
128,300,103346.97471584954,38152.527144095155,2.7087845144707408
4096,700,157763.92474988115,86344.15596057125,1.8271523184721785
256,100,22630.294274969154,14891.07425106187,1.5197220760184853
2048,500,58230.98991701892,38078.8838745444,1.5292199768477492
512,600,84626.85523013143,50523.437090590436,1.6750019417402715
512,500,55319.55663319984,33156.78306802833,1.6684235174353246
512,400,87941.10000304582,57470.31142497088,1.5302005126221636
8192,1000,230649.70254474916,150569.03775101455,1.5318534672856075
128,600,185504.78065749197,72849.63176490327,2.546406566009061
2048,800,128857.44180265002,41519.7534269463,3.1035213643398376
8192,200,41254.41464805424,26972.824218293383,1.5294807215654809
512,400,167180.4984500396,109009.50865491609,1.533632253854766
1024,300,67177.55185766424,35788.66352580134,1.877062321962191
1024,800,179910.28165869397,105506.57662913551,1.7052044280717567
1024,100,15761.944976097135,10211.848879179503,1.5434957139087206
2048,200,61431.037875167065,40359.96560634527,1.5220785486870947
256,100,66746.28076422967,37681.884279448226,1.7713095308408773
1024,700,151337.2580854305,66874.51640802078,2.2630034012070923
4096,800,85014.23839255937,46857.31231092819,1.814321697079756
4096,800,194362.2294955697,127268.05412448723,1.52718787784289
8192,1000,133577.15837932908,61631.005637657836,2.167369443306806
8192,700,182181.66065304956,116555.24523591898,1.5630498677626772
8192,1000,79328.60574223263,51177.51428416821,1.5500675804954633
4096,900,93887.86207185159,60367.665223331875,1.555267405564068
512,700,192713.9339948406,123260.96281991307,1.5634628319137813
1024,200,47692.74115385844,30960.64519433914,1.5404311135795905
4096,700,113765.29403820995,65060.34510421777,1.7486119057003697
2048,700,181101.7830935687,89844.51474818445,2.0157244279315156
8192,300,41275.340534565024,27325.43722463806,1.5105097933199398
8192,500,139647.9392064326,68815.17228508745,2.0293190377828196
8192,700,96667.57400333491,46993.19158217273,2.0570548785625915
256,1000,182990.57761846832,111749.61276708746,1.6375052502406773
2048,100,73583.58264482593,47958.62701914873,1.5343137870783035
4096,700,150595.74526895842,86817.79328982205,1.7346184412477261
1024,800,109051.32157358961,53472.408401124616,2.039394237782192
