P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,20454.843151930032,18779.00655706,1.0892398961456242
256,400,56064.07376607227,43244.960742362484,1.2964302153048846
8192,800,48596.403336782176,46379.37991347244,1.0478019203242026
128,1000,168833.01648639183,119404.61005167404,1.4139572702706114
2048,600,122846.71236268584,111680.57587899217,1.0999827982243964
256,900,84425.16294418478,51518.201495127876,1.6387443756585514
256,100,13906.774242741718,12924.548421892341,1.0759969160071872
4096,300,21036.138943059523,17279.41691731119,1.217410231127921
256,200,28313.953805273675,22891.533499154106,1.2368744892656467
2048,400,33709.66273809477,21733.26502109654,1.551062976748901
8192,1000,61211.38932692475,60202.342442558154,1.0167609239678568
1024,500,82512.00976579665,53664.96732667876,1.5375395509609675
256,600,85509.98087648425,58028.72573355824,1.4735801931806594
8192,900,52946.77604405804,52575.017380802,1.0070710136063938
8192,700,55358.90374661691,35360.41439156067,1.5655615099304154
256,1000,91542.64384906879,58863.710166351215,1.555162656080726
8192,900,153139.46564216347,149649.57060028278,1.0233204480833578
2048,700,41983.99486596845,41611.35817859911,1.0089551676196185
1024,600,59881.318590693256,43965.34404781527,1.3620118274422757
4096,1000,34684.74096810806,33915.21825046568,1.0226895994582554
2048,200,14285.8565170988,12441.910416424595,1.148204418691201
512,800,59306.4395041677,54149.74440156318,1.095230275961481
128,200,41029.4395123919,38939.521911435,1.0536708592804571
2048,800,90786.47966769565,71810.48771496736,1.2642509827819084
512,100,60770.098036024785,60573.79424177784,1.0032407379577941
1024,100,9810.717103775001,9640.921141579869,1.0176120061248948
512,900,54246.2990247406,46304.128599874144,1.171521863492925
256,800,115381.87551640706,86969.02217444926,1.326700848550017
1024,100,30509.282965844093,20829.72320776272,1.4646993942998745
1024,700,139844.70537545026,101971.47650017287,1.3714100273443937
256,300,41280.68651410444,35896.699653227304,1.1499855672774388
1024,600,88075.95373729925,86765.25402755744,1.0151062741005232
8192,200,21608.963781950275,18018.92824454402,1.1992369073611961
1024,300,19352.637259359715,18573.116360380285,1.0419703879442808
4096,900,63237.44966956409,52757.84825268096,1.1986358762527924
512,900,58836.870423634384,53309.00486140186,1.1036947805835886
4096,100,60734.433104241725,60573.79424177784,1.0026519531172622
8192,700,41993.252240074944,41694.171098573366,1.0071732123129271
1024,400,72924.21301654352,63377.543120814065,1.1506317447101257
256,700,57397.955021615184,38261.990551516115,1.5001298728651955
256,400,40940.24901096448,22632.151942540644,1.8089419474959836
512,500,109845.63394847616,62904.27191045394,1.7462348837745807
256,900,72652.21914422995,47728.093563071816,1.5222107928576982
8192,500,86546.92796058313,84889.56492633495,1.0195237546061922
8192,300,34128.07206972055,23136.448596413335,1.4750782483968243
1024,800,67146.80941006116,66116.18200423285,1.0155881264553712
4096,800,90786.47966769565,71810.48771496736,1.2642509827819084
4096,800,69847.10989981711,64362.85987349461,1.0852083023827996
8192,500,67996.83549103724,66624.56129320196,1.0205971217100578
4096,700,139832.6671203764,101971.47650017287,1.3712919722226375
4096,800,45036.989264729236,43948.578664085064,1.0247655472310786
4096,100,8605.827567119186,8321.239576006265,1.0342001919922499
8192,600,61358.09229828666,60947.46333963169,1.0067374249255745
8192,800,88655.49302747,62102.16000225037,1.4275750315972493
512,300,52259.793171528916,51521.92639179481,1.0143214128703777
256,100,19024.706535849018,17954.53769414384,1.0596043663131594
128,600,101615.19824687857,70900.57950763027,1.4332068785974141
2048,900,132346.91605917722,129752.604791726,1.0199942904546349
8192,1000,30987.12159901224,28498.849543516073,1.0873113159075676
4096,300,18880.494871192117,18481.458954016285,1.02159114808894
256,500,71088.74694318195,66627.75825410518,1.0669539063893374
256,700,89502.31648494328,61827.216222082076,1.4476200281030416
128,500,79945.81297516213,53535.80791606614,1.4933147754210006
2048,700,89145.68090251571,69714.60276884174,1.278723213816525
128,800,138225.85844833017,89245.39881899078,1.5488289623612135
512,300,25609.196486425768,25000.830378077444,1.024333836082572
4096,200,54723.27643976105,53640.79281597229,1.0201802316289859
4096,500,176574.30444389238,173165.7012270452,1.0196840551719766
8192,1000,82382.57145034494,71753.33995595953,1.1481357035213884
128,900,153967.93546866675,103084.41806074536,1.4936101727609004
4096,300,19504.99145983325,19028.50780282153,1.0250405161534037
4096,400,49972.24340316214,45126.38541333707,1.1073841378040634
128,900,147727.78640472362,103160.92321660006,1.4320130316646111
1024,400,27910.38084809937,26611.894241008282,1.0487934678881352
8192,600,27410.5047858507,18661.250273283804,1.4688461054023094
128,400,70926.28276136496,46532.57276323225,1.5242286972236234
4096,700,42383.518684102986,36793.786558940206,1.1519205455032075
8192,500,30392.992183752118,27177.07231873392,1.1183320935861576
256,900,77552.4550458884,51088.94408718974,1.5179889980410506
8192,1000,135418.21450153977,94799.79607328854,1.428465251094524
8192,600,20442.129776901686,18779.00655706,1.0885628968065102
4096,900,44855.269762102085,40761.55353335776,1.1004308195808628
8192,700,105994.52996727376,103650.17673083996,1.0226179376666347
128,300,58010.914468845,32755.432020731212,1.7710318835706202
4096,700,94031.48771396489,80356.03512507299,1.170185756024501
256,100,15018.877619035064,14135.174116163842,1.0625180486358983
2048,500,36466.17455160396,36276.16196639806,1.005237946213326
512,600,37386.12150008174,30580.976963775065,1.2225286832519366
512,500,35888.057014056,35496.811911768345,1.011021978628958
512,400,38555.857181798434,34415.68964887445,1.1202988397200224
8192,1000,149749.44577996348,146820.54879419197,1.0199488219450612
128,600,98751.6722094565,69365.62215019029,1.4236399696039574
2048,800,45582.364297958695,42695.059714644456,1.0676261985019286
8192,200,16597.409119955253,16319.454371522042,1.0170321103944657
512,400,71588.33130558213,68462.06472805722,1.0456642169637007
1024,300,25481.64432510153,16760.521743464207,1.5203371777515302
1024,800,78757.16846216148,75591.86163784155,1.0418736455980517
1024,100,17574.305210428563,17347.873752067557,1.013052404092693
2048,200,28389.216187870436,27814.232772578187,1.0206722730766502
256,100,22214.636705325254,18702.315368100946,1.1878014175300988
1024,700,58771.713598373004,42452.09110493904,1.3844244669383383
4096,800,54502.4737700024,44366.085532812314,1.2284715479280544
4096,800,80349.11091862121,78733.61137126268,1.0205185500731162
8192,1000,60055.58070779381,45809.33523320091,1.3109900067763425
8192,700,66555.43853171008,57793.63501321383,1.151604991042577
8192,1000,34683.72017038582,33915.21825046568,1.0226595009427542
4096,900,33725.542251280625,32655.352187910106,1.0327722713634284
512,700,87313.64911587315,85438.48061711625,1.0219475871435528
1024,200,40738.32729975713,39819.40708715139,1.0230771947606987
4096,700,145353.18205305623,132452.11299022113,1.0974017610710942
2048,700,102241.00681550844,91119.24221630921,1.1220572551821395
8192,300,20136.802913923275,19674.24141386905,1.0235110208482117
8192,500,76489.86976267477,53378.57096652857,1.4329696051742995
8192,700,57719.636950964734,49777.7756414471,1.1595463277974378
256,1000,94615.67626997859,90498.72860811553,1.0454917734777311
2048,100,35197.868697098595,34300.968848800694,1.0261479450406037
4096,700,92520.79960269015,82072.46511123,1.127306210155865
1024,800,102712.7200684755,101845.3758611526,1.0085162846127187
1024,400,197547.34927555433,193515.84305327947,1.0208329517556083
256,100,18245.452570026973,17587.547381984677,1.037407443673255
128,900,142354.46673144592,96720.06020199122,1.4718194595221645
512,900,77042.99254271944,72227.30001714897,1.0666741318646422
4096,1000,91251.17252546617,90498.72860811553,1.0083144142345792
8192,300,33300.01104781584,25922.78608210399,1.2845845713630595
512,500,92306.38074982807,86843.01321389293,1.0629108472143747
128,800,111498.09316505086,79920.49096406845,1.395112715400853
128,100,26338.10860077117,22982.09428187623,1.146027349715535
2048,200,24926.224386095266,21228.428234486382,1.1741907648914711
4096,500,98290.52615484591,97935.06095418494,1.0036296010560228
128,400,77760.61015687042,48772.78954290394,1.5943441186292362
1024,700,114275.36770416523,107260.20847207752,1.0654031847599283
128,300,56107.634013714596,36726.85726982461,1.5277003856198048
4096,500,99396.74779653338,71401.30747796739,1.3920858217786092
256,500,63581.05563283033,49937.16420129462,1.2732211900647332
512,500,150264.34184331878,147481.94731846493,1.0188660007237746
128,800,142400.5572495815,97370.5352483193,1.462460454658325
128,400,151894.18650050447,125078.80246001596,1.2143879179612438
2048,600,71467.43381397681,51282.51062023954,1.3936024767432298
4096,100,23054.185733427454,22656.454190491233,1.017554889198114
256,900,204542.36742807343,184098.91857787647,1.1110460018348727
2048,500,37723.495250513304,37441.44378906292,1.007533135288249
1024,500,44967.39936264248,44576.14394763512,1.00877723778591
128,200,33048.58735351242,27723.977542298137,1.1920579326357694
8192,200,68645.35611299518,67151.768032449,1.022241977006837
2048,800,102608.84643423438,101845.3758611526,1.0074963695369206
512,800,69525.78250261978,52828.81053104514,1.3160580714146985
512,800,87983.55338730654,76577.73322810722,1.1489443429361386
1024,600,68958.69509356136,48408.82573041455,1.424506669043939
128,200,37812.17641443912,24735.736732623263,1.5286456523678031
2048,600,31525.62292898647,30580.976963775065,1.0308899864883452
8192,500,28939.419826216938,19560.487282935454,1.4794835837992468
512,300,42762.61916614235,33160.64237859692,1.2895594324717574
512,600,75440.26806852313,44462.8864987731,1.6967019914598847
4096,300,79020.56085458613,77306.4040908596,1.0221735415569433
2048,200,10231.701651278085,10040.691196847953,1.0190236359913245
512,800,61095.35043628376,50772.066671360866,1.2033260499664864
128,500,190306.14799550237,173629.6110728368,1.0960466179681174
4096,600,81197.13409380792,72740.10717064606,1.116263602737372
8192,400,49972.24340316214,45126.38541333707,1.1073841378040634
256,100,24444.13953079198,22363.056566867846,1.0930589679322897
2048,1000,45665.90098879249,28109.406843986402,1.624577183084959
2048,500,109021.9085922467,62891.775190494496,1.7334843588375026
2048,1000,102934.33286600743,75796.72432283711,1.358031416075245
