P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,72458.42040450065,32086.250269673834,2.2582389589158187
256,400,116341.60539487019,69344.18366491112,1.6777413655493107
8192,800,139747.6486570139,68639.61815064191,2.0359619185280535
128,1000,259083.1224759018,125295.95783362567,2.0677691998645757
2048,600,286703.9113899971,191374.78812730435,1.4981279101366212
256,900,164167.0360821838,79309.82918527524,2.069945651990677
256,100,50172.415883957554,27744.76099020595,1.8083563921011498
4096,300,39985.55163873881,24265.13520631133,1.647860244699507
256,200,62386.11850417735,32996.77807816611,1.8906730334819597
2048,400,76500.25670849317,49006.50439213838,1.5610225144065843
8192,1000,151519.63429582096,97895.23348711745,1.5477733582990045
1024,500,186567.99532282978,103433.70181766388,1.8037447373943707
256,600,212857.19396613463,107515.86756387605,1.979774695485524
8192,900,103678.75932434443,76055.59330000391,1.3631970355602907
8192,700,163022.80129419515,80626.46962808013,2.021951377087438
256,1000,161318.14572126415,66688.81108753479,2.4189686859092485
8192,900,443294.29641705693,294265.0674249581,1.506445533260938
2048,700,88351.43783876859,53921.858220267735,1.6385087746393674
1024,600,159164.93063984846,87981.12037524463,1.8090805159220604
4096,1000,108774.87144404731,57823.110280004155,1.8811660410052833
2048,200,70495.68150903242,43211.18708703341,1.6314220057654099
512,800,131533.09621663767,76745.1936743743,1.713893599314186
128,200,90989.50347709484,55080.46923257345,1.651937696697862
2048,800,184494.97438651993,91530.45019922058,2.015667725712672
512,100,99864.96553105707,81541.92332472774,1.2247070152289727
1024,100,39079.82111971219,26126.125239736124,1.4958138936069383
512,900,139235.87311377557,83768.9354752691,1.6621420855333877
256,800,240495.09372970695,140690.70674223357,1.7093886248672412
1024,100,51084.13436387992,26128.92828146623,1.955079588936486
1024,700,387939.07478174614,209079.4040392636,1.855462887721327
256,300,130399.51434908484,73378.01257741736,1.7770924800056014
1024,600,146349.96124513808,121589.27436436518,1.2036420318339334
8192,200,109122.88239954632,66804.37457564907,1.6334691117566844
1024,300,103240.66828904547,60661.299768006524,1.7019198184654758
4096,900,186519.60398110814,83867.31024046338,2.223984570940946
512,900,140165.9841616091,83934.36071927342,1.6699475990578851
4096,100,99864.96553105707,81541.92332472774,1.2247070152289727
8192,700,53593.8199028957,48366.36010081021,1.1080804879918578
1024,400,164875.40024195737,93715.09953214714,1.7593258830760785
256,700,110377.34173927816,54206.33391376397,2.0362443605737255
256,400,151584.24517584973,62094.6152682652,2.4411818081320837
512,500,341962.552195426,150411.49619722992,2.273513400511761
256,900,133971.75391355352,65851.69814960258,2.0344464558711164
8192,500,229317.63690894085,145171.26830844925,1.5796351411747922
8192,300,90201.94096125053,49207.11959862682,1.833107519745328
1024,800,165006.1290174862,113583.42103934956,1.4527307551365432
4096,800,184494.97438651993,91530.45019922058,2.015667725712672
