P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,155231.86141576225,4118.24998149955,37.69364708628949
256,400,404689.66357780824,23531.7252532983,17.197619775927194
8192,800,243201.64456560987,14795.02099803586,16.43807363287261
128,1000,352649.30311909155,119404.61005167401,2.953397720293024
2048,600,470036.80999082915,91443.0979502153,5.140210912875381
256,900,325759.6100831315,51518.201495127876,6.323194533759858
256,100,85240.72171664974,4679.130547151785,18.217213830149767
4096,300,121635.49695434868,942.5154884959478,129.05410939023696
256,200,172295.38494396408,11080.525409985707,15.549387648052543
2048,400,152023.20810989867,16659.391108001237,9.125376019108188
8192,1000,395530.9947987461,31785.267802615333,12.443846540950059
1024,500,374998.1193984504,10972.920970408175,34.174867422243096
256,600,541166.5332791808,34696.429261633115,15.597182326701153
8192,900,236001.51952398493,42072.74163946224,5.6093686868893435
8192,700,369780.5931045733,28301.923922736623,13.065563815168993
256,1000,295702.6135099556,58863.7101663512,5.023513004434959
8192,900,935226.7234401088,26446.50237773516,35.36296445111243
2048,700,181678.18464886904,31784.101151865783,5.716008257738766
1024,600,280072.9150127921,16874.141147700775,16.59775822433215
4096,1000,224627.74701814723,25339.795717781904,8.864623437375123
2048,200,125242.9678501017,5118.145442873633,24.470380775225255
512,800,394938.5440944622,21229.958775728857,18.602887940883594
128,200,162838.29362563213,28092.671302858154,5.796468832391348
2048,800,626347.0988307085,26497.37844693629,23.638078011567547
512,100,201559.46292709673,52844.49103612885,3.8142000987254105
1024,100,79829.97704084782,6901.431727873591,11.567161741009404
512,900,377717.31473397184,24134.145646769488,15.650743152970561
256,800,761471.5868891064,46337.580997070676,16.43313203892202
1024,100,90965.4819028408,16558.912626923186,5.4934453700141965
1024,700,917420.8517826222,15601.0663687365,58.805009228155875
256,300,334148.8677996736,17275.812740351696,19.342005659692692
1024,600,202070.62816295962,70364.7320429823,2.871760074912596
8192,200,184513.88940455028,2650.3651611722858,69.61828962577283
1024,300,145451.46608332556,3799.3333703103463,38.283417617402826
4096,900,310085.8319156709,12984.521812166118,23.881189958426464
512,900,341145.4265823388,39234.60108057627,8.69501453275202
4096,100,201559.46292709673,52844.49103612885,3.8142000987254105
8192,700,146244.03909190296,31347.334171878083,4.665278338822812
1024,400,332739.95739772456,16121.07512688779,20.64005996986882
256,700,184093.15005416365,38261.990551516115,4.811384546402514
256,400,200461.65562169184,22632.15194254064,8.857383784389192
512,500,634576.5456063885,16731.4559896685,37.92715624977485
256,900,245398.076072241,47728.093563071816,5.141585547471153
8192,500,525494.8955064381,14826.065726985928,35.443987985966444
8192,300,281534.7430338954,4160.156593477788,67.67407348927202
1024,800,461393.3921410913,40846.09768688062,11.295898954119343
4096,800,626347.0988307085,26497.37844693629,23.638078011567547
4096,800,342900.11313078273,29394.111289795015,11.66560573137076
8192,500,402027.4635036323,9178.81822404002,43.79947981219324
4096,700,917254.7660099985,15601.0663687365,58.79436343198412
4096,800,231893.96605391975,12582.997544262242,18.429151339989076
4096,100,94351.29620964926,2685.399498342895,35.13491987611955
8192,600,158839.54682413625,43098.54140707002,3.68549704092955
8192,800,493280.6546714449,34870.55437275946,14.1460514048148
512,300,203657.1261670561,37353.09082643066,5.452216179737137
256,100,216635.1435774086,4829.618848163767,44.855536303816976
128,600,165355.58313395677,70900.57950763027,2.3322176529764653
2048,900,770864.581294017,35054.15888407378,21.99067402653456
