eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.24,0.25,3.105033813748863,3.105033813748863,0.24,0.25
2,0.1,0.65,4.465729571158451,3.105033813748863,0.24,0.25
3,0.58,0.25,3.5293575402533692,3.105033813748863,0.24,0.25
4,0.48,0.65,4.461519853508124,3.105033813748863,0.24,0.25
5,0.32,0.15,3.285759282434026,3.105033813748863,0.24,0.25
6,0.8,0.4,4.055319205176479,3.105033813748863,0.24,0.25
7,0.58,0.4,3.4877098019113113,3.105033813748863,0.24,0.25
8,0.7,0.75,5.289491950850089,3.105033813748863,0.24,0.25
9,0.54,0.1,4.042777579184678,3.105033813748863,0.24,0.25
10,0.32,0.55,4.0521170734038785,3.105033813748863,0.24,0.25
11,0.1,0.95,9.722129822519978,3.105033813748863,0.24,0.25
12,0.22,0.5,3.7892462878893522,3.105033813748863,0.24,0.25
13,0.52,0.05,4.701771081848946,3.105033813748863,0.24,0.25
14,0.36,1.0,48.62742266889515,3.105033813748863,0.24,0.25
15,0.68,0.15,4.053061037061617,3.105033813748863,0.24,0.25
16,0.16,0.15,2.795520453997807,2.795520453997807,0.16,0.15
17,0.22,1.0,48.62742266889515,2.795520453997807,0.16,0.15
18,0.46,0.6,4.30621244485535,2.795520453997807,0.16,0.15
19,0.36,0.6,4.30621244485535,2.795520453997807,0.16,0.15
20,0.76,0.3,3.9508795108938815,2.795520453997807,0.16,0.15
21,0.1,0.85,5.898274782578458,2.795520453997807,0.16,0.15
22,0.16,0.2,2.9767835553898876,2.795520453997807,0.16,0.15
23,0.1,0.9,7.944171613476448,2.795520453997807,0.16,0.15
24,0.1,0.45,3.7343256954194164,2.795520453997807,0.16,0.15
25,0.1,0.35,3.481219180712632,2.795520453997807,0.16,0.15
26,0.1,0.0,3.362104238200601,2.795520453997807,0.16,0.15
27,0.9,0.8,5.6016309475608415,2.795520453997807,0.16,0.15
28,0.16,0.7,4.949203194801466,2.795520453997807,0.16,0.15
29,0.1,0.4,3.5151937028737463,2.795520453997807,0.16,0.15
30,0.1,0.15,3.383869636237649,2.795520453997807,0.16,0.15
