eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.6,0.25,2.7962893821207198,2.7962893821207198,0.6,0.25
2,0.8,0.05,3.909873884204414,2.7962893821207198,0.6,0.25
3,0.52,0.05,3.0203205259923087,2.7962893821207198,0.6,0.25
4,0.22,0.8,4.9440066755133625,2.7962893821207198,0.6,0.25
5,0.24,0.2,2.694819121230771,2.694819121230771,0.24,0.2
6,0.32,0.9,6.719121456648872,2.694819121230771,0.24,0.2
7,0.38,0.7,4.318223127617254,2.694819121230771,0.24,0.2
8,0.5,0.05,2.9074243286863197,2.694819121230771,0.24,0.2
9,0.16,0.55,3.669897994837442,2.694819121230771,0.24,0.2
10,0.12,0.8,5.1122958814081185,2.694819121230771,0.24,0.2
11,0.36,0.75,4.63047661934959,2.694819121230771,0.24,0.2
12,0.18,0.0,3.00827850745417,2.694819121230771,0.24,0.2
13,0.5,0.25,2.794712278469531,2.694819121230771,0.24,0.2
14,0.28,0.5,3.484394840165345,2.694819121230771,0.24,0.2
15,0.64,0.3,2.914577634901191,2.694819121230771,0.24,0.2
16,0.58,0.75,4.63047661934959,2.694819121230771,0.24,0.2
17,0.82,0.9,6.719121456648872,2.694819121230771,0.24,0.2
18,0.42,0.45,3.3300738616368863,2.694819121230771,0.24,0.2
19,0.58,0.85,5.494751356154261,2.694819121230771,0.24,0.2
20,0.52,0.55,3.6638427720054,2.694819121230771,0.24,0.2
21,0.1,0.1,3.4269004180734273,2.694819121230771,0.24,0.2
22,0.1,0.25,3.7263248887319427,2.694819121230771,0.24,0.2
23,0.34,0.1,2.4422695982130636,2.4422695982130636,0.34,0.1
24,0.34,0.15,2.5813048083835524,2.4422695982130636,0.34,0.1
25,0.3,0.1,2.448843171648977,2.4422695982130636,0.34,0.1
26,0.34,0.0,4.8317435707835426,2.4422695982130636,0.34,0.1
27,0.9,0.15,3.815417090287575,2.4422695982130636,0.34,0.1
28,0.1,0.2,3.604199976141923,2.4422695982130636,0.34,0.1
29,0.12,0.2,3.2886992405529454,2.4422695982130636,0.34,0.1
30,0.14,0.2,3.136825956935511,2.4422695982130636,0.34,0.1
31,0.52,0.15,2.5835024526751784,2.4422695982130636,0.34,0.1
32,0.46,0.1,2.550279830329842,2.4422695982130636,0.34,0.1
33,0.26,0.15,2.5830404880898934,2.4422695982130636,0.34,0.1
