eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.2,0.8,4.292555767011104,4.292555767011104,0.2,0.8
2,0.72,0.4,2.4876819270928525,2.4876819270928525,0.72,0.4
3,0.88,0.3,2.6045649866925538,2.4876819270928525,0.72,0.4
4,0.32,0.75,2.7615380682157844,2.4876819270928525,0.72,0.4
5,0.62,0.5,2.607748940190263,2.4876819270928525,0.72,0.4
6,0.3,0.7,2.8974049980327696,2.4876819270928525,0.72,0.4
7,0.34,0.6,2.581114446628961,2.4876819270928525,0.72,0.4
8,0.72,0.65,2.554871370493812,2.4876819270928525,0.72,0.4
9,0.86,0.4,2.4084868346315633,2.4084868346315633,0.86,0.4
10,0.7,0.95,2.282037791942955,2.282037791942955,0.7,0.95
11,0.82,0.3,2.6136927107055414,2.282037791942955,0.7,0.95
12,0.16,0.05,5.300702790805479,2.282037791942955,0.7,0.95
13,0.88,1.0,165.01219809326884,2.282037791942955,0.7,0.95
14,0.8,0.25,2.3880039641926296,2.282037791942955,0.7,0.95
15,0.64,0.05,2.5187453129663537,2.282037791942955,0.7,0.95
16,0.58,0.1,2.455764316693048,2.282037791942955,0.7,0.95
17,0.6,0.65,2.607904375701965,2.282037791942955,0.7,0.95
18,0.74,0.35,2.617671195067372,2.282037791942955,0.7,0.95
19,0.64,0.2,2.7842684770956954,2.282037791942955,0.7,0.95
20,0.32,0.7,2.7615380682157844,2.282037791942955,0.7,0.95
21,0.7,0.9,2.548428088120251,2.282037791942955,0.7,0.95
22,0.7,0.85,2.4682227233726346,2.282037791942955,0.7,0.95
23,0.54,1.0,165.01219809326884,2.282037791942955,0.7,0.95
24,0.9,0.45,2.5660345074702655,2.282037791942955,0.7,0.95
25,0.7,0.55,2.4056493423946637,2.282037791942955,0.7,0.95
26,0.7,0.15,2.4883780596855223,2.282037791942955,0.7,0.95
27,0.9,0.0,2.4823069290682196,2.282037791942955,0.7,0.95
28,0.1,0.45,8.52677326694748,2.282037791942955,0.7,0.95
29,0.1,0.25,8.52677326694748,2.282037791942955,0.7,0.95
30,0.1,0.0,8.52677326694748,2.282037791942955,0.7,0.95
