eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.4,0.15,2.523578292462575,2.523578292462575,0.4,0.15
2,0.26,0.6,3.050620759410824,2.523578292462575,0.4,0.15
3,0.74,0.0,2.509181257924866,2.509181257924866,0.74,0.0
4,0.9,0.15,2.9484485525744186,2.509181257924866,0.74,0.0
5,0.24,0.05,2.472530615315896,2.472530615315896,0.24,0.05
6,0.58,0.65,3.155489126588991,2.472530615315896,0.24,0.05
7,0.28,0.0,2.4637977798705224,2.4637977798705224,0.28,0.0
8,0.74,0.55,2.94336315071382,2.4637977798705224,0.28,0.0
9,0.36,0.65,3.155489126588991,2.4637977798705224,0.28,0.0
10,0.26,0.5,2.8880697966020024,2.4637977798705224,0.28,0.0
11,0.16,0.5,2.8880697966020024,2.4637977798705224,0.28,0.0
12,0.16,0.75,3.5347294319673623,2.4637977798705224,0.28,0.0
13,0.26,0.35,2.68572660019087,2.4637977798705224,0.28,0.0
14,0.14,1.0,38.99262825088499,2.4637977798705224,0.28,0.0
15,0.46,0.45,2.80668668191845,2.4637977798705224,0.28,0.0
16,0.38,0.5,2.8880697966020024,2.4637977798705224,0.28,0.0
17,0.36,0.25,2.606343676446147,2.4637977798705224,0.28,0.0
18,0.7,0.15,2.523578292462575,2.4637977798705224,0.28,0.0
19,0.62,0.05,2.472530615315896,2.4637977798705224,0.28,0.0
20,0.32,0.5,2.8880697966020024,2.4637977798705224,0.28,0.0
21,0.1,0.0,2.9770773017895653,2.4637977798705224,0.28,0.0
22,0.9,0.05,3.1315461975188086,2.4637977798705224,0.28,0.0
23,0.9,0.35,3.5126239462994158,2.4637977798705224,0.28,0.0
24,0.5,0.0,2.4637977798705224,2.4637977798705224,0.28,0.0
25,0.1,0.2,2.986014726322578,2.4637977798705224,0.28,0.0
26,0.44,0.1,2.49030073797174,2.4637977798705224,0.28,0.0
27,0.42,0.05,2.472530615315896,2.4637977798705224,0.28,0.0
28,0.1,0.1,2.9794460814305257,2.4637977798705224,0.28,0.0
29,0.12,0.0,2.5682396906772156,2.4637977798705224,0.28,0.0
30,0.48,0.0,2.4637977798705224,2.4637977798705224,0.28,0.0
