P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,30982.76377086682,25339.81784604174,1.2226908638061322
256,400,66872.11828040011,48334.52807370665,1.3835268687929463
8192,800,57996.22711305103,40507.42758459579,1.4317430301376604
128,1000,192725.3793194736,122342.327095179,1.5752960066677373
2048,600,169570.5038647276,151129.24419825306,1.1220231052190208
256,900,112918.52789230339,54809.75617591053,2.060190297688868
256,100,31575.070983727168,26277.440229121807,1.201603760047156
4096,300,15029.603099107102,14461.995710341227,1.0392482061352017
256,200,39300.7550682673,28639.31993050193,1.3722656530824446
2048,400,52632.2311622041,48402.57713588221,1.0873848930491417
8192,1000,95039.11598589082,86941.7558164661,1.0931354571043888
1024,500,90869.82158318076,61945.54745447425,1.4669306401717392
256,600,124651.6806018581,87906.4422511642,1.418003930197815
8192,900,57231.186802641736,51759.85633102995,1.1057060598588202
8192,700,77229.80328555194,61004.81435234271,1.265962434366234
256,1000,104749.1998501399,60266.79191353534,1.7380915181352843
8192,900,209775.384948908,198921.3860550627,1.0545642633459273
2048,700,52750.725667511746,50318.98468300632,1.0483265113520202
1024,600,98635.07252691705,69227.82344495451,1.424789450521224
4096,1000,63406.48360302983,51562.0110470629,1.2297131612100227
2048,200,40316.47993185955,37687.22034705516,1.0697652827826512
512,800,72315.73220373492,59751.971053248635,1.210265216845984
128,200,65744.44313503912,38616.9468705205,1.7024764633898926
2048,800,103672.304340051,74910.56325865745,1.3839477348752887
512,100,29376.649650343683,25554.08998787344,1.1495870001351727
1024,100,19797.611372310348,16270.879577503554,1.2167511459972284
512,900,69620.2152301724,54814.08894506958,1.2701153402356165
256,800,144856.072291007,105351.1225342505,1.3749836623137368
1024,100,30840.11926821833,17524.646577519117,1.7598140499894874
1024,700,140216.36957708723,90035.56093891147,1.5573443216755556
256,300,79023.55605710804,59520.11230056764,1.3276782083012701
1024,600,99513.21704400016,93962.56722509673,1.059072990264371
8192,200,49901.39439105042,39439.94833382917,1.2652499939572197
1024,300,46178.74338545857,42559.26499070512,1.0850456039488448
4096,900,114223.06974846212,80527.65400433389,1.4184328496930356
512,900,88504.00694802761,77438.96240069586,1.1428873038106762
4096,100,28430.80570327579,25509.78330366942,1.114505966782799
8192,700,38045.39025877518,36383.636776576175,1.0456731000367958
1024,400,89767.0076981285,70446.65442750564,1.2742550860311586
256,700,81646.80659474165,45533.305579283064,1.7931227604940165
256,400,69641.1805223513,36205.24077560651,1.9235110450990964
512,500,110763.16486070103,49051.18395225835,2.2581139930996796
256,900,87310.89210092861,57524.791285656356,1.5177958954663664
8192,500,122729.31996739277,106590.45867809009,1.151409999445101
8192,300,41830.55827632035,29931.832451898452,1.3975274765934758
1024,800,81642.74088990572,75099.1938804778,1.0871320539051608
4096,800,103570.94440452255,74875.55183262887,1.3832411497418702
4096,800,79831.97766171688,65871.74785380425,1.2119304597609277
8192,500,97283.70721571463,91384.73058369043,1.0645510097184332
