P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,41537.71206790792,25339.817846041748,1.6392269399993495
256,400,76723.82886503836,48679.56019676214,1.576099466694474
8192,800,94340.38460152449,62137.90128877687,1.518242210387687
128,1000,226857.35380797274,125295.95783362567,1.8105720067139393
2048,600,140509.42031862156,95460.11175339336,1.4719176181315
256,900,139994.83080007954,77030.62312975689,1.8173919035324486
256,100,33849.78687506724,26193.65899088914,1.2922893623544962
4096,300,27293.17101682719,20887.76340872541,1.3066583761393076
256,200,43884.68599969511,25775.82693292296,1.702552011770457
2048,400,44857.63814728636,34397.99854935305,1.3040769823548362
8192,1000,92711.31989724006,71441.52524391812,1.2977231320398308
1024,500,105480.98906306761,69330.81468246617,1.5214156871827997
256,600,134269.7256651467,65997.13135384436,2.0344782100491314
8192,900,67103.02946036251,50985.945546331204,1.3161083655766592
8192,700,96737.07021289367,54661.38833726035,1.769751430681319
256,1000,145933.77193373116,62174.13220982782,2.347178267663276
8192,900,262629.59336278454,200725.03795784948,1.3084047512694181
2048,700,60423.97428686075,45736.33575987692,1.3211371939391097
1024,600,102039.29114270199,69645.19944005155,1.4651302884204427
4096,1000,68878.01160710283,51207.743830232605,1.345070226789368
2048,200,43267.68948462305,33208.183834406,1.3029224874319896
512,800,86247.30550026963,58281.74602729851,1.4798339339365771
128,200,64773.593877207226,36920.89002320384,1.7543887440551587
2048,800,111341.33619506385,69914.3129245496,1.592539946937927
512,100,45183.27928620582,34744.80913128068,1.3004325082196928
1024,100,22933.377176455553,17424.209760559108,1.3161788965814003
512,900,94259.92422543617,65527.226447374065,1.4384848762237448
256,800,145649.53339530088,88988.07431158595,1.6367309273972883
1024,100,27046.965954953794,17010.884101954263,1.589980026484723
1024,700,198358.17299785782,122698.14519501191,1.616635464884939
256,300,90003.19917221862,58817.967607809784,1.5301990672705272
1024,600,76726.04253033684,56839.82740281852,1.3498641012152726
8192,200,66434.09964473546,48832.439654252754,1.3604501457454787
1024,300,67983.47498947679,51334.02512144949,1.3243355616209114
4096,900,114746.43205455034,68798.33552250691,1.6678663979742914
512,900,94024.19108465112,70503.79592528375,1.33360466412749
4096,100,44970.99937374766,34460.69141352587,1.3049941115254722
8192,700,32916.89230221881,24919.342184621364,1.3209374492450698
1024,400,105383.09153982907,71121.47502380062,1.4817337731615223
256,700,97829.81276044027,46686.09352875527,2.095480803082917
256,400,107864.97260962702,59315.77823058138,1.8184870168999177
512,500,189441.67015470925,104189.08387589059,1.818248736886592
256,900,123622.86067049124,57244.69321120439,2.1595514577112764
8192,500,127541.90756368103,87191.89492611904,1.46277251654815
8192,300,58713.33568400805,37997.38137569971,1.5451942622961043
1024,800,99573.88846838297,76586.05734526525,1.3001568682336524
4096,800,110763.31192665003,69744.6297416748,1.5881267466312918
4096,800,102810.19004939398,49156.66889863417,2.091480003687772
8192,500,121336.0603128734,93303.02350633578,1.300451536864012
4096,700,192277.34567497924,121247.84298185878,1.5858207531473196
4096,800,56485.8960231098,43369.83132383738,1.3024236963555686
4096,100,32722.43446588332,25235.008428580157,1.2967078873182862
8192,600,62246.69933662643,37566.49697046091,1.656973749390898
8192,800,164814.55652300132,84971.24391877686,1.9396509798131925
512,300,62027.03429403234,47234.241688785194,1.313179424001622
256,100,79505.19652215809,56270.53628076332,1.4129098774794826
128,600,147559.72843073975,74899.47399565695,1.9701036677413248
2048,900,207466.87928243098,156586.64072292217,1.3249334574431586
8192,1000,59251.082557226124,45312.78094590863,1.3076019904396534
4096,300,53793.18246081824,41796.45799396132,1.2870272995044267
256,500,122978.86436987031,95166.34282014595,1.292251658785365
256,700,94937.67123412275,47967.297444383694,1.979216597395329
128,500,107948.0141452028,56182.17500713485,1.9213925792565694
2048,700,65071.908959119195,48971.50074361899,1.3287709784470532
128,800,180781.87261139488,93497.3020055607,1.9335517574682848
512,300,40122.24655346357,28600.5958497807,1.4028465268415453
4096,200,76123.61541101738,50831.013653404065,1.4975820850253596
4096,500,311667.0944414879,237564.50729901434,1.3119261710639425
8192,1000,157734.11620666622,112393.23827909636,1.4034128620351591
128,900,223530.5180483318,109443.21737422631,2.042433724184107
4096,300,36289.05483120908,27866.80417099782,1.302232384041248
4096,400,100996.24989075692,56915.493482307924,1.7744948468583766
128,900,209546.4974628343,109318.34627419793,1.9168465733760638
1024,400,57271.31773507816,44207.66491546582,1.295506511022302
8192,600,42687.41261228759,32734.27780938007,1.3040584814752025
128,400,125815.70016987823,81480.70461614145,1.544116496814805
4096,700,89951.08136888326,53915.74341202593,1.668363926311357
8192,500,75605.90396014407,54509.002824173345,1.3870351692916092
256,900,138178.88353281352,64837.41435415292,2.131159684716252
8192,1000,197374.85972108907,124535.58998606945,1.584887177578453
8192,600,41534.02631752216,25325.579367516788,1.640003007030699
4096,900,60410.55213647577,44998.63267930536,1.3424975058021769
