P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,19890.809111723152,18779.00655706,1.0592045458467112
256,400,103408.79954691454,43244.960742362484,2.3912335165011713
8192,800,47469.39080138658,46379.37991347244,1.0235020582411347
128,1000,299536.60147859185,119404.61005167404,2.5085848975928413
2048,600,121752.6593684584,111680.57587899217,1.0901865289482344
256,900,184577.66725419209,51518.201495127876,3.5827661272617943
256,100,20155.158541117955,12924.548421892341,1.5594477952496963
4096,300,20434.023580132725,17279.41691731119,1.182564416259968
256,200,46633.08704412513,22891.533499154106,2.0371325077827716
2048,400,33308.596290948444,21733.26502109654,1.5326089411147243
8192,1000,60261.74756537002,60202.342442558154,1.0009867576642644
1024,500,81300.4031441285,53664.96732667876,1.5149623151584626
256,600,149868.83707246944,58028.72573355824,2.5826663463299124
8192,900,52575.306517031066,52575.017380802,1.000005499498497
8192,700,54692.88188405695,35360.41439156067,1.54672627075067
256,1000,177769.75954590723,58863.710166351215,3.0200230166179254
8192,900,149649.57060028278,149649.57060028278,1.0
2048,700,41613.245154480464,41611.35817859911,1.000045347615746
1024,600,58728.82103023317,43965.34404781527,1.3357980541756167
4096,1000,34369.072419305136,33915.21825046568,1.01338202117668
2048,200,13865.226953141308,12441.910416424595,1.1143969446072999
512,800,95473.247492528,54149.74440156318,1.763133853126219
128,200,80111.62729217552,38939.521911435,2.0573346399676753
2048,800,88746.2064745657,71810.48771496736,1.2358390716801726
512,100,62150.13102103316,60573.79424177784,1.026023411592205
1024,100,9640.921141579869,9640.921141579869,1.0
512,900,88446.29648374133,46304.128599874144,1.9101168547631784
256,800,221231.0788824848,86969.02217444926,2.5437917243535546
1024,100,30195.124343887932,20829.72320776272,1.4496171669067095
1024,700,139873.75717669685,101971.47650017287,1.3716949285956423
256,300,78859.12930251281,35896.699653227304,2.1968350869109203
1024,600,91492.85070732431,86765.25402755744,1.0544872107245296
8192,200,21053.7369850466,18018.92824454402,1.1684233767577987
1024,300,19079.80869711018,18573.116360380285,1.0272809541973666
4096,900,61673.34428244976,52757.84825268096,1.1689890002160153
512,900,80890.70980754093,53309.00486140186,1.5173929811267117
4096,100,60573.79424177784,60573.79424177784,1.0
8192,700,41694.171098573366,41694.171098573366,1.0
1024,400,71120.81451052924,63377.543120814065,1.122176894344965
256,700,94792.59581822003,38261.990551516115,2.4774611684300862
256,400,80794.08588727278,22632.151942540644,3.5698808532390487
512,500,113884.73990255308,62904.27191045394,1.8104452439203382
256,900,156768.00116557512,47728.093563071816,3.284606391378466
8192,500,84889.56492633495,84889.56492633495,1.0
8192,300,33351.02811527207,23136.448596413335,1.4414929748743817
1024,800,68286.06878566064,66116.18200423285,1.0328192995368195
4096,800,88746.2064745657,71810.48771496736,1.2358390716801726
4096,800,68753.9375513519,64362.85987349461,1.0682237813311586
8192,500,66624.56129320196,66624.56129320196,1.0
4096,700,137018.5543906216,101971.47650017287,1.3436949144341293
4096,800,43948.578664085064,43948.578664085064,1.0
4096,100,8321.239576006265,8321.239576006265,1.0
8192,600,60949.60323604668,60947.46333963169,1.0000351105082597
8192,800,87137.91878214308,62102.16000225037,1.4031382930800715
512,300,53969.41987954548,51521.92639179481,1.0475039203530334
256,100,21385.630825247255,17954.53769414384,1.1910989405325942
128,600,188583.5160342359,70900.57950763027,2.6598303898763005
2048,900,129752.604791726,129752.604791726,1.0
8192,1000,30095.189684788515,28498.849543516073,1.0560141959006073
4096,300,18485.588943709332,18481.458954016285,1.000223466648565
256,500,105575.98072134967,66627.75825410518,1.5845645041621184
256,700,156608.07885147,61827.216222082076,2.5329957973352224
128,500,148861.6844620747,53535.80791606614,2.780600316996453
2048,700,88656.04345035662,69714.60276884174,1.2716997577153315
128,800,281595.7054657346,89245.39881899078,3.1552966224832764
512,300,31077.981894539294,25000.830378077444,1.2430779867932202
4096,200,53640.79281597229,53640.79281597229,1.0
4096,500,173165.7012270452,173165.7012270452,1.0
8192,1000,80580.04440710397,71753.33995595953,1.1230145447802438
128,900,312697.98543995415,103084.41806074536,3.033416604783937
4096,300,19028.50780282153,19028.50780282153,1.0
4096,400,48786.97977664097,45126.38541333707,1.0811187142461007
128,900,341408.16446984216,103160.92321660006,3.309471782770016
1024,400,27362.5643595918,26611.894241008282,1.0282080678581216
8192,600,26767.596148561082,18661.250273283804,1.4343945746702005
128,400,142939.91590531112,46532.57276323225,3.0718249049460513
4096,700,41663.71125395748,36793.786558940206,1.1323572578542878
8192,500,29587.00133662399,27177.07231873392,1.0886750783758572
256,900,155676.98230940965,51088.94408718974,3.047175569800918
