P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,49877.86348814999,32086.250269673834,1.5544933754783996
256,400,83356.31750197505,69344.18366491112,1.2020664617637458
8192,800,91977.87366745499,68639.61815064191,1.3400114415787265
128,1000,289888.0419532048,125295.95783362567,2.313626448653139
2048,600,218507.69018696895,191374.78812730435,1.1417788744545365
256,900,165590.5412607824,79309.82918527524,2.087894312241516
256,100,32273.666520711893,27744.76099020595,1.1632346204786075
4096,300,26761.718555701205,24265.13520631133,1.1028876751834673
256,200,44277.976771303096,32996.77807816611,1.3418878857327505
2048,400,55747.996678634794,49006.50439213838,1.1375632147225316
8192,1000,104613.50842279135,97895.23348711745,1.0686271915022092
1024,500,135425.4932061467,103433.70181766388,1.3092975580133344
256,600,161729.5068629136,107515.86756387605,1.5042384954651349
8192,900,77928.59831881513,76055.59330000391,1.0246267886100513
8192,700,109240.79862804885,80626.46962808013,1.3548999371045647
256,1000,183843.06196528,66688.81108753479,2.756730236560526
8192,900,310337.1983704086,294265.0674249581,1.0546178691412262
2048,700,59520.04792795016,53921.858220267735,1.1038204151795759
1024,600,114103.00491881436,87981.12037524463,1.2969032950723787
4096,1000,67754.63206820033,57823.110280004155,1.1717569625726376
2048,200,44754.576163090824,43211.18708703341,1.0357173496055272
512,800,97660.55387873197,76745.1936743743,1.2725299032158341
128,200,75769.01518818275,55080.46923257345,1.3756058407609666
2048,800,132665.5252816139,91530.45019922058,1.4494141020049698
512,100,83099.30868521231,81541.92332472774,1.0190991982649529
1024,100,26680.13788454611,26126.125239736124,1.0212053122966498
512,900,103909.81324188107,83768.9354752691,1.2404337318164693
256,800,191846.57315602587,140690.70674223357,1.3636051562916485
1024,100,35693.55915127753,26128.92828146623,1.3660552306921705
1024,700,278617.15592447744,209079.4040392636,1.3325901573363732
256,300,91192.52969812497,73378.01257741736,1.2427773183678479
1024,600,124998.57432994177,121589.27436436518,1.0280394794968508
8192,200,72495.24252024309,66804.37457564907,1.0851870552002505
1024,300,67053.52819990522,60661.299768006524,1.1053757248253036
4096,900,129793.79602892601,83867.31024046338,1.5476089033591602
512,900,99098.7628810138,83934.36071927342,1.1806697761416112
4096,100,83099.30868521231,81541.92332472774,1.0190991982649529
8192,700,48366.36010081021,48366.36010081021,1.0
1024,400,112385.052815979,93715.09953214714,1.1992203324441595
256,700,126557.24917138203,54206.33391376397,2.3347317561213425
256,400,102360.08205874564,62094.6152682652,1.6484534386198053
512,500,242573.3475597924,150411.49619722992,1.6127314313908128
256,900,145154.677687217,65851.69814960258,2.204266279625061
8192,500,156336.73705520935,145171.26830844925,1.0769123868439072
8192,300,62785.588233212606,49207.11959862682,1.2759452035669387
1024,800,119386.62626347183,113583.42103934956,1.0510920094765575
4096,800,132664.89335314132,91530.45019922058,1.449407197980449
4096,800,121652.510785677,80495.74766274964,1.5112911466498888
8192,500,133563.95678640006,126547.99516819877,1.0554411123532708
4096,700,278089.47662510595,209079.4040392636,1.3300663348594717
4096,800,80026.153190368,76289.52886222344,1.0489795176857468
4096,100,31850.563530544372,27021.11397775278,1.178728736230779
8192,600,83154.66954216232,71516.09563181561,1.1627406223385748
8192,800,193615.74741956888,111382.24810651336,1.7382998701410366
512,300,66149.99317458867,64288.232254330745,1.028959591125365
256,100,76544.51247054822,66621.99147149005,1.1489376222460173
128,600,187326.77044253252,74899.47399565695,2.501042536739239
2048,900,265280.3471117332,246837.67939689083,1.0747157717569868
8192,1000,61595.582900135836,55350.7803146872,1.1128223044001349
4096,300,51327.68447043012,44478.45983108848,1.1539896989543315
256,500,143185.37578180328,126547.99516819877,1.1314709141894446
256,700,146225.55397457452,88059.66488743904,1.6605281675950638
128,500,130252.71988020954,56182.17500713485,2.318399383143641
2048,700,115348.91441879145,82723.15596316708,1.3943969264198668
128,800,220275.7017212093,133043.65281458962,1.65566486684026
512,300,41725.34326519008,36792.68253707005,1.1340663520021999
4096,200,93981.53453311368,87248.16939999937,1.077174858560578
4096,500,389257.06076633953,374127.1854931126,1.0404404594477283
8192,1000,183515.04667982447,150682.91879743664,1.2178888499400793
128,900,260822.39592817856,109443.21737422631,2.383175514991775
4096,300,37876.654227171006,36076.63280186646,1.049894385520686
4096,400,117190.49099178819,80803.01007103526,1.4503233343505904
128,900,278732.0000868034,109318.34627419793,2.5497275579679313
1024,400,60814.038647524445,55614.3310578869,1.0934958218633497
8192,600,42463.580231258566,36813.11504024967,1.1534905477254764
128,400,136169.60602688702,101350.91774796846,1.343545860783451
4096,700,98003.7451567523,83298.65199605712,1.1765345873951385
8192,500,75139.37093662567,62291.80850112228,1.2062480243332785
256,900,167084.93628569145,72343.07089417889,2.3096190722964733
8192,1000,270423.300523572,193587.99783544827,1.396901169221423
8192,600,49800.895690339166,32086.250269673834,1.552094597273906
4096,900,76697.73361593028,74506.27131782444,1.0294131253563559
8192,700,277925.4679437776,257665.43434439163,1.0786292257280685
128,300,87661.64481959715,39128.1871492468,2.2403707200956946
4096,700,158224.95437792843,120542.04638444567,1.3126121475762935
256,100,22440.076774534507,16062.953290333515,1.3970081571511925
2048,500,65862.76908431109,64798.784885890724,1.016419817135368
512,600,74847.12550822817,54759.00301290296,1.366846023303087
512,500,48847.561322719885,40793.162330552455,1.1974448297707727
512,400,78762.02518173338,74066.52558882261,1.0633957048151232
8192,1000,309474.39134052175,296829.78369162104,1.0425988507340533
128,600,169674.94584972825,72849.63176490327,2.329111921900921
2048,800,108968.90505618474,80691.6874824957,1.3504353230910329
8192,200,41095.10804137316,41095.10804137316,1.0
512,400,179204.98517789855,161388.29849094016,1.1103963970966493
1024,300,67593.39323475948,42146.23556164081,1.6037824572944608
1024,800,187660.40604722803,164504.5334558055,1.140761303685551
1024,100,18958.590370662885,18958.590370662885,1.0
2048,200,58764.840428127,57462.271367614376,1.0226682487397591
256,100,59511.63324740157,54998.76131684471,1.082054064900816
1024,700,148937.4812750257,99618.79371512462,1.4950741292946743
4096,800,77498.65296902128,63505.82912459984,1.220339204090497
4096,800,216615.95330517873,202353.75339573988,1.0704815189740835
8192,1000,128826.42180608558,97107.11998289233,1.3266423906792966
8192,700,167425.2188071745,143967.24459588702,1.162939662262298
8192,1000,67754.63206820033,57823.110280004155,1.1717569625726376
4096,900,88470.6246543427,71933.22533163877,1.2298993162959175
512,700,191188.0804223031,177200.19832819805,1.078938298185184
1024,200,56144.56911257692,54881.936751014604,1.023006337536712
4096,700,176146.37785802525,168001.64809777957,1.0484800586926701
2048,700,215311.40020668122,177106.47023915342,1.2157173022303378
8192,300,43851.26468281606,42831.51684479748,1.0238083521934023
8192,500,156727.70951569208,105591.85204537216,1.4842784408057088
8192,700,90799.89806301321,61680.706160931106,1.472095631105572
256,1000,194280.00322373578,147856.9083645297,1.3139731201788256
2048,100,81716.18980271961,80097.32978272869,1.0202111609011466
4096,700,155935.22457006664,124421.16221479316,1.2532853880666177
1024,800,129245.7989644217,124249.35109939276,1.040213070095087
1024,400,474343.6681981632,447124.8921868822,1.0608751077985266
256,100,19102.7930854349,18030.171622542253,1.059490363450096
128,900,241291.4721077704,106569.95671190214,2.264160365196264
512,900,188004.55697685186,155561.6151421717,1.2085536448373189
4096,1000,153560.49530683368,147856.9083645297,1.0385750453285703
8192,300,79439.64756624438,59646.42706960382,1.331842517130876
512,500,222004.6762545742,191297.86620507852,1.1605183092663294
128,800,203611.08710597362,84426.00544789649,2.4117105390190727
128,100,42047.7949043034,33864.52550884084,1.2416472480420906
2048,200,46621.67167732386,38158.64128795635,1.221785422743514
4096,500,101113.89556171797,100808.81710997372,1.0030263072267918
128,400,141235.5888952383,56697.870143421365,2.4910210654822245
1024,700,262303.9123213376,203696.4792654518,1.2877194209111007
128,300,99238.33603200607,56263.074324413734,1.7638271143840512
4096,500,190814.7958169886,144967.29718427974,1.3162609741866702
256,500,111716.19949666505,64740.90042417872,1.7255892143097613
512,500,233429.30459076283,225641.9561793339,1.0345119699513674
128,800,259409.96590843398,103240.3095790912,2.512681015448748
128,400,298354.0709621949,248839.23122737743,1.1989832531252804
2048,600,128738.59243519745,92901.70772451619,1.3857505484931374
4096,100,55027.97971693042,53822.603263146375,1.0223953577252811
256,900,520219.6618773381,471069.48858223285,1.1043374162122692
2048,500,53372.12584656708,46117.50017027101,1.157307435344743
1024,500,109528.06145213296,94363.66759019131,1.1607016158782484
128,200,73302.3798857221,34021.21650844406,2.1546078420660963
8192,200,163457.1349994404,148803.6312079928,1.0984754449369951
2048,800,129245.7989644217,124249.35109939276,1.040213070095087
512,800,106427.0364049473,82757.78660001053,1.2860063176814562
512,800,222045.05163618963,151102.0773920206,1.4695036327006539
1024,600,137731.4057367234,105019.85128070624,1.3114797255671489
128,200,83475.73359388526,70374.68498825342,1.1861613818636432
2048,600,63429.03730508676,54759.00301290296,1.1583307550384154
8192,500,52917.24469051577,44043.12302968092,1.2014871119573998
512,300,70992.67411454653,53292.82538852232,1.332124420069427
512,600,175815.46252759057,123966.35877611427,1.4182514051664357
4096,300,165691.75102128688,151327.6818856169,1.094920301141778
2048,200,20760.559284633953,20700.962951012414,1.0028789160080414
512,800,118963.05091505118,108006.22245017193,1.1014462705603292
128,500,415795.38794786745,375731.15576153254,1.1066300506944458
4096,600,127582.41988520228,110655.08892051583,1.15297381376509
8192,400,117190.48826623408,80803.01007103526,1.4503233006197418
256,100,75588.69728555524,64601.3564317874,1.1700791045365957
2048,1000,100718.60567128079,60509.32359768595,1.664513825025348
2048,500,240981.41538999171,150399.0297809245,1.602280385325704
2048,1000,324075.03982339817,254936.71337053613,1.2711979986671178
1024,600,49861.067146248126,32086.250269673834,1.5539699007264203
1024,800,236130.0937448381,220831.60557494673,1.0692767148527538
128,200,108500.6754388284,63311.651754383245,1.713755247766326
512,100,21221.012966025548,19361.98507836203,1.096014322918835
4096,900,149414.2081296281,138660.26103350002,1.0775560857593507
8192,900,263740.9506590606,227394.75968666168,1.1598374167570182
8192,300,69376.71301885822,49550.41489560321,1.4001237560780602
4096,1000,201517.9963759103,182480.7972512204,1.1043243969308258
128,200,71277.29253434771,52625.615790818134,1.3544220141322096
4096,200,58339.11757883564,55080.40807549345,1.0591627697978525
8192,600,214485.60833976997,147890.2175992439,1.4503028788623986
4096,800,106180.9430857831,96700.03304942673,1.09804453770466
2048,500,83946.02165996595,63587.77275587825,1.3201598046568743
128,300,104289.87146957518,45007.6355113429,2.3171595282603077
128,100,44598.77917517235,29276.558469929165,1.523361402638261
128,400,120378.84585263323,70067.20077666298,1.7180484523184685
4096,1000,77658.45202566736,75618.70934949408,1.026974047741889
2048,800,110258.77998901912,108005.60745631279,1.0208616254819707
2048,100,30491.60770066716,30198.110141443554,1.0097190704268877
128,900,260062.96097711884,107296.26736457921,2.4237838590736587
8192,700,78325.51866242517,68714.9288586522,1.1398617442148868
1024,700,128602.69887622712,114978.99996643869,1.1184885841220142
512,700,98492.05420119132,72744.33423628379,1.353948114794416
8192,1000,1207768.242003979,1137530.3818757026,1.0617459201506858
8192,1000,125560.57676286808,114821.68959577374,1.093526642961798
1024,100,44351.438070072996,43929.616859217924,1.0096022055509133
8192,1000,299166.0130890546,270407.67287867976,1.1063517906286537
4096,900,100489.74709244062,89987.30710479997,1.1167102375383833
8192,600,223853.05050004274,212721.5108913956,1.0523291676615174
8192,1000,90015.50889683573,88788.38772271542,1.0138207394637302
2048,100,57635.53443599593,49628.83987756196,1.1613314874614655
512,800,91470.4224887022,49694.143521465914,1.8406680547616356
2048,200,38269.71918815999,38263.86021787016,1.0001531202094212
2048,600,116681.47268019505,64352.41237737711,1.8131639261003687
1024,100,43266.368252139044,38902.58936820653,1.1121719390611786
256,700,136506.22149866345,99443.58346047232,1.3727001456350685
128,1000,302752.6064422063,118514.74706755942,2.5545564069728974
1024,800,104531.09394265326,81513.14058911963,1.282383345644347
1024,800,87770.78998384629,79873.37446696083,1.0988741939299458
1024,1000,111319.74904974875,107712.89842023634,1.0334857819482348
8192,600,154996.9701513068,131761.85730909472,1.1763417222307802
4096,200,41822.80256540948,37222.327856175216,1.1235944921824936
1024,700,176152.85952716554,168001.64809777957,1.048518639678117
8192,800,222106.95041094418,178752.13959328766,1.242541493021013
128,1000,278936.91693285137,114759.30901984677,2.4306256225768257
2048,1000,135716.20081583367,93395.93902427712,1.453127429668606
1024,1000,185057.14918585226,129220.21608915825,1.4321067924709872
2048,900,149955.45718244955,109810.59666555177,1.3655827555437685
512,600,90614.36381124338,55246.19014466643,1.6401920851729803
1024,700,58573.95952885001,52978.919429421854,1.1056087998714628
1024,100,51704.23020691805,50440.03416874034,1.0250633461894278
4096,100,73361.73101889635,66433.41435496167,1.104289636942576
128,700,203794.5713916724,95764.45131334884,2.1280816482187164
128,300,80800.81269315218,36061.13127075538,2.2406621713135078
2048,1000,90132.09916657709,87656.17777952272,1.0282458287570093
256,500,94404.48035384975,63587.77275587825,1.4846325993564966
128,500,149012.47034517644,59540.26409032341,2.5027176587447184
2048,400,69099.48247463055,64845.882043045916,1.065595536641186
128,900,286574.7788211686,142091.52385562783,2.016832327819519
128,300,75869.35009622239,49018.24004301976,1.5477779297999552
4096,200,52728.535678362896,52396.80681940171,1.0063310892227568
128,500,175620.51333969514,133237.7915469743,1.3180983510806572
256,200,62404.416357941605,52126.77261513772,1.197166316408763
1024,300,70967.42097286112,66019.7704373757,1.07494195303479
2048,200,100739.9406888742,99057.8538518329,1.0169808528211937
4096,500,230197.51745328106,218673.40978607017,1.0527000867571645
8192,100,32133.93578593641,29457.384252428696,1.0908618195889894
4096,700,148787.593951374,99618.79371512462,1.4935695203944668
1024,500,65448.27849546853,54675.27307489169,1.1970361520795785
2048,1000,117233.1004198614,117209.69503034814,1.0001996881700546
8192,1000,320617.4495736021,310306.1045740466,1.0332295911925733
2048,1000,97864.59283378933,92929.47364766299,1.0531060705760324
8192,400,97738.0044616887,86617.18216219664,1.128390488144345
128,700,196466.80372629932,80058.73659126465,2.454033277209325
128,1000,818992.1226516304,667487.6807548334,1.226977135706036
2048,900,95501.28188151511,81400.98392035367,1.17322023988012
4096,200,51040.2965250391,38046.299123850666,1.3415311791270308
2048,300,146099.0800841962,122166.32017680924,1.1959030923805307
128,100,75096.51795301455,67205.4375358315,1.117417291018689
128,1000,342846.52497189905,177126.7800345265,1.935599602189288
4096,300,59373.026072287495,55675.452984295036,1.066412986150925
256,200,41249.65734649407,34021.21650844406,1.2124686175244765
4096,400,120831.85459739962,120207.70846299056,1.0051922305348764
2048,200,59674.77398127057,56905.95090164368,1.0486561253393785
256,1000,443855.34632461227,402202.4082987434,1.1035621298292435
4096,600,100163.73457616848,97714.56773042677,1.025064500643327
256,500,208789.66504111965,128716.5115702618,1.6220892136837373
256,400,122379.14658200642,80937.93876137368,1.5120121472677024
512,500,230517.00504825974,218689.015215715,1.0540858891374933
2048,900,129893.25852773787,83867.31024046338,1.5487948541011918
8192,300,232011.93857503685,211310.8280420486,1.0979652142050615
512,900,310404.21729445434,294269.38675830397,1.054830136134421
2048,600,74656.6531180404,63428.93636475278,1.1770125339753736
256,700,147159.66538042418,110052.4859247753,1.3371771127552077
128,300,92138.67388491219,62282.88541372249,1.4793578247518333
128,300,83007.8761221633,35017.52520551622,2.3704666630492577
1024,700,110596.48435963491,97718.7908840865,1.131783184779925
256,800,139016.6905105334,81159.63436473215,1.7128797042849049
1024,1000,63830.77950571281,46583.35108963575,1.3702487694131222
4096,900,85109.65492197893,67196.61567748235,1.2665765093062455
512,600,74859.70227317832,54819.80235635847,1.3655595068831081
2048,700,245099.06177018894,230854.7665827208,1.0617024088275173
256,400,125553.4382027299,106249.04084579187,1.1816900858893975
2048,500,133576.1754889273,126547.99516819877,1.055537666253718
128,800,234527.89454255372,97648.19890207484,2.401763649299326
512,200,46794.78772678631,39935.77304748188,1.1717511432957453
128,900,249037.37734339226,137983.51207886107,1.8048343138349827
512,300,68504.53969824055,65210.744929774046,1.0505100006450412
8192,400,70290.32130441497,64334.95787606042,1.0925680784594187
8192,500,72158.56214856176,56893.54245548506,1.268308476397307
128,400,142596.54222182356,73219.6768009263,1.9475166847502332
512,400,319027.8515758082,302551.7330790469,1.0544571942427334
8192,700,63000.213964316266,58909.34219503371,1.0694435146761396
8192,400,94609.72868935233,79751.87253871835,1.1863010319089462
1024,600,93762.70874847363,73266.38484935311,1.2797507198050524
512,700,69267.55501358942,52978.919429421854,1.3074550360708501
4096,400,82101.1639948726,56955.556614236266,1.441495244282295
8192,300,67691.91115724682,62242.53045311874,1.087550757728794
512,200,44496.22553335683,42449.62169222391,1.0482125342829103
2048,500,347918.1035717224,323100.1950984921,1.0768118028083051
128,400,137692.90118849438,74233.43833028698,1.8548635801544997
2048,400,42512.16867894279,40001.769895931386,1.062757192732783
4096,400,62070.56447373766,54667.38391077755,1.1354222579050575
8192,800,108154.60514458785,94133.54454054113,1.1489486098975927
1024,900,149422.06597552146,138660.26103350002,1.0776127555350656
512,700,160378.86192625543,120542.04638444567,1.3304806641058498
256,1000,266181.0455766181,187194.71304615473,1.4219474537776529
256,700,142934.77085162865,115009.78625805757,1.2428052907681555
256,500,249662.5517696871,150710.25139423233,1.6565731226644458
8192,700,141476.809946868,113219.76468805708,1.249576965087895
128,500,133004.79794161965,58507.64553511288,2.2732891868259832
2048,900,150952.41730474803,130420.49556876707,1.1574286437606354
128,200,88619.01067826463,71342.50643143423,1.2421628438781371
4096,400,126836.15569928841,119856.35989077212,1.0582346720263918
2048,400,46666.221051238404,38119.45514470553,1.2242100752512972
2048,100,35495.36821645558,29478.52247325327,1.2041094749121695
256,300,75594.64274936882,42168.09157632779,1.7926977466489364
