P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,4894.84385025852,4118.24998149955,1.1885737563886771
256,400,30671.79013114922,23531.7252532983,1.3034229237760686
8192,800,15165.227059850746,14795.02099803586,1.0250223410878587
128,1000,145968.23407517315,119404.61005167401,1.222467323598338
2048,600,93182.89842246776,91443.0979502153,1.0190260447343948
256,900,64950.012429700546,51518.201495127876,1.2607197173962474
256,100,5837.9302344889875,4679.130547151785,1.2476527798615429
4096,300,1138.5920627881692,942.5154884959478,1.2080353868827318
256,200,13613.330012942064,11080.525409985707,1.2285816339244895
2048,400,16753.840569303527,16659.391108001237,1.005669442579863
8192,1000,31811.613192417866,31785.267802615333,1.0008288553667735
1024,500,17144.967006302446,10972.920970408175,1.562479767469307
256,600,50057.984500305414,34696.429261633115,1.4427416758893665
8192,900,42072.74163946224,42072.74163946224,1.0
8192,700,30445.801886639983,28301.923922736623,1.0757502553450458
256,1000,70942.63969342328,58863.7101663512,1.2052016342995802
8192,900,26451.11257483833,26446.50237773516,1.0001743216186898
2048,700,31784.101151865783,31784.101151865783,1.0
1024,600,22140.66687222081,16874.141147700775,1.3121062979396516
4096,1000,25705.115749254197,25339.795717781904,1.0144168499044344
2048,200,5984.311084873063,5118.145442873633,1.1692342766861883
512,800,27704.716348726688,21229.958775728857,1.3049821076619375
128,200,31867.959833205918,28092.671302858154,1.1343869541506957
2048,800,30296.825861726407,26497.37844693629,1.143389559174652
512,100,53425.61153159201,52844.49103612885,1.0109968037172665
1024,100,6961.185490619849,6901.431727873591,1.0086581690730814
512,900,28386.608034785644,24134.145646769488,1.1762010742064688
256,800,75318.47661877704,46337.580997070676,1.6254296188559876
1024,100,18436.099135865094,16558.912626923186,1.113364117030836
1024,700,32727.41103342121,15601.0663687365,2.0977675666456217
256,300,22927.538592221612,17275.812740351696,1.3271467419109604
1024,600,74380.29343821916,70364.7320429823,1.0570678133583165
8192,200,2689.4372680956835,2650.3651611722858,1.0147421598713273
1024,300,5072.115065740377,3799.3333703103463,1.3350013203305884
4096,900,16048.267062668107,12984.521812166118,1.235953645026138
512,900,45116.82841473191,39234.60108057627,1.149924484311062
4096,100,52845.76790741077,52844.49103612885,1.0000241628078328
8192,700,31665.034499890917,31347.334171878083,1.0101348435650341
1024,400,19456.449614019257,16121.07512688779,1.2068952883650117
256,700,45923.344437215696,38261.990551516115,1.2002340645446634
256,400,28675.266307367183,22632.15194254064,1.2670145720198869
512,500,28134.432199141396,16731.4559896685,1.681529223548394
256,900,57441.19054035895,47728.093563071816,1.2035090080531177
8192,500,17616.634811177104,14826.065726985928,1.1882204716732014
8192,300,4631.559922907227,4160.156593477788,1.1133138426011404
1024,800,42242.20678492196,40846.09768688062,1.034179742425915
4096,800,29782.50013734852,26497.37844693629,1.123979121066298
4096,800,35106.94560268727,29394.111289795015,1.1943530204594288
8192,500,9179.157561897917,9178.81822404002,1.000036969667512
4096,700,25398.951266117874,15601.0663687365,1.6280266147072924
4096,800,12936.798045400259,12582.997544262242,1.0281173464346218
4096,100,2685.399498342895,2685.399498342895,1.0
8192,600,43100.48726075378,43098.54140707002,1.00004514894519
8192,800,39028.7422348742,34870.55437275946,1.1192463938962516
512,300,40559.59881930731,37353.09082643066,1.085843177149018
256,100,6412.030224931281,4829.618848163767,1.3276472588243997
128,600,86437.00865175803,70900.57950763027,1.219129790645163
2048,900,36428.108635421275,35054.15888407378,1.0391950568801616
8192,1000,8613.545783892347,7701.877971338275,1.1183695477838973
4096,300,7768.476695522811,7534.510577709549,1.0310525966352
256,500,33142.23572227294,27381.290499521965,1.2103971404434555
256,700,82745.76552562705,52807.571677195476,1.566929947687031
128,500,66083.84114100721,53535.80791606614,1.2343858010812871
2048,700,73353.9178793547,69459.09380371566,1.0560736379119116
128,800,111807.53275743536,89245.39881899078,1.2528100522493661
512,300,10815.946169643608,8874.280036111113,1.2187970320557262
4096,200,6388.103806816811,5846.530584549667,1.092631555490077
4096,500,31287.87356270804,31281.94741052828,1.0001894431987237
8192,1000,18419.61272884568,11706.78763223605,1.5734130751740176
128,900,125797.35482997693,103084.41806074536,1.2203333655708017
4096,300,11320.206253282637,11243.031887069747,1.0068641952622803
4096,400,18628.528950232612,16058.873985478984,1.1600146415668497
128,900,126645.44251919333,103160.92321660006,1.2276493711992515
1024,400,19518.34344874751,19518.106129237913,1.0000121589414477
8192,600,6483.297106164913,6143.604662733954,1.055292041412019
128,400,56407.612900217646,46532.572763232245,1.2122177982127
4096,700,8890.803173768449,7645.6808588148915,1.1628530327051285
8192,500,12397.780616594671,12395.199388157413,1.000208244204585
256,900,61880.27974106623,51088.94408718973,1.2112264374746076
8192,1000,21191.016325819735,16650.77136654941,1.272674752377626
8192,600,4484.531101761057,4118.24998149955,1.0889409632506415
