eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.56,4.0,4.329614010838028,4.329614010838028,0.56,4.0
2,0.52,5.0,4.840909091465801,4.329614010838028,0.56,4.0
3,0.74,2.6,3.970790193786886,3.970790193786886,0.74,2.6
4,0.52,4.0,4.163278480260439,3.970790193786886,0.74,2.6
5,0.7,2.6,3.7617609690442992,3.7617609690442992,0.7,2.6
6,0.56,2.2,3.3020157387707667,3.3020157387707667,0.56,2.2
7,0.26,3.4,2.8632042829572786,2.8632042829572786,0.26,3.4
8,0.82,5.0,7.028019504714089,2.8632042829572786,0.26,3.4
9,0.48,1.0,48.62742266889515,2.8632042829572786,0.26,3.4
10,0.42,2.2,3.2488011989045815,2.8632042829572786,0.26,3.4
11,0.64,2.8,3.6834408696387126,2.8632042829572786,0.26,3.4
12,0.64,3.6,4.2496795952208135,2.8632042829572786,0.26,3.4
13,0.24,4.8,3.4889690690728017,2.8632042829572786,0.26,3.4
14,0.5,1.4,5.333780956843442,2.8632042829572786,0.26,3.4
15,0.38,2.0,3.4729074211195337,2.8632042829572786,0.26,3.4
16,0.86,4.6,7.8908696733346915,2.8632042829572786,0.26,3.4
17,0.4,4.2,3.883932538777784,2.8632042829572786,0.26,3.4
18,0.4,4.0,3.596809164519914,2.8632042829572786,0.26,3.4
19,0.44,1.4,5.333780956843442,2.8632042829572786,0.26,3.4
20,0.74,2.4,4.058095469886377,2.8632042829572786,0.26,3.4
21,0.9,1.6,4.825058624909876,2.8632042829572786,0.26,3.4
22,0.1,3.0,3.383869636237649,2.8632042829572786,0.26,3.4
23,0.1,2.8,3.393050997138184,2.8632042829572786,0.26,3.4
24,0.1,5.0,3.362104238200601,2.8632042829572786,0.26,3.4
25,0.9,3.2,7.213683055005099,2.8632042829572786,0.26,3.4
26,0.1,3.6,3.364185891074406,2.8632042829572786,0.26,3.4
27,0.1,4.4,3.362104238200601,2.8632042829572786,0.26,3.4
28,0.1,1.6,4.334310895564369,2.8632042829572786,0.26,3.4
29,0.1,4.2,3.362104238200601,2.8632042829572786,0.26,3.4
30,0.1,3.4,3.369608040004667,2.8632042829572786,0.26,3.4
