eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.76,1.2,6.333041158904894,6.333041158904894,0.76,1.2
2,0.8,1.6,3.313708786140549,3.313708786140549,0.8,1.6
3,0.46,1.0,19.023082823371293,3.313708786140549,0.8,1.6
4,0.14,3.8,2.591068200438958,2.591068200438958,0.14,3.8
5,0.36,2.8,2.642483272423431,2.591068200438958,0.14,3.8
6,0.36,4.0,3.0621431640242247,2.591068200438958,0.14,3.8
7,0.34,4.6,3.258995794717763,2.591068200438958,0.14,3.8
8,0.66,1.8,2.908807026967743,2.591068200438958,0.14,3.8
9,0.66,4.2,3.622203729990252,2.591068200438958,0.14,3.8
10,0.42,1.8,2.908807026967743,2.591068200438958,0.14,3.8
11,0.58,4.4,3.60527699433878,2.591068200438958,0.14,3.8
12,0.66,2.2,2.8623434465037065,2.591068200438958,0.14,3.8
13,0.8,1.4,4.081218831260501,2.591068200438958,0.14,3.8
14,0.54,4.0,3.3666160852326037,2.591068200438958,0.14,3.8
15,0.84,2.2,3.052508510071441,2.591068200438958,0.14,3.8
16,0.68,4.2,3.5883309974665836,2.591068200438958,0.14,3.8
17,0.22,4.2,2.8609628619131,2.591068200438958,0.14,3.8
18,0.64,2.0,2.7007151597704477,2.591068200438958,0.14,3.8
19,0.18,1.0,19.023082823371293,2.591068200438958,0.14,3.8
20,0.46,5.0,3.5500774221006375,2.591068200438958,0.14,3.8
21,0.1,3.2,2.3352987875190907,2.3352987875190907,0.1,3.2
22,0.1,3.4,2.3930898875200337,2.3352987875190907,0.1,3.2
23,0.1,2.6,2.3550736807366435,2.3352987875190907,0.1,3.2
24,0.1,2.4,2.431674846068626,2.3352987875190907,0.1,3.2
25,0.1,3.6,2.4343699777464276,2.3352987875190907,0.1,3.2
26,0.1,3.0,2.3559088060365396,2.3352987875190907,0.1,3.2
27,0.1,4.8,2.6468675778694877,2.3352987875190907,0.1,3.2
28,0.1,2.8,2.2946869476568885,2.2946869476568885,0.1,2.8
29,0.1,2.2,2.5155912481705878,2.2946869476568885,0.1,2.8
30,0.12,2.8,2.3494885577204876,2.2946869476568885,0.1,2.8
31,0.12,3.2,2.4168535103831297,2.2946869476568885,0.1,2.8
32,0.14,2.8,2.374676536803013,2.2946869476568885,0.1,2.8
33,0.12,2.6,2.337399129412207,2.2946869476568885,0.1,2.8
34,0.12,3.0,2.385253303427797,2.2946869476568885,0.1,2.8
35,0.14,2.6,2.3506056483264293,2.2946869476568885,0.1,2.8
36,0.16,2.8,2.465403600764433,2.2946869476568885,0.1,2.8
37,0.16,2.6,2.4223271685279033,2.2946869476568885,0.1,2.8
38,0.14,3.0,2.424227947940238,2.2946869476568885,0.1,2.8
