P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,46762.58783737518,25339.81784604174,1.8454192576084294
256,400,86029.29394372484,48334.52807370665,1.779872430171169
8192,800,86629.1191862215,40507.42758459579,2.138598384340874
128,1000,174126.66524210604,122342.327095179,1.4232740979876919
2048,600,213060.3196535963,151129.24419825306,1.4097888253454198
256,900,112629.86615112299,54809.75617591053,2.0549236852950097
256,100,46190.493660220425,26277.440229121807,1.7578003510794824
4096,300,23410.802929508925,14461.995710341227,1.6187809344161777
256,200,56568.121366915664,28639.31993050193,1.9751908042574897
2048,400,75680.85737947564,48402.57713588221,1.563570823243857
8192,1000,135918.7127570719,86941.7558164661,1.5633306629325046
1024,500,128721.43287932394,61945.54745447425,2.077977161698755
256,600,155589.66041923975,87906.4422511642,1.7699460521299755
8192,900,83683.11568733482,51759.85633102995,1.6167571090642099
8192,700,104147.81415270855,61004.81435234271,1.7072064763804835
256,1000,81961.435559477,60266.79191353534,1.359976746017391
8192,900,297913.51636557456,198921.3860550627,1.497644482947199
2048,700,76659.8100823666,50318.98468300632,1.523476885817533
1024,600,134002.96592248118,69227.82344495451,1.9356807603380983
4096,1000,93469.70524865894,51562.0110470629,1.8127629886922962
2048,200,63429.33308251125,37687.22034705516,1.6830462023572281
512,800,94169.3573749964,59751.971053248635,1.576004200615848
128,200,74411.51564512879,38616.9468705205,1.9269134842437075
2048,800,141082.2440283103,74910.56325865745,1.883342453869553
512,100,42584.09483765909,25554.08998787344,1.6664297127335446
1024,100,29348.505273074323,16270.879577503554,1.8037442372600532
512,900,98838.29809564426,54814.08894506958,1.8031549916790977
256,800,183681.53740352267,105351.1225342505,1.7435176103017442
1024,100,34605.07490156375,17524.646577519117,1.9746517995949582
1024,700,185582.80922629,90035.56093891147,2.0612167824689482
256,300,108042.25595870943,59520.11230056764,1.8152226496669266
1024,600,107399.13683511835,93962.56722509673,1.1429991751697564
8192,200,74066.05649395488,39439.94833382917,1.8779450689702237
1024,300,68277.82545202272,42559.26499070512,1.604299920756021
4096,900,164319.5590975427,80527.65400433389,2.0405357777925484
512,900,106355.58421672416,77438.96240069586,1.3734117932314711
4096,100,42572.74494192157,25509.78330366942,1.6688791290437088
8192,700,44800.08545723581,36383.636776576175,1.2313251072822426
1024,400,134868.724903951,70446.65442750564,1.914480197817485
256,700,88246.05525793301,45533.305579283064,1.938055103517096
256,400,98812.25027755558,36205.24077560651,2.7292250558413884
512,500,133800.3145058545,49051.18395225835,2.7277693161511194
256,900,83251.3500579736,57524.791285656356,1.4472255908685423
8192,500,169284.2118719079,106590.45867809009,1.5881741571556316
8192,300,57658.77540148754,29931.832451898452,1.926336300797731
1024,800,104306.63038494799,75099.1938804778,1.3889181094400898
4096,800,141072.49411605246,74875.55183262887,1.8840928802954964
4096,800,103504.82161945383,65871.74785380425,1.571308261763031
8192,500,136880.76140984215,91384.73058369043,1.4978515615854042
4096,700,185257.49478383418,89704.13083446011,2.0652058390232675
4096,800,67653.83292034692,47862.461864898854,1.4135050786002834
4096,100,46678.71397803237,25513.346625527105,1.8295802061235074
8192,600,84677.74092168588,40316.599781882396,2.1003195056081747
8192,800,154268.6662699017,83138.40291443179,1.8555644667444362
512,300,90988.20113710818,55298.68456635139,1.6453953986542647
256,100,72709.09522702692,42169.020106715,1.7242301348958478
128,600,89003.35873215199,72905.33051695603,1.220807286669552
2048,900,217508.23497656072,138680.36028229067,1.5684141181477467
8192,1000,67673.25532273439,44746.27273079294,1.5123774829219203
4096,300,58989.69325089491,35747.129315540355,1.6501938583708962
256,500,138115.24668575067,91652.47215266107,1.5069451313402524
256,700,100502.39727026327,58575.713811607675,1.715769057352011
128,500,71682.74226126514,55089.93942571088,1.3011947917991407
2048,700,93558.13705101973,61770.21371425966,1.5146157253689705
128,800,144365.19168622233,91299.30067015364,1.5812299834342136
512,300,42303.29885051875,29315.379910080832,1.4430411265443535
4096,200,87272.4138982358,48449.352805894276,1.8013122744462826
4096,500,362853.1907936036,230387.8143086843,1.5749669394729187
8192,1000,190585.29321774308,100649.75660009484,1.8935494695231432
128,900,157828.9193017989,106125.13242222022,1.4871964415919359
4096,300,35246.32668697131,24857.044966350284,1.4179612554382592
4096,400,129721.26794587723,65844.558400574,1.970113720813509
128,900,134642.07262257862,106193.97181152053,1.267888095018703
1024,400,80947.5346297547,48012.334238965144,1.6859737380579276
8192,600,54184.6912395401,30879.271782953714,1.7547269773846053
128,400,157970.97359830185,100412.82389322805,1.5732151280425803
4096,700,86427.85107190647,46902.72070590232,1.8427044267611161
8192,500,65410.19372056612,40213.293904934864,1.6265813458404401
256,900,120436.08017995379,68784.06403433165,1.7509299845941275
8192,1000,245050.93040796285,132362.96275782728,1.8513557365462627
8192,600,46762.398605574024,25325.579367516777,1.846449312253549
4096,900,76370.34624066344,47239.60737156168,1.6166592080237845
8192,700,256001.6767143868,154802.27547094636,1.6537332925860884
128,300,69190.93853044242,37575.37625782499,1.8413904376016346
4096,700,133663.6526675038,74294.70133872438,1.799100746877015
256,100,26104.148054157005,14887.022202248138,1.7534835173561394
2048,500,67633.64974252028,42220.82558082555,1.6019025874575954
512,600,60004.379642507396,39911.47243417489,1.5034368812494026
512,500,59452.03905085821,40359.055700854355,1.4730780494846831
512,400,89418.97780827615,58094.73530829689,1.539192447194189
8192,1000,264949.5425635594,170835.76031156772,1.5509021183875573
128,600,91733.28350455637,71185.27915940297,1.2886552470931651
2048,800,123322.50149412137,49405.80358577192,2.4961136656754284
8192,200,46799.94936593404,28474.386928972886,1.6435805793702538
512,400,110701.81604758481,72462.01273500008,1.5277220693887021
1024,300,52628.68134563482,24245.008504041936,2.170701706986862
1024,800,179295.99769318433,113988.88034982161,1.5729253339706561
1024,100,19062.47268304286,14288.78959877594,1.3340858965881799
2048,200,82995.07630292114,54506.84394617546,1.522654226410124
256,100,17401.61669933481,13225.770345359979,1.3157355862783335
1024,700,165318.46762780522,48889.00339843507,3.3815061902672587
4096,800,81576.22987287882,45625.20765580448,1.7879640239292285
4096,800,198558.9074965699,125129.19990328405,1.5868311125623897
8192,1000,118501.5656570533,75235.44555575492,1.575076279294911
8192,700,174015.03914625992,105666.13632389191,1.6468382889752144
8192,1000,93465.51394546132,51551.25276057881,1.8130599925388098
4096,900,101654.66377126343,55775.094322595265,1.822581655950364
512,700,163098.0776576191,104086.64753350454,1.5669452472769798
1024,200,41421.835483496405,31346.100459060614,1.321435039028065
4096,700,164529.71117276436,143908.0617433905,1.143297388482275
2048,700,175162.4099812723,97418.28555385975,1.7980444737392762
8192,300,33523.86325969447,23095.471423504423,1.451534053796235
8192,500,183362.36197994126,82818.48977503512,2.214026873443594
8192,700,101602.64478399733,53786.429754195684,1.8890014683689182
256,1000,165095.63339192554,110364.33073667888,1.4959147787144336
2048,100,101806.70653677394,66048.07099842197,1.541403177985415
4096,700,140971.67564976768,72916.51693433772,1.9333298075210383
1024,800,145919.09529165144,121702.61525635065,1.1989807695117474
1024,400,403595.76029075065,262665.24196528335,1.5365404165051049
256,100,15732.59179237427,11573.58773801483,1.3593530501089732
128,900,124129.67208818856,99628.06363260541,1.2459307906047115
512,900,178257.42452206815,90295.3145125921,1.9741602926385435
4096,1000,161921.14308867254,110350.43973567909,1.467335730392376
8192,300,64740.174137820024,24730.1845315877,2.6178605361851557
512,500,228299.30220216798,136998.6611845978,1.6664345492730608
128,800,114539.65900450226,82488.191480104,1.3885582523909379
128,100,31947.30050624351,19727.62006951477,1.6194198992919524
2048,200,52104.64359957273,31247.49127757285,1.6674824592068807
4096,500,57221.77701228346,36770.09553853634,1.5562041973024805
128,400,84032.80810171572,50049.2365588324,1.6790027956357727
1024,700,234752.8801642512,100915.9176950425,2.326222517974322
128,300,90938.22265129644,46677.0896737702,1.9482410597333881
4096,500,194651.10961840148,86313.15153707848,2.2551732401380695
256,500,82161.78102279082,49468.92113219278,1.6608767513492948
512,500,212606.93268715974,146854.52670932093,1.4477383670166803
128,800,129468.52088840633,100181.89320467891,1.2923345401737687
128,400,231714.68279956398,157171.77083510478,1.474276720103034
2048,600,115084.34624814021,67932.24119574515,1.6941049525589384
4096,100,74990.65564604673,51590.80212796017,1.453566383016262
256,900,371987.1651328431,237993.0451390816,1.5630169567159249
2048,500,61685.4593606459,35686.69921286148,1.7285280152335991
1024,500,104602.4167768051,63325.5846578035,1.6518192029659395
128,200,40651.332230253014,27723.977542298067,1.4662878790834348
8192,200,159816.97468876652,97068.3194000417,1.6464380518439043
2048,800,145848.9334150607,121673.3793836365,1.1986922213707782
512,800,79361.85218887171,56638.50285778082,1.401199681922193
512,800,242588.60012582343,103707.48366040051,2.339161954022543
1024,600,117842.93735716713,67554.55869941709,1.7444113265768986
128,200,105653.62491189256,60071.03351509997,1.7588115058039506
2048,600,59767.34442541686,39911.47243417489,1.497497856637332
8192,500,43671.90955024207,25591.326174013364,1.70651216952518
512,300,39118.98528469631,26628.624654509877,1.4690576697911073
512,600,140786.32355874853,71476.40813762604,1.9696894013989619
4096,300,173158.69616906444,100662.483794627,1.7201909752430233
2048,200,30000.557351949683,20061.201460168668,1.4954516762874603
512,800,127141.78931478233,90029.82672040864,1.4122185274178793
128,500,369750.49968614045,236553.09805824698,1.563076124224321
4096,600,161451.22046150305,87790.95808550628,1.839041559430909
8192,400,129720.86522997254,65829.71148275904,1.9705519332854244
256,100,71454.38238590844,43475.943543660454,1.6435383930000462
2048,1000,84442.11616166629,41399.41646168998,2.039693391326107
2048,500,133001.79588180868,48801.92720673471,2.7253390079942235
2048,1000,271001.8211312633,124611.80764058269,2.174768396851386
1024,600,47670.67329072075,25425.248717191513,1.8749343937976028
1024,800,233835.03171869143,144056.46626132375,1.6232178796785564
128,200,89959.48872655323,46135.392560100576,1.949901880846966
512,100,10716.766246458386,8382.266597696977,1.2785045812552434
4096,900,166930.729801202,101428.46986882546,1.6457975755435208
8192,900,327628.8059312735,191440.08812478546,1.7113908018978596
8192,300,58374.28249137979,35226.05846566625,1.6571335265418754
4096,1000,223070.59679903332,119286.6452331947,1.8700383128635256
128,200,52353.770612712244,24034.525413510786,2.1782735340920047
4096,200,65650.76306636419,37201.94416591107,1.7647132304048072
8192,600,201862.73141712678,86528.59241676705,2.332902059065633
4096,800,113135.10249016993,68054.43993565843,1.6624205944113664
2048,500,96735.62899057413,62059.89207555667,1.5587463296391242
128,300,62600.23275860966,43888.240059234464,1.426355503754998
128,100,20446.80199923729,14523.933011723955,1.4078006269191892
128,400,93982.60979370604,49684.70035825663,1.8915804888835956
4096,1000,94853.14261931961,66096.51746973181,1.4350702011305903
2048,800,126597.39974119482,89894.46283706855,1.408289184292134
2048,100,40842.950728881005,22287.203544082055,1.8325740440292286
128,900,162682.07768778072,104781.21783099383,1.5525881551613352
8192,700,85141.8534160567,50094.686497619805,1.6996184499548097
1024,700,158664.92072181831,95960.87017356644,1.6534335342607642
512,700,83249.26399193692,70416.90588315741,1.1822340522895485
8192,1000,887708.573526638,607904.1810288752,1.4602771312153096
8192,1000,140225.39823356422,78215.59188691816,1.7928062020715516
1024,100,46985.01917040718,39754.699483118246,1.18187333274546
8192,1000,305570.6586402278,174195.61077190377,1.7541811603987538
4096,900,102944.98911562105,57821.68428611699,1.780387243758276
8192,600,257754.52362718747,179300.1727215071,1.437558702341784
8192,1000,80402.87764645135,54785.91134305086,1.4675831007536904
2048,100,24121.861895804177,14850.759400093964,1.6242847416712947
512,800,53465.450943787306,39670.38232183824,1.3477422655025684
2048,200,36940.36948782471,21719.122239982673,1.700822394185953
2048,600,118346.21789896979,46239.717968129386,2.559406136095805
1024,100,15476.916409657828,7574.474505432674,2.043299029993071
256,700,107222.66191787763,63595.14530849998,1.6860196072788358
128,1000,145869.39545912144,115241.4415821776,1.2657720474201404
1024,800,130198.6600783956,73809.48264243598,1.7639828300806875
1024,800,98176.30371159798,64050.183209330666,1.5328028553913007
1024,1000,125801.3649042644,66618.31687920158,1.8883900224074848
8192,600,148856.7543699062,72057.00403987369,2.0658193655613877
4096,200,51246.94729274819,28226.96173217051,1.8155318230492234
1024,700,164768.2220779069,143996.98147366662,1.1442477501380042
8192,800,223929.75964505848,121156.10790503111,1.8482746228575375
128,1000,152971.91570066608,112156.4431438755,1.3639155398716778
2048,1000,120285.36178992486,66639.00922749183,1.8050292641551056
1024,1000,174510.41946474594,70666.56720492533,2.469490543649655
2048,900,168570.9748659924,93515.5700519536,1.8025979499706941
512,600,83006.35776214657,52850.65998181106,1.570583182702237
1024,700,65145.278788315794,40384.69376674293,1.6131180581580484
1024,100,52709.72399681752,33357.177220007376,1.5801614042210572
4096,100,72158.63019202028,41510.57294657572,1.738319302045981
128,700,128802.02321449666,84966.35551851557,1.5159179469152184
128,300,53185.50247776454,35422.15679393922,1.5014755534836504
2048,1000,103274.10657952938,83203.13759546028,1.2412285108964953
256,500,99203.4950105281,62092.40025489339,1.597675312973749
128,500,83749.1939065491,58120.56724051832,1.4409562377458005
2048,400,61628.14109967717,35792.538937203135,1.7218152980933197
128,900,154667.669862807,106230.35181436798,1.455964959365669
128,300,80693.24334753066,49018.24004301967,1.6461880980776173
4096,200,60668.06452821067,41314.61184437475,1.4684408692192765
128,500,217536.46519015887,107899.46980002425,2.016103189323642
256,200,51777.55125215254,24028.023327904328,2.154881845483395
1024,300,47957.29002046633,27201.299204297007,1.7630514506046273
2048,200,74065.21496679721,49074.047810033735,1.5092542447997077
4096,500,182277.50180566526,116848.61008388725,1.559945827980373
8192,100,45272.36794721809,28338.780874483527,1.597541127394852
4096,700,165216.57189380235,48842.85851775354,3.382614713955551
1024,500,42475.99528540521,33062.26204021412,1.2847274404195643
2048,1000,106968.66478986626,99844.90421604176,1.0713482638874618
8192,1000,223137.88949231157,153858.34745614193,1.4502813346277368
2048,1000,105858.54298193261,69330.7825011364,1.5268620829455875
8192,400,132126.47925024328,79841.38239289293,1.6548621189956312
128,700,109911.98104521315,78223.91975265807,1.4050942651909017
128,1000,519214.8055261077,336231.71358758636,1.5442172303917887
2048,900,86953.32114390325,43085.8374830352,2.0181416034477833
4096,200,57400.45074438873,33406.48415369743,1.718242796227799
2048,300,143733.2820667497,83200.47249108386,1.727553675637513
128,100,61383.8902799105,33607.10000037135,1.8265155362775194
128,1000,277606.74668903626,130680.0475400216,2.124323888113198
4096,300,50408.89965088839,31675.82682654689,1.5913996476531331
256,200,37380.49930782942,27723.977542298067,1.348309392142543
4096,400,109052.5353134105,80128.73845486698,1.360966582231106
2048,200,43750.615267240166,28151.634779116986,1.554105671323023
256,1000,366657.1402168416,212297.34605947777,1.72709243437324
4096,600,87789.54567819147,61654.823254855204,1.4238877194620487
256,500,189156.26331528457,75433.91473577404,2.50757585600391
256,400,131097.97471018424,66492.92943135499,1.9716077458359729
512,500,182877.43563027025,117234.930187025,1.5599227579913741
2048,900,164337.09432647648,80572.39811895405,2.039620244191508
8192,300,194213.57930519554,121166.91213134864,1.6028598557885347
512,900,301632.8615544889,199266.99669259545,1.513712087605811
2048,600,65602.17417825913,43043.733107041255,1.5240818916686312
256,700,132194.42517017806,65538.9661892865,2.0170355569598164
128,300,94901.49098964987,52306.20787465864,1.8143446991428303
128,300,41812.27858131166,33909.56330753294,1.233052699679655
1024,700,106258.24350150605,71395.32402810991,1.4883081623058372
256,800,115522.9832445766,53738.859665875236,2.1497103578834396
1024,1000,70811.96886414803,42383.73236753952,1.6707346170008588
4096,900,85423.47721573568,44447.9782420795,1.9218754281800858
512,600,73601.80572341944,41879.47984107661,1.7574670459786528
2048,700,253089.32962003525,159902.38059576607,1.5827739942149217
256,400,135300.92160716996,83895.26610670472,1.6127360682673493
2048,500,136881.533419348,91410.64105810694,1.4974354389696996
