i,Paper,Min Time,Time opt
1,818958,1459225,680994.575741888
2,801294,1480195,665668.3560278681
3,791825,1413239,651305.3816708077
4,845563,1462903,695183.7690020413
5,796385,1443099,661962.9561917708
6,786683,1400440,656760.4495093515
7,825080,1508737,688680.4760887198
8,819729,1495388,682388.2379183229
9,795885,1420423,654464.7830271883
10,827985,1432477,671094.6253296196
11,786552,1397823,687968.1991749887
12,790151,1390751,689580.9764586004
13,754557,1312840,648486.2089159007
14,747094,1340633,654292.812703227
15,779856,1379416,680483.9164037626
16,742049,1310836,648587.8302313236
17,776262,1378050,677632.4893569172
18,773799,1408821,676624.4427130695
19,798948,1388636,705587.8103228756
20,754597,1343990,664365.370392963
21,729783,1300452,640319.276471287
22,789276,1416039,690307.7181537312
23,783260,1383618,685089.6095134421
24,718609,1264454,630414.4107754435
25,763001,1355143,662512.3984567322
26,769244,1380974,668547.9561378651
27,780726,1365851,680043.2235309207
28,795162,1406070,693004.7815155316
29,762648,1359080,669099.2209609596
30,808591,1459695,708630.5724702912
