i,Paper,Min Time,Time opt
0,5410480,8732862,2373416.6947458466
0,6047966,9308307,2677114.741194604
0,5786956,8887051,2529867.2056780555
0,7207837,10542539,3199005.1734100496
0,6202502,9383096,2745910.261763125
0,7197138,8332544,3190677.150493598
0,6422340,9560579,2833764.46908562
0,6583222,10477204,2922235.284848058
0,6865460,9458910,3031695.308714151
0,7880274,10706024,3544451.0550393066
0,7082226,11222302,3159321.167495155
0,7493431,10235725,3322486.5945965904
0,5865581,8988649,2552841.208066106
0,6153630,10168916,2713105.5553486133
0,6049696,9611635,2675808.0777679565
0,6921204,9439614,3068419.871064995
0,7468073,10763977,3286372.1941025797
0,7468725,11041016,3272695.193253883
0,5754696,9387986,2537360.217357279
0,7777563,11534488,3439541.3360892716
0,6383946,8979934,2834484.4202065407
0,7031578,10361387,3112925.308203569
0,7508783,11919939,3305761.980390393
0,6609486,9230930,2918795.0476303967
0,7176788,9161463,3174715.646767389
0,6041935,9371202,2644442.396284743
0,6596431,10320805,2917112.3638509875
0,7745930,10917568,3468563.010382176
0,6978639,10925801,3090620.4972592103
0,6032542,8714170,2664800.421235007
0,6482627,9228212,2873235.815099951
0,7554097,9415187,3362166.53227387
0,7462381,9832871,3307588.221890783
0,7139174,9156606,3131014.0702567743
0,7272934,9873650,3228744.4406161765
0,7313071,9971179,3242230.5938629615
0,6136872,8330297,2725708.446936256
0,6942816,7785820,3070046.7211493067
0,8039913,12167961,3578340.774336128
0,6046233,8790144,2667416.9765012967
0,7198786,10661607,3191075.770809844
0,6291585,10031530,2798925.7874189336
0,7957294,12070730,3533898.529526396
0,7264067,11765013,3221787.5090142516
0,6374307,9448216,2825287.4036291647
0,6351906,8392977,2829015.2102607694
0,6141735,10022217,2698750.2822685433
0,7091343,11143141,3124066.449489675
0,7774367,12049049,3430495.2006181176
0,7367208,12176320,3230804.8620149116
