i,Paper,Min Time,Time opt
0,824606,1474762,680994.575741888
0,802799,1502502,665668.3560278681
0,781476,1405905,651305.3816708077
0,850477,1482464,695183.7690020413
0,806555,1450487,661962.9561917708
0,799990,1432607,656760.4495093515
0,824194,1525927,688680.4760887198
0,815812,1514451,682388.2379183229
0,824339,1438300,654464.7830271883
0,816530,1423232,671094.6253296196
0,835241,1494655,687968.1991749887
0,823723,1504269,689580.9764586004
0,775886,1432603,648486.2089159007
0,792974,1427687,654292.812703227
0,822337,1466848,680483.9164037626
0,773280,1411237,648587.8302313236
0,805747,1478751,677632.4893569172
0,815007,1517151,676624.4427130695
0,844333,1513814,705587.8103228756
0,791642,1433918,664365.370392963
0,777550,1401608,640319.276471287
0,836019,1509752,690307.7181537312
0,814046,1480516,685089.6095134421
0,771961,1396276,630414.4107754435
0,829890,1446036,662512.3984567322
0,817475,1478696,668547.9561378651
0,829117,1468762,680043.2235309207
0,834741,1528810,693004.7815155316
0,799518,1438755,669099.2209609596
0,846480,1519974,708630.5724702912
0,781784,1415894,647554.9163231079
0,800622,1449182,656766.4697005106
0,802280,1440566,661839.3241845048
0,755453,1381471,626222.9190496807
0,789936,1439507,659854.0368941077
0,817415,1454686,678009.5163302443
0,811282,1469461,680360.4768687922
0,800051,1489355,667800.6698082492
0,776806,1427706,639832.6650114885
0,798562,1490860,667944.7563013969
0,790652,1438150,659334.4283048675
0,790440,1448789,667882.7699709954
0,815034,1506517,687320.7117799128
0,817939,1436716,683209.3117233003
0,826838,1468666,678046.1594644671
0,834011,1505751,696317.5547723349
0,807673,1525365,681623.008672698
0,827294,1502106,693221.4876556095
0,818208,1468318,673455.7342058149
0,837704,1545957,711203.4223013822
