regular,Paper,Min Time,Time opt
0,7623676,6487177,2326722.106200906
0,8770931,6821726,2667291.1078466233
0,7506554,6940252,2281053.6312584206
0,11505139,7505260,3584247.2785584824
0,9167407,7613108,2748644.5318479147
0,9451601,6898076,2833849.39710604
0,9709875,7669863,2951099.69010358
0,8960235,8723843,2712173.0195977716
0,10296547,7112896,3165357.0393069773
0,10006983,7643285,3033412.1274589254
0.1,7234788,6379875,2207417.9607509864
0.1,9637540,7098554,2972295.546628759
0.1,8383390,6716722,2490744.999180799
0.1,9359223,8081914,2885636.8017198727
0.1,8855752,7254804,2635325.56951759
0.1,10493734,6781307,3159278.3087372975
0.1,8937710,7504942,2733691.8395335744
0.1,8731180,8343573,2625763.834045397
0.1,8977706,7276481,2754110.18147033
0.1,11233221,8114268,3433261.415062634
0.2,7556325,6081759,2279740.1649958384
0.2,7766078,6897058,2358302.500279064
0.2,9093659,7134765,2751312.667642269
0.2,11639161,8016593,3568109.4458980146
0.2,8962926,7351690,2679317.5638776952
0.2,10950857,7006498,3277187.484085157
0.2,9484840,7819068,2884381.3870771835
0.2,10467432,8385179,3125397.2267391887
0.2,10111202,6973783,3092069.8046031534
0.2,10288731,8138337,3138060.000594723
0.3,8743843,6280431,2708709.254063642
0.3,9315438,6975344,2806180.9795949436
0.3,10011444,6823551,3035172.556161955
0.3,12665360,7887134,3906187.0465005874
0.3,9804397,7346677,2930432.3333408996
0.3,10819191,6997918,3195059.2165802796
0.3,11034111,7972705,3347263.8898169566
0.3,11499555,8530450,3501508.2903265655
0.3,10409006,7205362,3240211.47767666
0.3,12095987,8227461,3689333.8558236565
0.4,7860274,6246907,2407116.91428776
0.4,9882651,6893779,2977602.78830921
0.4,10758484,7455919,3244186.6405331613
0.4,9843858,8060215,3030266.5953323985
0.4,9019393,7463642,2712108.0631365506
0.4,10911460,6978653,3266654.4566859133
0.4,10027859,8003671,3023724.9103708775
0.4,8666749,8472205,2607215.5010629157
0.4,10637406,7167402,3244771.2345844507
0.4,10836836,8256628,3306315.9982785177
0.5,8629523,6650082,2679676.0713980612
0.5,10515015,6986708,3180354.8637814973
0.5,10465575,6837968,3139336.0593927805
0.5,12021840,7784427,3737324.4103376744
0.5,9459033,7685380,2828747.7625493025
0.5,11038824,6423108,3292608.077196825
0.5,12600612,7921296,3796596.943956327
0.5,9869626,8633084,2984047.355601916
0.5,9915397,7477893,3034899.710813204
0.5,10006842,8159747,3068470.840778065
0.6,8337000,6307890,2576758.1250808514
0.6,9488295,6705039,2853342.221467562
0.6,8983873,6813537,2684790.6173606333
0.6,10415706,7734678,3205394.345962152
0.6,10498348,7516882,3177590.394795266
0.6,10532073,6728605,3172597.948099086
0.6,10074767,7727082,3047846.9238726203
0.6,10304929,8495392,3106497.462764241
0.6,9413378,6907993,2881195.176112378
0.6,11385038,7908670,3478031.3790491265
0.7,7951052,6504581,2432275.95012682
0.7,9349519,6827698,2809590.8464991013
0.7,10543363,6865701,3212667.2350113764
0.7,9915911,7874750,3032342.5103289513
0.7,10303618,7607175,3090037.704268515
0.7,11546435,6833390,3470355.7142130337
0.7,10410927,7931925,3137565.069798121
0.7,10243336,8363957,3112334.537276674
0.7,10563778,7232560,3235467.9734315486
0.7,10672307,7873159,3261513.570147821
0.8,7784858,6615730,2407809.510702763
0.8,9652767,6840107,2903276.9548633727
0.8,10157265,7086999,3061730.2605838133
0.8,11044886,8045843,3396705.1189741176
0.8,9994755,7735110,3016622.1016078517
0.8,10147501,6680377,3057525.295996673
0.8,11129361,7869308,3392872.089746583
0.8,11959075,8446295,3573930.08077016
0.8,9618273,7044586,2961605.0500061843
0.8,11508447,8093846,3517990.73508274
0.9,8448654,6596595,2577668.247503139
0.9,9180396,7108745,2789019.082945191
0.9,9550288,7060884,2878439.5044957185
0.9,12654090,7711336,3941748.77248306
0.9,9248331,7666554,2769292.4902865435
0.9,10559298,6693392,3169817.462997504
0.9,9557062,7656033,2896749.0374262733
0.9,11287944,8380890,3398464.914078978
0.9,9757598,6996045,3004824.9169474333
0.9,10517883,8326812,3221618.184396854
1,7938507,6353514,2444059.119628628
1,9884255,7074934,2976026.682417605
1,9933476,7065394,3030953.825728279
1,10669594,7554700,3297519.168316519
1,9850931,7579536,2937664.828328386
1,10498764,6774302,3117904.3486178415
1,10302463,7826689,3092973.348839525
1,10647461,8396095,3221923.0731078163
1,10264011,7396124,3162389.6427149177
1,11416255,8106751,3495034.8473165804
