p,Paper,Min Time,Time opt
500,2316833,3311549,2042983.7272256638
500,2255869,3268610,1997005.0680836043
500,2196304,3150768,1953916.145012423
500,2379981,3312504,2085551.3070061237
500,2232518,3138688,1985888.8685753127
500,2217189,3152375,1970281.3485280548
500,2325755,3256920,2066041.4282661595
500,2309830,3228865,2047164.713754969
500,2237247,3200183,1963394.349081565
500,2273139,3176017,2013283.8759888588
500,2315078,3241788,2063904.597524966
500,2320276,3262803,2068742.929375801
500,2208218,3170974,1945458.6267477018
500,2226246,3158773,1962878.4381096812
500,2298333,3286271,2041451.749211288
500,2213137,3161279,1945763.4906939706
500,2303209,3245951,2032897.4680707518
500,2286365,3261755,2029873.3281392083
500,2368056,3348257,2116763.430968627
500,2261013,3250450,1993096.111178889
500,2158710,3116471,1920957.829413861
500,2326025,3247837,2070923.1544611936
500,2317623,3255431,2055268.8285403266
500,2128200,3015459,1891243.2323263306
500,2240158,3198949,1987537.1953701966
500,2276641,3269704,2005643.8684135952
500,2320725,3351380,2040129.670592762
500,2318715,3278498,2079014.344546595
500,2252450,3172846,2007297.6628828784
500,2373640,3364828,2125891.7174108736
1000,1197898,2136691,1021491.8636128319
1000,1173306,2160330,998502.5340418022
1000,1155418,2059668,976958.0725062115
1000,1234701,2105950,1042775.6535030619
1000,1175478,2079009,992944.4342876563
1000,1169385,2097032,985140.6742640274
1000,1233071,2169869,1033020.7141330797
1000,1208546,2135351,1023582.3568774845
1000,1163749,2066454,981697.1745407825
1000,1183277,2057211,1006641.9379944294
1000,1226718,2187127,1031952.298762483
1000,1220660,2158026,1034371.4646879005
1000,1150021,2050191,972729.3133738509
1000,1162075,2054167,981439.2190548406
1000,1210641,2156267,1020725.874605644
1000,1158471,2016514,972881.7453469853
1000,1208930,2145248,1016448.7340353759
1000,1207844,2153295,1014936.6640696041
1000,1251725,2215902,1058381.7154843134
1000,1176545,2056231,996548.0555894445
1000,1138971,1990022,960478.9147069305
1000,1231540,2215316,1035461.5772305968
1000,1234251,2136382,1027634.4142701633
1000,1122091,2035071,945621.6161631653
1000,1188220,2089522,993768.5976850983
1000,1183894,2149478,1002821.9342067976
1000,1194430,2160330,1020064.835296381
1000,1231466,2168952,1039507.1722732974
