n,Paper,Min Time,Time opt
100,4042512,2500529,1218816.8176072675
100,2269874,1425667,682580.1619917236
100,1490856,914840,433472.3172052692
100,3845412,1814325,1175153.9658848704
100,3554714,2222491,1108020.2284871612
100,3356510,1903152,1026270.0201393154
100,2899192,1301600,881459.5239089222
100,3150258,1769607,986673.4701493568
100,2494783,1039778,742043.4038608936
100,3083867,2019542,928309.5222869414
100,980274,1497608,277847.91784541594
100,902835,1396980,293240.4956081472
100,936141,1379754,276866.1924655077
100,1225831,1088329,374164.7376562559
100,1459556,1140378,468877.5277383715
100,1320374,1807663,419272.1471809935
100,1893220,1284295,554534.1149623462
100,994302,1030137,310866.7181758101
100,1189015,1103595,346329.0921191839
100,1091296,1536591,348634.16320835793
100,1026352,1022375,308954.8177704141
100,686838,882570,220240.24074521742
100,898564,1303092,276926.6401543128
100,1673980,1715240,497196.487964037
100,916836,1139351,273801.79772255325
100,1067859,834401,325293.2405584997
100,1216805,1550118,399098.63952748064
100,1166011,1258267,346207.35698636284
100,1700704,1437669,538221.8679525758
100,886566,1114474,263107.75001302385
200,5970664,3611818,1787461.6755415578
200,6070087,4452943,1898772.1570215698
200,5128792,3201216,1546474.047168135
200,7095011,4047513,2168420.352597087
200,4922632,2735241,1525311.4199652907
200,4216603,2580506,1271163.4295726877
200,4133459,2813381,1254715.2336169665
200,3556443,2897556,1080146.3738569096
200,7277910,3890478,2218481.479519921
200,4532314,3176906,1428274.4892200988
200,1913156,3419185,579398.0854749092
200,1812836,2822514,577338.0677222233
200,1450271,2693148,436232.7407920073
200,973626,2086347,275103.0933530278
200,874161,2334633,274813.14197433466
200,2011493,3644992,618414.0172864294
200,1159069,2710265,346854.30105900543
200,1676930,3013703,498652.0719920035
200,1250940,2297766,363030.37162253854
200,2136571,4179786,627918.0453305551
200,1256716,3098293,382465.437110444
200,1070109,3764936,339392.26702974975
200,968900,1990121,309417.663642821
200,1178019,2221483,339333.1634482129
200,955296,2972571,282944.4362034914
200,1945953,3092500,598634.4106290016
200,1413091,2148453,436181.13251337304
200,1810355,2716795,535072.6683889343
200,1083940,1909702,352717.1215911636
200,1086682,2297933,312119.99117721705
300,7937897,5244926,2405586.347655423
300,6095814,4446476,1849496.997790707
300,7201848,4324239,2218610.3479320128
300,6819536,3750524,2048241.0775102729
300,8313873,5971602,2562769.282102758
300,6402850,4247382,1959408.837848736
300,7434975,5228015,2233813.5620175744
300,6187574,4448887,1847126.326500581
300,6916889,5271029,2104359.1781436615
300,7562918,5410607,2239526.555231482
300,1104384,4579191,401745.9560372975
300,2289060,3473283,698154.7529948053
300,1904270,4369220,567329.2069270281
300,2027237,5430387,620641.5510865152
300,2010789,4793486,645823.2793782689
300,1743259,4634157,536555.1360754876
300,1038694,4299943,405752.0831622696
300,1200572,3643074,376298.8265818693
300,982186,4150697,406096.2341519055
300,1281084,4308034,399201.3501598062
300,1227467,3368398,403636.3996061459
300,1027479,3675225,373336.02781377715
300,1592416,4909577,477299.615418385
300,1996376,3447941,601402.3301782494
300,1100602,3467247,374889.3366793485
300,1016896,2930846,396928.31808078784
300,1272073,3380708,404377.68814419676
300,1900019,4054475,590954.9073343312
300,1040210,3221385,387084.7091068771
300,1625693,3926034,494301.15721315856
400,8490553,5692537,2567276.309721305
400,10874859,6386847,3306466.023723311
400,9273213,6958962,2783845.887059375
400,7590838,4897299,2298247.792528914
400,8137086,5364682,2572427.4961290755
400,9408651,7562657,2845410.5559152565
400,8073597,5653326,2446922.693131174
400,8680344,6735559,2659578.146086288
400,8309548,5463754,2516183.655308592
400,8863198,6623857,2676564.9104476743
400,1991002,5299158,593403.4579344614
400,1826256,4343331,566321.4874333469
400,1991928,5485821,581740.3639238977
400,1606576,5041108,516509.1977299856
400,1936173,5146343,594168.1046822491
400,1693713,5411409,534979.2803977546
400,1073688,5578769,560664.1812581917
400,1217857,5165142,508991.3310337156
400,1176601,6760535,518731.0345094204
400,1128872,5251986,539336.6001922236
400,1973528,5216236,604275.6434633114
400,1259202,5587707,545268.1116362872
400,1270736,5357065,542453.3439180889
400,2113167,5207392,643105.8430634844
400,1232791,6749991,532359.6959723688
400,1091824,5303914,541917.0660935827
400,1962222,5174867,592512.2195834038
400,1750911,5552162,539424.443066224
400,2305292,5775302,727864.7261948644
400,2009867,5832251,606748.0543698508
500,7848828,6401893,2436794.786857616
500,8522084,7042866,2576822.5545886937
500,10651686,6983347,3239000.320481847
500,12143942,8080514,3717236.234059817
500,8727503,7453545,2627516.7146240585
500,11184211,6700164,3341801.0130078397
500,10815115,7957089,3272292.2891452042
500,10026816,8298686,3025493.9419644517
500,9363270,7017886,2885393.1218928313
500,10323972,8084459,3180859.0830482217
500,2288632,7475287,695949.7503037443
500,2111751,7112279,689580.9764586004
500,1397381,6071023,648486.2089159007
