mu,Paper,Min Time,Time opt
0.02,2840895,829759,680994.5757418879
0.02,2759981,816225,665668.3560278681
0.02,2916047,794972,651305.3816708076
0.02,3061161,911737,695183.7690020413
0.02,2596832,810588,661962.9561917708
0.02,2642838,761366,656760.4495093515
0.02,3048245,828468,688680.4760887198
0.02,2879043,838454,682388.2379183229
0.02,2970774,840146,654464.7830271883
0.02,2585290,885898,671094.6253296195
0.06,1029955,829759,680994.5757418879
0.06,958211,816225,665668.3560278681
0.06,1025501,794972,651305.3816708076
0.06,1098100,911737,695183.7690020413
0.06,937129,810588,661962.9561917708
0.06,932490,761366,656760.4495093515
0.06,1049458,828468,688680.4760887198
0.06,999525,838454,682388.2379183229
0.06,1007737,840146,654464.7830271883
0.06,924171,885898,671094.6253296195
0.1,770472,829759,680994.5757418879
0.1,707196,816225,665668.3560278681
0.1,732656,794972,651305.3816708076
0.1,785500,911737,695183.7690020413
0.1,715692,810588,661962.9561917708
0.1,714601,761366,656760.4495093515
0.1,765633,828468,688680.4760887198
0.1,734153,838454,682388.2379183229
0.1,716539,840146,654464.7830271883
0.1,725473,885898,671094.6253296195
0.14,727800,829759,680994.5757418879
0.14,694019,816225,665668.3560278681
0.14,700397,794972,651305.3816708076
0.14,734075,911737,695183.7690020413
0.14,691725,810588,661962.9561917708
0.14,690372,761366,656760.4495093515
0.14,732101,828468,688680.4760887198
0.14,718539,838454,682388.2379183229
0.14,686112,840146,654464.7830271883
0.14,709441,885898,671094.6253296195
0.18,765203,829759,680994.5757418879
0.18,740038,816225,665668.3560278681
0.18,725004,794972,651305.3816708076
0.18,773071,911737,695183.7690020413
0.18,737679,810588,661962.9561917708
0.18,734605,761366,656760.4495093515
0.18,760974,828468,688680.4760887198
0.18,761127,838454,682388.2379183229
0.18,733989,840146,654464.7830271883
0.18,736177,885898,671094.6253296195
0.22,771985,829759,680994.5757418879
0.22,748054,816225,665668.3560278681
0.22,733054,794972,651305.3816708076
0.22,773904,911737,695183.7690020413
0.22,744362,810588,661962.9561917708
0.22,745024,761366,656760.4495093515
0.22,779239,828468,688680.4760887198
0.22,773034,838454,682388.2379183229
0.22,748245,840146,654464.7830271883
0.22,743488,885898,671094.6253296195
0.26,828596,829759,680994.5757418879
0.26,820068,816225,665668.3560278681
0.26,808165,794972,651305.3816708076
0.26,812283,911737,695183.7690020413
0.26,787101,810588,661962.9561917708
0.26,800353,761366,656760.4495093515
0.26,842260,828468,688680.4760887198
0.26,835387,838454,682388.2379183229
0.26,788585,840146,654464.7830271883
0.26,799956,885898,671094.6253296195
0.3,773334,829759,680994.5757418879
0.3,747174,816225,665668.3560278681
0.3,730586,794972,651305.3816708076
0.3,785732,911737,695183.7690020413
0.3,749156,810588,661962.9561917708
0.3,745572,761366,656760.4495093515
0.3,772344,828468,688680.4760887198
0.3,766122,838454,682388.2379183229
0.3,740787,840146,654464.7830271883
0.3,739215,885898,671094.6253296195
0.34,901601,829759,680994.5757418879
0.34,915636,816225,665668.3560278681
0.34,874712,794972,651305.3816708076
0.34,889798,911737,695183.7690020413
0.34,866556,810588,661962.9561917708
0.34,873374,761366,656760.4495093515
0.34,920020,828468,688680.4760887198
0.34,918420,838454,682388.2379183229
0.34,862440,840146,654464.7830271883
0.34,868756,885898,671094.6253296195
0.38,841291,829759,680994.5757418879
0.38,835831,816225,665668.3560278681
0.38,816415,794972,651305.3816708076
0.38,833940,911737,695183.7690020413
0.38,819928,810588,661962.9561917708
0.38,814609,761366,656760.4495093515
0.38,857940,828468,688680.4760887198
0.38,846638,838454,682388.2379183229
0.38,807284,840146,654464.7830271883
0.38,819919,885898,671094.6253296195
0.3819660112501051,836805,829759,680994.5757418879
0.3819660112501051,838941,816225,665668.3560278681
0.3819660112501051,812366,794972,651305.3816708076
0.3819660112501051,827253,911737,695183.7690020413
0.3819660112501051,813145,810588,661962.9561917708
0.3819660112501051,810649,761366,656760.4495093515
0.3819660112501051,853571,828468,688680.4760887198
0.3819660112501051,842497,838454,682388.2379183229
0.3819660112501051,803415,840146,654464.7830271883
0.3819660112501051,819372,885898,671094.6253296195
