p,Paper,Min Time,Time opt
500,2924691,3311549,2042983.7272256638
500,2877729,3268610,1997005.0680836043
500,2805561,3150768,1953916.145012423
500,2973773,3312504,2085551.3070061237
500,2851600,3138688,1985888.8685753127
500,2830630,3152375,1970281.3485280548
500,2932442,3256920,2066041.4282661595
500,2912528,3228865,2047164.713754969
500,2815145,3200183,1963394.349081565
500,2846387,3176017,2013283.8759888588
500,2952168,3241788,2063904.597524966
500,2947303,3262803,2068742.929375801
500,2807256,3170974,1945458.6267477018
500,2812395,3158773,1962878.4381096812
500,2919939,3286271,2041451.749211288
500,2776147,3161279,1945763.4906939706
500,2909449,3245951,2032897.4680707518
500,2912123,3261755,2029873.3281392083
500,3019412,3348257,2116763.430968627
500,2873891,3250450,1993096.111178889
500,2764580,3116471,1920957.829413861
500,2955743,3247837,2070923.1544611936
500,2950566,3255431,2055268.8285403266
500,2731097,3015459,1891243.2323263306
500,2830612,3198949,1987537.1953701966
500,2888667,3269704,2005643.8684135952
500,2923287,3351380,2040129.670592762
500,2969098,3278498,2079014.344546595
500,2849433,3172846,2007297.6628828784
500,3030256,3364828,2125891.7174108736
1000,1711008,2136691,1021491.8636128319
1000,1692051,2160330,998502.5340418022
1000,1647394,2059668,976958.0725062115
1000,1682816,2105950,1042775.6535030619
1000,1611945,2079009,992944.4342876563
1000,1641413,2097032,985140.6742640274
1000,1702698,2169869,1033020.7141330797
1000,1689504,2135351,1023582.3568774845
1000,1641684,2066454,981697.1745407825
1000,1639107,2057211,1006641.9379944294
1000,1700866,2187127,1031952.298762483
1000,1711727,2158026,1034371.4646879005
1000,1660225,2050191,972729.3133738509
1000,1639259,2054167,981439.2190548406
1000,1716054,2156267,1020725.874605644
1000,1618793,2016514,972881.7453469853
1000,1671942,2145248,1016448.7340353759
1000,1700907,2153295,1014936.6640696041
1000,1732981,2215902,1058381.7154843134
1000,1675079,2056231,996548.0555894445
1000,1612706,1990022,960478.9147069305
1000,1714924,2215316,1035461.5772305968
1000,1695219,2136382,1027634.4142701633
1000,1561532,2035071,945621.6161631653
1000,1653929,2089522,993768.5976850983
1000,1686414,2149478,1002821.9342067976
1000,1702020,2160330,1020064.835296381
1000,1700118,2168952,1039507.1722732974
1000,1644742,2044295,1003648.8314414392
1000,1773338,2228060,1062945.8587054368
1500,1183866,1474762,680994.575741888
1500,1213865,1502502,665668.3560278681
1500,1176695,1405905,651305.3816708077
1500,1225676,1482464,695183.7690020413
1500,1181609,1450487,661962.9561917708
1500,1166309,1432607,656760.4495093515
1500,1221255,1525927,688680.4760887198
1500,1210542,1514451,682388.2379183229
1500,1168327,1438300,654464.7830271883
1500,1173635,1423232,671094.6253296196
1500,1243330,1494655,687968.1991749887
1500,1233992,1504269,689580.9764586004
1500,1154928,1432603,648486.2089159007
1500,1176199,1427687,654292.812703227
1500,1229694,1466848,680483.9164037626
1500,1169729,1411237,648587.8302313236
1500,1209696,1478751,677632.4893569172
